ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760917809.059826,0,19.561,0.000000,0.000000,73,54,1394,48
1760917810.059812,1,29.570,42.946000,42.946000,4,6,1894,49
1760917811.059826,2,31.494,36.699000,79.645000,7,7,2394,49
1760917812.059709,3,28.323,36.202000,115.847000,6,6,2393,49
1760917813.059816,4,27.976,36.582000,152.429000,6,6,2393,49
1760917814.059811,5,27.946,36.824000,189.253000,5,6,2393,50
1760917815.059818,6,27.969,36.893000,226.146000,6,6,2369,50
1760917816.059941,7,27.991,36.997000,263.143000,6,6,2362,50
1760917817.059823,8,28.019,37.275000,300.418000,5,6,2362,50
1760917818.059809,9,27.979,37.358000,337.776000,6,6,2362,50
1760917819.059744,10,28.058,37.424000,375.200000,5,6,2362,50
1760917820.059711,11,28.013,38.031000,413.231000,6,6,2362,50
1760917821.059728,12,27.950,37.931000,451.162000,6,6,2362,51
1760917822.059846,13,28.023,37.977000,489.139000,5,6,2362,51
1760917823.059753,14,28.091,38.215000,527.354000,5,6,2362,51
1760917824.059832,15,28.050,38.628000,565.982000,6,6,2362,51
1760917825.059816,16,28.100,39.227000,605.209000,5,6,2362,51
1760917826.060002,17,28.106,39.451000,644.660000,5,6,2362,51
1760917827.059808,18,28.048,31.013000,675.673000,5,6,2362,51
1760917828.059978,19,28.062,30.905000,706.578000,5,6,2362,52
1760917829.059869,20,28.120,30.773000,737.351000,5,6,2362,52
1760917830.059812,21,28.243,31.283000,768.634000,6,6,2375,52
1760917831.059858,22,28.164,30.850000,799.484000,5,6,2375,52
1760917832.059753,23,28.079,30.734000,830.218000,5,6,2374,52
1760917833.059945,24,28.182,31.094000,861.312000,6,6,2374,52
1760917834.059718,25,28.102,31.049000,892.361000,5,6,2374,52
1760917835.059834,26,28.150,31.094000,923.455000,6,6,2362,52
1760917836.059711,27,28.089,30.936000,954.391000,6,6,2362,52
1760917837.059808,28,28.174,30.940000,985.331000,5,6,2362,52
1760917838.059748,29,28.215,30.722000,1016.053000,5,6,2362,52
1760917839.059819,30,28.137,30.754000,1046.807000,6,6,2362,52
1760917840.059810,31,28.184,30.805000,1077.612000,6,6,2362,52
1760917841.059711,32,28.204,31.225000,1108.837000,5,6,2362,53
1760917842.059744,33,28.115,31.079000,1139.916000,5,6,2362,53
1760917843.059808,34,28.154,31.287000,1171.203000,6,6,2362,53
1760917844.059877,35,28.188,31.600000,1202.803000,5,6,2362,53
1760917845.059738,36,28.244,31.824000,1234.627000,6,6,2362,53
1760917846.059753,37,28.255,31.682000,1266.309000,6,6,2362,53
1760917847.059738,38,28.154,31.687000,1297.996000,6,6,2362,53
1760917848.059959,39,28.252,32.201000,1330.197000,5,6,2362,53
1760917849.059738,40,28.153,32.634000,1362.831000,5,6,2362,53
1760917850.059735,41,28.205,32.300000,1395.131000,5,6,2362,53
1760917851.059708,42,28.173,32.600000,1427.731000,5,6,2362,53
1760917852.059727,43,28.200,32.726000,1460.457000,5,6,2362,53
1760917853.059716,44,28.296,33.056000,1493.513000,6,6,2362,53
1760917854.059816,45,28.278,33.161000,1526.674000,6,6,2362,53
1760917855.059751,46,28.229,33.501000,1560.175000,6,6,2362,53
1760917856.059810,47,28.231,33.665000,1593.840000,6,6,2362,53
1760917857.059742,48,28.155,34.011000,1627.851000,5,6,2362,53
1760917858.059842,49,28.267,33.900000,1661.751000,5,6,2362,53
1760917859.059829,50,28.235,34.239000,1695.990000,5,6,2362,53
1760917860.059818,51,28.217,34.447000,1730.437000,6,6,2362,54
1760917861.059726,52,28.358,34.825000,1765.262000,6,6,2362,54
1760917862.059736,53,28.363,34.826000,1800.088000,5,6,2362,54
1760917863.059750,54,28.262,35.181000,1835.269000,6,6,2362,54
1760917864.059997,55,28.256,35.331000,1870.600000,5,6,2362,54
1760917865.059709,56,28.265,35.838000,1906.438000,6,6,2362,54
1760917866.059845,57,28.353,35.474000,1941.912000,6,6,2362,54
1760917867.059967,58,28.333,35.813000,1977.725000,6,6,2362,54
1760917868.059810,59,28.288,36.134000,2013.859000,6,6,2362,54
1760917869.059853,60,28.382,36.258000,2050.117000,6,6,2362,54
1760917870.059733,61,28.398,36.620000,2086.737000,6,6,2362,54
1760917871.059874,62,28.317,36.869000,2123.606000,5,6,2362,54
1760917872.059813,63,28.376,37.197000,2160.803000,6,6,2362,54
1760917873.059736,64,28.306,37.219000,2198.022000,5,6,2362,54
1760917874.059844,65,28.360,37.107000,2235.129000,5,6,2362,54
1760917875.059816,66,28.348,37.369000,2272.498000,6,6,2362,54
1760917876.059865,67,28.321,37.680000,2310.178000,6,6,2362,54
1760917877.060101,68,28.385,37.813000,2347.991000,6,6,2362,54
1760917878.059816,69,28.418,38.399000,2386.390000,5,6,2362,54
1760917879.059825,70,28.366,38.357000,2424.747000,7,6,2362,54
1760917880.059808,71,28.380,38.665000,2463.412000,5,6,2362,54
1760917881.059819,72,28.341,38.784000,2502.196000,5,6,2362,54
1760917882.059813,73,28.451,38.791000,2540.987000,6,6,2362,54
1760917883.059812,74,28.417,39.032000,2580.019000,5,6,2362,55
1760917884.059818,75,28.382,39.115000,2619.134000,5,6,2362,54
1760917885.059817,76,28.462,39.536000,2658.670000,6,6,2362,55
1760917886.059724,77,28.466,31.227000,2689.897000,6,6,2362,55
1760917887.059823,78,28.457,31.264000,2721.161000,5,6,2362,55
1760917888.059813,79,28.439,31.270000,2752.431000,5,6,2362,55
1760917889.059728,80,28.386,31.264000,2783.695000,5,6,2362,55
1760917890.059810,81,28.406,31.078000,2814.773000,6,6,2362,55
1760917891.059729,82,28.483,30.981000,2845.754000,5,6,2362,55
1760917892.059712,83,28.435,31.011000,2876.765000,5,6,2362,55
1760917893.059818,84,28.438,31.114000,2907.879000,6,6,2362,55
1760917894.059748,85,28.383,30.943000,2938.822000,7,6,2362,55
1760917895.059811,86,28.418,30.997000,2969.819000,6,6,2362,55
1760917896.059719,87,28.472,31.094000,3000.913000,5,6,2362,55
1760917897.059829,88,28.396,30.931000,3031.844000,5,6,2362,55
1760917898.059750,89,28.481,30.982000,3062.826000,6,6,2362,55
1760917899.059860,90,28.416,31.205000,3094.031000,5,6,2362,55
1760917900.059734,91,28.496,31.235000,3125.266000,6,6,2362,55
1760917901.059828,92,28.489,31.593000,3156.859000,5,6,2116,55
1760917902.059866,93,28.556,32.160000,3189.019000,11,7,1862,55
1760917903.059727,94,28.818,32.682000,3221.701000,5,6,2474,55
1760917904.059851,95,29.608,33.064000,3254.765000,5,6,1985,55
1760917905.059813,96,28.447,31.432000,3286.197000,4,6,1375,55
1760917906.059810,97,27.827,32.688000,3318.885000,5,6,2375,55
1760917907.059711,98,28.350,31.864000,3350.749000,6,7,2375,55
1760917908.059739,99,28.581,32.676000,3383.425000,6,6,2375,55
1760917909.059712,100,28.571,32.965000,3416.390000,5,6,2369,55
1760917910.059813,101,28.499,33.320000,3449.710000,6,6,2369,55
1760917911.059725,102,28.533,33.524000,3483.234000,6,6,2362,55
1760917912.059830,103,28.427,33.562000,3516.796000,5,6,2362,55
1760917913.059708,104,28.386,33.608000,3550.404000,5,6,2362,55
1760917914.059731,105,28.553,33.730000,3584.134000,6,6,2362,55
1760917915.059711,106,28.357,33.904000,3618.038000,6,6,2362,55
1760917916.059745,107,28.433,34.189000,3652.227000,5,6,2362,55
1760917917.059749,108,28.537,34.426000,3686.653000,6,6,2362,55
1760917918.059710,109,28.476,34.899000,3721.552000,5,6,2362,55
1760917919.059732,110,28.458,34.826000,3756.378000,6,6,2362,55
1760917920.059729,111,28.431,35.292000,3791.670000,6,6,2362,55
1760917921.059741,112,28.458,35.199000,3826.869000,5,6,2362,55
1760917922.059712,113,28.491,35.247000,3862.116000,6,6,2362,55
1760917923.059711,114,28.372,35.379000,3897.495000,5,6,2362,55
1760917924.059740,115,28.515,35.778000,3933.273000,6,6,2362,55
1760917925.059723,116,28.489,35.925000,3969.198000,6,6,2362,55
1760917926.059984,117,28.457,36.284000,4005.482000,5,6,2362,55
1760917927.059830,118,28.484,36.547000,4042.029000,5,6,2362,55
1760917928.059938,119,28.451,36.756000,4078.785000,6,6,2362,55
1760917929.059830,120,28.326,36.822000,4115.607000,5,6,2362,55
1760917930.059743,121,28.460,36.866000,4152.473000,6,6,2362,55
1760917931.059745,122,28.456,36.928000,4189.401000,6,6,2362,55
1760917932.059733,123,28.455,37.179000,4226.580000,6,6,2362,55
1760917933.059712,124,28.386,37.426000,4264.006000,6,6,2362,55
1760917934.059713,125,28.516,37.904000,4301.910000,6,6,2362,55
1760917935.059823,126,28.445,37.796000,4339.706000,7,6,2362,55
1760917936.059713,127,28.418,38.131000,4377.837000,6,6,2362,55
1760917937.059854,128,28.339,38.255000,4416.092000,6,6,2362,55
1760917938.059817,129,28.500,38.382000,4454.474000,6,6,2362,55
1760917939.059855,130,28.372,38.544000,4493.018000,5,6,2362,55
1760917940.059828,131,28.465,38.707000,4531.725000,6,6,2362,55
1760917941.059729,132,28.514,39.094000,4570.819000,5,6,2362,55
1760917942.060012,133,28.505,39.364000,4610.183000,6,6,2362,55
1760917943.059726,134,28.372,39.445000,4649.628000,6,6,2362,55
1760917944.059826,135,28.468,39.651000,4689.279000,5,6,2362,55
1760917945.059858,136,28.373,31.226000,4720.505000,6,6,2362,55
1760917946.059755,137,28.445,31.145000,4751.650000,5,6,2362,55
1760917947.059752,138,28.395,31.033000,4782.683000,6,6,2362,55
1760917948.059728,139,28.544,31.051000,4813.734000,5,6,2362,55
1760917949.059808,140,28.511,31.224000,4844.958000,5,6,2362,55
1760917950.059909,141,28.507,31.196000,4876.154000,5,6,2362,55
1760917951.059739,142,28.453,31.216000,4907.370000,5,6,2362,55
1760917952.059736,143,28.470,31.231000,4938.601000,6,6,2362,55
1760917953.060039,144,28.405,31.429000,4970.030000,5,6,2362,55
1760917954.059751,145,28.411,31.118000,5001.148000,5,6,2362,55
1760917955.059732,146,28.457,30.997000,5032.145000,6,6,2362,55
1760917956.059711,147,28.413,31.027000,5063.172000,5,6,2362,55
1760917957.059852,148,28.514,31.175000,5094.347000,6,6,2362,55
1760917958.059864,149,28.512,31.269000,5125.616000,7,7,2362,55
1760917959.059840,150,28.389,31.445000,5157.061000,6,6,2362,55
1760917960.059751,151,28.469,31.539000,5188.600000,6,6,2362,55
1760917961.059750,152,28.473,32.047000,5220.647000,5,6,2362,55
1760917962.059749,153,28.439,31.984000,5252.631000,5,6,2362,55
1760917963.059807,154,28.393,34.753000,5287.384000,6,6,2362,55
1760917964.059984,155,28.440,28.428000,5315.812000,5,6,2362,55
1760917965.059813,156,28.525,28.633000,5344.445000,5,6,2362,55
1760917966.059750,157,28.505,28.650000,5373.095000,6,6,2362,55
1760917967.059853,158,28.382,28.716000,5401.811000,6,6,2362,55
1760917968.059744,159,28.498,29.096000,5430.907000,6,6,2362,55
1760917969.059877,160,28.470,29.329000,5460.236000,5,6,2362,55
1760917970.059747,161,28.380,29.334000,5489.570000,5,6,2362,55
1760917971.059712,162,28.485,29.452000,5519.022000,5,6,2362,55
1760917972.059731,163,28.460,29.514000,5548.536000,5,6,2362,55
1760917973.059726,164,28.430,30.027000,5578.563000,5,6,2362,55
1760917974.059852,165,28.405,30.528000,5609.091000,5,6,2362,55
1760917975.059707,166,28.504,30.593000,5639.684000,6,6,2362,55
1760917976.059812,167,28.433,30.480000,5670.164000,5,6,2362,55
1760917977.060102,168,28.434,31.155000,5701.319000,6,6,2362,55
1760917978.059741,169,28.407,29.022000,5730.341000,5,6,2362,55
1760917979.059717,170,28.497,28.856000,5759.197000,6,6,2362,55
1760917980.059819,171,28.457,29.029000,5788.226000,6,6,2362,55
1760917981.059811,172,28.503,29.268000,5817.494000,8,7,2362,55
1760917982.059805,173,28.484,29.626000,5847.120000,5,6,2362,55
1760917983.059732,174,28.511,29.666000,5876.786000,6,6,2362,55
1760917984.059743,175,28.435,29.745000,5906.531000,6,6,2362,55
1760917985.059751,176,28.478,30.225000,5936.756000,6,6,2362,55
1760917986.059930,177,28.412,30.467000,5967.223000,5,6,2362,55
1760917987.059908,178,28.377,30.719000,5997.942000,6,6,2362,55
1760917988.059826,179,28.474,31.083000,6029.025000,6,6,2362,55
1760917989.059838,180,28.565,31.275000,6060.300000,5,6,2362,55
1760917990.059750,181,28.478,31.113000,6091.413000,5,6,2362,55
1760917991.059712,182,28.538,31.186000,6122.599000,6,6,2362,55
1760917992.059832,183,28.490,31.438000,6154.037000,5,6,2362,55
1760917993.059752,184,28.508,31.923000,6185.960000,6,6,2472,55
