ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760920585.949641,19.00,248.48,0.000,0.000000,4
1760920586.949619,5.00,249.23,6.421,6.421126,8
1760920587.9497159,4.00,249.48,5.824,12.246001,12
1760920588.9496503,0.00,249.48,5.097,17.342424,12
1760920589.9496496,0.00,249.48,5.310,22.652591,12
1760920590.9496465,0.00,249.48,5.082,27.734609,12
1760920591.9499907,0.00,249.48,5.019,32.755409,12
1760920592.9497359,0.00,249.48,4.970,37.724451,12
1760920593.9496505,1.00,249.48,5.020,42.743604,12
1760920594.9496338,0.00,249.48,5.216,47.959289,12
1760920595.949727,0.00,249.48,5.072,53.031297,12
1760920596.9496372,0.00,249.48,5.094,58.124546,12
1760920597.9497201,0.00,249.48,5.039,63.163473,12
1760920598.9497337,0.00,249.48,5.017,68.180550,12
1760920599.9497168,0.00,249.48,5.220,73.400874,12
1760920600.949724,0.00,249.48,5.069,78.470319,12
1760920601.949628,1.00,249.48,5.033,83.503326,12
1760920602.949758,0.00,249.48,5.052,88.555986,12
1760920603.9496086,0.00,249.48,5.023,93.578190,12
1760920604.94964,0.00,249.48,5.271,98.849051,12
1760920605.9496133,0.00,249.48,5.087,103.935769,12
1760920606.949756,0.00,249.48,5.058,108.994533,12
1760920607.9496508,0.00,249.48,5.185,114.179456,12
1760920608.9496076,0.00,249.48,4.951,119.130432,12
1760920609.9497213,0.00,249.48,5.206,124.337206,12
1760920610.9496534,1.00,249.48,5.082,129.418553,12
1760920611.9496155,1.00,249.48,5.070,134.488486,12
1760920612.9496515,0.00,249.48,5.048,139.536325,12
1760920613.9500277,0.00,249.48,5.096,144.633846,12
1760920614.9496295,0.00,249.48,5.277,149.908918,12
1760920615.9496377,0.00,249.48,5.184,155.092803,12
1760920616.949628,0.00,249.48,5.073,160.166033,12
1760920617.9499016,0.00,249.48,5.008,165.175297,12
1760920618.9496517,0.00,249.48,4.962,170.136161,12
1760920619.949861,1.00,249.48,5.206,175.342935,12
1760920620.9496481,0.00,249.48,5.131,180.472560,12
1760920621.9496074,0.00,249.48,5.013,185.485365,12
