ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760818900.0359063,20.00,269.15,0.000,0.000000,4
1760818901.0359366,5.00,269.15,5.735,5.735093,8
1760818902.0359275,2.00,269.15,5.814,11.549043,12
1760818903.0359209,0.00,269.15,5.325,16.873980,12
1760818904.0360126,0.00,269.15,5.167,22.041203,12
1760818905.0359268,0.00,269.15,5.105,27.145621,12
1760818906.0359507,0.00,269.15,5.101,32.247110,12
1760818907.0359166,0.00,269.15,5.115,37.362331,12
1760818908.035937,1.00,269.15,5.340,42.702772,12
1760818909.0360224,0.00,269.15,5.116,47.818847,12
1760818910.0359218,0.00,269.15,5.137,52.955248,12
1760818911.0359068,0.00,269.15,5.122,58.076878,12
1760818912.03593,0.00,269.15,5.156,63.233054,12
1760818913.0359197,0.00,269.15,5.340,68.573494,12
1760818914.0359044,0.00,269.15,5.110,73.683649,12
1760818915.035904,0.00,269.15,5.166,78.849469,12
1760818916.0359771,0.00,269.15,5.205,84.054472,12
1760818917.035928,1.00,269.15,5.165,89.219620,12
1760818918.0359037,1.00,269.15,5.496,94.715029,12
1760818919.035926,0.00,269.15,5.195,99.910023,12
1760818920.0359204,0.00,269.15,5.238,105.147497,12
1760818921.035925,0.00,269.15,5.137,110.284508,12
1760818922.0359106,0.00,269.15,5.132,115.416147,12
1760818923.0359077,0.00,269.15,5.340,120.756039,12
1760818924.0359302,0.00,269.15,5.236,125.992231,12
1760818925.0359225,0.00,269.15,5.156,131.147797,12
1760818926.0359251,0.00,269.15,5.152,136.300127,12
1760818927.0359032,0.00,269.15,5.171,141.470707,12
1760818928.0359035,1.00,269.15,5.361,146.831839,12
1760818929.0359042,0.00,269.15,5.143,151.974892,12
1760818930.035924,0.00,269.15,5.188,157.163172,12
1760818931.0359192,0.00,269.15,5.150,162.312695,12
1760818932.0359657,0.00,269.15,5.230,167.542601,12
1760818933.0360355,0.00,269.15,5.345,172.888290,12
1760818934.0359643,0.00,269.15,5.169,178.056612,12
1760818935.0360339,0.00,269.15,5.152,183.208760,12
1760818936.0360115,1.00,269.15,5.157,188.365668,12
1760818937.035905,0.00,269.15,5.215,193.580376,12
1760818938.0359051,0.00,269.15,5.380,198.960611,12
1760818939.0359225,0.00,269.15,5.216,204.176479,12
1760818940.0359368,0.00,269.15,5.187,209.363112,12
1760818941.0359204,0.00,269.15,5.187,214.549988,12
1760818942.0359247,0.00,269.15,5.200,219.749804,12
1760818943.0363197,0.00,269.15,5.346,225.098362,12
1760818944.0359302,0.00,269.15,5.249,230.345785,12
1760818945.0359066,0.00,269.15,5.195,235.540901,12
1760818946.0359268,0.00,269.15,5.201,240.741510,12
1760818947.0359185,1.00,269.15,5.230,245.971660,12
1760818948.036037,0.00,269.15,5.406,251.378385,12
1760818949.0360143,0.00,269.15,5.187,256.565566,12
1760818950.0359037,0.00,269.15,5.205,261.769777,12
1760818951.0359266,0.00,269.15,5.198,266.967517,12
1760818952.0360467,0.00,269.15,5.334,272.302465,12
1760818953.0359044,0.00,269.15,5.425,277.726828,12
1760818954.0359285,0.00,269.15,5.187,282.913888,12
1760818955.036006,0.00,269.15,5.215,288.129328,12
1760818956.0360057,0.00,269.15,5.212,293.341473,12
1760818957.0359073,0.00,269.15,5.176,298.517119,12
1760818958.0359054,1.00,269.15,5.408,303.924942,12
1760818959.0359268,1.00,269.15,5.144,309.068911,12
1760818960.0359254,0.00,269.15,5.256,314.324818,12
1760818961.0360143,0.00,269.15,5.192,319.517004,12
1760818962.0359251,0.00,269.15,5.212,324.728295,12
1760818963.036013,0.00,269.15,5.351,330.079355,12
1760818964.0359309,0.00,269.15,5.219,335.297665,12
1760818965.0359056,0.00,269.15,5.179,340.476851,12
1760818966.0359251,0.00,269.15,5.198,345.674530,12
1760818967.035927,0.00,269.15,5.245,350.919512,12
1760818968.035927,0.00,269.15,5.390,356.309147,12
1760818969.036013,0.00,269.15,5.116,361.425650,12
1760818970.036013,1.00,269.15,5.169,366.594276,12
1760818971.0359032,0.00,269.15,5.199,371.793116,12
1760818972.0360005,0.00,269.15,5.230,377.023876,12
1760818973.035934,0.00,269.15,5.417,382.440061,12
1760818974.0359497,0.00,269.15,5.236,387.676376,12
1760818975.0359952,0.00,269.15,5.159,392.835725,12
1760818976.035905,0.00,269.15,5.202,398.036823,12
1760818977.036026,0.00,269.15,5.199,403.236883,12
1760818978.036122,0.00,269.15,5.413,408.650077,12
1760818979.0359316,0.00,269.15,5.215,413.864236,12
1760818980.0365267,0.00,269.15,5.224,419.091518,12
1760818981.0359313,0.00,269.15,5.180,424.268750,12
1760818982.0359316,1.00,269.15,5.176,429.444518,12
1760818983.035925,0.00,269.15,5.351,434.795030,12
1760818984.0360537,0.00,269.15,5.146,439.941501,12
1760818985.0359282,0.00,269.15,5.269,445.210225,12
1760818986.0359333,0.00,269.15,5.114,450.323798,12
1760818987.035927,0.00,269.15,5.008,455.332208,12
1760818988.0360048,0.00,269.15,5.227,460.560100,12
1760818989.0359201,0.00,269.15,5.016,465.575224,12
1760818990.0359108,0.00,269.15,4.982,470.557450,12
1760818991.0359251,0.00,269.15,5.067,475.624820,12
1760818992.0360045,0.00,269.15,5.024,480.648916,12
1760818993.0360372,0.00,269.15,5.131,485.780556,12
1760818994.0359228,0.00,269.15,5.283,491.062464,12
1760818995.036024,12.00,273.90,5.260,496.322887,12
1760818996.0360005,0.00,273.90,5.596,501.918332,16
1760818997.0359068,0.00,273.90,5.269,507.186446,16
1760818998.0359194,1.00,273.90,5.657,512.843536,16
1760818999.035921,5.00,274.40,5.921,518.764663,24
1760819000.0359251,0.00,274.40,5.621,524.385865,24
1760819001.036123,0.00,274.40,5.240,529.626574,24
1760819002.035924,0.00,274.40,5.237,534.862706,24
1760819003.035938,0.00,274.40,5.450,540.313070,24
1760819004.0359077,1.00,274.40,5.193,545.506050,24
1760819005.0359101,0.00,274.40,5.171,550.677545,24
1760819006.0359476,0.00,274.40,5.214,555.891765,24
1760819007.0359087,0.00,274.40,5.126,561.017790,24
1760819008.0359282,0.00,274.40,5.432,566.449783,24
1760819009.035928,0.00,274.40,5.151,571.600832,24
1760819010.0359273,0.00,274.40,5.165,576.765796,24
1760819011.036009,0.00,274.40,5.122,581.888037,24
1760819012.0359094,0.00,274.40,5.217,587.104332,24
1760819013.0360456,0.00,274.40,5.361,592.466257,24
1760819014.0359194,0.00,274.40,5.171,597.636959,24
1760819015.0360503,0.00,274.40,5.188,602.826033,24
1760819016.0360074,0.00,274.40,5.167,607.992584,24
1760819017.036049,0.00,274.40,5.152,613.144915,24
1760819018.0360477,1.00,274.40,5.505,618.649478,24
1760819019.0359201,0.00,274.40,5.208,623.856374,24
1760819020.0359244,0.00,274.40,5.215,629.071510,24
1760819021.0359306,0.00,274.40,5.183,634.254785,24
1760819022.035997,0.00,274.40,5.166,639.420787,24
1760819023.0362883,0.00,274.40,5.410,644.832090,24
1760819024.0359247,0.00,274.40,5.237,650.066939,24
1760819025.0359268,0.00,274.40,5.142,655.208772,24
1760819026.0359077,0.00,274.40,5.178,660.386310,24
1760819027.035907,0.00,274.40,5.223,665.609014,24
1760819028.035919,1.00,274.40,5.397,671.005790,24
1760819029.036045,0.00,274.40,5.226,676.232888,24
1760819030.0360038,0.00,274.40,5.215,681.447902,24
1760819031.0359268,0.00,274.40,5.167,686.614819,24
1760819032.0361552,0.00,274.40,5.285,691.900817,24
1760819033.036013,0.00,274.40,5.373,697.273300,24
1760819034.035952,1.00,274.40,5.261,702.534212,24
1760819035.035928,0.00,274.40,5.188,707.721821,24
1760819036.0359294,0.00,274.40,5.248,712.969610,24
1760819037.0359995,0.00,274.40,5.165,718.135186,24
1760819038.0359254,1.00,274.40,5.348,723.482706,24
1760819039.0360003,0.00,274.40,5.220,728.703091,24
1760819040.0360093,0.00,274.40,5.245,733.947889,24
1760819041.036011,0.00,274.40,5.187,739.134705,24
1760819042.0359268,0.00,274.40,5.186,744.320116,24
1760819043.0359452,0.00,274.40,5.381,749.701389,24
1760819044.0360136,0.00,274.40,5.199,754.901205,24
1760819045.0360427,0.00,274.40,5.177,760.078560,24
1760819046.0360484,0.00,274.40,5.222,765.301019,24
1760819047.035933,0.00,274.40,5.175,770.475811,24
1760819048.0359042,0.00,274.40,5.362,775.837308,24
1760819049.0359218,0.00,274.40,5.199,781.036819,24
1760819050.0359216,0.00,274.40,5.153,786.189638,24
1760819051.035926,0.00,274.40,5.204,791.393543,24
1760819052.03601,0.00,274.40,5.226,796.620458,24
1760819053.0360014,0.00,274.40,5.387,802.006980,24
1760819054.035931,1.00,274.40,5.207,807.213998,24
1760819055.0360456,0.00,274.40,5.228,812.442256,24
1760819056.0359294,0.00,274.40,5.204,817.645673,24
1760819057.0359268,0.00,274.40,5.307,822.952239,24
1760819058.0360136,0.00,274.40,5.326,828.278702,24
1760819059.0359383,0.00,274.40,5.212,833.490054,24
1760819060.035903,0.00,274.40,5.179,838.668446,24
1760819061.0360363,0.00,274.40,5.226,843.895423,24
1760819062.0362008,0.00,274.40,5.218,849.114403,24
1760819063.0360115,0.00,274.40,5.463,854.576365,24
1760819064.0359035,1.00,274.40,5.194,859.769955,24
1760819065.0359251,0.00,274.40,5.195,864.965193,24
