ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760822509.535027,0,20.708,0.000000,0.000000,3,2,1369,48
1760822510.534987,1,26.826,37.885000,37.885000,8,8,1936,49
1760822511.535001,2,28.073,37.143000,75.028000,8,8,2504,49
1760822512.534889,3,28.100,36.816000,111.844000,6,6,2504,50
1760822513.534889,4,27.566,36.876000,148.720000,6,6,2504,50
1760822514.535002,5,27.593,37.028000,185.748000,6,7,2496,50
1760822515.534906,6,27.714,37.338000,223.086000,7,7,2496,50
1760822516.535306,7,27.709,37.459000,260.545000,7,7,2496,50
1760822517.534913,8,27.785,37.972000,298.517000,7,7,2496,51
1760822518.534900,9,27.738,37.888000,336.405000,6,6,2496,51
1760822519.535068,10,27.705,38.160000,374.565000,6,6,2496,51
1760822520.535005,11,27.786,38.477000,413.042000,7,7,2496,51
1760822521.535006,12,27.887,38.664000,451.706000,6,7,2496,51
1760822522.534904,13,27.878,38.774000,490.480000,7,7,2496,51
1760822523.534889,14,27.855,38.985000,529.465000,7,7,2496,52
1760822524.534904,15,27.890,30.684000,560.149000,7,7,2496,52
1760822525.535007,16,27.963,30.599000,590.748000,7,7,2496,52
1760822526.534885,17,27.922,30.596000,621.344000,6,6,2496,52
1760822527.534979,18,27.921,30.687000,652.031000,6,6,2496,52
1760822528.535215,19,27.947,30.624000,682.655000,6,6,2496,52
1760822529.534888,20,28.053,30.681000,713.336000,6,7,2496,53
1760822530.534909,21,28.050,30.692000,744.028000,7,7,2496,52
1760822531.534909,22,27.978,30.711000,774.739000,7,7,2496,53
1760822532.534911,23,28.016,30.794000,805.533000,6,7,2496,53
1760822533.534888,24,28.064,30.675000,836.208000,6,6,2496,53
1760822534.534918,25,28.072,30.774000,866.982000,7,7,2496,53
1760822535.534984,26,28.041,30.721000,897.703000,7,7,2496,53
1760822536.535046,27,28.064,30.724000,928.427000,7,7,2496,53
1760822537.534900,28,28.085,30.969000,959.396000,7,7,2496,53
1760822538.534886,29,28.066,30.981000,990.377000,6,6,2496,53
1760822539.534993,30,28.147,31.129000,1021.506000,6,7,2496,53
1760822540.534902,31,28.137,31.595000,1053.101000,7,7,2496,53
1760822541.534999,32,28.138,31.741000,1084.842000,7,7,2496,53
1760822542.534904,33,28.131,31.855000,1116.697000,7,7,2496,54
1760822543.534981,34,28.212,31.801000,1148.498000,6,7,2496,54
1760822544.535002,35,28.198,32.101000,1180.599000,6,7,2496,54
1760822545.534996,36,28.229,32.303000,1212.902000,7,7,2496,54
1760822546.535010,37,28.259,32.540000,1245.442000,6,7,2496,54
1760822547.535014,38,28.247,32.717000,1278.159000,7,7,2496,54
1760822548.534909,39,28.256,35.801000,1313.960000,7,7,2496,54
1760822549.534920,40,28.275,28.391000,1342.351000,6,6,2496,54
1760822550.534998,41,28.343,28.596000,1370.947000,7,7,2496,54
1760822551.534992,42,28.356,28.750000,1399.697000,7,7,2496,54
1760822552.534902,43,28.362,28.773000,1428.470000,7,7,2496,54
1760822553.534904,44,28.362,28.804000,1457.274000,7,7,2496,54
1760822554.534913,45,28.331,29.009000,1486.283000,6,6,2496,54
1760822555.534930,46,28.387,29.315000,1515.598000,6,7,2496,54
1760822556.534995,47,28.387,29.397000,1544.995000,6,7,2496,54
1760822557.534912,48,28.392,29.733000,1574.728000,7,7,2496,55
1760822558.534910,49,28.389,29.844000,1604.572000,6,7,2496,55
1760822559.534986,50,28.364,30.477000,1635.049000,7,7,2496,55
1760822560.535197,51,28.425,30.674000,1665.723000,7,7,2496,55
1760822561.534983,52,28.392,30.753000,1696.476000,6,6,2496,55
1760822562.534888,53,28.357,30.897000,1727.373000,6,7,2496,55
1760822563.534889,54,28.383,30.831000,1758.204000,7,7,2496,55
1760822564.534911,55,28.430,28.867000,1787.071000,7,7,2496,55
1760822565.534991,56,28.452,29.100000,1816.171000,7,7,2496,55
1760822566.534922,57,28.395,29.345000,1845.516000,5,6,2496,55
1760822567.534886,58,28.381,29.406000,1874.922000,6,6,2496,55
1760822568.534902,59,28.419,29.557000,1904.479000,6,6,2496,55
1760822569.534921,60,28.508,29.840000,1934.319000,7,7,2496,55
1760822570.535094,61,28.501,30.153000,1964.472000,7,7,2496,55
1760822571.534888,62,28.509,30.479000,1994.951000,7,7,2496,55
1760822572.534994,63,28.495,30.352000,2025.303000,7,7,2496,55
1760822573.534910,64,28.481,30.661000,2055.964000,6,6,2496,55
1760822574.534991,65,28.448,30.930000,2086.894000,7,7,2496,55
1760822575.534886,66,28.552,31.036000,2117.930000,7,7,2496,55
1760822576.535111,67,28.573,31.241000,2149.171000,7,7,2496,55
1760822577.534888,68,28.478,31.668000,2180.839000,6,6,2496,55
1760822578.534911,69,28.432,31.573000,2212.412000,6,6,2496,55
1760822579.534909,70,28.537,31.880000,2244.292000,6,6,2496,55
1760822580.534889,71,28.567,31.976000,2276.268000,6,6,2496,55
1760822581.534906,72,28.571,32.096000,2308.364000,7,7,2496,55
1760822582.534887,73,28.554,32.345000,2340.709000,7,7,2496,55
1760822583.535048,74,28.547,32.498000,2373.207000,7,7,2496,55
1760822584.534987,75,28.558,35.797000,2409.004000,6,6,2496,55
1760822585.534909,76,28.537,34.683000,2443.687000,6,7,2496,55
1760822586.534988,77,28.602,31.244000,2474.931000,7,7,2496,55
1760822587.534903,78,28.597,34.786000,2509.717000,7,7,2496,55
1760822588.535100,79,28.504,34.751000,2544.468000,7,6,2496,55
1760822589.534913,80,28.487,34.763000,2579.231000,6,6,2496,55
1760822590.534912,81,28.537,34.510000,2613.741000,6,7,2496,55
1760822591.534905,82,28.511,34.307000,2648.048000,6,6,2496,55
1760822592.534924,83,26.735,34.058000,2682.106000,5,6,2496,55
1760822593.534887,84,26.775,29.246000,2711.352000,5,6,2496,55
1760822594.534990,85,26.788,29.155000,2740.507000,6,6,2496,55
1760822595.535200,86,26.481,35.006000,2775.513000,4,5,2496,55
1760822596.534918,87,26.765,32.687000,2808.200000,4,5,2496,55
1760822597.534886,88,26.657,32.847000,2841.047000,4,5,2496,55
1760822598.534978,89,26.367,33.603000,2874.650000,4,5,2496,55
1760822599.534904,90,26.321,33.810000,2908.460000,4,5,2496,55
1760822600.534903,91,26.271,29.033000,2937.493000,4,5,2606,55
1760822601.534885,92,26.233,32.271000,2969.764000,3,4,2606,55
1760822602.534900,93,26.068,33.155000,3002.919000,4,5,2606,55
1760822603.535001,94,26.166,32.833000,3035.752000,5,4,1928,55
1760822604.535006,95,26.388,34.179000,3069.931000,4,4,2540,55
1760822605.535007,96,27.317,34.204000,3104.135000,5,5,2606,55
1760822606.535007,97,26.736,34.277000,3138.412000,5,5,2533,55
1760822607.534888,98,27.212,30.283000,3168.695000,5,6,1360,55
1760822608.535000,99,27.784,34.876000,3203.571000,6,7,1360,55
1760822609.534887,100,28.921,38.588000,3242.159000,14,9,2496,56
1760822610.534907,101,29.426,34.952000,3277.111000,6,7,2496,56
1760822611.534886,102,28.726,36.187000,3313.298000,6,6,2496,56
1760822612.534903,103,28.737,36.089000,3349.387000,7,7,2496,56
1760822613.534982,104,28.619,34.760000,3384.147000,6,7,2496,56
1760822614.535224,105,28.626,32.263000,3416.410000,7,7,2496,56
1760822615.534904,106,28.631,34.918000,3451.328000,6,7,2496,56
1760822616.534909,107,28.647,36.106000,3487.434000,7,7,2496,56
1760822617.534904,108,28.609,34.959000,3522.393000,7,7,2496,56
1760822618.534908,109,28.686,35.146000,3557.539000,7,7,2496,56
1760822619.534910,110,28.732,36.411000,3593.950000,7,7,2496,56
1760822620.534909,111,28.675,35.646000,3629.596000,6,7,2496,56
1760822621.535004,112,28.620,33.489000,3663.085000,6,6,2496,56
1760822622.534887,113,28.634,35.901000,3698.986000,6,7,2496,56
1760822623.534985,114,28.711,35.907000,3734.893000,7,7,2496,56
1760822624.534886,115,28.701,36.328000,3771.221000,6,6,2496,56
1760822625.534997,116,28.650,36.164000,3807.385000,6,7,2496,56
1760822626.534988,117,28.720,36.587000,3843.972000,7,7,2496,56
1760822627.534888,118,28.696,36.861000,3880.833000,7,7,2496,56
1760822628.534911,119,28.660,34.640000,3915.473000,7,7,2496,56
1760822629.534889,120,28.652,37.085000,3952.558000,7,7,2496,56
1760822630.534919,121,28.732,37.238000,3989.796000,7,7,2496,56
1760822631.534992,122,28.711,37.505000,4027.301000,7,7,2496,56
1760822632.534905,123,28.673,37.760000,4065.061000,6,6,2496,56
1760822633.534886,124,28.592,37.745000,4102.806000,7,7,2496,56
1760822634.534910,125,28.714,37.956000,4140.762000,7,7,2496,56
1760822635.534887,126,28.738,36.159000,4176.921000,6,7,2496,56
1760822636.534927,127,28.685,38.281000,4215.202000,6,6,2496,56
1760822637.534903,128,28.607,38.593000,4253.795000,6,7,2496,56
1760822638.534914,129,28.675,38.702000,4292.497000,6,7,2496,56
1760822639.534906,130,28.709,39.005000,4331.502000,6,7,2496,56
1760822640.534904,131,28.742,39.153000,4370.655000,7,7,2496,56
1760822641.535063,132,28.752,39.237000,4409.892000,7,7,2496,56
1760822642.534889,133,28.761,37.358000,4447.250000,7,7,2496,56
1760822643.534916,134,28.731,39.622000,4486.872000,7,7,2496,56
1760822644.534914,135,28.712,31.422000,4518.294000,6,7,2496,56
1760822645.534990,136,28.730,31.582000,4549.876000,6,7,2496,56
1760822646.534904,137,28.768,31.531000,4581.407000,7,7,2496,56
1760822647.534910,138,28.730,31.404000,4612.811000,6,7,2496,56
1760822648.534887,139,28.705,31.433000,4644.244000,6,6,2496,56
1760822649.534997,140,28.675,31.439000,4675.683000,7,7,2496,56
1760822650.534987,141,28.758,31.499000,4707.182000,7,7,2496,56
1760822651.535005,142,28.749,31.351000,4738.533000,6,7,2496,56
1760822652.534899,143,28.677,31.439000,4769.972000,7,7,2496,56
1760822653.534886,144,28.646,31.433000,4801.405000,7,7,2496,56
1760822654.534996,145,28.757,31.453000,4832.858000,7,7,2496,56
1760822655.534886,146,28.739,31.425000,4864.283000,7,7,2496,56
1760822656.534988,147,28.635,31.384000,4895.667000,6,6,2496,56
1760822657.534902,148,28.626,31.577000,4927.244000,7,7,2496,56
1760822658.534920,149,28.692,31.627000,4958.871000,6,7,2496,56
1760822659.535187,150,28.711,31.881000,4990.752000,7,7,2496,56
1760822660.534886,151,28.662,32.291000,5023.043000,6,7,2496,56
1760822661.534904,152,28.632,32.286000,5055.329000,6,7,2496,56
1760822662.534914,153,28.722,32.333000,5087.662000,6,7,2496,56
1760822663.534908,154,28.671,32.289000,5119.951000,7,7,2496,56
1760822664.534887,155,28.642,32.496000,5152.447000,7,7,2496,56
1760822665.534913,156,28.724,32.707000,5185.154000,7,7,2496,56
1760822666.534919,157,28.699,32.986000,5218.140000,7,7,2496,56
1760822667.534984,158,28.715,33.063000,5251.203000,6,7,2496,56
1760822668.534899,159,28.663,33.359000,5284.562000,6,6,2496,56
1760822669.534992,160,28.689,33.496000,5318.058000,7,7,2496,56
1760822670.534911,161,28.743,33.760000,5351.818000,6,7,2496,56
1760822671.534886,162,28.643,33.761000,5385.579000,6,6,2496,56
1760822672.534981,163,28.627,33.869000,5419.448000,7,7,2496,56
1760822673.534886,164,28.703,34.157000,5453.605000,7,7,2496,56
1760822674.534908,165,28.716,34.471000,5488.076000,7,7,2496,56
1760822675.534904,166,28.705,34.921000,5522.997000,7,7,2496,56
