ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760844933.532503,0,21.097,0.000000,0.000000,0,0,1412,49
1760844934.532477,1,28.378,33.185000,33.185000,12,9,1980,49
1760844935.532472,2,28.101,32.299000,65.484000,9,6,2548,50
1760844936.532470,3,27.549,31.842000,97.326000,6,7,2548,50
1760844937.532472,4,27.593,32.194000,129.520000,7,7,2548,50
1760844938.532471,5,27.638,32.359000,161.879000,7,7,2542,50
1760844939.532484,6,27.636,32.555000,194.434000,6,7,2542,50
1760844940.532456,7,27.675,32.737000,227.171000,7,7,2542,50
1760844941.532567,8,27.720,33.000000,260.171000,7,7,2542,51
1760844942.532451,9,27.716,33.251000,293.422000,6,7,2542,51
1760844943.532453,10,27.653,33.300000,326.722000,6,7,2542,51
1760844944.532495,11,27.809,33.779000,360.501000,6,7,2542,51
1760844945.532485,12,27.852,34.098000,394.599000,7,7,2542,51
1760844946.532483,13,27.830,34.252000,428.851000,7,7,2542,52
1760844947.532465,14,27.825,34.390000,463.241000,6,7,2542,52
1760844948.532476,15,27.899,34.801000,498.042000,7,7,2542,52
1760844949.532453,16,27.963,34.889000,532.931000,6,7,2542,52
1760844950.532479,17,27.909,34.855000,567.786000,6,7,2542,52
1760844951.532456,18,27.997,35.193000,602.979000,7,7,2542,52
1760844952.532455,19,28.011,35.355000,638.334000,7,7,2542,52
1760844953.532625,20,28.006,35.466000,673.800000,7,7,2542,52
1760844954.532453,21,27.958,35.785000,709.585000,6,7,2542,53
1760844955.532470,22,27.974,35.804000,745.389000,6,6,2542,53
1760844956.532470,23,28.014,36.068000,781.457000,6,7,2542,53
1760844957.532474,24,28.058,36.258000,817.715000,6,7,2542,53
1760844958.532478,25,28.081,36.494000,854.209000,7,7,2542,53
1760844959.532455,26,28.048,36.825000,891.034000,7,7,2542,53
1760844960.532471,27,28.093,36.903000,927.937000,7,7,2542,53
1760844961.532468,28,28.077,37.173000,965.110000,7,7,2542,53
1760844962.532476,29,28.121,37.266000,1002.376000,6,7,2542,53
1760844963.532486,30,28.149,37.585000,1039.961000,8,7,2538,53
1760844964.532467,31,28.207,37.705000,1077.666000,7,7,2538,53
