ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760841046.4813623,12.00,209.45,0.000,0.000000,4
1760841047.481382,3.00,209.70,5.951,5.951462,8
1760841048.4814048,8.00,205.73,6.088,12.039276,12
1760841049.481365,0.00,205.73,5.343,17.382463,12
1760841050.4814198,0.00,205.73,5.560,22.943240,12
1760841051.4813774,0.00,205.73,5.305,28.247548,12
1760841052.4813821,1.00,205.73,5.304,33.551611,12
1760841053.4813755,0.00,205.73,5.301,38.852318,12
1760841054.4813757,0.00,205.73,5.260,44.112558,12
1760841055.4814723,0.00,205.73,5.468,49.581477,12
1760841056.4813762,0.00,205.73,5.331,54.912213,12
1760841057.4813817,1.00,205.73,5.304,60.216155,12
1760841058.481504,0.00,205.73,5.313,65.529923,12
1760841059.4813569,0.00,205.73,5.332,70.861391,12
1760841060.481377,0.00,205.73,5.506,76.367114,12
1760841061.4813604,0.00,205.73,5.342,81.709508,12
1760841062.4813695,0.00,205.73,5.294,87.003867,12
1760841063.4814827,0.00,205.73,5.356,92.360115,12
1760841064.4813795,0.00,205.73,5.314,97.674006,12
1760841065.4814672,0.00,205.73,5.636,103.310710,12
1760841066.481464,0.00,205.73,5.368,108.678860,12
1760841067.4813588,0.00,205.73,5.329,114.007033,12
1760841068.481376,1.00,205.73,5.367,119.374451,12
1760841069.4813645,0.00,205.73,5.335,124.709520,12
1760841070.4813738,0.00,205.73,5.569,130.278720,12
1760841071.4813793,0.00,205.73,5.574,135.852802,12
1760841072.4813786,0.00,205.73,5.370,141.222417,12
1760841073.4813583,0.00,205.73,5.353,146.575492,12
1760841074.4814703,0.00,205.73,5.374,151.949868,12
1760841075.4813743,0.00,205.73,5.553,157.502100,12
1760841076.4813564,0.00,205.73,5.298,162.799571,12
1760841077.4813793,0.00,205.73,5.199,167.998472,12
1760841078.4813604,0.00,205.73,5.128,173.126327,12
1760841079.4813561,0.00,205.73,5.118,178.243868,12
1760841080.481379,1.00,205.73,5.374,183.617877,12
1760841081.4813576,0.00,205.73,5.108,188.725347,12
1760841082.4814763,0.00,205.73,5.132,193.857658,12
1760841083.4813845,0.00,205.73,5.127,198.984171,12
1760841084.4814684,0.00,205.73,5.098,204.082913,12
1760841085.4813833,0.00,205.73,5.365,209.447950,12
1760841086.481358,0.00,205.73,5.119,214.567017,12
1760841087.481363,0.00,205.73,5.116,219.683215,12
1760841088.481357,0.00,205.73,5.183,224.866551,12
1760841089.4813588,0.00,205.73,5.173,230.039878,12
1760841090.4814048,0.00,205.73,5.329,235.369027,12
1760841091.4813716,0.00,205.73,5.113,240.482051,12
1760841092.4813576,0.00,205.73,5.107,245.588849,12
1760841093.4813554,1.00,205.73,5.197,250.785796,12
1760841094.481361,1.00,205.73,5.159,255.944475,12
1760841095.4813786,0.00,205.73,5.349,261.293521,12
1760841096.4813607,0.00,205.73,5.168,266.461721,12
1760841097.481376,0.00,205.73,5.189,271.650855,12
1760841098.4813614,0.00,205.73,5.204,276.854516,12
1760841099.4813876,0.00,205.73,5.122,281.977123,12
1760841100.4817855,0.00,205.73,5.317,287.296323,12
1760841101.481463,0.00,205.73,5.157,292.451827,12
1760841102.4814343,0.00,205.73,5.193,297.644746,12
1760841103.481398,0.00,205.73,5.194,302.838581,12
1760841104.481498,1.00,205.73,5.164,308.002996,12
1760841105.4813654,0.00,205.73,5.357,313.359489,12
1760841106.4815085,0.00,205.73,5.402,318.762124,12
1760841107.4815493,0.00,205.73,5.155,323.917384,12
1760841108.4817746,0.00,205.73,5.210,329.128857,12
1760841109.4813704,0.00,205.73,5.109,334.235473,12
1760841110.481367,0.00,205.73,5.385,339.620713,12
1760841111.481366,0.00,205.73,5.183,344.803988,12
1760841112.481507,0.00,205.73,5.134,349.938313,12
1760841113.481393,0.00,205.73,5.130,355.067451,12
1760841114.4815044,0.00,205.73,5.218,360.286065,12
1760841115.4813676,1.00,205.73,5.380,365.665690,12
1760841116.4814117,0.00,205.73,5.225,370.890774,12
1760841117.4813638,0.00,205.73,5.174,376.064345,12
1760841118.481775,0.00,205.73,5.180,381.246278,12
1760841119.4813795,0.00,205.73,5.229,386.473376,12
1760841120.4813602,0.00,205.73,5.403,391.876500,12
1760841121.481381,0.00,205.73,5.188,397.064475,12
1760841122.4813619,0.00,205.73,5.219,402.282967,12
1760841123.4813604,0.00,205.73,5.154,407.437007,12
1760841124.4814553,0.00,205.73,5.176,412.613019,12
1760841125.4813588,0.00,205.73,5.366,417.978667,12
1760841126.4814594,1.00,205.73,5.204,423.182877,12
1760841127.4813569,0.00,205.73,5.199,428.381594,12
1760841128.4814787,0.00,205.73,5.129,433.511586,12
1760841129.4813817,0.00,205.73,5.004,438.514808,12
1760841130.4813876,0.00,205.73,5.271,443.786096,12
1760841131.481393,0.00,205.73,5.031,448.816967,12
1760841132.4813588,0.00,205.73,5.055,453.871641,12
1760841133.4813607,0.00,205.73,5.003,458.874680,12
1760841134.4814584,0.00,205.73,5.029,463.904635,12
1760841135.481373,0.00,205.73,5.290,469.194600,12
1760841136.4813924,1.00,205.73,4.986,474.180671,12
1760841137.481389,0.00,205.73,5.014,479.194941,12
1760841138.4813712,0.00,205.73,4.943,484.137372,12
1760841139.481778,0.00,205.73,4.939,489.078338,12
1760841140.4813616,0.00,205.73,5.380,494.456437,12
1760841141.4813557,8.00,209.73,5.026,499.482303,12
1760841142.4814417,3.00,209.73,4.976,504.459219,12
1760841143.4814696,1.00,209.73,5.793,510.252478,16
1760841144.481361,0.00,207.84,5.311,515.562401,16
1760841145.4813843,5.00,207.84,6.633,522.196051,24
1760841146.4814591,0.00,207.84,5.286,527.482415,24
1760841147.4813995,0.00,207.84,5.292,532.774576,24
1760841148.4813576,0.00,207.84,5.159,537.932888,24
1760841149.4814737,1.00,207.84,5.180,543.113478,24
1760841150.481359,0.00,207.84,5.395,548.507996,24
1760841151.4813635,0.00,207.84,5.209,553.717455,24
1760841152.481369,0.00,207.84,5.228,558.945896,24
1760841153.4815116,0.00,207.84,5.179,564.125631,24
1760841154.4813988,0.00,207.84,5.228,569.352852,24
1760841155.4813557,0.00,207.84,5.361,574.713983,24
1760841156.481357,0.00,207.84,5.148,579.861492,24
1760841157.4813724,0.00,207.84,5.249,585.110136,24
1760841158.4815078,0.00,207.84,5.175,590.286270,24
1760841159.48136,0.00,207.84,5.181,595.466188,24
1760841160.4813793,0.00,207.84,5.362,600.827808,24
1760841161.481381,1.00,207.84,5.229,606.056554,24
1760841162.4813745,0.00,207.84,5.193,611.249900,24
1760841163.4813607,0.00,207.84,5.150,616.399973,24
1760841164.4813979,0.00,207.84,5.178,621.578304,24
1760841165.4815726,0.00,207.84,5.401,626.980207,24
1760841166.4813557,0.00,207.84,5.652,632.630888,24
1760841167.4813716,0.00,207.84,5.314,637.944534,24
1760841168.481371,0.00,207.84,5.156,643.100344,24
1760841169.4813573,0.00,207.84,5.163,648.262867,24
1760841170.481358,1.00,207.84,5.354,653.617163,24
1760841171.4813573,0.00,207.84,5.275,658.892173,24
1760841172.481381,0.00,207.84,5.157,664.049387,24
1760841173.4814749,1.00,207.84,5.163,669.212826,24
1760841174.481377,0.00,207.84,5.158,674.370466,24
1760841175.481381,0.00,207.84,5.382,679.752472,24
1760841176.4813788,0.00,207.84,5.172,684.924822,24
1760841177.4813876,0.00,207.84,5.267,690.192020,24
1760841178.481461,0.00,207.84,5.173,695.365408,24
1760841179.4813569,0.00,207.84,5.164,700.528419,24
1760841180.4813592,0.00,207.84,5.352,705.880701,24
1760841181.4813588,0.00,207.84,5.251,711.131542,24
1760841182.4813576,0.00,207.84,5.149,716.280515,24
1760841183.4813612,0.00,207.84,5.187,721.467758,24
1760841184.4814906,0.00,207.84,5.169,726.637422,24
1760841185.4813678,0.00,207.84,5.410,732.046283,24
1760841186.4814143,1.00,207.84,5.202,737.248723,24
1760841187.4813662,0.00,207.84,5.196,742.444023,24
1760841188.4813654,0.00,207.84,5.197,747.641092,24
1760841189.4813967,0.00,207.84,5.213,752.854518,24
1760841190.481408,0.00,207.84,5.383,758.237195,24
1760841191.4813635,0.00,207.84,5.176,763.412963,24
1760841192.4814596,0.00,207.84,5.179,768.592759,24
1760841193.4813638,0.00,207.84,5.212,773.804111,24
1760841194.4814663,0.00,207.84,5.188,778.993062,24
1760841195.4814286,0.00,207.84,5.495,784.488287,24
1760841196.481511,0.00,207.84,5.244,789.732964,24
1760841197.481402,1.00,207.84,5.223,794.955546,24
1760841198.481391,0.00,207.84,5.181,800.136929,24
1760841199.481491,0.00,207.84,5.141,805.278517,24
1760841200.4813652,0.00,207.84,5.389,810.666382,24
1760841201.4813654,0.00,207.84,5.146,815.812853,24
1760841202.4813635,0.00,207.84,5.205,821.017735,24
1760841203.4814563,1.00,207.84,5.191,826.209189,24
1760841204.481368,0.00,207.84,5.201,831.409554,24
1760841205.481363,0.00,207.84,5.403,836.812616,24
1760841206.4813952,0.00,207.84,5.251,842.063824,24
1760841207.4814765,0.00,207.84,5.142,847.206144,24
1760841208.481486,0.00,207.84,5.238,852.444656,24
1760841209.4815016,0.00,207.84,5.154,857.598513,24
1760841210.4813676,0.00,207.84,5.456,863.053638,24
1760841211.4815257,0.00,207.84,5.179,868.233617,24
1760841212.481414,0.00,207.84,5.192,873.425194,24
1760841213.4815187,0.00,207.84,5.207,878.633005,24
1760841214.4814854,0.00,207.84,5.204,883.836666,24
1760841215.481361,0.00,207.84,5.356,889.192487,24
1760841216.481361,0.00,207.84,5.220,894.412078,24
1760841217.4813693,1.00,207.84,5.176,899.588335,24
1760841218.4814994,0.00,207.84,5.206,904.794864,24
1760841219.4815073,0.00,207.84,5.201,909.995535,24
1760841220.4817727,0.00,207.84,5.397,915.394446,24
1760841221.4813836,0.00,207.84,5.184,920.576623,24
1760841222.4813833,0.00,207.84,5.208,925.784190,24
1760841223.481389,0.00,207.84,5.209,930.993528,24
1760841224.4815624,0.00,207.84,5.071,936.065414,24
1760841225.4813643,0.00,207.84,5.298,941.362275,24
1760841226.4813654,0.00,207.84,5.448,946.810199,24
1760841227.4813645,0.00,207.84,5.471,952.280705,24
1760841228.4813707,1.00,207.84,5.082,957.362967,24
1760841229.4813688,0.00,207.84,5.066,962.429055,24
1760841230.4814825,0.00,207.84,5.246,967.675380,24
