ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760859829.148913,12.00,195.59,0.000,0.000000,4
1760859830.1489463,4.00,195.59,5.989,5.989426,8
1760859831.1489387,5.00,195.84,6.108,12.097381,12
1760859832.1489615,0.00,195.84,5.536,17.633561,12
1760859833.1490495,0.00,195.84,5.428,23.062014,12
1760859834.1489077,1.00,195.84,5.316,28.377308,12
1760859835.1490545,0.00,195.84,5.328,33.706579,12
1760859836.1489198,0.00,195.84,5.297,39.002830,12
1760859837.149176,0.00,196.09,5.503,44.506905,12
1760859838.1490097,0.00,196.09,5.373,49.878718,12
1760859839.1489077,0.00,196.09,5.366,55.244061,12
1760859840.1489077,0.00,196.09,5.303,60.546598,12
1760859841.1489086,1.00,196.09,5.279,65.826004,12
1760859842.1489074,0.00,196.09,5.480,71.306397,12
1760859843.148906,0.00,196.09,5.390,76.696032,12
1760859844.1490426,0.00,196.09,5.355,82.051792,12
1760859845.149054,0.00,196.09,5.357,87.409078,12
1760859846.149033,0.00,196.09,5.396,92.805244,12
1760859847.149049,0.00,196.09,5.534,98.338921,12
1760859848.1490653,0.00,196.09,5.608,103.946939,12
1760859849.149242,0.00,196.09,5.426,109.373622,12
1760859850.1490767,0.00,196.09,5.365,114.737988,12
1760859851.1491609,0.00,196.09,5.347,120.085142,12
1760859852.1490777,0.00,196.09,5.564,125.648727,12
1760859853.1491594,1.00,196.09,5.400,131.048859,12
1760859854.1489084,0.00,196.09,5.375,136.422075,12
1760859855.149004,0.00,196.09,5.342,141.764164,12
1760859856.1489275,0.00,196.09,5.355,147.118581,12
1760859857.1489289,0.00,196.09,5.491,152.609107,12
1760859858.1490407,0.00,196.09,5.477,158.087059,12
1760859859.1489754,0.00,196.09,5.246,163.332224,12
1760859860.1489103,0.00,196.09,5.178,168.509579,12
1760859861.1490464,0.00,196.09,5.241,173.751081,12
1760859862.1490507,0.00,196.09,5.252,179.002960,12
1760859863.1490579,0.00,196.09,5.159,184.161882,12
1760859864.1489308,0.00,196.09,5.165,189.325932,12
1760859865.1491225,1.00,196.09,5.154,194.480582,12
1760859866.1490092,1.00,196.09,5.164,199.643898,12
1760859867.149046,0.00,196.09,5.282,204.926539,12
1760859868.1489294,0.00,196.09,5.207,210.132946,12
1760859869.1489265,0.00,196.09,5.141,215.273985,12
1760859870.1489086,0.00,196.09,5.136,220.409897,12
1760859871.1489067,0.00,196.09,5.112,225.521945,12
1760859872.1489298,0.00,196.09,5.303,230.825093,12
1760859873.148925,0.00,196.09,5.160,235.984809,12
1760859874.148932,0.00,196.09,5.149,241.133721,12
1760859875.1489263,0.00,196.09,5.152,246.285808,12
1760859876.149006,0.00,196.09,5.157,251.443387,12
1760859877.148907,1.00,196.09,5.284,256.726394,12
1760859878.1490693,0.00,196.09,5.148,261.875551,12
1760859879.149047,0.00,196.09,5.074,266.949634,12
1760859880.1489272,0.00,196.09,5.163,272.111608,12
1760859881.1490521,0.00,196.09,5.135,277.246849,12
1760859882.1490483,0.00,196.09,5.271,282.518259,12
1760859883.1489193,0.00,196.09,5.302,287.819332,12
1760859884.1489284,0.00,196.09,5.148,292.967207,12
1760859885.1489205,0.00,196.09,5.167,298.134491,12
1760859886.1489282,0.00,196.09,5.123,303.257708,12
1760859887.1492577,1.00,196.09,5.315,308.574101,12
1760859888.148959,0.00,196.09,5.176,313.749014,12
1760859889.1490135,0.00,196.09,5.152,318.901528,12
1760859890.1489117,0.00,196.09,5.147,324.047694,12
1760859891.14891,0.00,196.09,5.142,329.189648,12
1760859892.1490035,1.00,196.09,5.379,334.569029,12
1760859893.149237,0.00,196.09,5.154,339.724228,12
1760859894.1490543,0.00,196.09,5.137,344.860201,12
1760859895.1490493,1.00,196.09,5.139,349.998921,12
1760859896.1491215,0.00,196.09,5.148,355.147773,12
1760859897.1490545,0.00,196.09,5.346,360.493828,12
1760859898.1489258,0.00,196.09,5.159,365.652201,12
1760859899.1489048,0.00,196.09,5.183,370.835233,12
1760859900.1489909,0.00,196.09,5.165,376.000381,12
1760859901.1493027,0.00,196.09,5.140,381.141786,12
1760859902.148945,0.00,196.09,5.332,386.471667,12
1760859903.148943,0.00,196.09,5.195,391.666722,12
1760859904.1489944,0.00,196.09,5.212,396.879111,12
1760859905.1489584,0.00,196.09,5.173,402.051583,12
1760859906.1489143,0.00,196.09,5.185,407.236568,12
1760859907.1489234,0.00,196.09,5.288,412.524945,12
1760859908.148948,1.00,196.09,5.235,417.759734,12
1760859909.1489348,0.00,196.09,5.173,422.933000,12
1760859910.1490123,0.00,196.09,5.148,428.081363,12
1760859911.1489074,0.00,196.09,5.089,433.170278,12
1760859912.149013,0.00,196.09,5.273,438.443824,12
1760859913.1490512,0.00,196.09,5.112,443.555628,12
1760859914.1489255,0.00,196.09,5.078,448.633190,12
1760859915.1489296,0.00,196.09,5.182,453.814818,12
1760859916.1491487,0.00,196.09,5.059,458.875107,12
1760859917.1490445,0.00,196.09,5.130,464.004489,12
1760859918.1489067,0.00,196.09,5.013,469.016317,12
1760859919.1489093,1.00,196.09,4.968,473.984261,12
1760859920.1489093,0.00,196.09,4.990,478.974055,12
1760859921.1492488,0.00,196.09,4.978,483.953351,12
1760859922.1492703,0.00,196.09,5.090,489.043853,12
1760859923.1489255,0.00,196.09,5.346,494.388383,12
1760859924.14922,18.00,206.34,5.099,499.489261,12
1760859925.149007,2.00,206.59,5.620,505.108265,16
1760859926.1489272,1.00,206.59,5.357,510.464392,16
1760859927.1489422,3.00,197.87,5.730,516.194785,20
1760859928.1489222,4.00,197.87,5.836,522.030952,24
1760859929.1489272,0.00,197.87,5.702,527.733207,24
1760859930.1489058,0.00,197.87,5.198,532.931314,24
1760859931.1490083,0.00,197.87,5.181,538.112453,24
1760859932.1489496,0.00,197.87,5.330,543.441785,24
1760859933.1489222,1.00,197.87,5.246,548.687499,24
1760859934.1489084,0.00,197.87,5.163,553.850328,24
1760859935.1489122,0.00,197.87,5.206,559.056491,24
1760859936.1489239,0.00,197.87,5.240,564.296835,24
1760859937.1490045,0.00,197.87,5.353,569.650642,24
1760859938.148906,0.00,197.87,5.201,574.850885,24
1760859939.14891,0.00,197.87,5.223,580.074382,24
1760859940.1489255,0.00,197.87,5.155,585.229276,24
1760859941.1489058,1.00,197.87,5.163,590.392349,24
1760859942.1490538,0.00,197.87,5.341,595.734376,24
1760859943.1489084,0.00,197.87,5.203,600.936267,24
1760859944.1489308,0.00,197.87,5.193,606.129125,24
1760859945.1489267,0.00,197.87,5.176,611.304771,24
1760859946.149224,0.00,197.87,5.165,616.471750,24
1760859947.149065,0.00,197.87,5.486,621.957148,24
