ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760864271.561539,0,19.629,0.000000,0.000000,4,2,1414,47
1760864272.561561,1,26.660,37.881000,37.881000,13,11,1982,48
1760864273.561673,2,28.061,36.974000,74.855000,7,7,2550,49
1760864274.561534,3,28.074,36.654000,111.509000,6,7,2550,49
1760864275.561544,4,27.546,36.812000,148.321000,7,7,2550,50
1760864276.561519,5,27.606,37.136000,185.457000,6,7,2540,50
1760864277.561546,6,27.663,37.227000,222.684000,7,7,2540,50
1760864278.561620,7,27.597,37.450000,260.134000,6,7,2540,50
1760864279.561746,8,27.641,37.708000,297.842000,7,7,2540,51
1760864280.561546,9,27.683,38.131000,335.973000,6,7,2540,51
1760864281.561537,10,27.738,38.045000,374.018000,7,7,2540,51
1760864282.561557,11,27.791,38.330000,412.348000,7,7,2540,51
1760864283.561515,12,27.856,38.607000,450.955000,7,7,2540,51
1760864284.561624,13,27.852,38.720000,489.675000,7,7,2540,51
1760864285.561539,14,27.842,39.057000,528.732000,6,6,2540,52
1760864286.561535,15,27.894,30.603000,559.335000,6,6,2540,52
1760864287.561548,16,27.925,30.641000,589.976000,6,6,2540,52
1760864288.561547,17,27.925,30.640000,620.616000,7,7,2540,52
1760864289.561536,18,27.967,30.701000,651.317000,7,7,2540,52
1760864290.561565,19,27.996,30.736000,682.053000,7,7,2540,52
1760864291.561548,20,28.036,30.786000,712.839000,7,7,2540,52
1760864292.561537,21,28.007,30.746000,743.585000,6,6,2540,53
1760864293.561514,22,27.935,30.718000,774.303000,7,7,2540,53
1760864294.561637,23,28.024,30.779000,805.082000,7,7,2540,53
1760864295.561535,24,28.035,30.775000,835.857000,7,7,2540,53
1760864296.561546,25,28.028,30.764000,866.621000,7,7,2540,53
1760864297.561535,26,28.015,33.524000,900.145000,6,6,2540,53
1760864298.561537,27,28.069,28.412000,928.557000,6,7,2540,53
1760864299.561517,28,28.127,28.431000,956.988000,6,7,2540,53
1760864300.561518,29,28.099,28.569000,985.557000,6,6,2540,53
1760864301.561614,30,28.159,28.575000,1014.132000,8,7,2540,53
1760864302.561541,31,28.252,28.811000,1042.943000,6,7,2540,53
1760864303.561558,32,28.214,29.159000,1072.102000,7,7,2540,53
1760864304.561531,33,28.181,29.326000,1101.428000,7,7,2540,54
1760864305.561635,34,28.183,29.627000,1131.055000,6,6,2540,54
1760864306.561748,35,28.247,29.633000,1160.688000,6,6,2540,54
1760864307.561554,36,28.267,30.352000,1191.040000,6,7,2540,54
1760864308.561543,37,28.224,30.229000,1221.269000,7,7,2540,54
1760864309.561826,38,28.275,30.322000,1251.591000,7,7,2540,54
1760864310.561540,39,28.317,30.546000,1282.137000,7,7,2540,54
1760864311.561938,40,28.288,30.449000,1312.586000,7,7,2540,54
1760864312.561518,41,28.314,30.818000,1343.404000,6,6,2540,54
1760864313.561529,42,28.274,30.748000,1374.152000,6,6,2540,54
1760864314.561521,43,28.338,31.009000,1405.161000,7,7,2540,54
1760864315.561514,44,28.388,31.178000,1436.339000,7,7,2540,54
1760864316.561529,45,28.279,31.282000,1467.621000,7,7,2540,54
1760864317.561559,46,28.258,31.540000,1499.161000,6,6,2540,54
1760864318.561536,47,28.292,31.807000,1530.968000,6,6,2540,55
1760864319.561727,48,28.354,31.995000,1562.963000,6,6,2540,54
1760864320.561528,49,28.383,32.220000,1595.183000,7,7,2540,54
1760864321.561519,50,28.299,32.500000,1627.683000,7,7,2540,55
1760864322.561620,51,28.436,32.639000,1660.322000,7,7,2540,55
1760864323.561532,52,28.370,32.791000,1693.113000,7,7,2540,55
1760864324.561519,53,28.385,32.934000,1726.047000,7,7,2540,55
1760864325.561536,54,28.377,33.192000,1759.239000,6,7,2540,55
1760864326.561535,55,28.429,33.373000,1792.612000,7,7,2540,55
1760864327.561535,56,28.473,33.477000,1826.089000,7,7,2540,55
1760864328.561559,57,28.370,33.724000,1859.813000,6,7,2540,55
1760864329.561614,58,28.417,33.989000,1893.802000,6,6,2540,55
1760864330.561539,59,28.496,34.274000,1928.076000,6,6,2540,55
1760864331.561532,60,28.450,34.362000,1962.438000,7,7,2540,55
1760864332.561555,61,28.470,34.534000,1996.972000,6,7,2540,55
1760864333.561519,62,28.468,34.659000,2031.631000,7,7,2540,55
1760864334.561542,63,28.520,34.911000,2066.542000,7,7,2540,55
1760864335.561518,64,28.484,35.278000,2101.820000,6,6,2540,55
1760864336.561519,65,28.491,35.309000,2137.129000,7,7,2540,55
1760864337.561536,66,28.477,35.465000,2172.594000,7,7,2540,55
1760864338.561529,67,28.523,35.736000,2208.330000,7,7,2540,55
1760864339.561545,68,28.501,35.860000,2244.190000,7,7,2540,55
1760864340.561612,69,28.419,36.058000,2280.248000,6,7,2540,55
1760864341.561539,70,28.497,36.316000,2316.564000,7,7,2540,55
1760864342.561837,71,28.517,36.498000,2353.062000,6,7,2540,55
1760864343.561533,72,28.456,36.902000,2389.964000,7,7,2540,55
1760864344.561656,73,28.480,36.807000,2426.771000,6,7,2540,55
1760864345.561620,74,28.528,31.215000,2457.986000,6,7,2540,55
1760864346.561556,75,28.502,31.328000,2489.314000,7,7,2540,55
1760864347.561620,76,28.500,31.251000,2520.565000,6,7,2540,55
1760864348.561515,77,28.521,31.193000,2551.758000,7,7,2540,55
1760864349.561561,78,28.591,31.260000,2583.018000,7,7,2540,55
1760864350.561535,79,28.572,31.244000,2614.262000,7,7,2540,55
1760864351.561623,80,28.543,31.367000,2645.629000,5,6,2540,56
1760864352.561528,81,28.527,31.241000,2676.870000,7,7,2540,55
1760864353.561627,82,28.477,30.902000,2707.772000,7,7,2540,56
1760864354.561521,83,27.691,30.208000,2737.980000,5,5,2540,55
1760864355.561539,84,27.418,30.273000,2768.253000,5,5,2540,55
1760864356.561537,85,27.573,29.514000,2797.767000,6,6,2540,55
1760864357.561539,86,26.568,29.615000,2827.382000,5,6,2540,55
1760864358.561529,87,26.822,29.476000,2856.858000,4,5,2540,55
1760864359.561515,88,26.765,29.452000,2886.310000,4,5,2540,55
1760864360.561557,89,26.503,29.342000,2915.652000,3,4,2540,55
1760864361.561520,90,26.315,29.453000,2945.105000,3,4,2540,55
1760864362.561629,91,26.372,29.936000,2975.041000,3,5,2650,55
1760864363.561921,92,26.284,29.861000,3004.902000,3,5,2650,55
1760864364.561648,93,26.180,30.057000,3034.959000,3,5,2650,55
1760864365.561603,94,26.252,30.346000,3065.305000,3,4,2042,55
1760864366.561520,95,26.501,31.248000,3096.553000,8,6,2082,55
1760864367.561515,96,26.977,31.165000,3127.718000,3,5,2650,56
1760864368.561542,97,26.974,31.575000,3159.293000,4,5,2082,56
1760864369.561563,98,27.224,32.337000,3191.630000,9,7,1648,56
1760864370.561515,99,29.022,34.106000,3225.736000,9,7,1972,56
1760864371.561531,100,28.553,33.665000,3259.401000,6,7,2243,56
1760864372.561518,101,29.238,34.293000,3293.694000,8,7,2540,56
1760864373.561517,102,28.575,33.859000,3327.553000,7,7,2540,56
1760864374.561537,103,28.621,34.121000,3361.674000,7,7,2540,56
1760864375.561541,104,28.604,34.287000,3395.961000,6,7,2540,56
1760864376.561620,105,28.583,34.416000,3430.377000,6,7,2540,56
1760864377.561546,106,28.601,34.721000,3465.098000,7,7,2540,56
1760864378.561537,107,28.611,34.803000,3499.901000,7,7,2540,56
1760864379.561536,108,28.686,35.158000,3535.059000,7,7,2540,56
1760864380.561544,109,28.604,35.219000,3570.278000,7,7,2540,56
1760864381.561727,110,28.548,35.477000,3605.755000,6,6,2540,56
1760864382.561555,111,28.602,35.671000,3641.426000,6,7,2540,56
1760864383.561538,112,28.626,35.798000,3677.224000,6,7,2540,56
1760864384.561632,113,28.650,35.972000,3713.196000,7,7,2540,56
1760864385.561631,114,28.587,36.283000,3749.479000,6,7,2540,56
1760864386.561743,115,28.630,36.499000,3785.978000,6,6,2540,56
1760864387.561521,116,28.588,36.781000,3822.759000,6,6,2540,56
1760864388.561553,117,28.509,36.606000,3859.365000,5,6,2540,56
1760864389.561540,118,28.625,36.916000,3896.281000,7,7,2540,56
1760864390.561530,119,28.658,37.124000,3933.405000,7,7,2540,56
1760864391.561557,120,28.816,37.482000,3970.887000,12,9,2556,56
1760864392.561547,121,28.772,37.644000,4008.531000,12,10,2559,56
1760864393.561513,122,28.660,37.718000,4046.249000,7,8,2559,56
1760864394.561476,123,28.691,37.919000,4084.168000,7,7,2557,56
1760864395.561618,124,28.726,38.149000,4122.317000,7,7,2557,56
1760864396.561564,125,28.647,38.340000,4160.657000,7,7,2557,56
1760864397.561539,126,28.643,38.494000,4199.151000,6,7,2542,56
1760864398.561539,127,28.608,38.689000,4237.840000,6,6,2542,56
1760864399.561523,128,28.687,39.001000,4276.841000,6,7,2542,56
1760864400.561543,129,28.658,39.013000,4315.854000,7,7,2542,56
1760864401.561514,130,28.579,39.242000,4355.096000,7,7,2542,56
1760864402.561657,131,28.684,39.388000,4394.484000,7,7,2542,56
1760864403.561534,132,28.605,39.638000,4434.122000,6,7,2542,56
1760864404.561533,133,28.617,39.768000,4473.890000,6,7,2542,56
1760864405.561543,134,28.685,31.368000,4505.258000,7,7,2542,56
1760864406.561536,135,28.722,31.417000,4536.675000,7,7,2542,56
1760864407.561545,136,28.737,31.442000,4568.117000,7,7,2542,56
1760864408.561547,137,28.577,31.368000,4599.485000,7,7,2542,56
1760864409.561514,138,28.705,31.439000,4630.924000,6,6,2542,56
1760864410.561529,139,28.710,31.438000,4662.362000,6,7,2542,56
1760864411.561514,140,28.645,31.297000,4693.659000,6,7,2542,56
1760864412.561538,141,28.652,31.408000,4725.067000,7,7,2542,56
1760864413.561517,142,28.587,31.378000,4756.445000,6,7,2542,56
1760864414.561536,143,28.604,31.382000,4787.827000,6,6,2542,56
1760864415.561522,144,28.613,31.377000,4819.204000,6,6,2542,56
1760864416.561545,145,28.615,31.403000,4850.607000,7,7,2542,56
1760864417.561531,146,28.700,31.503000,4882.110000,7,7,2542,56
1760864418.561521,147,28.734,31.505000,4913.615000,7,7,2542,56
1760864419.561514,148,28.669,31.579000,4945.194000,7,7,2542,56
1760864420.561539,149,28.641,31.688000,4976.882000,6,7,2542,56
1760864421.561515,150,28.647,32.291000,5009.173000,6,7,2542,56
1760864422.561530,151,28.703,32.450000,5041.623000,7,7,2542,56
1760864423.561522,152,28.576,32.412000,5074.035000,7,7,2542,56
1760864424.561542,153,28.607,32.640000,5106.675000,6,7,2542,56
1760864425.561617,154,28.649,32.864000,5139.539000,6,7,2542,56
1760864426.561537,155,28.665,32.963000,5172.502000,6,6,2542,56
1760864427.561532,156,28.593,33.181000,5205.683000,6,7,2542,56
1760864428.561521,157,28.676,33.309000,5238.992000,7,7,2542,56
1760864429.561525,158,28.662,33.652000,5272.644000,7,7,2542,56
1760864430.561544,159,28.683,33.511000,5306.155000,6,7,2542,56
1760864431.561531,160,28.607,33.605000,5339.760000,6,6,2542,56
1760864432.561530,161,28.648,33.867000,5373.627000,7,7,2542,56
1760864433.561547,162,28.683,34.155000,5407.782000,7,7,2542,56
1760864434.561532,163,28.697,34.313000,5442.095000,7,7,2542,56
1760864435.561546,164,28.636,34.443000,5476.538000,7,7,2542,56
1760864436.561519,165,28.621,34.733000,5511.271000,6,6,2542,56
1760864437.561540,166,28.714,34.925000,5546.196000,6,7,2542,56
1760864438.561516,167,28.686,35.048000,5581.244000,6,7,2542,56
1760864439.561545,168,28.692,35.197000,5616.441000,7,7,2542,56
1760864440.561538,169,28.609,35.425000,5651.866000,6,7,2542,56
1760864441.561542,170,28.665,35.669000,5687.535000,6,6,2542,56
1760864442.561551,171,28.667,35.753000,5723.288000,6,7,2542,56
1760864443.561548,172,28.596,35.932000,5759.220000,6,7,2542,56
1760864444.561637,173,28.708,36.269000,5795.489000,7,7,2542,56
1760864445.561640,174,28.698,36.382000,5831.871000,7,7,2542,56
1760864446.561750,175,28.683,36.583000,5868.454000,7,7,2542,56
1760864447.561541,176,28.628,36.797000,5905.251000,6,6,2542,56
1760864448.561559,177,28.667,36.950000,5942.201000,7,7,2542,56
1760864449.561515,178,28.363,36.457000,5978.658000,7,7,2542,56
1760864450.561546,179,26.932,35.160000,6013.818000,5,5,2542,56
1760864451.561514,180,27.257,37.324000,6051.142000,6,6,2542,56
1760864452.561552,181,29.077,37.578000,6088.720000,11,9,2542,56
1760864453.561540,182,27.517,36.750000,6125.470000,6,6,2542,56
