ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760872413.8028328,23.00,361.73,0.000,0.000000,4
1760872414.8028247,3.00,361.73,6.103,6.102767,8
1760872415.802895,10.00,352.60,6.173,12.276274,12
1760872416.8028207,0.00,352.60,5.443,17.718521,12
1760872417.802818,1.00,352.60,5.470,23.188112,12
1760872418.8031971,0.00,352.60,5.626,28.816027,12
1760872419.802815,0.00,352.60,5.491,34.305271,12
1760872420.8028297,0.00,352.60,5.433,39.738606,12
1760872421.802819,0.00,352.60,5.380,45.118964,12
1760872422.80281,1.00,352.60,5.410,50.528435,12
1760872423.8027978,0.00,352.60,5.646,56.174844,12
1760872424.8028195,0.00,352.60,5.419,61.593592,12
1760872425.802795,0.00,352.60,5.413,67.006664,12
1760872426.8028162,0.00,352.60,5.442,72.449094,12
1760872427.802815,0.00,352.60,5.431,77.879805,12
1760872428.8027995,0.00,352.60,5.609,83.488800,12
1760872429.8029823,0.00,352.60,5.465,88.955155,12
1760872430.8028145,1.00,352.60,5.508,94.462038,12
1760872431.8028126,0.00,352.60,5.470,99.931873,12
1760872432.802823,0.00,352.60,5.438,105.369908,12
1760872433.8028204,0.00,352.60,5.642,111.011434,12
1760872434.802839,0.00,352.60,5.432,116.443122,12
1760872435.8028383,0.00,352.60,5.497,121.940239,12
1760872436.8028946,0.00,352.60,5.458,127.398477,12
1760872437.8028898,0.00,352.60,5.443,132.841273,12
1760872438.8030636,0.00,352.60,5.626,138.468456,12
1760872439.802819,0.00,352.60,5.504,143.970762,12
1760872440.8028193,0.00,352.60,5.470,149.440413,12
1760872441.8028219,1.00,352.60,5.475,154.915130,12
1760872442.802809,0.00,352.60,5.572,160.486955,12
1760872443.8028908,0.00,352.60,5.695,166.182008,12
1760872444.8029075,0.00,352.60,5.173,171.355518,12
1760872445.8029046,0.00,352.60,5.145,176.500769,12
1760872446.8029468,0.00,352.60,5.174,181.675255,12
1760872447.8028111,0.00,352.60,5.126,186.800425,12
1760872448.803213,0.00,352.60,5.320,192.122799,12
1760872449.802821,0.00,352.60,5.193,197.313276,12
1760872450.802839,0.00,352.60,5.162,202.475311,12
1760872451.802825,1.00,352.60,5.204,207.679583,12
1760872452.8027961,0.00,352.60,5.111,212.790043,12
1760872453.8028376,0.00,352.60,5.325,218.114798,12
1760872454.8028166,0.00,352.60,5.156,223.271035,12
1760872455.8028111,0.00,352.60,5.162,228.432642,12
1760872456.8028202,0.00,352.60,5.125,233.557935,12
1760872457.8027987,1.00,352.60,5.124,238.681335,12
1760872458.802912,0.00,352.60,5.381,244.062607,12
1760872459.8028157,0.00,352.60,5.172,249.234164,12
1760872460.802817,0.00,352.60,5.150,254.384053,12
1760872461.8029113,0.00,352.60,5.195,259.579047,12
1760872462.8030775,0.00,352.60,5.175,264.755303,12
1760872463.802816,0.00,352.60,5.367,270.120768,12
1760872464.8028202,0.00,352.60,5.162,275.282437,12
1760872465.8027961,0.00,352.60,5.230,280.512160,12
1760872466.8028193,1.00,352.60,5.163,285.675111,12
1760872467.8028965,0.00,352.60,5.197,290.872485,12
1760872468.803134,0.00,352.60,5.398,296.271519,12
1760872469.8028183,0.00,352.60,5.213,301.482871,12
1760872470.8028286,0.00,352.60,5.214,306.696663,12
1760872471.802839,1.00,352.60,5.244,311.940485,12
1760872472.8028197,0.00,352.60,5.212,317.151959,12
1760872473.80283,0.00,352.60,5.373,322.524687,12
1760872474.8029375,0.00,352.60,5.199,327.724258,12
1760872475.8027942,0.00,352.60,5.163,332.886232,12
1760872476.8028948,0.00,352.60,5.196,338.083241,12
1760872477.8028266,0.00,352.60,5.285,343.367529,12
1760872478.8029366,1.00,352.60,5.347,348.715049,12
1760872479.8027961,0.00,352.60,5.149,353.863108,12
1760872480.8028169,0.00,352.60,5.184,359.046749,12
1760872481.8028255,0.00,352.60,5.249,364.296186,12
1760872482.8028314,0.00,352.60,5.162,369.458099,12
1760872483.802817,0.00,352.60,5.376,374.834489,12
1760872484.802801,0.00,352.60,5.196,380.030765,12
1760872485.8028169,0.00,352.60,5.179,385.210317,12
1760872486.8028176,0.00,352.60,5.248,390.458595,12
1760872487.8028393,1.00,352.60,5.195,395.654199,12
1760872488.8028183,0.00,352.60,5.391,401.045055,12
1760872489.802816,0.00,352.60,5.252,406.296689,12
1760872490.8032398,0.00,352.60,5.187,411.485397,12
1760872491.8028846,0.00,352.60,5.205,416.688081,12
1760872492.8027987,0.00,352.60,5.184,421.871600,12
1760872493.8027985,0.00,352.60,5.313,427.184819,12
1760872494.8029218,0.00,352.60,5.191,432.376517,12
1760872495.8031573,0.00,352.60,5.130,437.507547,12
1760872496.8028429,0.00,352.60,5.025,442.530483,12
1760872497.8031204,0.00,352.60,5.073,447.604872,12
1760872498.802854,1.00,352.60,5.209,452.812744,12
1760872499.8028297,0.00,352.60,5.030,457.843005,12
1760872500.8028302,0.00,352.60,5.040,462.883275,12
1760872501.8028412,0.00,352.60,5.063,467.945884,12
1760872502.8028035,0.00,352.60,4.973,472.919016,12
1760872503.8029106,0.00,352.60,5.149,478.068478,12
1760872504.8027995,0.00,352.60,4.997,483.065047,12
1760872505.802803,0.00,352.60,4.916,487.981417,12
1760872506.8028007,0.00,352.60,4.860,492.841817,12
1760872507.8028834,0.00,352.60,5.375,498.217291,12
1760872508.8028975,2.00,353.35,5.285,503.501885,12
1760872509.8028195,4.00,353.35,5.205,508.706400,16
1760872510.80291,0.00,353.35,5.628,514.334743,16
1760872511.8028204,0.00,353.35,5.329,519.663281,16
1760872512.8029082,2.00,353.60,5.790,525.454221,20
1760872513.80283,3.00,353.60,6.116,531.569928,24
1760872514.8028202,1.00,353.60,5.285,536.855376,24
1760872515.802814,0.00,353.60,5.235,542.090165,24
1760872516.8028944,0.00,353.60,5.179,547.269351,24
1760872517.8028142,0.00,353.60,5.216,552.485341,24
1760872518.8031056,0.00,353.60,5.390,557.876990,24
1760872519.8032205,0.00,353.60,5.214,563.091515,24
1760872520.8029146,0.00,353.60,5.209,568.299082,24
1760872521.8027983,0.00,353.60,5.171,573.469357,24
1760872522.8029048,0.00,353.60,5.221,578.691389,24
1760872523.8028142,0.00,353.60,5.386,584.076813,24
1760872524.8028176,0.00,353.60,5.202,589.278887,24
1760872525.8029082,0.00,353.60,5.181,594.459904,24
1760872526.802819,0.00,353.60,5.191,599.650564,24
1760872527.8028188,0.00,353.60,5.256,604.906471,24
1760872528.802812,1.00,353.60,5.355,610.261133,24
1760872529.802989,1.00,353.60,5.229,615.491161,24
1760872530.8028276,0.00,353.60,5.200,620.690366,24
1760872531.8027942,0.00,353.60,5.229,625.919540,24
1760872532.802925,0.00,353.60,5.375,631.295686,24
1760872533.8028405,0.00,353.60,5.725,637.020647,24
1760872534.802818,0.00,353.60,5.257,642.277103,24
1760872535.8028154,0.00,353.60,5.253,647.529775,24
1760872536.8028,1.00,353.60,5.189,652.719154,24
1760872537.8029082,0.00,353.60,5.206,657.925500,24
1760872538.8029182,0.00,353.60,5.381,663.306346,24
1760872539.8029375,0.00,353.60,5.214,668.520078,24
1760872540.8028178,0.00,353.60,5.211,673.730514,24
1760872541.8028212,0.00,353.60,5.198,678.928315,24
1760872542.8027964,0.00,353.60,5.281,684.209491,24
1760872543.8028967,0.00,353.60,5.458,689.668095,24
1760872544.8028002,0.00,353.60,5.216,694.883963,24
1760872545.8028178,0.00,353.60,5.195,700.078835,24
1760872546.8028307,0.00,353.60,5.229,705.307764,24
1760872547.8028128,0.00,353.60,5.232,710.539990,24
1760872548.8027983,1.00,353.60,5.387,715.927366,24
1760872549.8033202,0.00,353.60,5.208,721.137680,24
1760872550.8028896,0.00,353.60,5.182,726.317293,24
1760872551.8028128,0.00,353.60,5.210,731.526447,24
1760872552.802795,0.00,353.60,5.166,736.692206,24
1760872553.8032837,1.00,353.60,5.423,742.118217,24
1760872554.802798,0.00,353.60,5.184,747.300150,24
1760872555.803003,0.00,353.60,5.199,752.499843,24
1760872556.802901,0.00,353.60,5.123,757.622328,24
1760872557.8029366,0.00,353.60,5.190,762.812866,24
1760872558.8028154,0.00,353.60,5.348,768.160021,24
1760872559.8027964,0.00,353.60,5.286,773.446079,24
1760872560.802818,0.00,353.60,5.206,778.651998,24
1760872561.8028193,0.00,353.60,5.225,783.876899,24
1760872562.8029065,0.00,353.60,5.220,789.097711,24
1760872563.802797,0.00,353.60,5.429,794.526103,24
1760872564.8030965,1.00,353.60,5.194,799.722135,24
