ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760866860.580748,0,20.784,0.000000,0.000000,3,2,1413,48
1760866861.580762,1,27.602,33.055000,33.055000,13,11,1981,49
1760866862.580772,2,28.017,32.245000,65.300000,6,6,2549,50
1760866863.580837,3,27.962,31.793000,97.093000,6,7,2549,50
1760866864.580756,4,27.601,32.193000,129.286000,6,6,2549,50
1760866865.580765,5,27.589,32.298000,161.584000,6,6,2543,50
1760866866.580809,6,27.661,32.539000,194.123000,7,7,2543,51
1760866867.580755,7,27.712,32.938000,227.061000,7,7,2543,51
1760866868.580756,8,27.783,33.020000,260.081000,7,7,2543,51
1760866869.580771,9,27.748,33.164000,293.245000,7,7,2543,51
1760866870.580861,10,27.695,33.314000,326.559000,6,6,2543,51
1760866871.580781,11,27.745,33.667000,360.226000,6,7,2543,51
1760866872.580755,12,27.809,34.154000,394.380000,6,6,2543,52
1760866873.580761,13,27.838,34.077000,428.457000,6,6,2543,52
1760866874.580763,14,27.861,34.308000,462.765000,7,7,2543,52
1760866875.580802,15,27.961,34.604000,497.369000,7,7,2543,52
1760866876.580753,16,27.966,34.771000,532.140000,7,7,2543,52
1760866877.580839,17,27.973,34.862000,567.002000,7,7,2543,52
1760866878.580764,18,27.908,35.247000,602.249000,7,7,2543,52
1760866879.580739,19,28.028,35.501000,637.750000,6,7,2543,53
1760866880.580939,20,28.061,35.476000,673.226000,7,7,2543,53
1760866881.581148,21,28.040,35.900000,709.126000,7,7,2543,53
1760866882.580755,22,28.016,36.268000,745.394000,6,7,2543,53
1760866883.580765,23,28.023,36.118000,781.512000,6,6,2543,53
1760866884.580742,24,28.097,36.394000,817.906000,6,6,2543,53
1760866885.580762,25,28.024,36.474000,854.380000,6,6,2543,53
1760866886.580755,26,28.067,36.784000,891.164000,7,7,2543,53
1760866887.580889,27,28.181,37.064000,928.228000,7,7,2543,53
1760866888.580867,28,28.182,37.343000,965.571000,7,7,2543,53
1760866889.580760,29,28.131,37.426000,1002.997000,7,7,2543,53
1760866890.580739,30,28.159,37.671000,1040.668000,6,7,2543,54
1760866891.581127,31,28.236,37.786000,1078.454000,6,7,2543,54
1760866892.580744,32,28.219,38.297000,1116.751000,6,7,2543,54
1760866893.580759,33,28.163,38.025000,1154.776000,7,7,2543,54
1760866894.580765,34,28.179,38.352000,1193.128000,6,7,2543,54
1760866895.580761,35,28.230,38.666000,1231.794000,6,7,2543,54
1760866896.580843,36,28.212,38.781000,1270.575000,6,7,2543,54
1760866897.580846,37,28.239,39.085000,1309.660000,6,7,2543,54
1760866898.580874,38,28.272,39.283000,1348.943000,7,7,2543,54
1760866899.580849,39,28.359,39.517000,1388.460000,7,7,2543,54
1760866900.580767,40,28.332,31.044000,1419.504000,7,7,2543,54
1760866901.580739,41,28.266,31.053000,1450.557000,7,7,2543,54
1760866902.580760,42,28.298,31.056000,1481.613000,6,7,2543,54
1760866903.580842,43,28.273,31.111000,1512.724000,6,6,2543,54
1760866904.580739,44,28.363,31.086000,1543.810000,6,6,2543,54
1760866905.580763,45,28.360,31.100000,1574.910000,7,7,2543,55
1760866906.580748,46,28.350,31.126000,1606.036000,7,7,2543,54
1760866907.580755,47,28.413,31.218000,1637.254000,7,7,2543,55
1760866908.580974,48,28.357,31.218000,1668.472000,6,7,2543,55
1760866909.580754,49,28.413,31.116000,1699.588000,6,6,2543,55
1760866910.580739,50,28.424,31.147000,1730.735000,7,7,2543,55
1760866911.580742,51,28.487,34.000000,1764.735000,7,7,2543,55
1760866912.580759,52,28.530,28.796000,1793.531000,7,7,2543,55
1760866913.580756,53,28.387,28.659000,1822.190000,6,7,2543,55
1760866914.580756,54,28.356,28.820000,1851.010000,6,7,2543,55
1760866915.580739,55,28.397,28.894000,1879.904000,5,6,2543,55
1760866916.580753,56,28.421,28.988000,1908.892000,6,6,2543,55
1760866917.580860,57,28.406,29.238000,1938.130000,7,7,2543,55
1760866918.580854,58,28.433,29.648000,1967.778000,7,7,2543,55
1760866919.580739,59,28.471,29.774000,1997.552000,6,7,2543,55
1760866920.580740,60,28.424,29.879000,2027.431000,6,6,2543,55
1760866921.580846,61,28.465,30.038000,2057.469000,7,7,2543,55
1760866922.580773,62,28.516,30.696000,2088.165000,7,7,2543,55
1760866923.580741,63,28.534,30.706000,2118.871000,7,7,2543,55
1760866924.580762,64,28.556,30.681000,2149.552000,7,7,2543,55
1760866925.580761,65,28.442,30.888000,2180.440000,6,7,2543,55
1760866926.580739,66,28.494,28.784000,2209.224000,6,7,2543,55
1760866927.580760,67,28.520,28.920000,2238.144000,5,6,2543,55
1760866928.580756,68,28.516,29.024000,2267.168000,6,6,2543,55
1760866929.580763,69,28.465,29.352000,2296.520000,7,7,2543,55
1760866930.580763,70,28.538,29.569000,2326.089000,6,7,2543,55
1760866931.580764,71,28.478,29.750000,2355.839000,6,7,2543,55
1760866932.580787,72,28.454,29.884000,2385.723000,6,6,2543,55
1760866933.580763,73,28.427,30.061000,2415.784000,7,7,2543,55
1760866934.580717,74,28.539,30.362000,2446.146000,7,7,2543,55
1760866935.580859,75,28.576,30.532000,2476.678000,7,7,2543,55
