ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760826020.2205513,24.00,159.64,0.000,0.000000,4
1760826021.2205737,17.00,159.89,6.456,6.456588,8
1760826022.2204723,16.00,159.89,6.288,12.743803,12
1760826023.2205625,0.00,159.89,5.491,18.235244,12
1760826024.220659,0.00,159.89,5.319,23.554872,12
1760826025.2205648,0.00,159.89,5.316,28.870288,12
1760826026.2205663,0.00,159.89,5.374,34.244298,12
1760826027.2205405,0.00,159.89,5.306,39.549765,12
1760826028.2208416,0.00,159.89,5.496,45.047187,12
1760826029.2205563,1.00,159.89,5.310,50.355951,12
1760826030.220571,0.00,159.89,5.286,55.642009,12
1760826031.2205586,0.00,159.89,5.313,60.954617,12
1760826032.2205522,0.00,159.89,5.322,66.276930,12
1760826033.2205667,0.00,159.89,5.695,71.972228,12
1760826034.2205667,0.00,159.89,5.360,77.332627,12
1760826035.2205448,0.00,159.89,5.367,82.699801,12
1760826036.2205412,0.00,159.89,5.275,87.974995,12
1760826037.220543,1.00,159.89,5.329,93.303961,12
1760826038.2205343,0.00,159.89,5.498,98.802360,12
1760826039.2205527,0.00,159.89,5.299,104.101785,12
1760826040.2205346,0.00,159.89,5.375,109.477137,12
1760826041.2206178,0.00,159.89,5.360,114.837536,12
1760826042.2208004,0.00,159.89,5.322,120.160337,12
1760826043.2204487,0.00,159.89,5.504,125.662276,12
1760826044.2204185,0.00,159.89,5.328,130.989655,12
1760826045.220416,0.00,159.89,5.369,136.358172,12
1760826046.2204165,0.00,159.89,5.349,141.706913,12
1760826047.2204168,1.00,159.89,5.366,147.072561,12
1760826048.220419,1.00,159.89,5.533,152.605079,12
1760826049.220434,0.00,159.89,5.335,157.940209,12
1760826050.220416,0.00,159.89,5.384,163.323801,12
1760826051.220439,0.00,159.89,5.345,168.669246,12
1760826052.2204165,0.00,159.89,5.309,173.978559,12
1760826053.2204158,0.00,159.89,5.562,179.540495,12
1760826054.2204156,0.00,159.89,5.364,184.904678,12
1760826055.2204192,0.00,159.89,5.408,190.312685,12
1760826056.220432,0.00,159.89,5.376,195.689136,12
1760826057.2204306,1.00,159.89,5.308,200.997350,12
1760826058.2204266,0.00,159.89,5.532,206.529745,12
1760826059.2204318,0.00,159.89,5.412,211.941841,12
1760826060.220431,0.00,159.89,5.381,217.322808,12
1760826061.2205212,0.00,159.89,5.320,222.643596,12
1760826062.220472,0.00,159.89,5.376,228.019436,12
1760826063.2204206,0.00,159.89,5.484,233.503370,12
1760826064.2204182,0.00,159.89,5.381,238.884704,12
1760826065.2204204,0.00,159.89,5.383,244.268113,12
1760826066.2204316,0.00,159.89,5.483,249.750704,12
1760826067.2204351,0.00,159.89,5.376,255.126911,12
1760826068.2204196,0.00,159.89,5.519,260.645940,12
1760826069.2205234,0.00,159.89,5.373,266.019827,12
1760826070.2204182,1.00,159.89,5.374,271.393043,12
1760826071.220441,0.00,159.89,5.421,276.814233,12
1760826072.2204437,0.00,159.89,5.419,282.233043,12
1760826073.2204306,0.00,159.89,5.556,287.788998,12
