ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760823740.459072,0,20.320,0.000000,0.000000,44,17,1476,49
1760823741.459163,1,30.152,36.939000,36.939000,12,9,2050,50
1760823742.459025,2,28.384,35.706000,72.645000,12,9,2618,50
1760823743.459047,3,27.987,35.012000,107.657000,6,6,2618,50
1760823744.459026,4,27.620,35.345000,143.002000,6,6,2618,51
1760823745.459057,5,27.636,35.574000,178.576000,6,7,2612,51
1760823746.459089,6,27.629,35.695000,214.271000,6,6,2606,51
1760823747.459034,7,27.661,35.994000,250.265000,6,7,2606,51
1760823748.459473,8,27.678,36.087000,286.352000,7,7,2606,51
1760823749.459047,9,27.736,36.613000,322.965000,7,7,2606,51
1760823750.459091,10,27.751,36.483000,359.448000,7,7,2606,51
1760823751.459052,11,27.854,36.943000,396.391000,7,7,2606,51
1760823752.459046,12,27.894,37.112000,433.503000,7,7,2606,52
1760823753.459049,13,27.842,37.406000,470.909000,6,6,2606,52
1760823754.459259,14,27.830,37.340000,508.249000,6,6,2606,52
1760823755.459060,15,27.825,37.765000,546.014000,6,6,2606,52
1760823756.459078,16,27.853,37.952000,583.966000,6,6,2606,52
1760823757.459051,17,27.869,38.117000,622.083000,6,7,2606,52
1760823758.459049,18,27.896,38.269000,660.352000,7,7,2606,52
1760823759.459025,19,28.045,38.600000,698.952000,7,7,2606,52
1760823760.459028,20,28.026,38.577000,737.529000,7,7,2606,52
1760823761.459028,21,27.976,38.799000,776.328000,7,7,2606,53
1760823762.459121,22,27.942,38.911000,815.239000,6,7,2606,53
1760823763.459039,23,27.984,39.258000,854.497000,6,6,2606,53
1760823764.459494,24,28.022,30.783000,885.280000,6,6,2606,53
1760823765.459042,25,28.039,30.843000,916.123000,5,6,2606,53
1760823766.459057,26,27.982,30.772000,946.895000,6,7,2606,53
1760823767.459153,27,28.087,30.961000,977.856000,7,7,2606,53
1760823768.459046,28,28.073,30.835000,1008.691000,7,7,2606,53
1760823769.459044,29,28.150,30.848000,1039.539000,7,7,2606,53
1760823770.459275,30,28.104,30.931000,1070.470000,7,7,2606,53
1760823771.459025,31,28.266,31.007000,1101.477000,7,7,2606,53
1760823772.459042,32,28.268,30.996000,1132.473000,7,7,2606,53
1760823773.459025,33,28.136,30.819000,1163.292000,6,6,2606,54
1760823774.459028,34,28.095,30.925000,1194.217000,5,6,2606,54
1760823775.459130,35,28.212,31.002000,1225.219000,6,7,2606,54
1760823776.459116,36,28.183,31.054000,1256.273000,6,7,2606,54
1760823777.459029,37,28.207,31.256000,1287.529000,7,7,2606,54
1760823778.459045,38,28.257,31.227000,1318.756000,7,7,2606,54
1760823779.459458,39,28.301,31.485000,1350.241000,7,7,2606,54
1760823780.459216,40,28.323,31.946000,1382.187000,8,7,2606,54
1760823781.459049,41,28.356,31.877000,1414.064000,7,7,2606,54
1760823782.459185,42,28.355,31.974000,1446.038000,7,7,2606,54
1760823783.459046,43,28.364,32.114000,1478.152000,7,7,2606,54
1760823784.459053,44,28.373,32.297000,1510.449000,7,7,2606,54
1760823785.459031,45,28.313,32.362000,1542.811000,6,6,2606,54
1760823786.459385,46,28.265,32.627000,1575.438000,5,6,2606,55
1760823787.459142,47,28.328,33.030000,1608.468000,5,6,2606,55
1760823788.459030,48,28.323,33.135000,1641.603000,6,7,2606,55
1760823789.459265,49,28.291,33.179000,1674.782000,7,7,2606,55
1760823790.459030,50,28.321,33.487000,1708.269000,6,7,2606,55
1760823791.459139,51,28.343,33.621000,1741.890000,6,7,2606,55
1760823792.459047,52,28.389,33.917000,1775.807000,7,7,2606,55
1760823793.459134,53,28.311,34.079000,1809.886000,7,7,2606,55
1760823794.459049,54,28.416,34.462000,1844.348000,7,7,2606,55
1760823795.459055,55,28.451,34.695000,1879.043000,7,7,2606,55
1760823796.459230,56,28.429,34.844000,1913.887000,7,7,2606,55
1760823797.459050,57,28.337,35.117000,1949.004000,5,6,2606,55
1760823798.459529,58,28.391,35.423000,1984.427000,6,6,2606,55
1760823799.459133,59,28.478,35.615000,2020.042000,6,7,2606,55
1760823800.459050,60,28.431,35.544000,2055.586000,6,7,2606,55
1760823801.459157,61,28.407,35.654000,2091.240000,6,7,2606,55
1760823802.459175,62,28.472,35.839000,2127.079000,6,7,2606,55
1760823803.459049,63,28.448,36.000000,2163.079000,7,7,2606,55
1760823804.459026,64,28.437,36.143000,2199.222000,6,7,2606,55
1760823805.459170,65,28.460,36.251000,2235.473000,7,7,2606,55
1760823806.459546,66,28.556,36.673000,2272.146000,7,7,2606,55
1760823807.459164,67,28.553,37.043000,2309.189000,7,7,2606,55
1760823808.459046,68,28.478,37.139000,2346.328000,7,7,2606,55
1760823809.459055,69,28.410,37.241000,2383.569000,6,6,2606,56
1760823810.459049,70,28.514,37.443000,2421.012000,6,7,2606,55
1760823811.459131,71,28.431,37.669000,2458.681000,6,6,2606,55
1760823812.459056,72,28.471,37.782000,2496.463000,5,6,2606,55
1760823813.459048,73,28.426,37.851000,2534.314000,6,7,2606,55
1760823814.459028,74,28.668,38.292000,2572.606000,6,6,2602,55
1760823815.459052,75,28.526,38.376000,2610.982000,6,7,2602,56
1760823816.459047,76,28.576,38.560000,2649.542000,7,7,2601,55
1760823817.459052,77,28.539,38.800000,2688.342000,7,7,2601,55
1760823818.459065,78,28.593,38.937000,2727.279000,7,7,2601,55
1760823819.459045,79,28.580,38.930000,2766.209000,7,7,2595,56
1760823820.459170,80,28.582,39.176000,2805.385000,6,7,2595,56
1760823821.459026,81,28.558,39.501000,2844.886000,7,7,2595,56
1760823822.459143,82,28.583,39.616000,2884.502000,7,7,2595,56
