ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760853075.4731367,20.00,267.90,0.000,0.000000,4
1760853076.473392,4.00,267.90,5.873,5.874374,8
1760853077.4731367,4.00,259.35,5.785,11.658112,12
1760853078.4732091,0.00,259.35,5.089,16.747638,12
1760853079.473277,0.00,259.35,5.139,21.886602,12
1760853080.4731357,0.00,259.35,5.068,26.953849,12
1760853081.4730606,0.00,259.35,5.309,32.262918,12
1760853082.4730477,0.00,259.35,5.086,37.349331,12
1760853083.473049,0.00,259.35,5.067,42.416334,12
1760853084.4731307,0.00,259.35,5.089,47.505371,12
1760853085.473073,0.00,259.35,5.098,52.602709,12
1760853086.4732883,1.00,259.35,5.237,57.840794,12
1760853087.4730272,0.00,259.35,5.062,62.901023,12
1760853088.4730573,0.00,259.35,5.096,67.997262,12
1760853089.4730594,0.00,259.35,5.095,73.091793,12
1760853090.4730656,0.00,259.35,5.100,78.191816,12
1760853091.473049,0.00,259.35,5.302,83.493316,12
1760853092.4730258,0.00,259.35,5.166,88.659380,12
1760853093.4730525,0.00,259.35,5.157,93.816349,12
1760853094.4730437,0.00,259.35,5.096,98.912222,12
1760853095.4731176,0.00,259.35,5.120,104.032387,12
1760853096.473044,0.00,259.35,5.415,109.447474,12
1760853097.473294,1.00,259.35,5.286,114.734447,12
1760853098.473049,0.00,259.35,5.126,119.859556,12
1760853099.4731524,0.00,259.35,5.112,124.972336,12
1760853100.4731383,0.00,259.35,5.151,130.123080,12
1760853101.4731302,0.00,259.35,5.315,135.437763,12
1760853102.4731681,1.00,259.35,5.112,140.550177,12
1760853103.4730275,0.00,259.35,5.147,145.695977,12
1760853104.4731956,0.00,259.35,5.147,150.844340,12
1760853105.4730568,0.00,259.35,5.099,155.942411,12
1760853106.4730496,0.00,259.35,5.330,161.272109,12
1760853107.4732556,0.00,259.35,5.211,166.483888,12
1760853108.4731894,1.00,259.35,5.265,171.748156,12
1760853109.4733732,0.00,259.35,5.116,176.864598,12
1760853110.4731646,0.00,259.35,5.130,181.993614,12
1760853111.473147,0.00,259.35,5.327,187.320748,12
1760853112.4730556,0.00,259.35,5.158,192.478694,12
1760853113.4732616,0.00,259.35,5.119,197.599042,12
1760853114.4737418,0.00,259.35,5.171,202.772918,12
1760853115.473144,0.00,259.35,5.174,207.944292,12
1760853116.4730499,0.00,259.35,5.382,213.325870,12
1760853117.4731266,0.00,259.35,5.142,218.468496,12
1760853118.4730651,0.00,259.35,5.173,223.641212,12
1760853119.4731307,0.00,259.35,5.175,228.816187,12
1760853120.4730246,1.00,259.35,5.194,234.009350,12
1760853121.47308,0.00,259.35,5.318,239.327878,12
1760853122.4731748,0.00,259.35,5.140,244.468063,12
1760853123.4733462,0.00,259.35,5.198,249.666963,12
1760853124.47316,0.00,259.35,5.185,254.851093,12
1760853125.4732165,0.00,259.35,5.180,260.031622,12
1760853126.473037,0.00,259.35,5.294,265.324760,12
1760853127.4730642,0.00,259.35,5.155,270.480325,12
1760853128.473462,0.00,259.35,5.162,275.643886,12
1760853129.473132,0.00,259.35,5.127,280.769606,12
1760853130.4731598,1.00,259.35,5.119,285.888977,12
1760853131.4730258,0.00,259.35,5.355,291.243700,12
1760853132.473054,0.00,259.35,5.345,296.588962,12
1760853133.4730256,0.00,259.35,5.137,301.726278,12
1760853134.4730523,0.00,259.35,5.154,306.880257,12
1760853135.4730475,0.00,259.35,5.178,312.057795,12
1760853136.473141,0.00,259.35,5.374,317.431926,12
1760853137.4735904,0.00,259.35,5.157,322.591032,12
1760853138.4730606,1.00,259.35,5.174,327.762161,12
1760853139.4730575,0.00,259.35,5.164,332.926394,12
1760853140.473045,1.00,259.35,5.147,338.073597,12
1760853141.4730706,0.00,259.35,5.360,343.433569,12
1760853142.4730515,0.00,259.35,5.108,348.541649,12
1760853143.4731355,0.00,259.35,5.175,353.717051,12
1760853144.4730256,0.00,259.35,5.501,359.217708,12
1760853145.4730294,0.00,259.35,5.617,364.834698,12
1760853146.4731376,0.00,259.35,5.727,370.562162,12
1760853147.4730523,0.00,259.35,5.675,376.236830,12
1760853148.4730535,0.00,259.35,5.409,381.645812,12
1760853149.4731398,0.00,259.35,5.110,386.756456,12
1760853150.473053,1.00,259.35,5.136,391.892124,12
1760853151.4730306,0.00,259.35,5.337,397.228902,12
1760853152.4733171,0.00,259.35,5.197,402.427559,12
1760853153.4730518,0.00,259.35,5.203,407.629633,12
1760853154.4731266,0.00,259.35,5.134,412.764263,12
1760853155.4731476,0.00,259.35,5.132,417.896269,12
1760853156.4730604,0.00,259.35,5.350,423.246109,12
1760853157.4730513,0.00,259.35,5.170,428.415834,12
1760853158.473144,0.00,259.35,5.088,433.504261,12
1760853159.4737225,0.00,259.35,5.093,438.600073,12
1760853160.4730532,1.00,259.35,5.069,443.665307,12
1760853161.4730527,0.00,259.35,5.154,448.818980,12
1760853162.4731805,0.00,259.35,5.063,453.882810,12
1760853163.4730253,0.00,259.35,5.039,458.921310,12
1760853164.4731271,0.00,259.35,4.941,463.863192,12
1760853165.4731383,0.00,259.35,4.979,468.842611,12
1760853166.473227,0.00,259.35,5.110,473.953254,12
1760853167.4730694,0.00,259.35,4.971,478.923579,12
1760853168.4731586,0.00,259.35,4.953,483.876569,12
1760853169.4731321,1.00,259.35,5.353,489.229338,12
1760853170.4730253,5.00,260.10,4.986,494.214921,12
1760853171.4730308,3.00,260.10,5.415,499.630435,16
1760853172.473054,0.00,260.10,5.528,505.158924,16
1760853173.4730704,0.00,260.10,5.356,510.515417,16
