ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760855574.330423,0,21.411,0.000000,0.000000,13,11,1374,49
1760855575.330424,1,28.509,34.908000,34.908000,7,7,1942,49
1760855576.330398,2,28.243,34.070000,68.978000,6,7,2510,50
1760855577.330399,3,27.642,33.735000,102.713000,6,7,2510,50
1760855578.330422,4,27.762,33.910000,136.623000,7,7,2510,50
1760855579.330397,5,27.741,34.084000,170.707000,6,7,2504,50
1760855580.330417,6,27.717,34.303000,205.010000,6,7,2504,50
1760855581.330399,7,27.777,34.607000,239.617000,6,7,2504,51
1760855582.330398,8,27.756,34.694000,274.311000,6,6,2504,51
1760855583.330396,9,27.802,34.991000,309.302000,7,7,2504,51
1760855584.330400,10,27.844,35.129000,344.431000,7,7,2504,51
1760855585.330398,11,27.951,35.470000,379.901000,7,7,2504,51
1760855586.330400,12,27.936,35.603000,415.504000,7,7,2504,52
1760855587.330404,13,27.865,35.784000,451.288000,6,6,2504,52
1760855588.330397,14,27.876,35.997000,487.285000,6,7,2504,52
1760855589.330397,15,27.946,36.235000,523.520000,5,6,2504,52
1760855590.330419,16,27.980,36.461000,559.981000,6,7,2504,52
1760855591.330399,17,28.012,36.737000,596.718000,7,7,2504,52
1760855592.330402,18,28.043,36.854000,633.572000,7,7,2504,52
1760855593.330420,19,28.137,37.147000,670.719000,7,7,2504,52
1760855594.330416,20,28.106,37.300000,708.019000,6,7,2504,53
1760855595.330417,21,28.085,37.480000,745.499000,6,6,2504,53
1760855596.330398,22,28.084,37.655000,783.154000,6,7,2504,53
1760855597.330397,23,28.094,37.795000,820.949000,6,7,2504,53
1760855598.330426,24,28.095,38.007000,858.956000,6,7,2504,53
1760855599.330399,25,28.091,38.292000,897.248000,7,7,2504,53
1760855600.330413,26,28.108,38.439000,935.687000,6,7,2504,53
1760855601.330418,27,28.154,38.746000,974.433000,7,7,2504,53
1760855602.330420,28,28.154,38.917000,1013.350000,7,7,2504,53
1760855603.330418,29,28.237,39.199000,1052.549000,7,7,2504,53
1760855604.330418,30,28.211,39.268000,1091.817000,7,7,2504,54
1760855605.330437,31,28.316,31.124000,1122.941000,7,7,2504,54
1760855606.330405,32,28.261,30.933000,1153.874000,7,7,2504,54
1760855607.330414,33,28.172,30.893000,1184.767000,6,6,2504,54
