ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760906038.661823,0,19.820,0.000000,0.000000,10,7,1197,47
1760906039.661921,1,25.432,33.871000,33.871000,10,7,1603,48
1760906040.662365,2,24.056,31.882000,65.753000,3,4,2009,48
1760906041.661799,3,23.990,32.367000,98.120000,3,4,2009,48
1760906042.661691,4,23.807,32.131000,130.251000,3,4,2009,48
1760906043.661775,5,23.728,32.149000,162.400000,2,3,2009,48
1760906044.662027,6,23.711,32.349000,194.749000,3,4,2009,48
1760906045.661847,7,23.701,32.755000,227.504000,3,4,2009,48
1760906046.661703,8,23.689,32.811000,260.315000,3,4,2003,48
1760906047.661895,9,23.739,32.928000,293.243000,3,4,2003,48
1760906048.661755,10,23.659,33.196000,326.439000,3,4,2003,49
1760906049.661803,11,23.708,33.389000,359.828000,3,4,2003,49
1760906050.661750,12,23.675,33.587000,393.415000,3,4,2003,49
1760906051.661789,13,23.718,33.700000,427.115000,3,4,2003,49
1760906052.661772,14,23.754,34.021000,461.136000,3,4,2003,49
1760906053.661655,15,23.716,34.044000,495.180000,3,3,2003,49
1760906054.661825,16,23.720,34.228000,529.408000,3,4,2003,49
1760906055.661747,17,23.700,34.441000,563.849000,3,4,2003,49
1760906056.661773,18,23.723,34.580000,598.429000,3,4,2003,49
1760906057.661966,19,23.713,34.808000,633.237000,3,4,2003,49
1760906058.661765,20,23.665,26.396000,659.633000,2,3,2003,49
1760906059.661842,21,23.755,26.491000,686.124000,3,3,2003,50
1760906060.661803,22,23.761,26.562000,712.686000,3,4,2003,50
1760906061.661950,23,23.711,26.490000,739.176000,2,4,2003,50
1760906062.661878,24,23.706,26.537000,765.713000,2,3,2003,50
1760906063.661853,25,23.733,26.533000,792.246000,3,4,2003,50
1760906064.661848,26,23.795,26.595000,818.841000,3,4,2003,50
1760906065.661818,27,23.721,26.470000,845.311000,3,4,2003,50
1760906066.661800,28,23.764,26.438000,871.749000,3,3,2003,50
1760906067.661788,29,23.788,26.617000,898.366000,3,4,2003,50
1760906068.661780,30,23.724,26.522000,924.888000,3,4,2003,50
1760906069.661674,31,23.829,26.619000,951.507000,3,4,2003,51
1760906070.661861,32,23.740,26.491000,977.998000,3,4,2003,50
1760906071.661787,33,23.851,26.547000,1004.545000,3,4,2003,51
1760906072.661754,34,23.796,26.652000,1031.197000,3,3,2003,51
1760906073.661797,35,23.787,26.940000,1058.137000,3,4,2003,51
1760906074.661786,36,23.780,27.177000,1085.314000,3,3,2003,51
1760906075.661796,37,23.800,27.481000,1112.795000,3,4,2003,51
1760906076.661799,38,23.743,29.906000,1142.701000,2,3,2003,51
1760906077.661768,39,23.744,23.918000,1166.619000,2,3,2003,51
1760906078.661845,40,23.820,23.969000,1190.588000,3,4,2003,51
1760906079.661762,41,23.892,24.090000,1214.678000,3,4,2003,51
1760906080.661676,42,23.799,24.051000,1238.729000,3,4,2003,51
1760906081.661763,43,23.847,24.243000,1262.972000,2,3,2003,51
1760906082.661849,44,23.855,24.536000,1287.508000,3,4,2003,51
1760906083.662012,45,23.786,24.707000,1312.215000,3,4,2003,51
1760906084.661792,46,23.860,24.971000,1337.186000,3,4,2003,51
1760906085.661861,47,23.816,25.143000,1362.329000,3,4,2003,51
1760906086.661679,48,23.845,25.508000,1387.837000,3,4,2003,51
1760906087.661780,49,23.826,25.722000,1413.559000,3,4,2003,51
1760906088.661804,50,23.877,26.015000,1439.574000,3,4,2003,51
1760906089.661802,51,23.875,25.992000,1465.566000,3,4,2003,52
1760906090.661655,52,23.849,26.243000,1491.809000,3,4,2003,52
1760906091.661805,53,23.930,26.387000,1518.196000,3,4,2003,52
1760906092.661755,54,23.828,24.309000,1542.505000,3,4,2003,52
1760906093.661771,55,23.931,24.485000,1566.990000,3,4,2003,52
1760906094.661868,56,23.890,24.687000,1591.677000,3,4,2003,52
1760906095.661800,57,23.860,25.070000,1616.747000,3,4,2003,52
1760906096.661789,58,23.912,25.184000,1641.931000,3,4,2003,52
1760906097.661765,59,23.847,25.239000,1667.170000,3,3,2003,52
1760906098.661793,60,23.863,25.526000,1692.696000,3,4,2003,52
1760906099.661809,61,23.892,25.853000,1718.549000,3,3,2003,52
1760906100.661844,62,23.889,25.860000,1744.409000,3,4,2003,52
1760906101.661904,63,23.906,26.182000,1770.591000,3,4,2003,52
1760906102.661776,64,23.813,26.256000,1796.847000,3,4,2003,52
1760906103.661832,65,23.837,26.355000,1823.202000,3,4,2003,52
1760906104.661813,66,23.893,26.583000,1849.785000,3,4,2003,52
1760906105.661961,67,23.860,26.886000,1876.671000,3,4,2003,52
1760906106.661831,68,23.869,27.264000,1903.935000,3,4,2003,52
