ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760906871.5796003,20.00,265.70,0.000,0.000000,4
1760906872.5795557,6.00,266.45,5.481,5.480638,8
1760906873.5794182,2.00,250.05,5.244,10.723911,12
1760906874.5794122,1.00,250.05,4.368,15.092003,12
1760906875.5793967,0.00,250.05,4.354,19.446301,12
1760906876.5793893,0.00,250.05,4.270,23.716370,12
1760906877.5795527,0.00,250.05,4.486,28.202870,12
1760906878.5793915,1.00,250.05,4.327,32.529580,12
1760906879.5796137,0.00,250.05,4.301,36.831266,12
1760906880.5793622,0.00,250.05,4.320,41.150041,12
1760906881.5794377,1.00,250.05,4.274,45.424322,12
1760906882.5794363,0.00,250.05,4.476,49.900141,12
1760906883.5794063,0.00,250.05,4.305,54.204512,12
1760906884.5792406,0.00,250.05,4.274,58.478183,12
1760906885.5792754,0.00,250.05,4.303,62.781334,12
1760906886.5794327,0.00,250.05,4.316,67.097790,12
1760906887.5792818,0.00,250.05,4.483,71.580139,12
1760906888.579597,0.00,250.05,4.315,75.896535,12
1760906889.5793443,0.00,250.05,4.327,80.222024,12
1760906890.5792837,1.00,250.05,4.315,84.536893,12
1760906891.579517,0.00,250.05,4.290,88.828386,12
1760906892.5796337,0.00,250.05,4.514,93.342657,12
1760906893.5794456,0.00,250.05,4.269,97.611140,12
1760906894.5794375,0.00,250.05,4.326,101.937117,12
1760906895.5793939,0.00,250.05,4.292,106.229282,12
1760906896.579438,1.00,250.05,4.329,110.558616,12
1760906897.5793579,1.00,250.05,4.495,115.053173,12
1760906898.5794551,0.00,250.05,4.370,119.423462,12
1760906899.5792885,0.00,250.05,4.334,123.756275,12
1760906900.5792816,0.00,250.05,4.303,128.059670,12
1760906901.5796058,1.00,250.05,4.310,132.371427,12
1760906902.5796478,0.00,250.05,4.530,136.901139,12
1760906903.5794392,0.00,250.05,4.305,141.205205,12
1760906904.5793638,0.00,250.05,4.334,145.539301,12
1760906905.5795662,0.00,250.05,4.316,149.855818,12
1760906906.579946,0.00,250.05,4.325,154.182528,12
1760906907.5793858,1.00,250.05,4.493,158.672629,12
1760906908.5792563,0.00,250.05,4.326,162.998423,12
1760906909.5793967,0.00,250.05,4.457,167.456420,12
1760906910.5792475,0.00,250.05,4.330,171.785754,12
1760906911.5795689,0.00,250.05,4.322,176.108924,12
1760906912.5792406,0.00,250.05,4.501,180.608547,12
1760906913.5792625,1.00,250.05,4.335,184.944107,12
1760906914.5792794,0.00,250.05,4.322,189.265690,12
1760906915.5792656,0.00,250.05,4.335,193.600457,12
1760906916.579391,0.00,250.05,4.317,197.917890,12
1760906917.5792406,0.00,250.05,4.496,202.413484,12
1760906918.5794075,0.00,250.05,4.318,206.732137,12
1760906919.5792658,1.00,250.05,4.293,211.024362,12
1760906920.579246,0.00,250.05,4.302,215.325804,12
1760906921.579285,0.00,250.05,4.349,219.674548,12
1760906922.5792835,0.00,250.05,4.524,224.198828,12
1760906923.5792935,1.00,250.05,4.336,228.534816,12
1760906924.5793235,0.00,250.05,4.295,232.829971,12
1760906925.5796776,1.00,250.05,4.348,237.179691,12
1760906926.5792387,0.00,250.05,4.295,241.472466,12
1760906927.5792797,0.00,250.05,4.546,246.018963,12
1760906928.5793746,0.00,250.05,4.309,250.328522,12
1760906929.579285,0.00,250.05,4.309,254.637349,12
1760906930.57925,0.00,250.05,4.370,259.007089,12
1760906931.5794392,0.00,250.05,4.407,263.414792,12
1760906932.5792968,0.00,250.05,4.505,267.918748,12
1760906933.579646,1.00,250.05,4.330,272.250219,12
1760906934.5792837,0.00,250.05,4.336,276.584925,12
1760906935.579401,0.00,250.05,4.383,280.967970,12
1760906936.5792723,0.00,250.05,4.322,285.289675,12
1760906937.5792954,0.00,250.05,4.495,289.785086,12
1760906938.579284,0.00,250.05,4.325,294.109660,12
1760906939.5794132,1.00,250.05,4.310,298.420440,12
1760906940.579344,0.00,250.05,4.368,302.787982,12
1760906941.5792818,0.00,250.05,4.378,307.165352,12
1760906942.5793476,0.00,250.05,4.529,311.695125,12
1760906943.5792859,0.00,250.05,4.355,316.050156,12
1760906944.5792387,0.00,250.05,4.306,320.356419,12
1760906945.5792623,0.00,250.05,4.306,324.662255,12
1760906946.5794477,1.00,250.05,4.347,329.010144,12
1760906947.5792835,1.00,250.05,4.520,333.529603,12
1760906948.579273,0.00,250.05,4.321,337.850332,12
1760906949.579432,0.00,250.05,4.323,342.173990,12
1760906950.5792623,0.00,250.05,4.340,346.513640,12
1760906951.5792608,0.00,250.05,4.338,350.851763,12
1760906952.5792782,0.00,250.05,4.507,355.358832,12
1760906953.5793855,0.00,250.05,4.306,359.665156,12
1760906954.5794032,1.00,250.05,4.291,363.956527,12
1760906955.5793848,0.00,250.05,4.331,368.287021,12
1760906956.579273,0.00,250.05,4.357,372.643333,12
1760906957.5792475,0.00,250.05,4.474,377.116955,12
1760906958.5792465,0.00,250.05,4.293,381.409790,12
