ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760819177.6796887,12.00,250.14,0.000,0.000000,4
1760819178.6796918,8.00,250.14,5.726,5.726486,8
1760819179.6796713,2.00,241.49,5.782,11.508759,12
1760819180.6796944,0.00,241.49,5.122,16.630938,12
1760819181.6796958,0.00,241.49,5.095,21.725652,12
1760819182.6796672,0.00,241.49,5.254,26.979850,12
1760819183.6797786,0.00,241.49,5.093,32.073648,12
1760819184.6796682,1.00,241.49,5.044,37.116604,12
1760819185.679668,0.00,241.49,5.021,42.137404,12
1760819186.679781,0.00,241.49,5.096,47.234071,12
1760819187.6796918,0.00,241.49,5.251,52.484728,12
1760819188.679692,0.00,241.49,5.190,57.674657,12
1760819189.6796932,0.00,241.49,5.125,62.800071,12
1760819190.6796887,0.00,241.49,5.067,67.867318,12
1760819191.6796691,0.00,241.49,5.051,72.918209,12
1760819192.6796842,0.00,241.49,5.298,78.216352,12
1760819193.6796918,1.00,241.49,5.092,83.308258,12
1760819194.6797864,0.00,241.49,5.160,88.468523,12
1760819195.6797948,0.00,241.49,5.130,93.598820,12
1760819196.6796896,0.00,241.49,5.108,98.706412,12
1760819197.6799498,0.00,241.49,5.269,103.976784,12
1760819198.6796875,0.00,241.49,5.108,109.083461,12
1760819199.6796894,0.00,241.49,5.145,114.228345,12
1760819200.679808,0.00,241.49,5.169,119.398253,12
1760819201.6796906,0.00,241.49,5.120,124.517686,12
1760819202.6797152,0.00,241.49,5.350,129.867831,12
1760819203.679998,0.00,241.49,5.218,135.086934,12
1760819204.6796873,1.00,241.49,5.150,140.235114,12
1760819205.679686,0.00,241.49,5.107,145.342340,12
1760819206.6797638,0.00,241.49,5.121,150.463298,12
1760819207.679768,0.00,241.49,5.354,155.817594,12
1760819208.6796978,0.00,241.49,5.308,161.125197,12
1760819209.679686,0.00,241.49,5.160,166.285524,12
1760819210.6796796,0.00,241.49,5.140,171.425220,12
1760819211.67969,0.00,241.49,5.129,176.554540,12
1760819212.679668,0.00,241.49,5.370,181.923972,12
1760819213.679768,0.00,241.49,5.157,187.081735,12
1760819214.6796901,1.00,241.49,5.114,192.195308,12
1760819215.6797795,0.00,241.49,5.171,197.366499,12
1760819216.6797957,0.00,241.49,5.113,202.479095,12
1760819217.6797328,1.00,241.49,5.361,207.839372,12
1760819218.6797802,0.00,241.49,5.169,213.009098,12
1760819219.6796672,0.00,241.49,5.173,218.181387,12
1760819220.6799695,0.00,241.49,5.147,223.330055,12
1760819221.679691,0.00,241.49,5.196,228.524988,12
1760819222.6796887,0.00,241.49,5.384,233.908580,12
1760819223.6796873,0.00,241.49,5.172,239.080930,12
1760819224.6796894,1.00,241.49,5.121,244.202438,12
1760819225.6796715,0.00,241.49,5.137,249.338900,12
1760819226.6797442,0.00,241.49,5.143,254.482502,12
1760819227.6796932,0.00,241.49,5.354,259.836004,12
1760819228.679671,0.00,241.49,5.109,264.944512,12
1760819229.679692,0.00,241.49,5.171,270.115153,12
1760819230.6796913,0.00,241.49,5.175,275.290494,12
1760819231.6796923,0.00,241.49,5.118,280.408156,12
1760819232.6796896,0.00,241.49,5.333,285.740967,12
1760819233.6796703,1.00,241.49,5.176,290.917040,12
1760819234.679701,0.00,241.49,5.181,296.098363,12
1760819235.679781,0.00,241.49,5.162,301.260764,12
1760819236.6796901,0.00,241.49,5.143,306.403634,12
1760819237.6797035,0.00,241.49,5.414,311.817744,12
1760819238.679689,0.00,241.49,5.170,316.987713,12
1760819239.6798112,0.00,241.49,5.180,322.168486,12
1760819240.6796873,0.00,241.49,5.141,327.308366,12
