ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760816678.832627,0,19.073,0.000000,0.000000,0,0,1462,49
1760816679.832639,1,29.531,34.161000,34.161000,27,11,2030,49
1760816680.832610,2,28.089,32.293000,66.454000,11,7,2598,50
1760816681.832606,3,27.567,31.882000,98.336000,7,7,2598,50
1760816682.832598,4,27.623,32.108000,130.444000,7,7,2598,50
1760816683.832618,5,27.632,32.364000,162.808000,6,7,2583,50
1760816684.832737,6,27.580,32.630000,195.438000,6,6,2583,50
1760816685.832616,7,27.628,32.851000,228.289000,6,6,2583,50
1760816686.832685,8,27.658,33.115000,261.404000,6,6,2583,51
1760816687.832623,9,27.810,33.352000,294.756000,7,7,2589,51
1760816688.832725,10,27.710,33.329000,328.085000,7,7,2589,51
1760816689.832618,11,27.773,33.769000,361.854000,6,7,2589,51
1760816690.832996,12,27.780,33.939000,395.793000,7,7,2589,51
1760816691.832627,13,27.782,34.197000,429.990000,5,6,2589,51
1760816692.832621,14,27.779,34.197000,464.187000,6,6,2583,52
1760816693.832638,15,27.870,34.577000,498.764000,7,7,2583,52
1760816694.832597,16,27.943,34.703000,533.467000,6,7,2583,52
1760816695.832598,17,27.864,34.833000,568.300000,7,7,2583,52
1760816696.832597,18,27.884,35.078000,603.378000,6,7,2583,52
1760816697.832594,19,27.853,35.299000,638.677000,6,6,2583,52
1760816698.832614,20,27.887,35.454000,674.131000,6,6,2583,52
1760816699.832699,21,27.974,35.693000,709.824000,6,7,2583,53
1760816700.832631,22,31.789,40.780000,750.604000,41,21,2599,53
1760816701.832795,23,31.092,38.107000,788.711000,18,10,2599,53
1760816702.832626,24,29.260,37.664000,826.375000,18,10,2597,53
1760816703.832626,25,29.147,37.488000,863.863000,14,9,2597,53
1760816704.832627,26,29.056,37.736000,901.599000,15,9,2597,53
1760816705.832701,27,28.951,37.697000,939.296000,16,9,2582,53
1760816706.832690,28,28.764,37.810000,977.106000,13,9,2582,53
1760816707.832594,29,28.554,37.875000,1014.981000,12,8,2582,54
1760816708.832708,30,28.363,37.754000,1052.735000,9,7,2582,54
1760816709.832615,31,28.274,37.965000,1090.700000,6,6,2582,54
