ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760839290.494216,8.00,166.70,0.000,0.000000,4
1760839291.4942262,3.00,166.70,5.935,5.935166,8
1760839292.4942293,2.00,166.70,6.013,11.948456,12
1760839293.4942093,0.00,166.70,5.384,17.331926,12
1760839294.494237,0.00,166.70,5.460,22.792422,12
1760839295.4942305,1.00,166.70,5.578,28.369923,12
1760839296.4942071,0.00,166.70,5.370,33.739599,12
1760839297.4942057,0.00,166.70,5.326,39.065635,12
1760839298.4942267,0.00,166.70,5.289,44.354562,12
1760839299.4942214,0.00,166.70,5.362,49.716548,12
1760839300.494206,0.00,166.70,5.516,55.232647,12
1760839301.4942093,1.00,166.70,5.300,60.532499,12
1760839302.4942055,0.00,166.70,5.304,65.836380,12
1760839303.494209,0.00,166.70,5.360,71.196534,12
1760839304.4943173,0.00,166.70,5.534,76.731249,12
1760839305.494207,0.00,166.70,5.565,82.295993,12
1760839306.494207,0.00,166.70,5.401,87.697041,12
1760839307.4943578,1.00,166.70,5.382,93.079840,12
1760839308.4942143,0.00,166.70,5.372,98.450615,12
1760839309.4942977,0.00,166.70,5.373,103.823953,12
1760839310.4945302,0.00,166.70,5.560,109.384974,12
1760839311.4943662,0.00,166.70,5.366,114.750073,12
1760839312.494215,0.00,166.70,5.315,120.064512,12
1760839313.4942124,0.00,166.70,5.358,125.422714,12
1760839314.494379,0.00,166.70,5.337,130.760652,12
1760839315.494345,0.00,166.70,5.528,136.288470,12
1760839316.4943528,0.00,166.70,5.365,141.653385,12
1760839317.4945872,0.00,166.70,5.392,147.047109,12
1760839318.4945524,1.00,166.70,5.359,152.405799,12
1760839319.4942234,0.00,166.70,5.441,157.845055,12
1760839320.4942544,0.00,166.70,5.337,163.182444,12
1760839321.4942122,0.00,166.70,5.140,168.322384,12
1760839322.494358,0.00,166.70,5.140,173.463423,12
1760839323.494333,0.00,166.70,5.172,178.634797,12
1760839324.4945114,1.00,166.70,5.209,183.844317,12
1760839325.4942188,0.00,166.70,5.368,189.210514,12
1760839326.4942117,0.00,166.70,5.147,194.357230,12
1760839327.494391,0.00,166.70,5.164,199.522256,12
1760839328.4943533,0.00,166.70,5.130,204.652064,12
1760839329.4942143,0.00,166.70,5.207,209.858167,12
1760839330.4942615,0.00,166.70,5.348,215.206542,12
1760839331.4944024,0.00,166.70,5.185,220.392747,12
1760839332.4943132,0.00,166.70,5.127,225.519687,12
1760839333.494331,0.00,166.70,5.182,230.701619,12
1760839334.4943337,0.00,166.70,5.173,235.874824,12
1760839335.4943306,1.00,166.70,5.371,241.245721,12
1760839336.49434,0.00,166.70,5.131,246.376506,12
1760839337.4946253,0.00,166.70,5.155,251.532865,12
1760839338.494296,0.00,166.70,5.256,256.787551,12
1760839339.4942138,0.00,166.70,5.121,261.907716,12
1760839340.4942105,0.00,166.70,5.357,267.264819,12
1760839341.4943426,0.00,166.70,5.181,272.446263,12
1760839342.4944224,0.00,166.70,5.152,277.598472,12
1760839343.4943714,0.00,166.70,5.168,282.766488,12
1760839344.4942153,0.00,166.70,5.128,287.893794,12
1760839345.4942615,1.00,166.70,5.362,293.255780,12
1760839346.4942396,0.00,166.70,5.202,298.457305,12
1760839347.4943416,0.00,166.70,5.154,303.612138,12
1760839348.494382,0.00,166.70,5.130,308.742496,12
1760839349.4942174,1.00,166.70,5.172,313.913381,12
1760839350.4943738,0.00,166.70,5.351,319.265113,12
1760839351.494269,0.00,166.70,5.170,324.435022,12
1760839352.494412,0.00,166.70,5.111,329.547069,12
1760839353.4943414,0.00,166.70,5.164,334.710935,12
1760839354.4942603,0.00,166.70,5.161,339.871994,12
1760839355.4943452,0.00,166.70,5.402,345.274934,12
1760839356.494563,0.00,166.70,5.199,350.474628,12
1760839357.494342,1.00,166.70,5.141,355.614141,12
1760839358.4943626,0.00,166.70,5.141,360.755302,12
1760839359.494257,0.00,166.70,5.195,365.950174,12
1760839360.4942143,0.00,166.70,5.453,371.402858,12
1760839361.4943686,0.00,166.70,5.207,376.610364,12
1760839362.494296,0.00,166.70,5.169,381.779052,12
1760839363.4942107,0.00,166.70,5.185,386.963487,12
1760839364.4944136,0.00,166.70,5.175,392.139255,12
1760839365.4942148,0.00,166.70,5.406,397.544088,12
1760839366.4943094,0.00,166.70,5.262,402.806891,12
1760839367.4943597,0.00,166.70,5.302,408.109490,12
1760839368.4943888,0.00,166.70,5.204,413.313273,12
1760839369.49467,0.00,166.70,5.169,418.483426,12
1760839370.494216,1.00,166.70,5.373,423.853652,12
1760839371.4942088,0.00,166.70,5.312,429.165222,12
1760839372.494548,1.00,166.70,5.164,434.330492,12
1760839373.4942214,0.00,166.70,5.101,439.429784,12
1760839374.4942088,0.00,166.70,5.053,444.482932,12
1760839375.4942052,0.00,166.70,5.271,449.753854,12
1760839376.4943807,0.00,166.70,5.114,454.868465,12
1760839377.494312,0.00,166.70,5.023,459.891462,12
1760839378.494229,0.00,166.70,4.996,464.886872,12
1760839379.4944658,0.00,166.70,4.979,469.867145,12
1760839380.4943068,0.00,166.70,5.515,475.381107,12
1760839381.494206,0.00,166.70,4.999,480.379203,12
1760839382.494226,0.00,166.70,4.929,485.307840,12
1760839383.494231,1.00,166.70,4.892,490.200222,12
1760839384.4943,0.00,166.70,5.284,495.484694,12
1760839385.4942977,2.00,171.45,5.210,500.694824,12
1760839386.4942093,3.00,171.70,5.246,505.940661,16
1760839387.4942107,0.00,171.70,5.517,511.457248,16
1760839388.4945178,0.00,171.70,5.355,516.813802,16
1760839389.494229,4.00,171.70,5.740,522.552434,20
1760839390.4943204,2.00,171.95,6.056,528.608754,24
1760839391.494206,0.00,171.95,5.262,533.870643,24
1760839392.4942088,0.00,171.95,5.240,539.111047,24
1760839393.4942472,0.00,171.95,5.192,544.302928,24
1760839394.4942248,0.00,171.95,5.191,549.493894,24
1760839395.4942102,0.00,171.95,5.359,554.853316,24
1760839396.494342,0.00,171.95,5.225,560.078767,24
1760839397.4942045,1.00,171.95,5.166,565.244159,24
1760839398.4943936,0.00,171.95,5.137,570.381963,24
1760839399.4942064,0.00,171.95,5.107,575.488029,24
1760839400.4943056,0.00,171.95,5.373,580.861367,24
1760839401.4941735,0.00,171.95,5.176,586.037135,24
1760839402.49425,0.00,171.95,5.205,591.242444,24
1760839403.4944823,0.00,171.95,5.143,596.386596,24
1760839404.494226,0.00,171.95,5.174,601.559007,24
1760839405.4942098,0.00,171.95,5.542,607.101351,24
1760839406.4945586,0.00,171.95,5.179,612.282368,24
1760839407.4942327,0.00,171.95,5.173,617.453803,24
1760839408.4944105,1.00,171.95,5.140,622.594476,24
1760839409.4942122,0.00,171.95,5.474,628.067789,24
1760839410.4944446,0.00,171.95,5.547,633.615688,24
1760839411.494312,0.00,171.95,5.201,638.816480,24
1760839412.4942122,0.00,171.95,5.184,644.000183,24
1760839413.4942107,0.00,171.95,5.192,649.192125,24
1760839414.4942126,0.00,171.95,5.190,654.381687,24
1760839415.494306,0.00,171.95,5.404,659.785909,24
1760839416.4943295,0.00,171.95,5.230,665.015693,24
1760839417.4942153,0.00,171.95,5.215,670.230462,24
1760839418.494394,1.00,171.95,5.173,675.404216,24
1760839419.4942093,0.00,171.95,5.188,680.591214,24
1760839420.4942212,0.00,171.95,5.455,686.046279,24
1760839421.494227,0.00,171.95,5.293,691.338929,24
1760839422.4943197,0.00,171.95,5.198,696.537097,24
1760839423.4942062,0.00,171.95,5.168,701.704381,24
1760839424.4942265,0.00,171.95,5.199,706.903037,24
1760839425.4942203,0.00,171.95,5.407,712.310433,24
1760839426.494474,0.00,171.95,5.199,717.510798,24
1760839427.4942338,0.00,171.95,5.163,722.672955,24
1760839428.4942133,1.00,171.95,5.206,727.878386,24
1760839429.4943266,0.00,171.95,5.233,733.112137,24
1760839430.4942467,0.00,171.95,5.378,738.490114,24
1760839431.4942257,1.00,171.95,5.163,743.653431,24
1760839432.4942064,0.00,171.95,5.202,748.855078,24
1760839433.4942057,0.00,171.95,5.247,754.102379,24
1760839434.4942303,0.00,171.95,5.307,759.409372,24
1760839435.4942248,0.00,171.95,5.381,764.790706,24
1760839436.4942062,0.00,171.95,5.166,769.956891,24
1760839437.4942064,0.00,171.95,5.250,775.207061,24
1760839438.4942267,0.00,171.95,5.186,780.392900,24
1760839439.494208,0.00,171.95,5.148,785.540531,24
1760839440.4942067,0.00,171.95,5.384,790.924489,24
1760839441.4942064,0.00,171.95,5.231,796.155616,24
1760839442.4942455,0.00,171.95,5.246,801.401818,24
1760839443.4942405,0.00,171.95,5.215,806.617198,24
1760839444.4942074,1.00,171.95,5.194,811.811032,24
1760839445.4942265,0.00,171.95,5.462,817.273604,24
1760839446.4942272,0.00,171.95,5.221,822.494416,24
1760839447.4942486,0.00,171.95,5.157,827.651141,24
1760839448.4942055,0.00,171.95,5.206,832.856999,24
1760839449.4942226,0.00,171.95,5.231,838.088004,24
1760839450.494248,0.00,171.95,5.376,843.464455,24
1760839451.4942088,0.00,171.95,5.196,848.660181,24
1760839452.494233,0.00,171.95,5.282,853.942150,24
1760839453.4942644,0.00,171.95,5.185,859.127317,24
1760839454.4942305,0.00,171.95,5.178,864.305466,24
1760839455.4943082,0.00,171.95,5.422,869.727449,24
1760839456.4942052,0.00,171.95,5.219,874.945942,24
1760839457.4942086,0.00,171.95,5.249,880.195440,24
1760839458.494206,1.00,171.95,5.170,885.365409,24
1760839459.494208,1.00,171.95,5.214,890.579752,24
1760839460.4942248,0.00,171.95,5.415,895.995326,24
