ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760840213.544524,0,20.585,0.000000,0.000000,0,0,1413,48
1760840214.544526,1,28.550,34.538000,34.538000,12,10,1981,49
1760840215.544502,2,28.333,33.963000,68.501000,6,7,2549,49
1760840216.544522,3,27.909,33.330000,101.831000,6,6,2549,50
1760840217.544526,4,27.567,33.683000,135.514000,6,7,2549,50
1760840218.544501,5,27.606,33.818000,169.332000,7,7,2543,50
1760840219.544522,6,27.593,34.043000,203.375000,6,7,2543,50
1760840220.544522,7,27.592,34.335000,237.710000,7,7,2543,50
1760840221.544525,8,27.691,34.559000,272.269000,7,7,2543,50
1760840222.544526,9,27.694,34.790000,307.059000,6,6,2543,51
1760840223.544501,10,27.632,34.927000,341.986000,7,7,2543,51
1760840224.544501,11,27.723,35.211000,377.197000,7,7,2543,51
1760840225.544505,12,27.711,35.360000,412.557000,7,7,2543,51
1760840226.544524,13,27.817,35.545000,448.102000,7,7,2543,51
1760840227.544523,14,27.813,35.790000,483.892000,6,6,2543,51
1760840228.544501,15,27.874,36.129000,520.021000,7,7,2543,52
1760840229.544517,16,27.919,36.340000,556.361000,7,7,2543,52
1760840230.544502,17,27.861,36.458000,592.819000,6,6,2543,52
1760840231.544527,18,27.905,36.660000,629.479000,7,7,2543,52
1760840232.544543,19,27.933,36.927000,666.406000,7,7,2543,52
1760840233.544525,20,27.962,37.209000,703.615000,7,7,2543,52
1760840234.544504,21,27.921,37.316000,740.931000,7,7,2543,52
1760840235.544521,22,27.891,37.377000,778.308000,6,6,2543,53
1760840236.544524,23,27.987,37.702000,816.010000,6,6,2543,53
1760840237.544502,24,28.008,37.918000,853.928000,6,6,2543,53
1760840238.544518,25,28.046,38.230000,892.158000,7,7,2543,53
1760840239.544517,26,28.043,38.307000,930.465000,7,7,2543,53
1760840240.544505,27,28.040,38.518000,968.983000,7,7,2543,53
1760840241.544522,28,27.998,38.718000,1007.701000,7,7,2543,53
1760840242.544522,29,28.034,38.868000,1046.569000,6,6,2543,53
1760840243.544501,30,28.081,39.208000,1085.777000,6,6,2543,53
1760840244.544526,31,28.145,39.349000,1125.126000,7,7,2543,53
1760840245.544608,32,28.089,30.900000,1156.026000,6,7,2543,53
1760840246.544528,33,28.132,30.910000,1186.936000,7,7,2543,53
1760840247.544502,34,28.143,30.963000,1217.899000,7,7,2543,53
1760840248.544630,35,28.148,30.964000,1248.863000,6,7,2543,53
1760840249.544502,36,28.127,30.841000,1279.704000,6,7,2543,54
1760840250.544544,37,28.176,30.914000,1310.618000,6,7,2543,54
1760840251.544543,38,28.209,30.961000,1341.579000,7,7,2543,54
1760840252.544517,39,28.262,30.933000,1372.512000,7,7,2543,54
1760840253.544503,40,28.203,30.966000,1403.478000,7,7,2543,54
1760840254.544502,41,28.198,30.941000,1434.419000,6,6,2543,54
1760840255.544505,42,28.266,31.027000,1465.446000,6,7,2543,54
1760840256.544541,43,28.272,31.014000,1496.460000,6,7,2543,54
1760840257.544530,44,28.273,30.966000,1527.426000,7,7,2543,54
1760840258.544503,45,28.288,31.208000,1558.634000,7,7,2543,54
1760840259.544539,46,28.278,31.207000,1589.841000,7,7,2543,54
1760840260.544502,47,28.299,31.680000,1621.521000,7,7,2543,54
1760840261.544523,48,28.290,31.681000,1653.202000,6,6,2543,54
1760840262.544522,49,28.283,31.916000,1685.118000,7,7,2543,54
1760840263.544612,50,28.320,32.037000,1717.155000,7,7,2543,54
1760840264.544527,51,28.388,32.101000,1749.256000,7,7,2543,54
1760840265.544540,52,28.325,32.210000,1781.466000,7,7,2543,55
