ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760857607.955358,0,21.241,0.000000,0.000000,3,1,1410,47
1760857608.955373,1,26.567,31.218000,31.218000,9,8,1978,49
1760857609.955371,2,28.035,30.875000,62.093000,12,8,2546,49
1760857610.955396,3,28.133,30.293000,92.386000,7,7,2546,50
1760857611.955352,4,27.641,30.360000,122.746000,7,7,2546,50
1760857612.955366,5,27.668,30.384000,153.130000,6,7,2540,50
1760857613.955386,6,27.718,30.419000,183.549000,6,7,2540,50
1760857614.955478,7,27.673,30.509000,214.058000,6,7,2540,50
1760857615.955480,8,27.754,30.541000,244.599000,6,7,2540,51
1760857616.955372,9,27.732,30.589000,275.188000,6,7,2540,51
1760857617.955369,10,27.761,30.514000,305.702000,7,7,2540,51
1760857618.955352,11,27.881,30.570000,336.272000,7,7,2540,51
1760857619.955391,12,27.907,30.560000,366.832000,7,7,2540,51
1760857620.955365,13,27.957,30.814000,397.646000,7,7,2540,51
1760857621.955369,14,27.934,31.036000,428.682000,6,7,2540,52
1760857622.955372,15,27.917,31.333000,460.015000,6,7,2540,52
1760857623.955367,16,27.967,31.537000,491.552000,6,7,2540,52
1760857624.955367,17,27.959,31.727000,523.279000,6,7,2540,52
1760857625.955392,18,27.985,31.922000,555.201000,7,7,2540,52
1760857626.955375,19,28.040,32.110000,587.311000,7,7,2540,52
1760857627.955374,20,28.067,32.285000,619.596000,7,7,2540,52
1760857628.955380,21,28.075,32.561000,652.157000,7,7,2540,53
1760857629.955377,22,28.036,32.717000,684.874000,6,7,2540,53
1760857630.955511,23,28.115,32.794000,717.668000,6,7,2540,53
1760857631.955373,24,28.149,33.032000,750.700000,6,7,2540,53
1760857632.955433,25,28.130,33.199000,783.899000,7,7,2540,53
1760857633.955450,26,28.134,33.310000,817.209000,6,7,2540,53
1760857634.955353,27,28.191,33.556000,850.765000,6,7,2540,53
1760857635.955451,28,28.220,33.677000,884.442000,6,7,2540,53
1760857636.955362,29,28.196,34.001000,918.443000,6,7,2540,53
1760857637.955394,30,28.197,34.211000,952.654000,7,7,2536,53
1760857638.955354,31,28.278,34.396000,987.050000,7,7,2536,53
1760857639.955492,32,28.322,34.537000,1021.587000,7,7,2536,53
1760857640.955738,33,28.278,34.788000,1056.375000,6,7,2536,54
1760857641.955661,34,28.246,35.179000,1091.554000,6,7,2536,54
1760857642.955374,35,28.282,35.357000,1126.911000,6,7,2536,54
1760857643.955351,36,28.265,35.381000,1162.292000,6,6,2536,54
