ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760858440.896813,12.00,196.60,0.000,0.000000,4
1760858441.8968022,2.00,196.60,5.696,5.696335,8
1760858442.896806,7.00,190.75,5.913,11.609040,12
1760858443.8967845,0.00,190.75,5.103,16.711566,12
1760858444.8968065,0.00,190.75,5.113,21.825139,12
1760858445.8968222,1.00,190.75,5.049,26.874504,12
1760858446.896784,0.00,190.75,5.046,31.920328,12
1760858447.8968098,0.00,190.75,5.245,37.165676,12
1760858448.8970091,0.00,190.75,5.059,42.225538,12
1760858449.8972,0.00,190.75,5.031,47.257386,12
1760858450.896824,0.00,190.75,5.057,52.312549,12
1760858451.8970096,0.00,190.75,5.077,57.390844,12
1760858452.8967874,0.00,190.75,5.243,62.633140,12
1760858453.8969235,0.00,190.75,5.117,67.751230,12
1760858454.8970675,0.00,190.75,5.119,72.871456,12
1760858455.896805,1.00,190.75,5.177,78.047529,12
1760858456.8968818,0.00,190.75,5.152,83.200226,12
1760858457.8968148,0.00,190.75,5.265,88.464495,12
1760858458.896802,0.00,190.75,5.109,93.573307,12
1760858459.8967824,0.00,190.75,5.147,98.720633,12
1760858460.8968074,0.00,190.75,5.157,103.877968,12
1760858461.8967845,0.00,190.75,5.287,109.165308,12
1760858462.896802,0.00,190.75,5.288,114.453259,12
1760858463.8968847,1.00,190.75,5.197,119.650877,12
1760858464.896804,0.00,190.75,5.130,124.780625,12
1760858465.897378,0.00,190.75,5.114,129.897250,12
1760858466.8967857,0.00,190.75,5.099,134.993550,12
1760858467.8969305,0.00,190.75,5.355,140.349555,12
1760858468.8967893,0.00,190.75,5.124,145.473016,12
1760858469.8969738,0.00,190.75,5.080,150.553752,12
1760858470.8968234,0.00,190.75,5.147,155.699491,12
1760858471.8969016,0.00,190.75,5.129,160.828872,12
1760858472.8969786,0.00,190.75,5.383,166.212404,12
1760858473.896974,1.00,190.75,5.194,171.406360,12
1760858474.8970027,0.00,190.75,5.151,176.557897,12
1760858475.8968081,0.00,190.75,5.130,181.686851,12
1760858476.8968945,0.00,190.75,5.191,186.878549,12
1760858477.896832,0.00,190.75,5.326,192.204403,12
1760858478.89681,0.00,190.75,5.123,197.327314,12
1760858479.89681,0.00,190.75,5.131,202.458527,12
1760858480.8968143,0.00,190.75,5.174,207.632647,12
1760858481.8968027,0.00,190.75,5.210,212.842167,12
1760858482.8968847,0.00,190.75,5.325,218.167410,12
1760858483.8967817,1.00,190.75,5.226,223.392860,12
1760858484.8971205,0.00,190.75,5.158,228.552759,12
1760858485.8971984,1.00,190.75,5.160,233.713635,12
1760858486.8968816,0.00,190.75,5.154,238.866392,12
1760858487.896831,0.00,190.75,5.363,244.229294,12
1760858488.89721,0.00,190.75,5.160,249.391695,12
1760858489.8967824,0.00,190.75,5.165,254.554341,12
1760858490.8968027,0.00,190.75,5.133,259.687689,12
1760858491.8969252,0.00,190.75,5.166,264.854241,12
1760858492.8968031,1.00,190.75,5.323,270.176310,12
1760858493.8968952,0.00,190.75,5.128,275.305020,12
1760858494.8967834,0.00,190.75,5.126,280.430922,12
1760858495.8967857,0.00,190.75,5.284,285.715333,12
1760858496.8968022,0.00,190.75,5.236,290.951037,12
1760858497.896893,0.00,190.75,5.381,296.332127,12
1760858498.8969,0.00,190.75,5.181,301.513022,12
1760858499.8970397,0.00,190.75,5.212,306.725899,12
1760858500.8967996,0.00,190.75,5.184,311.908564,12
1760858501.8968017,1.00,190.75,5.162,317.070111,12
1760858502.8968801,0.00,190.75,5.318,322.388823,12
1760858503.8968818,0.00,190.75,5.173,327.561600,12
1760858504.897202,0.00,190.75,5.177,332.739931,12
1760858505.8968012,0.00,190.75,5.152,337.890309,12
1760858506.896801,0.00,190.75,5.137,343.026892,12
1760858507.8968055,0.00,190.75,5.382,348.408470,12
1760858508.8968136,0.00,190.75,5.140,353.548289,12
1760858509.896807,0.00,190.75,5.173,358.721737,12
1760858510.8967848,0.00,190.75,5.155,363.876998,12
1760858511.8968813,1.00,190.75,5.192,369.069733,12
1760858512.896809,0.00,190.75,5.375,374.444720,12
1760858513.8968062,0.00,190.75,5.135,379.579350,12
1760858514.896807,0.00,190.75,5.187,384.765982,12
1760858515.8968081,0.00,190.75,5.195,389.960915,12
1760858516.8967855,0.00,190.75,5.187,395.148158,12
1760858517.8968875,0.00,190.75,5.366,400.514233,12
1760858518.896895,0.00,190.75,5.181,405.695128,12
1760858519.896888,0.00,190.75,5.255,410.949997,12
1760858520.8968089,0.00,190.75,5.248,416.197726,12
1760858521.8968878,0.00,190.75,5.129,421.327290,12
1760858522.8969088,1.00,190.75,5.332,426.659308,12
1760858523.8967826,0.00,190.75,5.086,431.744988,12
1760858524.89681,1.00,190.75,5.079,436.823710,12
1760858525.8967822,0.00,190.75,5.048,441.871793,12
1760858526.8968048,0.00,190.75,5.152,447.024002,12
1760858527.8970041,0.00,190.75,5.240,452.264833,12
1760858528.8968003,0.00,190.75,4.992,457.255848,12
1760858529.8968894,0.00,190.75,4.972,462.228675,12
1760858530.896825,0.00,190.75,4.921,467.149133,12
1760858531.896881,0.00,190.75,5.020,472.169750,12
1760858532.896803,0.00,190.75,5.109,477.278685,12
1760858533.8968,0.00,190.75,4.929,482.207688,12
1760858534.8968713,0.00,190.75,5.305,487.513156,12
1760858535.8967822,18.00,200.75,5.080,492.592855,12
1760858536.8968,3.00,200.75,5.502,498.095282,16
1760858537.8967993,0.00,200.75,5.441,503.536186,16
1760858538.8971455,0.00,200.75,5.311,508.848611,16
1760858539.8968797,3.00,200.75,5.313,514.160487,20
1760858540.8967957,5.00,200.75,6.414,520.574167,24
1760858541.8968897,0.00,200.75,5.649,526.223567,24
1760858542.8971555,0.00,200.75,5.666,531.891277,24
1760858543.8967965,0.00,200.75,5.438,537.327481,24
1760858544.896824,1.00,200.75,5.431,542.758559,24
1760858545.896847,0.00,200.75,5.464,548.222290,24
1760858546.8967845,0.00,200.75,5.397,553.619249,24
1760858547.896786,0.00,200.75,5.601,559.219881,24
1760858548.896809,0.00,200.75,5.404,564.624225,24
1760858549.8969243,0.00,200.75,5.362,569.986761,24
1760858550.8970737,0.00,200.75,5.390,575.377311,24
1760858551.8968801,0.00,200.75,5.444,580.820290,24
1760858552.8967826,0.00,200.75,5.608,586.427881,24
1760858553.8967984,0.00,200.75,5.405,591.833079,24
1760858554.8967872,1.00,200.75,5.392,597.224789,24
1760858555.8968086,0.00,200.75,5.373,602.598188,24
1760858556.8967981,0.00,200.75,5.425,608.023589,24
1760858557.8967867,0.00,200.75,5.556,613.579056,24
1760858558.8968143,0.00,200.75,5.551,619.129884,24
1760858559.8968902,0.00,200.75,5.463,624.593493,24
1760858560.8967872,0.00,200.75,5.433,630.026097,24
1760858561.896818,1.00,200.75,5.459,635.485128,24
1760858562.8970842,0.00,200.75,5.592,641.078375,24
1760858563.8968043,1.00,200.75,5.465,646.541435,24
1760858564.8967893,0.00,200.75,5.439,651.980569,24
1760858565.896783,0.00,200.75,5.384,657.364833,24
1760858566.89681,0.00,200.75,5.383,662.747754,24
1760858567.8968978,0.00,200.75,5.606,668.354490,24
1760858568.8969553,0.00,200.75,5.458,673.812423,24
1760858569.8970306,0.00,200.75,5.392,679.204377,24
1760858570.897138,0.00,200.75,5.477,684.682268,24
1760858571.8968804,0.00,200.75,5.465,690.146060,24
1760858572.8968139,0.00,200.75,5.417,695.562916,24
1760858573.896827,0.00,200.75,5.179,700.741492,24
1760858574.8967857,0.00,200.75,5.151,705.892541,24
1760858575.896802,0.00,200.75,5.208,711.100779,24
1760858576.8968039,0.00,200.75,5.188,716.288754,24
1760858577.8968956,0.00,200.75,5.323,721.611861,24
1760858578.8968065,1.00,200.75,5.153,726.764496,24
1760858579.8968072,0.00,200.75,5.201,731.965289,24
1760858580.8969004,1.00,200.75,5.158,737.123296,24
1760858581.8967981,0.00,200.75,5.189,742.311393,24
1760858582.8968098,0.00,200.75,5.359,747.670632,24
1760858583.8967977,0.00,200.75,5.251,752.921900,24
1760858584.8967865,0.00,200.75,5.143,758.065198,24
1760858585.8967867,0.00,200.75,5.121,763.186400,24
1760858586.8969798,0.00,200.75,5.128,768.314988,24
