ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760867693.544341,25.00,359.59,0.000,0.000000,4
1760867694.544359,3.00,359.84,5.686,5.686508,8
1760867695.5443592,11.00,360.84,5.882,11.568696,12
1760867696.5444374,1.00,360.84,5.152,16.721209,12
1760867697.54444,0.00,360.84,5.148,21.869389,12
1760867698.544349,0.00,360.84,5.314,27.183341,12
1760867699.5443363,0.00,360.84,5.104,32.287148,12
1760867700.5444431,0.00,360.84,5.147,37.434962,12
1760867701.5443485,0.00,360.84,5.087,42.521558,12
1760867702.544338,0.00,360.84,5.084,47.605652,12
1760867703.544377,0.00,360.84,5.262,52.867967,12
1760867704.5443385,1.00,360.84,5.172,58.040134,12
1760867705.5443382,0.00,360.84,5.113,63.153036,12
1760867706.5443363,0.00,360.84,5.158,68.310555,12
1760867707.5443397,0.00,360.84,5.101,73.411677,12
1760867708.5443761,1.00,360.84,5.327,78.739056,12
1760867709.544349,0.00,360.84,5.172,83.910918,12
1760867710.544337,0.00,360.84,5.116,89.027237,12
1760867711.5443516,0.00,360.84,5.300,94.327334,12
1760867712.54446,0.00,360.84,5.114,99.441762,12
1760867713.544342,0.00,360.84,5.336,104.777197,12
1760867714.5443368,0.00,360.84,5.124,109.901452,12
1760867715.5443342,0.00,360.84,5.185,115.086314,12
1760867716.5443769,0.00,360.84,5.128,120.214658,12
1760867717.5443606,0.00,360.84,5.158,125.372298,12
1760867718.5443342,0.00,360.84,5.343,130.715424,12
1760867719.5443566,1.00,360.84,5.203,135.918353,12
1760867720.544356,0.00,360.84,5.137,141.055486,12
1760867721.5443587,0.00,360.84,5.111,146.166923,12
1760867722.5443664,0.00,360.84,5.121,151.288248,12
1760867723.5443702,0.00,360.84,5.378,156.666163,12
1760867724.5443375,0.00,360.84,5.149,161.814893,12
1760867725.544341,0.00,360.84,5.237,167.051513,12
1760867726.544335,0.00,360.84,5.183,172.234483,12
1760867727.5443552,0.00,360.84,5.144,177.378757,12
1760867728.544454,0.00,360.84,5.326,182.705587,12
1760867729.5444772,0.00,360.84,5.177,187.883002,12
1760867730.5443363,0.00,360.84,5.166,193.048761,12
1760867731.544335,1.00,360.84,5.144,198.192607,12
1760867732.544345,0.00,360.84,5.162,203.354459,12
1760867733.544369,0.00,360.84,5.332,208.687026,12
1760867734.5443459,1.00,360.84,5.168,213.855226,12
1760867735.5443604,0.00,360.84,5.155,219.009876,12
1760867736.5443513,0.00,360.84,5.131,224.140661,12
1760867737.5443363,0.00,360.84,5.120,229.260155,12
1760867738.5443342,0.00,360.84,5.377,234.636850,12
1760867739.5443413,0.00,360.84,5.195,239.831417,12
1760867740.5443559,0.00,360.84,5.127,244.958052,12
1760867741.5446887,1.00,360.84,5.140,250.099396,12
1760867742.5443423,0.00,360.84,5.182,255.279314,12
1760867743.544343,0.00,360.84,5.329,260.607914,12
1760867744.544347,0.00,360.84,5.126,265.734244,12
1760867745.5443394,0.00,360.84,5.140,270.874062,12
1760867746.5443366,0.00,360.84,5.285,276.158961,12
1760867747.5447028,0.00,360.84,5.238,281.398510,12
1760867748.5443397,0.00,360.84,5.370,286.766416,12
1760867749.5444636,0.00,360.84,5.180,291.947250,12
1760867750.5444794,1.00,360.84,5.169,297.116610,12
1760867751.544501,0.00,360.84,5.211,302.327473,12
1760867752.544435,0.00,360.84,5.176,307.503485,12
1760867753.5443416,0.00,360.84,5.372,312.875480,12
1760867754.544354,0.00,360.84,5.211,318.086282,12
1760867755.5444498,0.00,360.84,5.139,323.225429,12
1760867756.5444558,0.00,360.84,5.233,328.458570,12
1760867757.5443335,0.00,360.84,5.248,333.705749,12
1760867758.544808,0.00,360.84,5.339,339.046800,12
1760867759.5443335,0.00,360.84,5.181,344.225681,12
1760867760.5443344,0.00,360.84,5.211,349.437032,12
1760867761.5443947,1.00,360.84,5.246,354.683357,12
1760867762.5443342,0.00,360.84,5.127,359.809808,12
1760867763.544359,0.00,360.84,5.350,365.159770,12
1760867764.5443504,0.00,360.84,5.223,370.382657,12
1760867765.544338,0.00,360.84,5.175,375.557144,12
1760867766.5443513,0.00,360.84,5.219,380.776307,12
1760867767.5443354,0.00,360.84,5.169,385.944873,12
1760867768.5443532,0.00,360.84,5.411,391.355504,12
1760867769.5443335,0.00,360.84,5.219,396.574241,12
1760867770.5443764,0.00,360.84,5.185,401.759347,12
1760867771.5443783,1.00,360.84,5.240,406.999019,12
1760867772.5443335,0.00,360.84,5.207,412.206220,12
1760867773.5443366,0.00,360.84,5.369,417.575163,12
1760867774.5443335,0.00,360.84,5.163,422.738236,12
1760867775.5443604,0.00,360.84,5.147,427.885440,12
1760867776.5447397,0.00,360.84,5.118,433.004995,12
1760867777.5444982,1.00,360.84,5.109,438.112403,12
1760867778.5443347,0.00,360.84,5.230,443.341882,12
1760867779.5443563,0.00,360.84,5.241,448.582713,12
1760867780.544338,1.00,360.84,5.060,453.642515,12
1760867781.5443573,0.00,360.84,5.065,458.707321,12
1760867782.544377,0.00,360.84,4.976,463.683688,12
1760867783.5447576,0.00,360.84,5.139,468.824849,12
1760867784.5443404,0.00,360.84,5.037,473.859565,12
1760867785.544357,0.00,360.84,4.942,478.801508,12
1760867786.5443618,0.00,360.84,4.919,483.720868,12
1760867787.5443516,0.00,360.84,5.370,489.091155,12
1760867788.544455,3.00,362.34,5.176,494.268082,12
1760867789.5443366,3.00,362.34,5.280,499.547854,16
1760867790.5444963,1.00,362.34,5.637,505.185413,16
1760867791.5443587,1.00,362.34,5.345,510.529393,16
1760867792.5443387,3.00,362.34,5.766,516.295614,20
1760867793.5443423,3.00,362.59,6.058,522.353216,24
1760867794.5443578,0.00,362.59,5.236,527.589225,24
1760867795.5443344,0.00,362.59,5.166,532.755472,24
1760867796.5443368,0.00,362.59,5.167,537.922329,24
1760867797.5443468,0.00,362.59,5.176,543.098463,24
1760867798.54434,0.00,362.59,5.354,548.452575,24
1760867799.5443747,0.00,362.59,5.202,553.655076,24
1760867800.5443377,1.00,362.59,5.239,558.893710,24
1760867801.5443566,0.00,362.59,5.159,564.052450,24
1760867802.544357,1.00,362.59,5.218,569.270454,24
1760867803.5443404,0.00,362.59,5.309,574.578973,24
1760867804.5443575,0.00,362.59,5.204,579.783000,24
1760867805.5443423,0.00,362.59,5.193,584.975980,24
1760867806.5443342,0.00,362.59,5.114,590.089859,24
1760867807.5451543,0.00,362.59,5.197,595.291505,24
1760867808.5443375,0.00,362.59,5.328,600.615527,24
1760867809.5445452,0.00,362.59,5.151,605.767980,24
1760867810.5443366,0.00,362.59,5.179,610.946250,24
1760867811.5443363,0.00,362.59,5.188,616.134653,24
1760867812.544752,0.00,362.59,5.146,621.282955,24
1760867813.5443332,0.00,362.59,5.354,626.634931,24
1760867814.5443358,1.00,362.59,5.183,631.818389,24
1760867815.54434,0.00,362.59,5.325,637.142961,24
1760867816.5443573,0.00,362.59,5.153,642.295719,24
1760867817.5443542,0.00,362.59,5.232,647.527578,24
1760867818.5443397,0.00,362.59,5.335,652.862342,24
1760867819.5443568,0.00,362.59,5.168,658.030542,24
1760867820.5443416,0.00,362.59,5.158,663.188487,24
1760867821.5443614,0.00,362.59,5.271,668.459470,24
1760867822.5443444,0.00,362.59,5.192,673.651290,24
1760867823.5443385,0.00,362.59,5.361,679.011994,24
1760867824.5443375,0.00,362.59,5.143,684.154803,24
1760867825.5443575,1.00,362.59,5.158,689.312932,24
1760867826.5443504,0.00,362.59,5.159,694.472282,24
1760867827.5444653,0.00,362.59,5.183,699.656106,24
1760867828.5444698,0.00,362.59,5.368,705.023768,24
1760867829.5443437,0.00,362.59,5.146,710.168958,24
1760867830.5443585,0.00,362.59,5.139,715.307983,24
1760867831.5443385,0.00,362.59,5.200,720.507616,24
1760867832.5443547,1.00,362.59,5.150,725.657749,24
1760867833.544334,0.00,362.59,5.356,731.013143,24
1760867834.5443509,0.00,362.59,5.128,736.141242,24
1760867835.544337,0.00,362.59,5.175,741.316400,24
1760867836.5443347,0.00,362.59,5.187,746.503032,24
1760867837.5443401,0.00,362.59,5.125,751.628324,24
1760867838.5443573,0.00,362.59,5.337,756.965225,24
1760867839.544356,1.00,362.59,5.253,762.218629,24
1760867840.54434,0.00,362.59,5.166,767.384449,24
1760867841.54435,0.00,362.59,5.177,772.561010,24
1760867842.5444405,0.00,362.59,5.145,777.706871,24
1760867843.5443387,0.00,362.59,5.379,783.085519,24
1760867844.5443366,0.00,362.59,5.158,788.243221,24
1760867845.5443726,0.00,362.59,5.128,793.371748,24
1760867846.5443752,0.00,362.59,5.124,798.495453,24
1760867847.5443397,0.00,362.59,5.214,803.709612,24
1760867848.5443344,0.00,362.59,5.405,809.114444,24
1760867849.544494,1.00,362.59,5.151,814.265798,24
1760867850.544341,0.00,362.59,5.182,819.446998,24
1760867851.5443554,0.00,362.59,5.154,824.600916,24
1760867852.544341,0.00,362.59,5.293,829.893932,24
1760867853.5443335,0.00,362.59,5.356,835.249570,24
1760867854.5447738,0.00,362.59,5.154,840.405929,24
1760867855.5443523,0.00,362.59,5.206,845.609834,24
1760867856.544336,0.00,362.59,5.174,850.783344,24
1760867857.5443351,0.00,362.59,5.158,855.941717,24
1760867858.544344,0.00,362.59,5.362,861.303581,24
1760867859.5443656,0.00,362.59,5.173,866.476541,24
1760867860.5443351,0.00,362.59,5.199,871.675686,24
1760867861.5443366,1.00,362.59,5.162,876.837721,24
1760867862.5443335,0.00,362.59,5.158,881.995727,24
1760867863.5445874,0.00,362.59,5.365,887.362108,24
1760867864.544439,0.00,362.59,5.192,892.553379,24
1760867865.5443368,1.00,362.59,5.125,897.677511,24
1760867866.54435,0.00,362.59,5.127,902.804634,24
1760867867.5443366,0.00,362.59,5.177,907.981379,24
1760867868.5443358,0.00,362.59,5.369,913.350872,24
1760867869.5445151,0.00,362.59,5.187,918.538603,24
1760867870.544335,0.00,362.59,5.150,923.687271,24
1760867871.5443487,0.00,362.59,5.034,928.721316,24
1760867872.5444326,1.00,362.59,5.094,933.815907,24
1760867873.5443401,0.00,362.59,5.507,939.321997,24
1760867874.544338,0.00,362.59,5.338,944.660423,24
1760867875.5443528,0.00,362.59,5.160,949.820871,24
1760867876.5445082,0.00,362.59,5.088,954.909664,24
1760867877.5444763,0.00,362.59,5.096,960.005660,24
