ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760872136.165190,0,21.116,0.000000,0.000000,17,8,1413,49
1760872137.165197,1,28.283,33.246000,33.246000,16,10,1980,50
1760872138.165311,2,28.284,32.609000,65.855000,9,8,2548,50
1760872139.165168,3,28.063,32.265000,98.120000,6,7,2548,50
1760872140.165170,4,27.697,32.403000,130.523000,6,7,2548,51
1760872141.165172,5,27.749,32.441000,162.964000,8,7,2542,51
1760872142.165271,6,27.739,32.519000,195.483000,7,7,2542,51
1760872143.165173,7,27.760,32.785000,228.268000,7,7,2542,51
1760872144.165200,8,27.796,32.885000,261.153000,7,7,2542,51
1760872145.165195,9,27.847,33.170000,294.323000,6,7,2542,51
1760872146.165173,10,27.791,33.414000,327.737000,7,7,2542,52
1760872147.165171,11,27.935,33.641000,361.378000,7,7,2542,52
1760872148.165249,12,27.997,33.984000,395.362000,7,7,2542,52
1760872149.165267,13,28.020,34.142000,429.504000,7,7,2542,52
1760872150.165487,14,27.950,34.320000,463.824000,6,6,2542,52
1760872151.165275,15,27.983,34.710000,498.534000,6,7,2542,52
1760872152.165201,16,28.016,34.819000,533.353000,6,7,2542,53
1760872153.165195,17,28.026,34.906000,568.259000,7,7,2542,53
1760872154.165314,18,28.055,35.088000,603.347000,7,7,2542,53
1760872155.165172,19,28.113,35.391000,638.738000,7,7,2542,53
1760872156.165186,20,28.108,35.442000,674.180000,7,7,2542,53
1760872157.165171,21,28.078,35.695000,709.875000,5,6,2542,53
1760872158.165220,22,28.095,35.906000,745.781000,6,7,2542,53
1760872159.165196,23,28.210,36.265000,782.046000,7,7,2542,53
1760872160.165192,24,28.332,36.467000,818.513000,7,7,2542,53
1760872161.165189,25,28.258,36.693000,855.206000,7,7,2542,53
1760872162.165174,26,28.294,36.954000,892.160000,7,7,2542,53
1760872163.165213,27,28.335,37.061000,929.221000,6,7,2542,54
1760872164.165336,28,28.317,37.382000,966.603000,6,6,2542,54
1760872165.165194,29,28.355,37.550000,1004.153000,7,7,2542,54
1760872166.165169,30,28.373,37.740000,1041.893000,7,7,2542,54
1760872167.165185,31,28.381,38.054000,1079.947000,7,7,2542,54
1760872168.165578,32,28.404,38.583000,1118.530000,6,7,2542,54
1760872169.165196,33,28.340,38.606000,1157.136000,6,7,2542,54
1760872170.165522,34,28.321,38.430000,1195.566000,6,7,2542,54
1760872171.165396,35,28.213,38.612000,1234.178000,6,7,2542,54
1760872172.165170,36,28.217,38.716000,1272.894000,7,7,2542,54
1760872173.165173,37,28.199,38.751000,1311.645000,7,7,2542,55
1760872174.165208,38,28.164,38.986000,1350.631000,7,7,2542,55
1760872175.165175,39,28.318,39.357000,1389.988000,7,7,2542,55
1760872176.165170,40,28.355,39.641000,1429.629000,6,6,2542,55
1760872177.165182,41,28.423,31.087000,1460.716000,7,7,2542,55
1760872178.165196,42,28.460,31.223000,1491.939000,7,7,2542,55
1760872179.165164,43,28.475,31.273000,1523.212000,7,7,2542,55
1760872180.165278,44,28.457,31.231000,1554.443000,6,7,2542,55
1760872181.165191,45,28.400,31.097000,1585.540000,6,6,2542,55
1760872182.165199,46,28.452,31.213000,1616.753000,6,7,2542,55
1760872183.165193,47,28.468,31.227000,1647.980000,6,7,2542,55
1760872184.165173,48,28.444,31.094000,1679.074000,7,7,2542,55
1760872185.165503,49,28.493,31.151000,1710.225000,6,7,2542,55
1760872186.165171,50,28.470,31.323000,1741.548000,6,7,2542,55
1760872187.165169,51,28.499,31.330000,1772.878000,7,7,2542,55
1760872188.165278,52,28.476,31.317000,1804.195000,6,7,2542,55
1760872189.165170,53,28.424,31.187000,1835.382000,7,7,2542,55
1760872190.165170,54,28.514,31.312000,1866.694000,7,7,2542,55
1760872191.165169,55,28.519,31.411000,1898.105000,7,7,2542,55
1760872192.165184,56,28.450,31.616000,1929.721000,6,6,2542,55
1760872193.165197,57,28.439,31.780000,1961.501000,6,7,2542,55
1760872194.165169,58,28.456,32.188000,1993.689000,6,7,2542,55
1760872195.165337,59,28.494,32.103000,2025.792000,6,7,2542,55
1760872196.165303,60,28.550,32.429000,2058.221000,7,7,2542,55
1760872197.165232,61,28.471,32.484000,2090.705000,7,7,2542,55
1760872198.165282,62,28.481,32.652000,2123.357000,6,7,2542,55
1760872199.165173,63,28.478,32.856000,2156.213000,6,7,2542,56
1760872200.165169,64,28.490,32.954000,2189.167000,7,7,2542,56
1760872201.165169,65,28.516,33.141000,2222.308000,7,7,2542,56
1760872202.165175,66,28.558,33.347000,2255.655000,7,7,2542,56
1760872203.165173,67,28.533,33.595000,2289.250000,7,7,2542,55
1760872204.165195,68,28.483,33.746000,2322.996000,6,7,2542,56
1760872205.165191,69,28.446,33.999000,2356.995000,6,7,2542,56
1760872206.165192,70,28.566,34.216000,2391.211000,7,7,2542,56
1760872207.165183,71,28.585,34.371000,2425.582000,7,7,2542,56
1760872208.165195,72,28.513,34.547000,2460.129000,6,6,2540,56
1760872209.165170,73,28.436,34.803000,2494.932000,6,6,2540,56
1760872210.165436,74,28.579,35.023000,2529.955000,6,7,2540,56
1760872211.165191,75,28.614,35.416000,2565.371000,7,7,2540,56
1760872212.165514,76,28.565,35.328000,2600.699000,6,7,2540,56
1760872213.165191,77,28.508,35.675000,2636.374000,7,7,2540,56
1760872214.165184,78,28.538,35.645000,2672.019000,6,7,2540,56
1760872215.165179,79,28.575,35.991000,2708.010000,6,7,2540,56
1760872216.165170,80,28.578,36.079000,2744.089000,7,7,2540,56
1760872217.165172,81,28.582,36.271000,2780.360000,7,7,2540,56
1760872218.165174,82,28.599,36.253000,2816.613000,7,7,2540,56
1760872219.165172,83,27.190,34.573000,2851.186000,5,6,2540,56
1760872220.165174,84,26.776,35.164000,2886.350000,5,6,2540,56
1760872221.165217,85,26.590,35.604000,2921.954000,6,5,2540,56
1760872222.165168,86,26.531,34.423000,2956.377000,4,6,2540,56
1760872223.165349,87,24.538,33.451000,2989.828000,4,6,2540,55
1760872224.165173,88,24.557,33.662000,3023.490000,4,5,2540,56
1760872225.165208,89,25.379,35.307000,3058.797000,4,5,2540,56
1760872226.165562,90,26.264,35.833000,3094.630000,3,5,2540,56
1760872227.165526,91,26.265,36.238000,3130.868000,3,4,2650,56
1760872228.165185,92,26.338,36.386000,3167.254000,3,5,2650,56
1760872229.165174,93,26.126,36.068000,3203.322000,3,5,2650,55
1760872230.165202,94,26.266,36.704000,3240.026000,3,5,1972,55
1760872231.165266,95,26.599,36.910000,3276.936000,4,5,2096,56
1760872232.165204,96,27.212,30.075000,3307.011000,4,5,2650,56
1760872233.165171,97,26.776,37.629000,3344.640000,6,6,2387,56
1760872234.165185,98,27.177,38.587000,3383.227000,5,6,1404,56
1760872235.165207,99,27.817,38.586000,3421.813000,6,7,1404,56
1760872236.165173,100,28.328,31.475000,3453.288000,14,10,2195,56
1760872237.165170,101,29.693,32.064000,3485.352000,6,7,2540,56
1760872238.165176,102,28.675,31.455000,3516.807000,7,7,2540,56
1760872239.165171,103,28.685,31.461000,3548.268000,7,7,2540,56
1760872240.165193,104,28.763,31.502000,3579.770000,7,7,2540,56
1760872241.165174,105,28.757,31.506000,3611.276000,7,7,2540,56
1760872242.165449,106,28.775,31.561000,3642.837000,6,7,2540,56
1760872243.165192,107,28.762,31.643000,3674.480000,7,7,2540,56
1760872244.165268,108,28.801,31.593000,3706.073000,7,7,2540,56
1760872245.165188,109,28.847,31.555000,3737.628000,7,7,2540,56
1760872246.165174,110,28.899,31.622000,3769.250000,7,7,2540,56
1760872247.165191,111,28.830,31.530000,3800.780000,6,7,2540,56
1760872248.165169,112,28.772,31.454000,3832.234000,6,7,2540,56
1760872249.165394,113,28.746,31.458000,3863.692000,6,7,2540,56
1760872250.165167,114,28.807,31.987000,3895.679000,6,7,2540,56
1760872251.165190,115,28.826,31.882000,3927.561000,7,7,2540,56
1760872252.165168,116,28.837,32.308000,3959.869000,6,7,2540,56
1760872253.165172,117,28.812,32.392000,3992.261000,6,7,2540,56
1760872254.165196,118,28.797,32.518000,4024.779000,6,7,2540,56
1760872255.165277,119,28.766,32.480000,4057.259000,6,7,2540,57
