ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760827444.9404716,25.00,159.86,0.000,0.000000,4
1760827445.9404461,18.00,160.11,6.389,6.388839,8
1760827446.9404569,17.00,160.11,6.306,12.694792,12
1760827447.9408517,0.00,160.11,5.364,18.060684,12
1760827448.9404674,0.00,160.11,5.542,23.600709,12
1760827449.9404666,0.00,160.11,5.366,28.966662,12
1760827450.9405518,1.00,160.11,5.409,34.376255,12
1760827451.9407504,1.00,160.11,5.362,39.739218,12
1760827452.9405665,0.00,160.11,5.374,45.112312,12
1760827453.940462,0.00,160.11,5.548,50.659844,12
1760827454.9404662,0.00,160.11,5.386,56.045755,12
1760827455.9404671,0.00,160.11,5.416,61.461757,12
1760827456.9404666,0.00,160.11,5.363,66.824964,12
1760827457.9404657,0.00,160.11,5.359,72.183654,12
1760827458.9404466,0.00,160.11,5.571,77.754440,12
1760827459.940447,0.00,160.11,5.384,83.138093,12
1760827460.9404442,0.00,160.11,5.424,88.562457,12
1760827461.940469,0.00,160.11,5.391,93.954045,12
1760827462.9404633,0.00,160.11,5.392,99.345632,12
1760827463.9404752,0.00,160.11,5.590,104.936011,12
1760827464.9404657,0.00,160.11,5.321,110.256737,12
1760827465.9404423,1.00,160.11,5.341,115.597422,12
1760827466.9404652,0.00,160.11,5.361,120.958553,12
1760827467.9404464,0.00,160.11,5.331,126.288984,12
1760827468.9404604,0.00,160.11,5.540,131.829009,12
1760827469.9404423,0.00,160.11,5.419,137.247757,12
1760827470.9404507,0.00,160.11,5.377,142.625246,12
1760827471.9404466,0.00,160.11,5.371,147.996570,12
1760827472.9404452,1.00,160.11,5.381,153.377782,12
1760827473.9404635,0.00,160.11,5.602,158.980184,12
1760827474.9405537,0.00,160.11,5.430,164.410407,12
1760827475.9404783,0.00,160.11,5.369,169.778680,12
1760827476.9404635,1.00,160.11,5.432,175.210245,12
1760827477.9404323,0.00,160.11,5.355,180.565456,12
1760827478.9404745,0.00,160.11,5.616,186.181775,12
1760827479.9404647,0.00,160.11,5.367,191.548765,12
1760827480.9405446,0.00,160.11,5.403,196.952011,12
1760827481.940469,0.00,160.11,5.579,202.530732,12
1760827482.9404676,0.00,160.11,5.428,207.958391,12
1760827483.9404464,0.00,160.11,5.542,213.500003,12
1760827484.9404423,0.00,160.11,5.397,218.897389,12
1760827485.9404688,0.00,160.11,5.407,224.304968,12
1760827486.9404492,0.00,160.11,5.455,229.759544,12
1760827487.9404762,0.00,160.11,5.384,235.143747,12
1760827488.940557,1.00,160.11,5.583,240.726862,12
