ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760825165.336339,0,19.539,0.000000,0.000000,47,23,1460,50
1760825166.336347,1,30.646,36.294000,36.294000,6,6,2034,50
1760825167.336330,2,28.201,33.998000,70.292000,6,7,2602,50
1760825168.336332,3,27.633,33.511000,103.803000,7,7,2602,50
1760825169.336330,4,27.708,33.711000,137.514000,7,7,2602,50
1760825170.336341,5,27.724,33.882000,171.396000,7,7,2595,50
1760825171.336334,6,27.743,33.518000,204.914000,7,7,2589,51
1760825172.336372,7,27.791,34.346000,239.260000,6,7,2589,51
1760825173.336330,8,27.829,34.550000,273.810000,6,7,2589,51
1760825174.336490,9,27.837,34.728000,308.538000,7,7,2589,51
1760825175.336507,10,27.807,35.037000,343.575000,6,7,2589,51
1760825176.336330,11,27.859,35.268000,378.843000,6,7,2589,51
1760825177.336331,12,27.883,35.449000,414.292000,7,7,2589,52
1760825178.336336,13,27.881,35.610000,449.902000,6,7,2589,52
1760825179.336443,14,27.922,35.734000,485.636000,7,7,2589,52
1760825180.336335,15,28.052,36.236000,521.872000,7,7,2589,52
1760825181.336347,16,27.992,36.318000,558.190000,7,7,2589,52
1760825182.336462,17,27.956,36.609000,594.799000,7,7,2589,52
1760825183.336461,18,27.924,36.631000,631.430000,6,7,2589,52
1760825184.336351,19,27.998,36.938000,668.368000,6,7,2589,52
1760825185.336331,20,27.981,37.135000,705.503000,6,6,2589,52
1760825186.336345,21,28.007,37.341000,742.844000,7,7,2589,52
1760825187.336331,22,28.014,37.462000,780.306000,7,7,2589,53
1760825188.336330,23,28.089,37.674000,817.980000,7,7,2589,53
1760825189.336349,24,28.111,37.950000,855.930000,7,7,2589,53
1760825190.336332,25,28.152,38.147000,894.077000,7,7,2589,53
1760825191.336331,26,28.086,38.287000,932.364000,7,7,2589,53
1760825192.336348,27,28.182,38.522000,970.886000,6,7,2589,53
1760825193.336335,28,28.169,38.738000,1009.624000,7,7,2589,53
1760825194.336330,29,28.151,38.835000,1048.459000,7,7,2589,53
1760825195.336358,30,28.090,39.127000,1087.586000,6,7,2589,53
1760825196.336336,31,28.178,39.313000,1126.899000,6,7,2589,53
1760825197.336741,32,28.205,39.377000,1166.276000,7,7,2589,53
1760825198.336458,33,28.221,30.768000,1197.044000,7,7,2589,54
1760825199.336372,34,28.242,30.942000,1227.986000,7,7,2589,54
1760825200.336335,35,28.299,30.883000,1258.869000,7,7,2589,54
1760825201.336330,36,28.277,31.018000,1289.887000,7,7,2589,54
1760825202.336330,37,28.294,31.004000,1320.891000,6,7,2589,54
1760825203.336436,38,28.269,30.998000,1351.889000,7,7,2589,54
1760825204.336331,39,28.326,30.990000,1382.879000,6,7,2589,54
1760825205.336332,40,28.333,31.160000,1414.039000,6,7,2589,54
1760825206.336337,41,28.352,31.084000,1445.123000,7,7,2589,54
1760825207.336334,42,28.365,31.062000,1476.185000,6,7,2589,54
1760825208.336350,43,28.365,31.152000,1507.337000,6,7,2589,54
1760825209.336490,44,28.368,31.110000,1538.447000,6,7,2589,54
1760825210.336330,45,28.371,31.191000,1569.638000,8,7,2589,54
1760825211.336334,46,28.425,31.375000,1601.013000,7,7,2589,54
1760825212.336335,47,28.495,31.640000,1632.653000,7,7,2589,54
1760825213.336359,48,28.403,31.732000,1664.385000,7,7,2589,54
1760825214.336319,49,28.399,31.926000,1696.311000,6,6,2589,55
1760825215.336356,50,28.476,32.240000,1728.551000,7,7,2589,55
1760825216.336343,51,28.484,32.097000,1760.648000,7,7,2589,55
1760825217.336332,52,28.448,32.277000,1792.925000,6,7,2589,55
1760825218.336334,53,28.345,32.332000,1825.257000,6,7,2589,55
1760825219.336501,54,28.462,32.568000,1857.825000,6,7,2589,55
1760825220.336352,55,28.492,33.013000,1890.838000,6,7,2589,55
1760825221.336332,56,28.461,35.922000,1926.760000,6,7,2589,55
1760825222.336356,57,28.438,28.506000,1955.266000,7,7,2589,55
1760825223.336335,58,28.519,28.835000,1984.101000,7,7,2589,55
1760825224.336354,59,28.534,28.713000,2012.814000,7,7,2589,55
1760825225.336338,60,28.519,28.856000,2041.670000,7,7,2589,55
1760825226.336335,61,28.520,29.013000,2070.683000,6,7,2589,55
1760825227.336346,62,28.563,29.184000,2099.867000,6,7,2589,55
1760825228.336332,63,28.580,29.361000,2129.228000,6,7,2589,55
1760825229.336360,64,28.549,29.622000,2158.850000,6,7,2589,55
1760825230.336337,65,28.532,29.739000,2188.589000,6,7,2589,55
1760825231.336362,66,28.534,30.084000,2218.673000,6,7,2589,55
1760825232.336330,67,28.525,30.691000,2249.364000,7,7,2589,55
1760825233.336330,68,28.521,30.662000,2280.026000,6,7,2589,55
1760825234.336354,69,28.530,30.712000,2310.738000,7,7,2589,55
1760825235.336335,70,28.625,30.879000,2341.617000,7,7,2589,55
1760825236.336331,71,28.586,30.980000,2372.597000,7,7,2589,55
1760825237.336334,72,28.622,31.177000,2403.774000,7,7,2589,55
1760825238.336374,73,28.557,31.294000,2435.068000,6,7,2589,55
1760825239.336753,74,28.668,31.656000,2466.724000,6,7,2589,55
1760825240.336457,75,28.595,32.150000,2498.874000,6,7,2589,56
1760825241.336330,76,28.623,32.065000,2530.939000,7,7,2589,55
1760825242.336333,77,28.579,32.218000,2563.157000,6,7,2589,56
1760825243.336351,78,28.597,32.322000,2595.479000,6,7,2589,55
1760825244.336447,79,28.632,32.503000,2627.982000,7,7,2589,56
1760825245.336421,80,28.641,32.901000,2660.883000,7,7,2589,55
1760825246.336436,81,28.606,32.907000,2693.790000,7,7,2589,56
1760825247.336343,82,28.601,33.180000,2726.970000,7,7,2589,55
1760825248.336449,83,27.337,31.573000,2758.543000,6,7,2589,55
1760825249.336331,84,26.788,32.122000,2790.665000,6,6,2589,55
1760825250.336353,85,27.534,32.653000,2823.318000,5,6,2589,55
1760825251.336361,86,26.410,31.490000,2854.808000,4,5,2589,55
1760825252.336361,87,26.798,32.298000,2887.106000,5,6,2589,55
1760825253.336335,88,26.749,32.487000,2919.593000,4,5,2589,55
1760825254.336341,89,26.439,32.265000,2951.858000,3,5,2589,55
1760825255.336438,90,26.273,32.447000,2984.305000,3,4,2589,55
1760825256.336332,91,26.391,32.716000,3017.021000,4,5,2589,55
1760825257.336331,92,26.542,29.295000,3046.316000,15,9,2706,55
1760825258.336337,93,26.409,28.876000,3075.192000,3,5,2706,55
1760825259.336339,94,26.266,29.010000,3104.202000,4,5,2705,55
1760825260.336343,95,26.505,29.181000,3133.383000,3,5,2027,55
1760825261.336341,96,26.211,28.795000,3162.178000,3,5,2137,55
1760825262.336331,97,25.433,27.660000,3189.838000,8,3,1263,55
1760825263.336333,98,26.381,29.896000,3219.734000,6,7,1453,55
1760825264.336351,99,28.314,31.206000,3250.940000,9,7,2021,56
1760825265.336330,100,29.320,34.082000,3285.022000,6,7,2589,56
1760825266.336333,101,28.605,31.450000,3316.472000,6,6,2589,56
1760825267.336461,102,28.585,31.247000,3347.719000,6,7,2589,56
1760825268.336330,103,28.613,31.239000,3378.958000,7,7,2589,56
1760825269.336334,104,28.601,31.257000,3410.215000,7,7,2589,56
1760825270.336332,105,28.583,31.469000,3441.684000,6,7,2589,56
1760825271.336334,106,28.545,31.722000,3473.406000,6,6,2589,56
1760825272.336483,107,28.619,31.903000,3505.309000,7,7,2589,56
1760825273.336363,108,28.582,32.086000,3537.395000,7,7,2589,56
1760825274.336344,109,28.678,32.137000,3569.532000,7,7,2589,56
1760825275.336330,110,28.632,32.213000,3601.745000,7,7,2589,56
1760825276.336337,111,28.617,32.390000,3634.135000,6,6,2589,56
1760825277.336335,112,28.551,32.571000,3666.706000,6,6,2589,56
