ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760851964.906816,0,19.208,0.000000,0.000000,0,0,1423,49
1760851965.906815,1,28.440,37.580000,37.580000,13,11,1990,49
1760851966.906858,2,28.390,36.535000,74.115000,6,7,2558,50
1760851967.906840,3,28.076,36.355000,110.470000,7,7,2558,50
1760851968.906928,4,27.704,36.520000,146.990000,7,7,2558,50
1760851969.906827,5,27.699,36.661000,183.651000,7,7,2549,50
1760851970.906827,6,27.686,36.875000,220.526000,6,6,2549,50
1760851971.906812,7,27.661,37.033000,257.559000,6,6,2549,51
1760851972.906929,8,27.750,37.261000,294.820000,6,7,2549,51
1760851973.906818,9,27.763,37.569000,332.389000,6,7,2549,51
1760851974.906814,10,27.686,37.631000,370.020000,7,7,2549,51
1760851975.906847,11,27.795,37.937000,407.957000,7,7,2549,51
1760851976.906832,12,27.798,38.131000,446.088000,7,7,2549,51
1760851977.906839,13,27.907,38.407000,484.495000,7,7,2546,52
1760851978.906811,14,27.890,38.525000,523.020000,6,7,2546,52
1760851979.906826,15,27.969,38.717000,561.737000,6,7,2546,52
1760851980.906826,16,28.015,38.914000,600.651000,7,7,2546,52
1760851981.906842,17,27.961,39.180000,639.831000,6,7,2546,52
1760851982.906925,18,27.981,30.735000,670.566000,6,7,2546,52
1760851983.906919,19,28.017,30.763000,701.329000,6,7,2546,52
1760851984.906833,20,27.996,30.735000,732.064000,6,6,2546,53
1760851985.906826,21,28.037,30.725000,762.789000,6,7,2546,52
1760851986.906829,22,28.006,30.738000,793.527000,7,7,2546,53
1760851987.906811,23,28.131,30.855000,824.382000,7,7,2546,53
1760851988.906827,24,28.088,30.760000,855.142000,7,7,2546,53
1760851989.906841,25,28.047,30.655000,885.797000,7,7,2546,53
1760851990.906901,26,28.004,30.778000,916.575000,6,6,2546,53
1760851991.906916,27,28.042,30.841000,947.416000,5,6,2546,53
1760851992.906923,28,28.115,30.910000,978.326000,6,6,2546,53
1760851993.906867,29,28.105,30.832000,1009.158000,6,7,2546,53
1760851994.906911,30,28.156,31.428000,1040.586000,7,7,2546,53
1760851995.906919,31,28.189,30.493000,1071.079000,7,7,2546,53
1760851996.906909,32,28.194,31.349000,1102.428000,6,7,2546,53
1760851997.906818,33,28.216,31.473000,1133.901000,7,7,2546,54
1760851998.906921,34,28.213,31.667000,1165.568000,7,7,2546,54
1760851999.906814,35,28.256,31.828000,1197.396000,7,7,2546,54
1760852000.906852,36,28.215,31.992000,1229.388000,7,7,2546,54
1760852001.906849,37,28.203,32.009000,1261.397000,6,7,2546,54
1760852002.906842,38,28.155,32.231000,1293.628000,6,6,2546,54
1760852003.906829,39,28.260,32.458000,1326.086000,5,6,2546,54
1760852004.906921,40,28.220,32.505000,1358.591000,5,6,2546,54
1760852005.906928,41,28.256,35.605000,1394.196000,6,7,2546,54
1760852006.906923,42,28.265,28.407000,1422.603000,7,7,2546,54
