ts,cpu_percent,rss_mb,power_w,energy_j_total,video_tmp_count
1760853908.4273396,20.00,256.84,0.000,0.000000,4
1760853909.427301,6.00,257.09,5.975,5.974350,8
1760853910.4273171,3.00,250.05,6.022,11.996734,12
1760853911.427298,0.00,250.05,5.566,17.563065,12
1760853912.427324,0.00,250.05,5.392,22.954836,12
1760853913.4272978,0.00,250.05,5.318,28.272328,12
1760853914.4272962,0.00,250.05,5.281,33.552893,12
1760853915.427299,0.00,250.05,5.264,38.816551,12
1760853916.4273207,1.00,250.05,5.465,44.281625,12
1760853917.4273176,0.00,250.05,5.306,49.587458,12
1760853918.4272995,0.00,250.05,5.277,54.864728,12
1760853919.427323,0.00,250.05,5.277,60.141814,12
1760853920.4272976,0.00,250.05,5.306,65.447342,12
1760853921.4273214,0.00,250.05,5.435,70.882570,12
1760853922.427302,0.00,250.05,5.265,76.147815,12
1760853923.4272976,0.00,250.05,5.337,81.484716,12
1760853924.4275305,0.00,250.05,5.453,86.939108,12
1760853925.4272954,0.00,250.05,5.293,92.230477,12
1760853926.4272978,0.00,250.05,5.486,97.716852,12
1760853927.427297,1.00,250.05,5.335,103.051799,12
1760853928.4273217,0.00,250.05,5.359,108.410672,12
1760853929.427304,0.00,250.05,5.324,113.734694,12
1760853930.4273014,0.00,250.05,5.322,119.056580,12
1760853931.427301,0.00,250.05,5.447,124.503954,12
1760853932.4273005,0.00,250.05,5.376,129.880405,12
1760853933.4272964,0.00,250.05,5.358,135.238606,12
1760853934.4272964,0.00,250.05,5.317,140.555243,12
1760853935.4273436,0.00,250.05,5.319,145.874138,12
1760853936.4275017,0.00,250.05,5.492,151.367227,12
1760853937.4274018,0.00,250.05,5.333,156.699672,12
1760853938.4272997,0.00,250.05,5.276,161.975293,12
1760853939.4273145,1.00,250.05,5.109,167.084533,12
1760853940.4273024,0.00,250.05,5.127,172.211351,12
1760853941.4273913,0.00,250.05,5.269,177.481113,12
1760853942.4272954,0.00,250.05,5.235,182.715597,12
1760853943.4273548,0.00,250.05,5.084,187.800117,12
1760853944.4273214,0.00,250.05,5.165,192.964655,12
1760853945.4273007,0.00,250.05,5.131,198.095989,12
1760853946.4273205,0.00,250.05,5.241,203.337553,12
1760853947.4272995,0.00,250.05,5.127,208.464859,12
1760853948.4272995,0.00,250.05,5.148,213.613345,12
1760853949.4272988,0.00,250.05,5.196,218.808888,12
1760853950.4272974,1.00,250.05,5.145,223.953528,12
1760853951.4273188,0.00,250.05,5.291,229.245019,12
1760853952.4273942,0.00,250.05,5.200,234.445140,12
1760853953.4274006,0.00,250.05,5.129,239.574643,12
1760853954.427396,0.00,250.05,5.097,244.671981,12
1760853955.427341,0.00,250.05,5.103,249.774934,12
1760853956.4272974,1.00,250.05,5.383,255.157794,12
1760853957.4274156,0.00,250.05,5.168,260.326482,12
1760853958.427298,0.00,250.05,5.153,265.479179,12
1760853959.4273028,0.00,250.05,5.135,270.614358,12
1760853960.4274163,0.00,250.05,5.358,275.972499,12
1760853961.4273267,0.00,250.05,5.331,281.303052,12
1760853962.4276912,0.00,250.05,5.107,286.411925,12
1760853963.4273858,0.00,250.05,5.164,291.574083,12
1760853964.4273484,0.00,250.05,5.177,296.751010,12
1760853965.4274864,0.00,250.05,5.204,301.956136,12
1760853966.4274106,0.00,250.05,5.277,307.233161,12
1760853967.4273047,1.00,250.05,5.158,312.390802,12
1760853968.4273956,0.00,250.05,5.211,317.601848,12
1760853969.427301,0.00,250.05,5.217,322.818082,12
1760853970.4273472,1.00,250.05,5.147,327.965164,12
1760853971.4273033,0.00,250.05,5.341,333.306031,12
1760853972.4274116,0.00,250.05,5.170,338.476184,12
1760853973.4273272,0.00,250.05,5.199,343.674718,12
1760853974.4273252,0.00,250.05,5.162,348.836570,12
1760853975.427304,0.00,250.05,5.222,354.058115,12
1760853976.4273033,1.00,250.05,5.341,359.399471,12
1760853977.4273005,0.00,250.05,5.218,364.617109,12
1760853978.4273489,0.00,250.05,5.228,369.845184,12
1760853979.4273474,0.00,250.05,5.172,375.016862,12
1760853980.4273086,0.00,250.05,5.178,380.194950,12
1760853981.4275553,0.00,250.05,5.347,385.543202,12
1760853982.427325,0.00,250.05,5.195,390.736915,12
1760853983.427396,0.00,250.05,5.198,395.935327,12
1760853984.4273016,0.00,250.05,5.128,401.063304,12
1760853985.427334,0.00,250.05,5.115,406.178648,12
1760853986.4273446,0.00,250.05,5.296,411.475143,12
1760853987.4273024,1.00,250.05,5.265,416.740144,12
1760853988.4273455,0.00,250.05,5.178,421.918598,12
1760853989.4273005,0.00,250.05,5.209,427.127325,12
1760853990.4273021,0.00,250.05,5.141,432.268058,12
1760853991.4273386,0.00,250.05,5.244,437.512308,12
1760853992.4274166,0.00,250.05,5.152,442.664577,12
1760853993.4273047,0.00,250.05,5.038,447.701735,12
1760853994.4274309,0.00,250.05,4.955,452.657411,12
1760853995.427402,0.00,250.05,5.000,457.656970,12
1760853996.427536,1.00,250.05,5.113,462.770300,12
1760853997.4274395,0.00,250.05,4.936,467.706139,12
1760853998.4273007,0.00,250.05,4.930,472.635509,12
1760853999.427349,0.00,250.05,5.016,477.651487,12
1760854000.427428,0.00,250.05,4.944,482.596116,12
1760854001.427683,0.00,250.05,5.012,487.609347,12
1760854002.4273014,0.00,250.05,5.219,492.826192,12
1760854003.427404,4.00,256.30,5.452,498.278876,16
1760854004.4274065,0.00,256.30,5.189,503.467949,16
1760854005.427307,1.00,256.30,5.113,508.580485,16
1760854006.427425,1.00,256.30,5.605,514.186611,16
1760854007.4273386,2.00,256.55,5.655,519.840710,20
1760854008.427311,4.00,256.80,5.930,525.770505,24
1760854009.4275162,0.00,256.80,5.253,531.025008,24
1760854010.4273005,0.00,256.80,5.177,536.200593,24
1760854011.4273012,0.00,256.80,5.359,541.559405,24
1760854012.4273636,1.00,256.80,5.253,546.812565,24
1760854013.4273431,0.00,256.80,5.177,551.989187,24
1760854014.4272997,0.00,256.80,5.195,557.183998,24
1760854015.4273012,0.00,256.80,5.146,562.329737,24
1760854016.4273443,0.00,256.80,5.364,567.694103,24
1760854017.4275115,0.00,256.80,5.182,572.877318,24
1760854018.427345,0.00,256.80,5.140,578.016892,24
1760854019.4273994,0.00,256.80,5.163,583.180514,24
1760854020.4274418,0.00,256.80,5.212,588.392720,24
1760854021.4273016,0.00,256.80,5.317,593.709357,24
1760854022.4273198,0.00,256.80,5.157,598.866875,24
1760854023.4273217,0.00,256.80,5.327,604.194193,24
1760854024.4273338,1.00,256.80,5.234,609.428555,24
1760854025.4273033,0.00,256.80,5.174,614.602369,24
1760854026.427298,0.00,256.80,5.353,619.955444,24
1760854027.427298,0.00,256.80,5.219,625.174608,24
1760854028.4273365,0.00,256.80,5.506,630.680881,24
1760854029.4273012,0.00,256.80,5.269,635.950032,24
1760854030.427335,0.00,256.80,5.184,641.133918,24
1760854031.4273093,0.00,256.80,5.311,646.445000,24
1760854032.4273934,0.00,256.80,5.231,651.676127,24
1760854033.4273148,1.00,256.80,5.206,656.881558,24
1760854034.427319,0.00,256.80,5.227,662.108657,24
1760854035.427414,0.00,256.80,5.279,667.388306,24
1760854036.4272988,0.00,256.80,5.351,672.738878,24
1760854037.427316,0.00,256.80,5.226,677.964573,24
1760854038.4274907,0.00,256.80,5.178,683.143271,24
1760854039.4274113,0.00,256.80,5.223,688.366097,24
1760854040.4273803,0.00,256.80,5.198,693.564081,24
1760854041.4273207,0.00,256.80,5.325,698.888287,24
1760854042.427299,1.00,256.80,5.208,704.096342,24
1760854043.427325,0.00,256.80,5.237,709.333694,24
1760854044.4274986,0.00,256.80,5.158,714.493044,24
1760854045.4273024,1.00,256.80,5.161,719.653431,24
1760854046.4273233,0.00,256.80,5.292,724.945410,24
1760854047.4273021,0.00,256.80,5.221,730.166527,24
1760854048.4273362,0.00,256.80,5.200,735.366648,24
1760854049.4273233,0.00,256.80,5.189,740.555965,24
1760854050.4272978,0.00,256.80,5.149,745.705305,24
1760854051.4274983,0.00,256.80,5.347,751.053131,24
1760854052.4273183,0.00,256.80,5.392,756.443681,24
1760854053.4275272,0.00,256.80,5.233,761.677616,24
1760854054.427347,0.00,256.80,5.189,766.865407,24
1760854055.4273438,1.00,256.80,5.165,772.030494,24
1760854056.4273171,0.00,256.80,5.447,777.477685,24
1760854057.4273221,0.00,256.80,5.216,782.694102,24
1760854058.4273207,0.00,256.80,5.188,787.881711,24
1760854059.4272978,0.00,256.80,5.202,793.083907,24
1760854060.4274178,0.00,256.80,5.225,798.309480,24
1760854061.427397,0.00,256.80,5.371,803.680621,24
1760854062.427393,0.00,256.80,5.218,808.898259,24
1760854063.4274173,0.00,256.80,5.193,814.091239,24
1760854064.427299,0.00,256.80,5.243,819.333230,24
1760854065.4272976,1.00,256.80,5.210,824.543116,24
1760854066.4275994,0.00,256.80,5.345,829.890087,24
1760854067.4274158,0.00,256.80,5.265,835.154417,24
1760854068.4274125,0.00,256.80,5.173,840.326950,24
1760854069.4272985,0.00,256.80,5.169,845.495577,24
1760854070.4272997,0.00,256.80,5.217,850.712117,24
1760854071.4273074,0.00,256.80,5.371,856.082769,24
1760854072.4272962,0.00,256.80,5.255,861.337883,24
1760854073.4273248,1.00,256.80,5.170,866.508158,24
1760854074.4273276,0.00,256.80,5.159,871.666958,24
1760854075.4273307,0.00,256.80,5.212,876.878492,24
1760854076.4273155,0.00,256.80,5.364,882.242004,24
1760854077.4272997,0.00,256.80,5.234,887.475694,24
1760854078.4273183,0.00,256.80,5.170,892.646213,24
1760854079.4273129,0.00,256.80,5.204,897.849874,24
1760854080.4272964,0.00,256.80,5.122,902.971932,24
1760854081.4277282,0.00,256.80,5.345,908.319330,24
1760854082.427298,1.00,256.80,5.185,913.501690,24
1760854083.4273396,0.00,256.80,5.189,918.691374,24
1760854084.4273012,0.00,256.80,5.156,923.846939,24
1760854085.4273663,0.00,256.80,5.111,928.958437,24
1760854086.4273748,0.00,256.80,5.195,934.153614,24
1760854087.427337,0.00,256.80,5.274,939.427099,24
1760854088.4273028,0.00,256.80,5.431,944.857689,24
1760854089.4272995,0.00,256.80,5.261,950.118722,24
1760854090.4273515,0.00,256.80,5.124,955.243282,24
1760854091.4272997,0.00,256.80,5.295,960.538190,24
1760854092.427337,0.00,256.80,5.141,965.679046,24
