ts,cpu_percent,rss_mb,power_w,energy_j_total
1760297065.982284,41.00,259.32,0.000,0.000000
1760297066.9821723,25.00,260.07,5.607,5.606186
1760297067.9822729,13.00,260.07,6.518,12.124358
1760297068.9822903,17.00,260.07,6.411,18.535658
1760297069.9822009,14.00,260.32,6.336,24.870969
1760297070.9823086,0.00,260.32,5.557,30.428816
1760297071.9822032,0.00,260.32,5.375,35.803131
1760297072.9821844,0.00,260.32,5.257,41.060258
1760297073.9825695,0.00,260.32,5.299,46.361514
1760297074.982294,0.00,260.32,5.442,51.801808
1760297075.9822786,1.00,260.32,5.343,57.144324
1760297076.9822834,1.00,260.32,5.331,62.475487
1760297077.982298,0.00,260.32,5.251,67.726145
1760297078.9822068,0.00,260.32,5.285,73.010189
1760297079.9822075,0.00,260.32,5.455,78.465375
1760297080.9821703,0.00,260.32,5.284,83.749480
1760297081.9822845,0.00,260.32,5.273,89.023514
1760297082.9823148,0.00,260.32,5.351,94.374880
1760297083.982168,1.00,260.32,5.274,99.647938
1760297084.9821687,0.00,260.32,5.524,105.172216
1760297085.9822783,0.00,260.32,5.353,110.525351
1760297086.9822078,0.00,260.32,5.314,115.839425
1760297087.9821668,0.00,260.32,5.345,121.184077
1760297088.982172,0.00,260.32,5.278,126.461773
1760297089.9823272,0.00,260.32,5.480,131.942594
1760297090.9822085,1.00,260.32,5.324,137.266067
1760297091.982169,0.00,260.32,5.409,142.674988
1760297092.9825783,0.00,260.32,5.267,147.944323
1760297093.982265,0.00,260.32,5.249,153.191563
1760297094.982429,0.00,260.32,5.462,158.654562
1760297095.9823425,0.00,260.32,5.290,163.943855
1760297096.9823818,0.00,260.32,5.376,169.320062
1760297097.9822767,0.00,260.32,5.320,174.639933
1760297098.982337,0.00,260.32,5.328,179.968594
1760297099.9822648,1.00,260.32,5.477,185.445204
1760297100.9821672,0.00,260.32,5.345,190.789978
1760297101.9822059,0.00,260.32,5.357,196.147264
1760297102.9821708,0.00,260.32,5.376,201.523348
1760297103.9822466,1.00,260.32,5.382,206.906086
1760297104.9821675,0.00,260.32,5.505,212.410161
1760297105.982167,0.00,260.32,5.389,217.799247
1760297106.9822762,0.00,260.32,5.403,223.202431
1760297107.9824374,1.00,260.32,5.376,228.578882
1760297108.98217,0.00,260.32,5.393,233.970165
1760297109.9825695,0.00,260.32,5.571,239.543820
1760297110.9822946,0.00,260.32,5.374,244.916304
1760297111.9822075,0.00,260.32,5.264,250.180328
1760297112.9823442,0.00,260.32,5.255,255.435747
1760297113.9822068,0.00,260.32,5.218,260.653080
1760297114.9825802,0.00,260.32,5.439,266.094106
1760297115.9821692,0.00,260.32,5.322,271.414222
1760297116.982264,0.00,260.32,5.325,276.739953
1760297117.9821837,0.00,260.32,5.298,282.037669
1760297118.9821656,0.00,260.32,5.404,287.441647
1760297119.982168,0.00,260.32,5.536,292.977277
1760297120.9821677,1.00,260.32,5.366,298.343291
1760297121.9822106,0.00,260.32,5.305,303.648209
1760297122.9821668,0.00,260.32,5.298,308.945681
1760297123.9821663,0.00,260.32,5.287,314.233143
1760297124.9823813,1.00,260.32,5.514,319.748388
1760297125.9823008,0.00,260.32,5.386,325.133628
1760297126.9822843,0.00,260.32,5.394,330.527718
1760297127.9821665,0.00,260.32,5.364,335.890863
1760297128.9824412,1.00,260.32,5.357,341.248943
1760297129.9821794,0.00,260.32,5.570,346.817837
1760297130.9822612,0.00,260.32,5.387,352.205702
1760297131.9821906,0.00,260.32,5.440,357.645202
1760297132.9821684,0.00,260.32,5.390,363.035020
1760297133.9822946,0.00,260.32,5.380,368.415927
1760297134.982169,0.00,260.32,5.495,373.910297
1760297135.9823,1.00,260.32,5.429,379.340337
1760297136.982173,0.00,260.32,5.376,384.715445
1760297137.9821694,0.00,260.32,5.336,390.051858
1760297138.9822915,0.00,260.32,5.389,395.441187
1760297139.9821842,0.00,260.32,5.541,400.981334
1760297140.9821723,0.00,260.32,5.515,406.496212
1760297141.9821703,0.00,260.32,5.364,411.859846
1760297142.9822776,0.00,260.32,5.419,417.279632
1760297143.9822733,0.00,260.32,5.362,422.641679
1760297144.9821692,0.00,260.32,5.570,428.210878
1760297145.982192,0.00,260.32,5.451,433.661914
1760297146.9821982,1.00,260.32,5.427,439.088841
