ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760297771.443715,0,23.865,0.000000,0.000000,9,8,1736,49
1760297772.443669,1,30.420,33.382000,33.382000,10,10,2222,49
1760297773.443563,2,30.892,33.653000,67.035000,11,10,2702,50
1760297774.443654,3,30.992,33.653000,100.688000,7,8,2899,50
1760297775.443778,4,31.043,33.780000,134.468000,8,9,2899,50
1760297776.443659,5,30.275,32.827000,167.295000,6,8,2899,50
1760297777.443798,6,30.100,32.870000,200.165000,6,8,2899,50
1760297778.443677,7,30.288,32.913000,233.078000,7,8,2899,50
1760297779.443967,8,30.432,33.166000,266.244000,6,8,2899,51
1760297780.443719,9,30.529,33.312000,299.556000,7,8,2899,51
1760297781.443728,10,30.029,32.676000,332.232000,7,9,2899,51
1760297782.443591,11,29.810,32.660000,364.892000,8,9,2899,51
1760297783.443577,12,29.531,32.251000,397.143000,7,8,2899,51
1760297784.443658,13,29.693,32.373000,429.516000,7,8,2899,51
1760297785.443560,14,29.883,32.610000,462.126000,6,9,2899,51
1760297786.443578,15,30.118,33.026000,495.152000,5,7,2899,52
1760297787.443600,16,31.083,33.907000,529.059000,7,8,2899,52
1760297788.443665,17,31.354,34.490000,563.549000,7,8,2899,52
1760297789.443559,18,31.227,34.613000,598.162000,8,9,2899,52
1760297790.443627,19,31.240,34.582000,632.744000,7,8,2899,52
1760297791.443559,20,31.198,34.896000,667.640000,6,8,2899,52
1760297792.443584,21,29.533,33.012000,700.652000,6,8,2899,52
1760297793.443561,22,30.481,34.455000,735.107000,6,8,2899,53
1760297794.443588,23,29.197,33.132000,768.239000,9,9,2899,52
1760297795.443558,24,29.557,33.646000,801.885000,6,8,2899,52
1760297796.443558,25,29.987,34.549000,836.434000,6,7,2899,53
1760297797.443600,26,30.505,35.040000,871.474000,8,9,2899,53
1760297798.443591,27,30.474,35.203000,906.677000,6,8,2899,53
1760297799.443558,28,30.258,35.133000,941.810000,6,8,2899,53
1760297800.443574,29,29.666,34.943000,976.753000,7,9,2899,53
1760297801.443652,30,30.750,36.012000,1012.765000,7,8,2899,53
1760297802.443598,31,30.973,36.444000,1049.209000,7,8,2899,53
1760297803.443908,32,30.978,36.751000,1085.960000,7,8,2899,53
1760297804.443692,33,31.037,37.086000,1123.046000,8,9,2899,53
1760297805.443849,34,31.124,37.229000,1160.275000,6,8,2899,54
1760297806.443663,35,31.900,38.322000,1198.597000,6,8,2899,54
1760297807.443557,36,31.940,38.383000,1236.980000,8,9,2899,54
1760297808.443662,37,31.346,37.759000,1274.739000,6,7,2899,54
