ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760304294.205089,0,24.323,0.000000,0.000000,10,9,1728,48
1760304295.205103,1,30.711,33.720000,33.720000,9,9,2202,49
1760304296.205097,2,30.980,41.482000,75.202000,9,9,2726,49
1760304297.205176,3,30.653,41.243000,116.445000,5,8,2899,50
1760304298.205322,4,30.974,41.931000,158.376000,8,9,2899,50
1760304299.205326,5,30.872,41.929000,200.305000,8,9,2899,50
1760304300.205099,6,30.841,33.644000,233.949000,7,8,2899,50
1760304301.205080,7,30.969,33.809000,267.758000,6,8,2899,50
1760304302.205084,8,31.091,33.960000,301.718000,8,9,2899,50
1760304303.205123,9,30.715,33.597000,335.315000,8,8,2899,50
1760304304.205119,10,30.190,33.167000,368.482000,7,8,2899,50
1760304305.205387,11,30.167,33.112000,401.594000,8,9,2899,50
1760304306.205205,12,30.486,33.346000,434.940000,8,9,2899,51
1760304307.205077,13,30.470,33.362000,468.302000,6,7,2899,51
1760304308.205098,14,30.696,33.586000,501.888000,8,9,2899,51
1760304309.205086,15,31.052,33.862000,535.750000,8,9,2899,51
1760304310.205108,16,31.172,33.951000,569.701000,7,8,2899,51
1760304311.205108,17,31.250,34.081000,603.782000,6,8,2899,52
1760304312.205107,18,31.244,34.054000,637.836000,7,8,2899,51
1760304313.205483,19,30.991,33.858000,671.694000,8,9,2899,52
1760304314.205321,20,31.061,34.281000,705.975000,9,9,2899,52
1760304315.205177,21,30.849,33.934000,739.909000,7,8,2899,52
1760304316.205082,22,30.000,33.156000,773.065000,8,9,2899,52
1760304317.205183,23,30.561,33.978000,807.043000,8,9,2899,52
1760304318.205083,24,30.844,34.505000,841.548000,7,8,2899,52
1760304319.205211,25,30.887,34.561000,876.109000,7,8,2899,52
1760304320.205082,26,30.687,34.629000,910.738000,8,9,2899,52
1760304321.205094,27,30.481,34.384000,945.122000,7,8,2899,53
1760304322.205118,28,30.592,34.781000,979.903000,7,8,2899,53
1760304323.205181,29,30.807,35.213000,1015.116000,8,9,2899,52
1760304324.205220,30,30.869,35.306000,1050.422000,8,9,2899,53
1760304325.205156,31,30.949,35.682000,1086.104000,7,8,2899,53
1760304326.205085,32,30.948,35.803000,1121.907000,9,9,2899,53
1760304327.205122,33,31.079,36.212000,1158.119000,7,8,2899,53
1760304328.205117,34,31.124,36.389000,1194.508000,7,8,2899,53
1760304329.205079,35,31.676,37.159000,1231.667000,6,8,2899,53
1760304330.205081,36,31.724,37.410000,1269.077000,8,9,2899,53
1760304331.205177,37,31.456,37.163000,1306.240000,8,8,2899,53
1760304332.205191,38,31.445,37.504000,1343.744000,7,8,2899,53
1760304333.205080,39,31.806,38.121000,1381.865000,8,9,2899,53
1760304334.205117,40,31.976,38.278000,1420.143000,8,9,2899,54
1760304335.205175,41,32.171,38.779000,1458.922000,7,8,2899,54
1760304336.205098,42,31.771,38.469000,1497.391000,6,7,2899,54
1760304337.205118,43,30.852,37.869000,1535.260000,6,8,2899,54
1760304338.205093,44,29.906,37.257000,1572.517000,8,8,2899,54
1760304339.205354,45,29.445,36.679000,1609.196000,6,7,2899,54
1760304340.205312,46,29.465,37.018000,1646.214000,4,6,2899,54
1760304341.205100,47,29.377,37.328000,1683.542000,4,7,2899,54
1760304342.205178,48,29.759,37.925000,1721.467000,5,8,2899,54
1760304343.205102,49,29.700,38.256000,1759.723000,7,8,2899,54
1760304344.205273,50,30.011,38.679000,1798.402000,8,8,2899,54
1760304345.205081,51,31.333,39.991000,1838.393000,8,9,2899,54
1760304346.205181,52,31.677,40.375000,1878.768000,9,9,2899,54
1760304347.205184,53,31.703,40.520000,1919.288000,8,9,2899,54
1760304348.205178,54,31.757,40.828000,1960.116000,6,8,2899,54
1760304349.205181,55,31.269,40.501000,2000.617000,5,7,2899,54
1760304350.205078,56,30.876,40.392000,2041.009000,7,8,2899,54
1760304351.205082,57,30.212,39.873000,2080.882000,7,8,2899,55
1760304352.205096,58,31.214,40.965000,2121.847000,7,8,2899,54
1760304353.205443,59,31.212,41.076000,2162.923000,8,9,2899,54
1760304354.205081,60,31.207,41.479000,2204.402000,7,7,2899,54
1760304355.205185,61,31.695,42.055000,2246.457000,7,8,2899,55
1760304356.205084,62,31.845,42.364000,2288.821000,6,8,2899,55
1760304357.205177,63,31.885,42.712000,2331.533000,8,9,2899,55
1760304358.205081,64,32.017,42.917000,2374.450000,8,9,2899,55
1760304359.205177,65,32.243,43.223000,2417.673000,7,8,2899,55
1760304360.205311,66,32.322,35.091000,2452.764000,8,9,2899,55
1760304361.205082,67,31.903,34.583000,2487.347000,8,9,2899,55
1760304362.205081,68,31.580,34.358000,2521.705000,8,9,2899,55
1760304363.205081,69,31.551,34.166000,2555.871000,8,9,2899,55
1760304364.205079,70,31.661,34.412000,2590.283000,6,8,2899,55
1760304365.205153,71,30.553,33.288000,2623.571000,6,9,2899,55
1760304366.205122,72,31.075,34.060000,2657.631000,8,9,2899,55
1760304367.205199,73,31.724,34.433000,2692.064000,8,9,2899,55
1760304368.205172,74,31.942,34.679000,2726.743000,8,8,2899,55
1760304369.205077,75,31.945,34.801000,2761.544000,8,9,2899,55
1760304370.205309,76,31.835,34.556000,2796.100000,8,9,2899,55
1760304371.205103,77,31.936,34.617000,2830.717000,7,7,2899,55
1760304372.205173,78,32.032,34.928000,2865.645000,6,8,2899,55
1760304373.205080,79,32.149,35.100000,2900.745000,8,9,2899,55
1760304374.205102,80,32.170,34.932000,2935.677000,8,9,2899,55
1760304375.205204,81,32.034,35.236000,2970.913000,6,8,2899,55
1760304376.205077,82,31.965,35.600000,3006.513000,8,8,2899,55
1760304377.205186,83,31.850,35.433000,3041.946000,8,9,2899,55
1760304378.205112,84,31.774,35.279000,3077.225000,7,8,2899,55
1760304379.205076,85,31.659,35.323000,3112.548000,9,9,2899,55
1760304380.205117,86,31.324,35.233000,3147.781000,8,8,2899,55
1760304381.205102,87,31.445,35.467000,3183.248000,7,8,2899,55
1760304382.205182,88,31.581,35.918000,3219.166000,6,8,2899,55
1760304383.205081,89,31.705,36.283000,3255.449000,8,9,2899,55
1760304384.205088,90,31.691,36.199000,3291.648000,8,8,2899,55
1760304385.205468,91,31.707,36.477000,3328.125000,7,8,2899,55
1760304386.205078,92,31.789,37.198000,3365.323000,7,9,2899,55
1760304387.205399,93,31.755,36.875000,3402.198000,8,9,2899,55
1760304388.205119,94,31.770,37.394000,3439.592000,8,9,2899,55
1760304389.205294,95,31.712,37.270000,3476.862000,6,7,2899,55
1760304390.205493,96,31.577,37.539000,3514.401000,8,9,2899,55
1760304391.205119,97,31.632,37.767000,3552.168000,7,9,2899,55
1760304392.205343,98,31.745,38.007000,3590.175000,6,8,2899,55
1760304393.205176,99,31.727,38.311000,3628.486000,6,7,2899,55
1760304394.205174,100,31.383,37.937000,3666.423000,8,9,2899,55
1760304395.205180,101,31.505,38.097000,3704.520000,8,8,2899,55
1760304396.205077,102,31.458,38.429000,3742.949000,7,8,2899,55
1760304397.205278,103,31.683,38.626000,3781.575000,8,8,2899,55
1760304398.205184,104,31.976,39.365000,3820.940000,6,8,2899,55
1760304399.205100,105,32.081,39.759000,3860.699000,8,9,2899,55
1760304400.205119,106,31.973,39.470000,3900.169000,7,8,2899,55
1760304401.205171,107,32.018,39.937000,3940.106000,7,8,2899,55
1760304402.205304,108,32.137,40.336000,3980.442000,7,8,2899,56
1760304403.205185,109,32.129,40.579000,4021.021000,8,9,2899,55
1760304404.205121,110,32.237,40.599000,4061.620000,8,9,2899,55
1760304405.205118,111,32.195,40.696000,4102.316000,8,8,2899,56
1760304406.205216,112,32.029,40.916000,4143.232000,8,9,2899,55
1760304407.205110,113,31.832,40.822000,4184.054000,8,9,2899,55
1760304408.205077,114,31.839,40.938000,4224.992000,8,8,2899,55
1760304409.205180,115,31.843,41.226000,4266.218000,7,8,2899,56
