ts,cpu_percent,rss_mb,power_w,energy_j_total
1760301008.6111624,37.00,205.45,0.000,0.000000
1760301009.6111665,17.00,205.45,5.587,5.587082
1760301010.6111538,15.00,205.95,6.536,12.122649
1760301011.6111958,14.00,205.95,6.393,18.516126
1760301012.611277,13.00,205.95,6.321,24.838132
1760301013.6111567,0.00,205.95,5.409,30.246016
1760301014.611156,0.00,205.95,5.398,35.644256
1760301015.61116,0.00,205.95,5.495,41.139604
1760301016.611176,1.00,205.95,5.367,46.506289
1760301017.6111934,0.00,205.95,5.406,51.912525
1760301018.611156,0.00,205.95,5.341,57.253088
1760301019.6113331,0.00,205.95,5.375,62.629539
1760301020.6111934,0.00,205.95,5.427,68.055306
1760301021.6114302,0.00,205.95,5.284,73.340144
1760301022.6111946,0.00,205.95,5.357,78.696026
1760301023.6111703,0.00,205.95,5.310,84.005583
1760301024.61123,1.00,205.95,5.303,89.309280
1760301025.6111562,0.00,205.95,5.508,94.816957
1760301026.6111555,0.00,205.95,5.286,100.103015
1760301027.611195,1.00,205.95,5.332,105.434971
1760301028.6114233,0.00,205.95,5.323,110.758932
1760301029.611275,0.00,205.95,5.304,116.061958
1760301030.6111746,0.00,205.95,5.514,121.574945
1760301031.6111524,0.00,205.95,5.334,126.908488
1760301032.6112683,0.00,205.95,5.330,132.239224
1760301033.6111953,0.00,205.95,5.326,137.565016
1760301034.6112714,0.00,205.95,5.291,142.856812
1760301035.611363,0.00,205.95,5.442,148.299425
1760301036.6111734,1.00,205.95,5.247,153.545261
1760301037.611267,0.00,205.95,5.320,158.866109
1760301038.611155,0.00,205.95,5.311,164.176215
1760301039.6113436,0.00,205.95,5.327,169.504265
1760301040.6112578,0.00,205.95,5.599,175.102762
1760301041.611159,0.00,205.95,5.349,180.451442
1760301042.6112683,0.00,205.95,5.292,185.744275
1760301043.6111946,0.00,205.95,5.287,191.030883
1760301044.6113288,0.00,205.95,5.360,196.391709
1760301045.6111953,1.00,205.95,5.605,201.996309
1760301046.6113267,0.00,205.95,5.414,207.410723
1760301047.6111588,0.00,205.95,5.395,212.804936
1760301048.6112528,1.00,205.95,5.412,218.217642
1760301049.611311,0.00,205.95,5.383,223.600684
1760301050.611251,0.00,205.95,5.579,229.179528
1760301051.611375,0.00,205.95,5.387,234.566904
1760301052.6111524,0.00,205.95,5.353,239.918697
1760301053.6111522,0.00,205.95,5.313,245.231794
1760301054.6111555,0.00,205.95,5.335,250.566497
1760301055.6114275,0.00,205.95,5.463,256.031265
1760301056.6112666,0.00,205.95,5.290,261.320498
1760301057.611203,1.00,205.95,5.334,266.653797
1760301058.6112719,0.00,205.95,5.330,271.984167
1760301059.61125,0.00,205.95,5.325,277.309348
1760301060.611156,0.00,205.95,5.554,282.862435
1760301061.6111953,0.00,205.95,5.332,288.194208
1760301062.6111982,0.00,205.95,5.359,293.552837
1760301063.611153,0.00,205.95,5.327,298.879972
1760301064.6111562,0.00,205.95,5.416,304.296218
1760301065.6111958,0.00,205.95,5.435,309.731140
1760301066.6111984,0.00,205.95,5.350,315.080858
1760301067.6111567,1.00,205.95,5.365,320.445895
1760301068.6111977,0.00,205.95,5.400,325.846394
1760301069.6111531,0.00,205.95,5.418,331.264288
1760301070.6112604,0.00,205.95,5.600,336.865226
