ts,cpu_percent,rss_mb,power_w,energy_j_total
1760305437.736128,71.00,160.06,0.000,0.000000
1760305438.7362063,172.00,160.06,5.587,5.587083
1760305439.7361214,129.00,160.81,6.960,12.546660
1760305440.7361174,115.00,161.06,7.134,19.680675
1760305441.7361217,119.00,161.31,6.748,26.428766
1760305442.7362258,47.00,161.31,6.443,32.872658
1760305443.7361193,0.00,161.31,5.404,38.276208
1760305444.7361302,1.00,161.31,5.418,43.694529
1760305445.7362049,0.00,161.31,5.480,49.175289
1760305446.736116,0.00,161.31,5.344,54.519026
1760305447.7361188,0.00,161.31,5.281,59.799774
1760305448.7365315,0.00,161.31,5.298,65.100053
1760305449.736232,0.00,161.31,5.277,70.375919
1760305450.7362094,0.00,161.31,5.393,75.768544
1760305451.7361581,1.00,161.31,5.323,81.090918
1760305452.7361221,0.00,161.31,5.324,86.414635
1760305453.7361495,0.00,161.31,5.352,91.766611
1760305454.7361195,0.00,161.31,5.391,97.157283
1760305455.736226,0.00,161.31,5.441,102.598370
1760305456.7361166,1.00,161.31,5.286,107.883696
1760305457.7362435,0.00,161.31,5.374,113.258255
1760305458.736146,0.00,161.31,5.350,118.607790
1760305459.7363312,0.00,161.31,5.380,123.989246
1760305460.7361214,1.00,161.31,5.456,129.444432
1760305461.7361562,0.00,161.31,5.428,134.872763
1760305462.7361162,0.00,161.31,5.467,140.339118
1760305463.7362232,0.00,161.31,5.299,145.638971
1760305464.7361574,0.00,161.31,5.312,150.950786
1760305465.736122,0.00,161.31,5.417,156.367276
1760305466.7361197,0.00,161.31,5.310,161.677260
1760305467.7362247,0.00,161.31,5.272,166.949341
1760305468.736306,0.00,161.31,5.228,172.177660
1760305469.7361605,0.00,161.31,5.382,177.559299
1760305470.736205,1.00,161.31,5.409,182.968892
1760305471.7363622,0.00,161.31,5.360,188.330085
1760305472.7361581,0.00,161.31,5.304,193.632744
1760305473.7361166,0.00,161.31,5.427,199.059854
1760305474.7361324,0.00,161.31,5.342,204.402431
1760305475.736134,0.00,161.31,5.434,209.836438
1760305476.7361577,0.00,161.31,5.427,215.263243
1760305477.736158,0.00,161.31,5.399,220.662399
1760305478.7361226,0.00,161.31,5.464,226.126374
1760305479.7362297,0.00,161.31,5.344,231.470721
1760305480.7362058,0.00,161.31,5.372,236.842228
1760305481.7361197,1.00,161.31,5.445,242.287222
1760305482.7361176,0.00,161.31,5.337,247.623756
1760305483.736117,0.00,161.31,5.268,252.891260
1760305484.7361233,0.00,161.31,5.539,258.429942
1760305485.7361214,0.00,161.31,5.493,263.923092
1760305486.736115,0.00,161.31,5.544,269.467328
1760305487.7361152,1.00,161.31,5.436,274.902861
1760305488.736348,0.00,161.31,5.404,280.307876
1760305489.736161,0.00,161.31,5.416,285.722474
1760305490.7361307,1.00,161.31,5.519,291.240893
1760305491.736117,0.00,161.31,5.423,296.663608
1760305492.7361164,0.00,161.31,5.340,302.003500
1760305493.736438,0.00,161.31,5.360,307.364997
1760305494.7362833,0.00,161.31,5.416,312.780511
1760305495.7363076,0.00,161.31,5.487,318.268045
1760305496.7362285,0.00,161.31,5.452,323.719508
1760305497.7361586,0.00,161.31,5.377,329.096204
1760305498.7361615,0.00,161.31,5.426,334.521727
1760305499.7361202,0.00,161.31,5.375,339.896347
1760305500.736136,0.00,161.31,5.476,345.372285
1760305501.736106,1.00,161.31,5.468,350.840167
1760305502.7362,0.00,161.31,5.450,356.290775
1760305503.7361486,0.00,161.31,5.399,361.689260
1760305504.73612,0.00,161.31,5.364,367.053199
1760305505.7361226,0.00,161.31,5.576,372.629112
1760305506.7362647,0.00,161.31,5.509,378.138742
1760305507.7362127,0.00,161.31,5.430,383.568232
1760305508.7362037,0.00,161.31,5.492,389.059978
1760305509.7361264,0.00,161.31,5.520,394.579740
1760305510.736188,0.00,161.31,5.552,400.132399
1760305511.736185,0.00,161.31,5.435,405.567016
1760305512.7363744,1.00,161.31,5.345,410.912828
1760305513.7361248,0.00,161.31,5.389,416.300631
1760305514.7363653,0.00,161.31,5.437,421.739094
1760305515.7362435,0.00,161.31,5.482,427.220769
1760305516.7362952,0.00,161.31,5.489,432.709769
1760305517.7362392,0.00,161.31,5.400,438.109535
1760305518.7362156,0.00,161.31,5.461,443.570215
1760305519.7362673,1.00,161.31,5.390,448.960582
1760305520.7361617,0.00,161.31,5.567,454.526730
1760305521.736262,1.00,161.31,5.520,460.047406
1760305522.7363296,0.00,161.31,5.468,465.516081
1760305523.7362459,0.00,161.31,5.410,470.925675
1760305524.7362103,0.00,161.31,5.398,476.323305
1760305525.7361233,0.00,161.31,5.548,481.870776
1760305526.736362,0.00,161.31,5.509,487.381016
1760305527.7361245,0.00,161.31,5.365,492.744772
1760305528.736238,1.00,161.31,5.363,498.108466
1760305529.7362537,0.00,161.31,5.323,503.431695
1760305530.7361627,0.00,161.31,5.511,508.941996
1760305531.7362661,0.00,161.31,5.542,514.484889
1760305532.7362673,0.00,161.31,5.391,519.875928
1760305533.736275,0.00,161.31,5.372,525.248106
1760305534.7361233,0.00,161.31,5.465,530.712387
1760305535.7361236,0.00,161.31,5.464,536.175996
1760305536.736243,0.00,161.31,5.448,541.624895
1760305537.7361739,0.00,161.31,5.354,546.978580
1760305538.7362452,1.00,161.31,5.359,552.338308
1760305539.7362444,0.00,161.31,5.391,557.729591
1760305540.7361245,0.00,161.31,5.473,563.202294
1760305541.7363942,0.00,161.31,5.466,568.669382
1760305542.7361262,0.00,161.31,5.403,574.071407
1760305543.736192,0.00,161.31,5.382,579.453473
1760305544.736321,0.00,161.31,5.411,584.865446
1760305545.7362037,0.00,161.31,5.467,590.332107
1760305546.7363427,0.00,161.31,5.519,595.852174
1760305547.7362764,0.00,161.31,5.379,601.231188
1760305548.7361264,0.00,161.31,5.348,606.578220
1760305549.7363665,1.00,161.31,5.417,611.996053
1760305550.7361238,1.00,161.31,5.495,617.489875
1760305551.736283,0.00,161.31,5.460,622.950249
1760305552.7361627,0.00,161.31,5.418,628.367715
1760305553.736129,0.00,161.31,5.523,633.890772
1760305554.7361805,0.00,161.31,5.332,639.223461
1760305555.7361236,0.00,161.31,5.397,644.620176
1760305556.7362547,0.00,161.31,5.338,649.958786
1760305557.7362688,0.00,161.31,5.286,655.244539
1760305558.7361531,0.00,161.31,5.391,660.635150
1760305559.736556,1.00,161.31,5.280,665.917119
1760305560.7361188,0.00,161.31,5.455,671.369986
1760305561.7361224,0.00,161.31,5.633,677.002723
1760305562.736116,22.00,162.06,5.749,682.752098
1760305563.7362173,0.00,162.06,5.525,688.277657
1760305564.7361217,83.00,162.06,6.561,694.838309
1760305565.7361186,42.00,162.31,6.592,701.430517
1760305566.736203,257.00,162.31,7.198,708.629168
1760305567.7362247,214.00,162.31,7.092,715.720946
1760305568.7361178,8.00,162.31,6.652,722.372357
1760305569.736121,0.00,162.31,5.332,727.704497
1760305570.7361178,0.00,162.31,5.576,733.279983
1760305571.736117,0.00,162.31,5.521,738.800965
1760305572.736139,1.00,162.31,5.403,744.204272
1760305573.7361388,0.00,162.31,5.428,749.631870
1760305574.736221,0.00,162.31,5.402,755.034810
1760305575.7361228,0.00,162.31,5.498,760.531928
1760305576.7363052,1.00,162.31,5.461,765.993767
1760305577.7361562,0.00,162.31,5.403,771.396219
1760305578.7361221,0.00,162.31,5.339,776.735011
1760305579.736227,0.00,162.31,5.366,782.102063
1760305580.7362251,0.00,162.31,5.383,787.484679
1760305581.736166,0.00,162.31,5.357,792.840988
1760305582.7362297,0.00,162.31,5.433,798.274690
1760305583.736118,0.00,162.31,5.699,803.973040
1760305584.7361178,0.00,162.31,5.393,809.365848
1760305585.7361343,0.00,162.31,5.513,814.878957
1760305586.736219,0.00,162.31,5.435,820.314429
1760305587.736159,0.00,162.31,5.372,825.686546
1760305588.7362704,0.00,162.31,5.360,831.046701
1760305589.7361383,1.00,162.31,5.352,836.398250
1760305590.7362113,0.00,162.31,5.385,841.783612
1760305591.7361195,0.00,162.31,5.508,847.290861
1760305592.736183,0.00,162.31,5.366,852.656814
1760305593.736136,0.00,162.31,5.373,858.029786
1760305594.7362642,0.00,162.31,5.485,863.515551
1760305595.736121,0.00,162.31,5.466,868.980564
1760305596.7361195,0.00,162.31,5.649,874.629536
1760305597.736205,2.00,162.56,5.822,880.452397
1760305598.736116,0.00,162.56,5.462,885.913870
1760305599.7361197,100.00,162.56,6.529,892.443028
1760305600.7361186,65.00,162.56,6.585,899.027972
1760305601.7363548,1.00,162.56,5.688,904.717106
1760305602.736151,1.00,162.56,5.398,910.114431
1760305603.7363944,0.00,162.56,5.495,915.610693
1760305604.7361212,0.00,162.56,5.421,921.030601
1760305605.7361178,0.00,162.56,5.503,926.534066
1760305606.7361195,0.00,162.56,5.503,932.037348
1760305607.7361188,0.00,162.56,5.446,937.483684
1760305608.7361157,0.00,162.56,5.381,942.864896
1760305609.736228,0.00,162.56,5.422,948.287612
1760305610.7362216,0.00,162.56,5.489,953.776489
1760305611.7368314,0.00,162.56,5.551,959.331224
1760305612.7362306,0.00,162.56,5.224,964.552096
1760305613.7361176,0.00,162.56,5.175,969.726033
1760305614.7361617,0.00,162.56,5.189,974.915656
1760305615.736118,1.00,162.56,5.230,980.145257
1760305616.7361612,0.00,162.56,5.462,985.607707
1760305617.7361183,0.00,162.56,5.586,991.193325
1760305618.7363098,0.00,162.56,5.422,996.616773
1760305619.7362232,0.00,162.56,5.450,1002.066588
1760305620.7362378,0.00,162.56,5.426,1007.492477
1760305621.7361186,0.00,162.56,5.469,1012.961030
