ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760309793.307869,0,25.771,0.000000,0.000000,6,8,899,48
1760309794.307894,1,29.696,34.360000,34.360000,10,9,1736,49
1760309795.308053,2,28.508,32.487000,66.847000,6,9,1899,49
1760309796.307889,3,30.106,34.685000,101.532000,7,8,2399,50
1760309797.308268,4,30.701,35.283000,136.815000,7,8,2899,51
1760309798.307983,5,28.971,33.849000,170.664000,7,9,2899,50
1760309799.308026,6,30.382,35.394000,206.058000,7,8,2899,51
1760309800.308021,7,30.430,35.599000,241.657000,6,8,2899,50
1760309801.308141,8,30.176,35.683000,277.340000,7,8,2899,50
1760309802.307970,9,30.360,36.176000,313.516000,6,8,2899,51
1760309803.307988,10,30.027,35.713000,349.229000,7,9,2899,51
1760309804.308222,11,29.054,35.293000,384.522000,7,8,2899,51
1760309805.307933,12,29.211,35.525000,420.047000,7,8,2899,51
1760309806.308231,13,30.694,37.192000,457.239000,8,9,2899,51
1760309807.307869,14,30.509,37.145000,494.384000,8,8,2899,51
1760309808.308089,15,30.331,36.900000,531.284000,7,8,2899,51
1760309809.308019,16,28.976,35.793000,567.077000,7,8,2899,51
1760309810.307914,17,29.475,36.358000,603.435000,6,9,2899,51
1760309811.308021,18,29.992,37.444000,640.879000,7,8,2899,51
1760309812.307905,19,30.673,38.207000,679.086000,7,8,2899,52
1760309813.307994,20,30.237,37.830000,716.916000,6,9,2899,52
1760309814.308317,21,29.472,37.408000,754.324000,6,8,2899,52
1760309815.307901,22,30.308,38.538000,792.862000,7,9,2899,52
1760309816.308028,23,29.610,37.976000,830.838000,6,8,2899,52
1760309817.307888,24,29.807,38.281000,869.119000,7,9,2899,52
1760309818.307897,25,29.086,37.795000,906.914000,8,9,2899,52
1760309819.308001,26,29.235,37.863000,944.777000,7,8,2899,52
1760309820.307910,27,30.437,39.342000,984.119000,8,9,2899,52
1760309821.308171,28,30.417,39.548000,1023.667000,6,8,2899,52
1760309822.308026,29,30.545,40.027000,1063.694000,7,8,2899,52
