ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760314439.620677,0,24.457,0.000000,0.000000,9,8,1728,48
1760314440.620763,1,30.716,33.634000,33.634000,8,9,2236,49
1760314441.620682,2,30.670,41.822000,75.456000,9,9,2728,50
1760314442.620664,3,30.528,41.582000,117.038000,7,8,2899,49
1760314443.620691,4,31.019,33.885000,150.923000,7,9,2899,50
1760314444.621026,5,30.967,33.795000,184.718000,6,8,2899,50
1760314445.621010,6,30.690,33.570000,218.288000,7,8,2899,50
1760314446.620683,7,30.781,33.667000,251.955000,7,8,2899,50
1760314447.620767,8,30.638,33.494000,285.449000,6,8,2899,50
1760314448.620691,9,30.006,33.036000,318.485000,7,8,2899,50
1760314449.620690,10,29.458,32.347000,350.832000,7,8,2899,50
1760314450.620665,11,28.497,31.319000,382.151000,6,8,2899,50
1760314451.620672,12,29.744,32.845000,414.996000,6,7,2899,51
1760314452.620671,13,30.222,33.247000,448.243000,7,8,2899,51
1760314453.620654,14,30.522,33.458000,481.701000,7,8,2899,51
1760314454.620650,15,30.513,33.327000,515.028000,6,8,2899,51
1760314455.620769,16,30.598,33.394000,548.422000,6,8,2899,51
1760314456.620718,17,30.705,33.744000,582.166000,7,8,2899,51
1760314457.621053,18,30.705,33.826000,615.992000,8,9,2899,51
1760314458.620673,19,30.494,34.140000,650.132000,6,8,2899,51
1760314459.620673,20,30.827,34.593000,684.725000,8,9,2899,52
1760314460.620755,21,30.258,33.868000,718.593000,7,9,2899,52
1760314461.620754,22,29.520,33.379000,751.972000,6,8,2899,52
1760314462.620783,23,30.456,34.373000,786.345000,7,8,2899,52
1760314463.620758,24,30.373,34.352000,820.697000,7,8,2899,52
1760314464.620827,25,30.175,34.352000,855.049000,8,9,2899,52
1760314465.620758,26,29.274,33.660000,888.709000,7,9,2899,52
1760314466.620760,27,29.382,34.274000,922.983000,8,9,2899,52
1760314467.620690,28,29.995,34.745000,957.728000,8,9,2899,52
1760314468.620768,29,30.097,35.002000,992.730000,7,8,2899,52
1760314469.620920,30,30.139,35.280000,1028.010000,8,8,2899,52
1760314470.620752,31,30.143,35.650000,1063.660000,7,8,2899,53
1760314471.620651,32,30.242,35.816000,1099.476000,6,8,2899,53
1760314472.620722,33,30.308,36.057000,1135.533000,7,8,2899,53
1760314473.620689,34,30.443,36.333000,1171.866000,7,8,2899,53
1760314474.620819,35,31.027,37.134000,1209.000000,7,8,2899,53
1760314475.620745,36,31.190,37.471000,1246.471000,7,8,2899,53
1760314476.620757,37,30.840,37.300000,1283.771000,7,8,2899,53
1760314477.620692,38,31.221,37.901000,1321.672000,7,9,2899,53
1760314478.620649,39,31.659,38.463000,1360.135000,7,8,2899,54
1760314479.620762,40,31.520,38.522000,1398.657000,8,9,2899,53
1760314480.620672,41,31.432,38.772000,1437.429000,7,8,2899,53
1760314481.620748,42,30.970,38.327000,1475.756000,6,7,2899,53
1760314482.621043,43,29.509,37.163000,1512.919000,7,7,2899,54
1760314483.620769,44,29.270,37.473000,1550.392000,7,8,2899,54
1760314484.620692,45,29.317,37.507000,1587.899000,7,9,2899,53
1760314485.620680,46,29.584,38.325000,1626.224000,7,8,2899,54
1760314486.620692,47,29.617,38.373000,1664.597000,7,8,2899,54
1760314487.620745,48,29.724,38.345000,1702.942000,6,8,2899,54
1760314488.620747,49,30.943,39.667000,1742.609000,6,8,2899,54
1760314489.620696,50,31.323,40.323000,1782.932000,7,8,2899,54
1760314490.620649,51,31.273,40.489000,1823.421000,7,9,2899,54
1760314491.620653,52,31.174,40.392000,1863.813000,7,8,2899,54
1760314492.620688,53,31.216,40.623000,1904.436000,6,8,2899,54
1760314493.620763,54,30.958,40.652000,1945.088000,7,8,2899,54
1760314494.620681,55,30.740,40.840000,1985.928000,7,8,2899,54
1760314495.620672,56,29.493,39.436000,2025.364000,5,7,2899,54
1760314496.620681,57,29.685,39.963000,2065.327000,6,7,2899,54
1760314497.620740,58,30.587,41.246000,2106.573000,6,7,2899,55
1760314498.620680,59,31.138,41.874000,2148.447000,8,9,2899,54
1760314499.620692,60,31.302,42.000000,2190.447000,7,9,2899,54
