ts,cpu_percent,rss_mb,power_w,energy_j_total
1760310684.9866045,46.00,262.10,0.000,0.000000
1760310685.9865353,22.00,262.85,5.672,5.671250
1760310686.9866018,15.00,252.41,6.457,12.128570
1760310687.9865236,18.00,253.41,6.512,18.640028
1760310688.9866385,19.00,253.91,6.429,25.069394
1760310689.9865005,0.00,253.91,5.456,30.524641
1760310690.9865906,0.00,253.91,5.320,35.845123
1760310691.9868093,0.00,253.91,5.454,41.300249
1760310692.9866054,0.00,253.91,5.305,46.604007
1760310693.9865253,0.00,253.91,5.291,51.894460
1760310694.9865377,1.00,253.91,5.349,57.243262
1760310695.986499,0.00,253.91,5.248,62.490868
1760310696.986613,0.00,253.91,5.480,67.971018
1760310697.9865165,0.00,253.91,5.419,73.389095
1760310698.986499,0.00,253.91,5.321,78.709821
1760310699.9866016,0.00,253.91,5.239,83.948943
1760310700.9865158,1.00,253.91,5.219,89.167802
1760310701.9866092,0.00,253.91,5.474,94.642702
1760310702.9865348,0.00,253.91,5.341,99.982838
1760310703.9865205,0.00,253.91,5.370,105.352941
1760310704.9865186,0.00,253.91,5.382,110.735190
1760310705.9865363,0.00,253.91,5.374,116.109444
1760310706.9866054,0.00,253.91,5.476,121.586237
1760310707.9866145,0.00,253.91,5.319,126.904949
1760310708.986915,0.00,253.91,5.323,132.229825
1760310709.9865198,1.00,253.91,5.277,137.504409
1760310710.9865022,0.00,253.91,5.199,142.703553
1760310711.986522,0.00,253.91,5.456,148.160143
1760310712.9865003,0.00,253.91,5.741,153.901218
1760310713.9865186,0.00,253.91,5.831,159.732685
1760310714.986619,0.00,253.91,5.320,165.053411
1760310715.9865391,0.00,253.91,5.333,170.386466
1760310716.986499,0.00,253.91,5.531,175.916908
1760310717.9865153,0.00,253.91,5.418,181.335229
1760310718.9866047,0.00,253.91,5.411,186.746776
1760310719.9864993,0.00,253.91,5.342,192.088681
1760310720.9866414,0.00,253.91,5.490,197.579817
1760310721.986597,0.00,253.91,5.591,203.170501
1760310722.986809,1.00,253.91,5.415,208.586808
1760310723.9865954,0.00,253.91,5.377,213.962160
1760310724.9865,0.00,253.91,5.351,219.313037
1760310725.9865103,0.00,253.91,5.489,224.802098
1760310726.9865391,0.00,253.91,5.544,230.346701
1760310727.986604,0.00,253.91,5.382,235.729438
1760310728.986615,0.00,253.91,5.343,241.072747
1760310729.9866052,0.00,253.91,5.263,246.335612
1760310730.9866023,1.00,253.91,5.351,251.686734
1760310731.9865928,1.00,253.91,5.470,257.156202
1760310732.9866009,0.00,253.91,5.223,262.379578
1760310733.9864964,0.00,253.91,5.254,267.633287
1760310734.9866512,0.00,253.91,5.253,272.886936
1760310735.9866571,0.00,253.91,5.252,278.138693
1760310736.9865,0.00,253.91,5.445,283.583320
1760310737.9865985,0.00,253.91,5.243,288.827264
1760310738.9865394,0.00,253.91,5.303,294.130107
1760310739.9865372,1.00,253.91,5.433,299.562710
1760310740.986527,0.00,253.91,5.369,304.931776
