ts,cpu_percent,rss_mb,power_w,energy_j_total
1760227374.559772,34.00,263.15,0.000,0.000000
1760227375.5597775,58.00,263.90,10.411,10.411289
1760227376.5602036,33.00,257.14,11.455,21.871221
1760227377.559771,45.00,258.14,11.126,32.992469
1760227378.5599225,33.00,258.14,10.697,43.690745
1760227379.5598738,0.00,258.14,10.330,54.020430
1760227380.559779,0.00,258.14,10.125,64.144367
1760227381.5611422,0.00,258.14,9.970,74.127618
1760227382.5601099,0.00,258.14,9.943,84.060515
1760227383.5600317,0.00,258.14,9.808,93.867313
1760227384.5602465,1.00,258.14,9.697,103.566080
1760227385.5597768,0.00,258.14,9.651,113.212601
1760227386.5599473,0.00,258.14,9.614,122.828543
1760227387.5597725,0.00,258.14,9.472,132.298733
1760227388.5604262,0.00,258.14,9.357,141.661685
1760227389.559773,0.00,258.14,9.328,150.983927
1760227390.5598428,0.00,258.14,9.217,160.201860
1760227391.5597801,0.00,258.14,9.302,169.502923
1760227392.5597785,0.00,258.14,9.191,178.693695
1760227393.5598605,0.00,258.14,9.142,187.836433
1760227394.5599954,1.00,258.14,9.107,196.944686
1760227395.5597777,0.00,258.14,9.051,205.993308
1760227396.5597734,0.00,258.14,9.106,215.099730
1760227397.5597765,1.00,258.14,8.985,224.085058
1760227398.5603094,0.00,258.14,9.042,233.131605
1760227399.559776,0.00,258.14,9.028,242.154836
1760227400.5597737,0.00,258.14,8.993,251.147428
1760227401.559776,0.00,258.14,8.963,260.110479
1760227402.5605159,0.00,258.14,8.845,268.962202
1760227403.5599854,0.00,258.14,8.873,277.830465
1760227404.5597715,0.00,258.14,8.793,286.621519
1760227405.5597794,0.00,258.14,8.832,295.453162
1760227406.5597715,0.00,258.14,8.809,304.262588
1760227407.5601528,1.00,258.14,8.756,313.021720
1760227408.5599039,0.00,258.14,8.767,321.786041
1760227409.559772,0.00,258.14,8.736,330.520516
1760227410.5597951,0.00,258.14,8.682,339.202562
1760227411.5600693,0.00,258.14,8.717,347.922388
1760227412.5597768,0.00,258.14,8.712,356.631960
1760227413.5600083,0.00,258.14,8.668,365.301494
1760227414.5601656,0.00,258.14,8.625,373.928242
1760227415.5605621,0.00,258.14,8.594,382.525998
1760227416.559992,1.00,258.14,8.652,391.173132
1760227417.5597794,0.00,258.14,8.555,399.725905
1760227418.5604334,0.00,258.14,8.581,408.312126
1760227419.5597785,0.00,258.14,8.653,416.959137
1760227420.5597732,0.00,258.14,8.648,425.607126
1760227421.5598009,0.00,258.14,8.605,434.212572
1760227422.559777,0.00,258.14,8.528,442.740810
1760227423.5599892,0.00,258.14,8.499,451.241398
1760227424.5609891,0.00,258.14,8.488,459.737653
1760227425.5609858,0.00,258.14,8.493,468.230796
1760227426.559774,0.00,258.14,8.510,476.730103
1760227427.5597763,0.00,258.14,8.472,485.201638
1760227428.559984,1.00,258.14,8.592,493.794939
1760227429.5597768,0.00,258.14,8.506,502.299251
1760227430.5598404,0.00,258.14,8.438,510.737340
1760227431.5598688,0.00,258.14,8.476,519.213453
1760227432.560199,1.00,258.14,8.524,527.740714
1760227433.559774,0.00,258.14,8.525,536.261688
1760227434.5597737,0.00,258.14,8.485,544.746774
1760227435.5598006,0.00,258.14,8.482,553.229296
1760227436.5597756,14.00,259.39,8.455,561.683681
1760227437.5597758,2.00,259.39,8.515,570.198918
1760227438.561318,51.90,259.39,8.594,578.806562
1760227439.560063,0.00,259.39,8.536,587.332236
1760227440.5616899,0.00,259.39,8.540,595.886109
1760227441.560292,0.00,259.39,8.507,604.381692
