ts,cpu_percent,rss_mb,power_w,energy_j_total
1760230882.881993,30.00,206.77,0.000,0.000000
1760230883.8819928,14.00,207.02,11.813,11.813141
1760230884.8820808,42.00,201.25,12.972,24.786069
1760230885.8819876,46.00,201.50,12.376,37.160427
1760230886.881998,52.00,201.50,11.932,49.092159
1760230887.8820245,1.00,201.50,11.673,60.765775
1760230888.882002,0.00,201.50,11.403,72.168028
1760230889.8820834,0.00,201.50,11.392,83.560455
1760230890.882393,0.00,201.50,11.212,94.775636
1760230891.8843124,0.00,201.50,11.078,105.874729
1760230892.8820555,0.00,201.50,10.995,116.845099
1760230893.8850205,0.00,201.50,10.900,127.777749
1760230894.8819942,0.00,201.50,10.599,138.344372
1760230895.8820007,0.00,201.50,9.741,148.085802
1760230896.8821151,0.00,201.50,9.616,157.702477
1760230897.8819997,0.00,201.50,9.583,167.284423
1760230898.8819954,0.00,201.50,9.617,176.900975
1760230899.8845387,0.00,201.50,9.510,186.435253
1760230900.8820171,1.00,201.50,9.583,195.994188
1760230901.881999,0.00,201.50,9.516,205.510277
1760230902.8819928,0.00,201.50,9.476,214.986388
1760230903.8826005,0.00,201.50,9.472,224.463781
1760230904.8822327,0.00,201.50,9.432,233.892284
1760230905.8820019,0.00,201.50,8.937,242.827381
1760230906.8820002,0.00,201.50,8.955,251.781887
1760230907.8819954,1.00,201.50,8.921,260.702946
1760230908.8820996,0.00,201.50,8.938,269.641888
1760230909.8839915,0.00,201.50,8.887,278.546101
1760230910.8819919,0.00,201.50,8.861,287.389401
1760230911.8823702,0.00,201.50,8.876,296.268529
1760230912.885458,0.00,201.50,8.795,305.090955
1760230913.8823578,0.00,201.50,8.853,313.916494
1760230914.8820019,1.00,201.50,9.521,323.433803
1760230915.881992,0.00,201.50,9.813,333.246705
1760230916.8821268,0.00,201.50,10.014,343.261694
1760230917.8820353,0.00,201.50,10.023,353.283886
1760230918.8820071,0.00,201.50,10.016,363.299241
1760230919.8822794,0.00,201.50,10.019,373.320822
1760230920.8819969,0.00,201.50,9.977,383.295039
1760230921.8820004,0.00,201.50,10.004,393.299286
1760230922.8819966,0.00,201.50,9.928,403.227178
1760230923.8823566,0.00,201.50,9.874,413.104350
1760230924.882005,0.00,201.50,9.861,422.961747
1760230925.8819947,0.00,201.50,9.856,432.817312
1760230926.8822892,0.00,201.50,9.809,442.629360
1760230927.8820088,0.00,201.50,8.811,451.437504
1760230928.882069,1.00,201.50,8.734,460.171857
1760230929.8833866,0.00,201.50,8.712,468.895223
1760230930.8820002,0.00,201.50,8.684,477.567625
1760230931.882008,0.00,201.50,8.729,486.296301
1760230932.8819945,0.00,201.50,8.697,494.993179
1760230933.8828356,0.00,201.50,8.719,503.719841
1760230934.8819914,0.00,201.50,8.716,512.428925
1760230935.8820965,0.00,201.50,8.711,521.141122
1760230936.8822074,0.00,201.50,8.903,530.045091
1760230937.8819938,0.00,201.50,8.208,538.251002
1760230938.8819945,0.00,201.50,8.225,546.476506
1760230939.8819911,0.00,201.50,8.226,554.702071
1760230940.8822937,0.00,201.50,8.212,562.916650
1760230941.8840091,1.00,201.50,8.231,571.161685
1760230942.8819888,0.00,201.50,8.258,579.402875
1760230943.8822675,0.00,201.50,8.240,587.645163
1760230944.883655,0.00,201.50,8.250,595.906250
1760230945.8819976,0.00,201.50,8.251,604.143473
1760230946.8829944,0.00,201.50,8.280,612.431660
1760230947.8828938,0.00,201.50,8.379,620.809385
1760230948.8829007,0.00,201.50,8.313,629.122352
1760230949.882108,23.00,206.75,8.318,637.434098
1760230950.8819938,0.00,206.75,8.283,645.715693
1760230951.882047,26.00,206.75,8.337,654.052830
1760230952.8819935,0.00,206.75,8.397,662.449537
1760230953.881995,1.00,206.75,8.299,670.748954
1760230954.8827426,0.00,206.75,8.337,679.091706
1760230955.8820014,0.00,206.75,8.362,687.447764
1760230956.8819985,0.00,206.75,8.325,695.772572
1760230957.8819947,0.00,206.75,8.287,704.059355
1760230958.881993,0.00,206.75,8.308,712.367073
1760230959.881999,0.00,206.75,8.272,720.639268
1760230960.8820415,0.00,206.75,8.288,728.928004
1760230961.8819952,0.00,206.75,8.298,737.225285
1760230962.8819916,0.00,206.75,8.212,745.437362
1760230963.8819957,0.00,206.75,8.211,753.648888
1760230964.8819942,0.00,206.75,8.223,761.871646
1760230965.882346,0.00,206.75,8.228,770.102093
1760230966.8819902,1.00,206.75,8.190,778.289084
1760230967.882207,0.00,206.75,8.199,786.490296
1760230968.882647,0.00,206.75,8.233,794.726786
1760230969.8819942,0.00,206.75,8.208,802.929646
1760230970.8826506,0.00,206.75,8.188,811.122984
1760230971.8826299,0.00,206.75,8.210,819.332680
1760230972.882625,0.00,206.75,8.294,827.626787
1760230973.8820252,0.00,206.75,8.227,835.848568
1760230974.8819902,0.00,206.75,8.231,844.079565
1760230975.88199,10.00,206.75,8.160,852.240006
1760230976.8819904,15.00,206.75,8.221,860.460566
1760230977.882142,0.00,206.75,8.268,868.729832
1760230978.8820033,0.00,206.75,8.234,876.962843
1760230979.8821647,0.00,206.75,8.253,885.216728
1760230980.8819919,0.00,206.75,8.197,893.412752
1760230981.881994,1.00,206.75,8.259,901.671581
1760230982.8819964,1.00,206.75,8.193,909.864126
1760230983.8822546,37.00,206.75,8.196,918.062042
1760230984.883087,3.00,206.75,8.287,926.355478
1760230985.882411,0.00,206.75,8.129,934.479297
1760230986.8819935,0.00,206.75,8.196,942.671720
1760230987.8831367,1.00,206.75,8.206,950.887458
1760230988.8819885,0.00,206.75,8.148,959.025621
1760230989.8819933,0.00,206.75,8.116,967.141506
1760230990.8820076,0.00,206.75,8.141,975.282415
1760230991.885561,0.00,206.75,8.158,983.469711
1760230992.8823032,0.00,206.75,8.130,991.572962
1760230993.881993,0.00,206.75,8.134,999.704655
1760230994.8864853,1.00,206.75,8.153,1007.894331
1760230995.8819919,0.00,206.75,8.118,1015.975732
1760230996.8820703,0.00,206.75,8.131,1024.106875
1760230997.8821,0.00,206.75,8.134,1032.241193
1760230998.8820443,0.00,206.75,8.080,1040.321128
1760230999.8839908,0.00,206.75,8.157,1048.493715
1760231000.8819942,0.00,206.75,8.113,1056.590252
1760231001.882101,0.00,206.75,8.118,1064.708944
1760231002.8819935,0.00,206.75,8.083,1072.791016
1760231003.8819966,0.00,206.75,8.079,1080.870341
1760231004.8820791,0.00,206.75,8.169,1089.039814
1760231005.8820221,0.00,206.75,8.046,1097.085204
1760231006.8826823,0.00,206.75,8.160,1105.250527
1760231007.8820019,0.00,206.75,8.045,1113.290424
1760231008.8819954,0.00,206.75,8.274,1121.564389
1760231009.8820012,1.00,206.75,9.665,1131.229648
1760231010.881994,0.00,206.75,9.493,1140.722666
1760231011.8827631,0.00,206.75,9.728,1150.458114
1760231012.8819923,0.00,206.75,9.624,1160.074423
1760231013.8825915,0.00,206.75,9.644,1169.724544
1760231014.881992,0.00,206.75,9.580,1179.298678
1760231015.8821945,0.00,206.75,9.650,1188.950569
1760231016.8825276,0.00,206.75,9.633,1198.586470
1760231017.8821652,0.00,206.75,9.666,1208.248616
1760231018.8825672,0.00,206.75,9.657,1217.909113
1760231019.8819976,0.00,206.75,9.595,1227.499055
1760231020.8821177,0.00,206.75,9.561,1237.061042
1760231021.88342,0.00,206.75,9.046,1246.119246
1760231022.8819983,26.00,209.25,8.472,1254.578819
1760231023.882637,4.00,209.25,8.480,1263.064393
1760231024.8829982,1.00,209.25,8.617,1271.684489
1760231025.8819933,0.00,205.99,8.573,1280.248798
1760231026.881989,1.00,205.99,8.602,1288.850521
1760231027.8819916,23.00,205.99,8.634,1297.484532
1760231028.8819966,3.00,205.99,8.579,1306.063978
1760231029.8829896,23.00,205.99,8.662,1314.734427
1760231030.8839896,0.00,205.99,8.625,1323.367828
1760231031.8819888,0.00,205.99,8.609,1331.959114
1760231032.8820128,0.00,205.99,8.127,1340.086169
1760231033.8822472,0.00,205.99,8.059,1348.147061
1760231034.8820236,0.00,205.99,8.142,1356.286872
1760231035.8824067,0.00,205.99,8.162,1364.452317
1760231036.8829877,0.00,205.99,8.110,1372.567226
1760231037.8819985,0.00,205.99,8.237,1380.796270
