ts,cpu_percent,rss_mb,power_w,energy_j_total
1760386451.5148706,26.00,197.55,0.000,0.000000
1760386452.5148797,69.00,197.55,10.238,10.238377
1760386453.5148716,24.00,194.00,10.433,20.670968
1760386454.5148742,68.00,194.00,11.602,32.272745
1760386455.515545,44.00,194.25,11.372,43.652293
1760386456.51489,0.00,194.25,10.853,54.498091
1760386457.5157514,1.00,194.25,10.540,65.047258
1760386458.5152998,0.00,194.25,10.427,75.469839
1760386459.5157728,0.00,194.25,10.208,85.682703
1760386460.5148885,0.00,194.25,10.035,95.708618
1760386461.5158308,0.00,194.25,9.948,105.666295
1760386462.514969,0.00,194.25,9.886,115.543528
1760386463.5148776,0.00,194.25,9.715,125.257187
1760386464.5153747,0.00,194.25,9.586,134.848044
1760386465.515619,0.00,194.25,9.528,144.378110
1760386466.51495,0.00,194.25,9.496,153.867282
1760386467.5149662,0.00,194.25,9.536,163.403696
1760386468.5148787,1.00,194.25,9.393,172.795884
1760386469.515022,0.00,194.25,9.310,182.106834
1760386470.514877,0.00,194.25,9.341,191.446104
1760386471.5149949,0.00,194.25,9.239,200.685705
1760386472.5164762,1.00,194.25,9.226,209.925366
1760386473.5148795,0.00,194.25,9.151,219.062184
1760386474.5148778,0.00,194.25,9.151,228.213588
1760386475.514913,0.00,194.25,9.142,237.356021
1760386476.5148804,0.00,194.25,9.123,246.478617
1760386477.5161748,0.00,194.25,8.968,255.458392
1760386478.5148795,0.00,194.25,8.932,264.378474
1760386479.5148828,1.00,194.25,8.902,273.280917
1760386480.5153298,0.00,194.25,8.911,282.196116
1760386481.5150557,0.00,194.25,8.868,291.062060
1760386482.5148742,0.00,194.25,8.739,299.799465
1760386483.5176175,0.00,194.25,8.731,308.554264
1760386484.514902,0.00,194.25,8.702,317.232342
1760386485.5149868,0.00,194.25,8.709,325.942037
1760386486.515133,0.00,194.25,8.743,334.686460
1760386487.516062,0.00,194.25,8.674,343.368262
1760386488.5149143,0.00,194.25,8.666,352.024368
1760386489.5183587,1.00,194.25,8.708,360.762688
1760386490.5161762,0.00,194.25,8.706,369.449250
1760386491.5149765,0.00,194.25,8.740,378.178781
1760386492.5150092,0.00,194.25,8.712,386.891527
1760386493.5174317,0.00,194.25,8.729,395.641688
1760386494.5148876,0.00,194.25,8.701,404.320804
1760386495.5149653,0.00,194.25,8.639,412.960186
1760386496.5148942,0.00,194.25,8.620,421.579915
1760386497.5152893,0.00,194.25,8.573,430.156553
1760386498.5148716,0.00,194.25,8.574,438.726599
1760386499.5153215,0.00,194.25,8.535,447.265091
1760386500.5148938,0.00,194.25,8.506,455.767510
1760386501.516474,0.00,194.25,8.545,464.325838
1760386502.5148802,0.00,194.25,8.546,472.857799
1760386503.5151217,1.00,194.25,8.582,481.441822
1760386504.5148764,0.00,194.25,8.537,489.976285
1760386505.5149088,0.00,194.25,8.520,498.496527
1760386506.514998,0.00,194.25,8.558,507.054855
1760386507.5156484,0.00,194.25,8.613,515.673607
1760386508.5159228,0.00,194.25,8.620,524.295716
1760386509.516618,0.00,194.25,8.620,532.921671
1760386510.5148802,0.00,194.25,8.537,541.443744
1760386511.5148847,0.00,194.25,8.646,550.089901
1760386512.5174797,0.00,194.25,8.636,558.748143
1760386513.5148828,0.00,194.25,8.646,567.371839
1760386514.514883,1.00,194.25,8.574,575.945975
1760386515.5148869,0.00,194.25,8.580,584.526336
1760386516.5151172,0.00,194.25,8.632,593.160530
1760386517.5148785,1.00,194.25,8.624,601.782761
1760386518.514879,0.00,194.25,8.653,610.435877
