ts,cpu_percent,rss_mb,power_w,energy_j_total
1760391828.189485,19.00,928.29,0.000,0.000000
1760391829.189483,40.00,928.54,10.198,10.197972
1760391830.1894736,47.00,928.54,10.895,21.092414
1760391831.1894686,70.00,928.54,11.490,32.582802
1760391832.1894977,33.00,928.54,11.702,44.285287
1760391833.190102,0.00,928.54,11.163,55.454814
1760391834.190009,0.00,928.54,10.840,66.293837
1760391835.1894727,0.00,928.54,10.592,76.880357
1760391836.1894855,1.00,928.54,10.379,87.259420
1760391837.191648,0.00,928.54,10.172,97.453425
1760391838.1894715,0.00,928.54,10.184,107.615020
1760391839.1894739,0.00,928.54,10.034,117.648869
1760391840.1894758,0.00,928.54,9.895,127.543497
1760391841.189616,0.00,928.79,9.722,137.266860
1760391842.190181,1.00,928.79,9.658,146.930166
1760391843.1899123,0.00,928.79,9.570,156.497280
1760391844.1905282,0.00,928.79,9.541,166.044497
1760391845.1894763,0.00,928.79,9.449,175.484048
1760391846.1896996,0.00,928.79,9.356,184.842605
1760391847.1894734,1.00,928.79,9.325,194.165152
1760391848.189482,0.00,928.79,9.304,203.469023
1760391849.1898918,0.00,928.79,9.203,212.676274
1760391850.1894763,0.00,928.79,9.236,221.908490
1760391851.189479,0.00,928.79,9.189,231.097431
1760391852.1894748,0.00,928.79,9.140,240.237300
1760391853.190689,0.00,928.79,9.099,249.347079
1760391854.1899903,0.00,928.79,9.002,258.342356
1760391855.1894717,0.00,928.79,8.999,267.337023
1760391856.1897376,0.00,928.79,9.032,276.371729
1760391857.1896396,0.00,928.79,9.049,285.419374
1760391858.190351,0.00,928.79,8.939,294.365091
1760391859.1894755,0.00,928.79,8.891,303.248064
1760391860.1895463,0.00,928.79,8.798,312.046686
1760391861.1894765,1.00,928.79,8.787,320.833285
1760391862.1903012,0.00,928.79,8.857,329.697337
1760391863.1904032,0.00,928.79,8.739,338.437671
1760391864.1894693,0.00,928.79,8.744,347.173183
1760391865.1894724,0.00,928.79,8.668,355.841069
1760391866.189822,0.00,928.79,8.632,364.475935
1760391867.1894717,0.00,928.79,8.596,373.068442
1760391868.1900053,0.00,928.79,8.596,381.669311
1760391869.1896482,0.00,928.79,8.637,390.302773
1760391870.1894786,0.00,928.79,8.672,398.972978
1760391871.1898987,0.00,928.79,8.634,407.610956
1760391872.1894712,0.00,928.79,8.607,416.214144
1760391873.1896706,0.00,928.79,8.563,424.778393
1760391874.1894798,0.00,928.79,8.559,433.335988
1760391875.1894717,0.00,928.79,8.648,441.983549
1760391876.1894908,0.00,928.79,8.549,450.532538
1760391877.1894705,0.00,928.79,8.595,459.127548
1760391878.1894743,0.00,928.79,8.545,467.672814
1760391879.1894705,0.00,928.79,8.624,476.296876
1760391880.1894746,0.00,928.79,8.536,484.832621
1760391881.190884,0.00,928.79,8.552,493.396381
1760391882.1907861,1.00,928.79,8.560,501.955990
1760391883.1894734,0.00,928.79,8.560,510.504308
1760391884.1894763,0.00,928.79,8.590,519.094252
1760391885.1894727,0.00,928.79,8.557,527.650993
