ts,cpu_percent,rss_mb,power_w,energy_j_total
1760238480.44021,72.00,159.45,0.000,0.000000
1760238481.4402063,125.00,160.20,7.081,7.080548
1760238482.4402115,65.00,160.20,13.103,20.183481
1760238483.4402099,168.00,160.20,12.527,32.710182
1760238484.4402087,266.00,160.20,12.306,45.016425
1760238485.4402063,234.00,160.20,10.973,55.989053
1760238486.4402208,53.00,160.45,10.469,66.457777
1760238487.4402127,0.00,160.45,10.289,76.746202
1760238488.4407299,0.00,160.45,10.179,86.930502
1760238489.4402373,0.00,160.45,10.056,96.981929
1760238490.4409902,1.00,160.45,10.040,107.029572
1760238491.440632,1.00,160.45,10.037,117.062566
1760238492.44022,0.00,160.45,9.956,127.014018
1760238493.4402096,0.00,160.45,9.922,136.935562
1760238494.440216,0.00,160.45,9.921,146.856863
1760238495.4407825,0.00,160.45,9.521,156.383572
1760238496.4402146,0.00,160.45,9.293,165.671146
1760238497.4403694,0.00,160.45,9.232,174.905070
1760238498.4404635,0.00,160.45,9.219,184.124590
1760238499.4404652,0.00,160.45,9.121,193.245721
1760238500.4402137,0.00,160.45,9.213,202.456757
1760238501.4408698,0.00,160.45,9.084,211.547127
1760238502.4402156,0.00,160.45,9.134,220.675521
1760238503.4402092,1.00,160.45,9.156,229.831077
1760238504.440218,0.00,160.45,9.409,239.240537
1760238505.440215,0.00,160.45,10.140,249.380221
1760238506.4402115,0.00,160.45,10.022,259.402168
1760238507.4402118,0.00,160.45,10.365,269.767254
1760238508.4402158,0.00,160.45,10.242,280.009781
1760238509.4417703,0.00,160.45,10.130,290.155873
1760238510.4406266,0.00,160.45,10.082,300.226770
1760238511.4404616,0.00,160.45,10.079,310.304320
1760238512.4402094,0.00,160.45,10.074,320.375828
1760238513.4402153,0.00,160.45,10.110,330.486214
1760238514.4403038,0.00,160.45,10.005,340.492292
1760238515.4405818,0.00,160.45,10.019,350.513995
1760238516.4402125,0.00,160.45,10.000,360.510735
1760238517.4402132,0.00,160.45,9.240,369.750274
1760238518.4429865,1.00,160.45,8.953,378.728584
1760238519.440213,0.00,160.45,8.887,387.590805
1760238520.4406953,0.00,160.45,8.857,396.451805
1760238521.440214,0.00,160.45,8.834,405.281555
1760238522.4402125,0.00,160.45,8.790,414.071633
1760238523.4402158,0.00,160.45,8.871,422.943070
1760238524.440209,0.00,160.45,8.837,431.780145
1760238525.4472141,0.00,160.45,8.857,440.698945
1760238526.4402223,0.00,160.45,8.869,449.505807
1760238527.4402184,0.00,160.45,8.536,458.041857
1760238528.4402134,0.00,160.45,8.252,466.293850
1760238529.4402149,0.00,160.45,8.233,474.526739
1760238530.4408355,0.00,160.45,8.295,482.827377
1760238531.440209,0.00,160.45,8.278,491.100488
1760238532.4411461,0.00,160.45,8.252,499.359806
1760238533.4409466,1.00,160.45,8.363,507.721356
1760238534.4402127,0.00,160.45,8.290,516.005637
1760238535.4407701,0.00,160.45,8.308,524.318177
1760238536.4402168,0.00,160.45,8.268,532.581522
1760238537.4402242,0.00,160.45,8.217,540.798176
1760238538.4402096,0.00,160.45,8.267,549.065245
1760238539.4410806,0.00,160.45,8.272,557.344459
1760238540.4402113,0.00,160.45,8.255,565.591814
1760238541.440218,0.00,160.45,8.285,573.876521
1760238542.4403024,1.00,160.45,8.309,582.186254
1760238543.4402099,56.00,160.95,8.285,590.470290
1760238544.440523,0.00,160.95,8.316,598.789299
1760238545.440215,54.00,160.95,8.373,607.159578
1760238546.4403832,99.00,160.95,8.248,615.408825
1760238547.4402134,6.00,160.95,8.330,623.737722
1760238548.4402118,0.00,160.95,8.363,632.101043
1760238549.4402068,0.00,160.95,8.368,640.468697
1760238550.4402087,0.00,160.95,8.351,648.819933
1760238551.4402187,0.00,160.95,8.277,657.097134
1760238552.440229,0.00,160.95,8.265,665.362615
1760238553.440217,0.00,160.95,8.342,673.704208
1760238554.4410636,0.00,160.95,8.285,681.996667
1760238555.4402215,0.00,160.95,8.337,690.326663
1760238556.4402153,0.00,160.95,8.251,698.577679
1760238557.4405394,0.00,160.95,8.264,706.843893
1760238558.4402158,0.00,160.95,8.268,715.108887
1760238559.4402122,1.00,160.95,8.241,723.349711
1760238560.4402184,0.00,160.95,8.251,731.600483
1760238561.4405825,0.00,160.95,8.247,739.850218
1760238562.4402156,0.00,160.95,8.263,748.109718
1760238563.4402096,0.00,160.95,8.216,756.325945
1760238564.4402287,0.00,160.95,8.205,764.531490
1760238565.4402494,0.00,160.95,8.179,772.711034
1760238566.440224,0.00,160.95,8.181,780.892288
1760238567.4413188,0.00,160.95,8.215,789.115839
1760238568.4407022,0.00,160.95,8.273,797.383762
1760238569.4404142,2.00,160.95,8.149,805.530775
1760238570.4402134,45.00,160.95,8.161,813.690544
1760238571.440213,99.00,160.95,8.202,821.892427
1760238572.4402146,100.00,160.95,8.190,830.082042
1760238573.4402175,97.00,160.95,8.134,838.215750
1760238574.440344,49.00,160.95,8.244,846.460846
1760238575.4402137,0.00,160.95,8.263,854.722604
1760238576.4402084,0.00,160.95,8.272,862.994190
1760238577.4402125,0.00,160.95,8.195,871.189542
1760238578.440369,0.00,160.95,8.208,879.398628
1760238579.4402223,0.00,160.95,8.199,887.596910
1760238580.4402077,1.00,160.95,8.186,895.783046
1760238581.4402125,39.00,160.95,8.100,903.883367
1760238582.440209,100.00,160.95,8.134,912.017074
1760238583.4402132,110.00,160.95,8.113,920.130518
1760238584.4402125,199.00,160.95,8.122,928.252079
1760238585.4402182,144.00,160.95,8.180,936.432295
1760238586.4402146,100.00,160.95,8.109,944.540795
1760238587.440217,94.00,160.95,8.125,952.666201
1760238588.442173,0.00,160.95,8.181,960.862713
1760238589.4402115,0.00,160.95,8.176,969.022238
1760238590.4402149,0.00,160.95,8.202,977.224000
1760238591.4402132,0.00,160.95,8.160,985.383769
1760238592.4408307,0.00,160.95,8.090,993.478536
1760238593.4402127,0.00,160.95,8.150,1001.623473
1760238594.4406736,0.00,160.95,8.142,1009.768960
1760238595.4402082,0.00,160.95,8.123,1017.888019
1760238596.441149,0.00,160.95,8.096,1025.991636
1760238597.4402122,1.00,160.95,8.118,1034.102455
1760238598.44021,0.00,160.95,8.099,1042.201739
1760238599.4402142,0.00,160.95,8.061,1050.262936
1760238600.4404943,0.00,160.95,8.110,1058.375403
1760238601.4411407,0.00,160.95,8.078,1066.458696
1760238602.440768,0.00,160.95,8.119,1074.574397
1760238603.4402092,0.00,160.95,8.150,1082.719457
1760238604.4402103,0.00,160.95,9.060,1091.779004
1760238605.440299,1.00,160.95,9.432,1101.211963
1760238606.4405913,0.00,160.95,9.702,1110.917017
1760238607.4402134,0.00,160.95,9.620,1120.532959
1760238608.4409978,0.00,160.95,9.658,1130.198584
1760238609.4402122,0.00,160.95,9.604,1139.794873
1760238610.440305,0.00,160.95,9.671,1149.466601
1760238611.440211,0.00,160.95,9.637,1159.102562
1760238612.441122,0.00,160.95,9.609,1168.720275
1760238613.440583,2.00,160.95,9.582,1178.296849
