ts,cpu_percent,rss_mb,power_w,energy_j_total
1760240028.8602672,43.00,267.79,0.000,0.000000
1760240029.860803,36.00,268.29,11.741,11.747712
1760240030.860275,20.00,256.94,12.845,24.585752
1760240031.8602593,17.00,257.19,12.130,36.715299
1760240032.8615806,36.00,257.44,11.743,48.474180
1760240033.8606327,0.00,257.44,11.549,60.011809
1760240034.8607364,0.00,257.44,11.360,71.372498
1760240035.8604157,1.00,257.44,11.234,82.603365
1760240036.8602612,0.00,257.44,11.163,93.764347
1760240037.860259,0.00,257.44,10.961,104.725623
1760240038.8603046,0.00,257.44,10.889,115.614816
1760240039.8603573,0.00,257.44,10.902,126.517071
1760240040.860267,0.00,257.44,10.009,136.525102
1760240041.8610518,0.00,257.44,9.850,146.383170
1760240042.8602602,0.00,257.44,9.701,156.076077
1760240043.861875,0.00,257.44,9.639,165.730289
1760240044.8602629,0.00,257.44,9.620,175.335244
1760240045.8602633,0.00,257.44,9.626,184.960769
1760240046.8608687,0.00,257.44,9.592,194.558950
1760240047.8602593,1.00,257.44,9.532,204.084744
1760240048.8612208,0.00,257.44,9.527,213.621401
1760240049.8602643,0.00,257.44,9.566,223.178140
1760240050.8604205,0.00,257.44,9.048,232.227311
1760240051.8602784,0.00,257.44,8.903,241.128655
1760240052.8613672,0.00,257.44,8.916,250.053986
1760240053.8605766,0.00,257.44,8.934,258.981087
1760240054.8602657,0.00,257.44,8.956,267.934800
1760240055.8613443,0.00,257.44,8.926,276.870690
1760240056.8602624,0.00,257.44,8.825,285.685853
1760240057.861154,0.00,257.44,8.875,294.568765
1760240058.8602607,0.00,257.44,8.959,303.519303
1760240059.8609846,0.00,257.44,9.061,312.587090
1760240060.8639872,0.00,257.44,9.974,322.591520
1760240061.8602653,0.00,257.44,9.971,332.525089
1760240062.8602648,1.00,257.44,10.111,342.635719
1760240063.86026,0.00,257.44,10.139,352.774548
1760240064.8622494,0.00,257.44,10.127,362.921251
1760240065.8639877,0.00,257.44,10.095,373.033347
1760240066.8602645,0.00,257.44,10.034,383.030086
1760240067.8605132,0.00,257.44,10.026,393.059052
1760240068.8602638,0.00,257.44,9.974,403.030951
1760240069.8602645,0.00,257.44,9.924,412.955058
1760240070.8609893,0.00,257.44,9.881,422.843583
1760240071.8609889,0.00,257.44,9.882,432.725455
1760240072.8636198,1.00,257.44,9.201,441.950956
1760240073.8602643,0.00,257.44,8.843,450.764044
1760240074.8602986,0.00,257.44,8.735,459.499434
1760240075.8613937,0.00,257.44,8.801,468.310508
1760240076.8604136,1.00,257.44,8.777,477.078979
1760240077.8606143,0.00,257.44,8.772,485.852516
1760240078.860263,0.00,257.44,8.762,494.611099
1760240079.8605876,0.00,257.44,8.763,503.377434
1760240080.8616176,0.00,257.44,8.850,512.236421
1760240081.8609152,0.00,257.44,8.840,521.070138
1760240082.8617465,0.00,257.44,8.632,529.709276
1760240083.8616617,0.00,257.44,8.233,537.941677
1760240084.8602629,0.00,257.44,8.236,546.165960
1760240085.8602602,0.00,257.44,8.250,554.415756
1760240086.8602688,1.00,257.44,8.173,562.588892
1760240087.8602586,0.00,257.44,8.206,570.795108
1760240088.8602617,0.00,257.44,8.243,579.038496
1760240089.860263,0.00,257.44,8.194,587.232994
1760240090.8602617,0.00,257.44,8.185,595.417604
1760240091.8602607,0.00,257.44,8.227,603.644817
1760240092.8611152,0.00,257.44,8.244,611.896200
1760240093.860261,0.00,257.44,8.264,620.152770
1760240094.8602622,0.00,257.44,8.309,628.462014
1760240095.8602688,0.00,257.44,8.332,636.793902
1760240096.8602653,0.00,257.44,8.284,645.077816
