ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760206317.430477,0,24.333,0.000000,0.000000,7,7,1520,53
1760206318.430574,1,28.666,31.406000,31.406000,8,7,1934,54
1760206319.430579,2,28.613,31.241000,62.647000,7,7,2333,54
1760206320.430582,3,28.430,31.127000,93.774000,6,7,2469,54
1760206321.430513,4,28.388,31.116000,124.890000,6,7,2469,54
1760206322.430587,5,28.443,31.219000,156.109000,6,7,2469,53
1760206323.430847,6,28.296,31.001000,187.110000,6,7,2469,53
1760206324.430867,7,28.088,30.835000,217.945000,6,7,2469,53
1760206325.430506,8,28.122,30.897000,248.842000,6,7,2469,53
1760206326.430577,9,28.200,30.905000,279.747000,6,7,2469,53
1760206327.430506,10,28.004,30.632000,310.379000,6,6,2469,53
1760206328.430583,11,28.004,30.763000,341.142000,5,6,2469,53
1760206329.430500,12,27.963,30.774000,371.916000,6,7,2469,53
1760206330.430498,13,28.083,30.897000,402.813000,6,7,2469,53
1760206331.430474,14,28.186,30.979000,433.792000,6,7,2469,53
1760206332.430486,15,28.165,30.903000,464.695000,6,7,2469,53
1760206333.430582,16,28.319,31.369000,496.064000,6,6,2469,53
1760206334.430485,17,28.185,31.477000,527.541000,6,7,2469,53
1760206335.430808,18,28.329,31.719000,559.260000,6,7,2469,53
1760206336.430591,19,28.321,32.038000,591.298000,6,7,2469,53
1760206337.430609,20,28.409,32.064000,623.362000,6,7,2469,53
1760206338.430582,21,28.392,32.176000,655.538000,7,7,2469,53
1760206339.430585,22,28.472,32.402000,687.940000,6,7,2469,54
1760206340.430647,23,28.464,32.413000,720.353000,6,7,2469,54
1760206341.430491,24,28.500,32.789000,753.142000,6,7,2469,54
1760206342.430571,25,28.462,32.904000,786.046000,6,7,2469,54
1760206343.430516,26,28.349,33.044000,819.090000,6,7,2469,54
1760206344.430592,27,28.161,33.088000,852.178000,6,7,2469,54
1760206345.430633,28,28.208,33.306000,885.484000,6,7,2469,54
1760206346.430514,29,28.186,33.392000,918.876000,6,7,2469,54
1760206347.430488,30,28.035,33.454000,952.330000,7,7,2469,54
1760206348.430596,31,28.042,33.431000,985.761000,7,7,2469,54
1760206349.430583,32,28.120,33.878000,1019.639000,6,7,2469,54
1760206350.430475,33,28.095,33.952000,1053.591000,6,7,2469,54
1760206351.430723,34,28.080,34.161000,1087.752000,6,7,2469,54
1760206352.430612,35,28.062,34.449000,1122.201000,6,7,2469,54
1760206353.430587,36,28.115,34.614000,1156.815000,6,7,2469,54
1760206354.430491,37,28.127,34.931000,1191.746000,6,7,2469,54
1760206355.430596,38,28.191,35.034000,1226.780000,6,6,2469,54
1760206356.430476,39,28.136,35.419000,1262.199000,6,7,2469,54
1760206357.430615,40,28.242,35.460000,1297.659000,6,7,2469,54
1760206358.430583,41,28.270,35.766000,1333.425000,5,6,2469,54
1760206359.430486,42,28.353,36.006000,1369.431000,5,6,2469,54
1760206360.430584,43,28.539,36.280000,1405.711000,7,7,2469,54
1760206361.430583,44,28.587,36.696000,1442.407000,6,7,2469,54
1760206362.430573,45,28.490,36.715000,1479.122000,6,7,2469,54
1760206363.430504,46,28.502,36.996000,1516.118000,7,7,2469,54
1760206364.430873,47,28.608,37.304000,1553.422000,7,7,2469,54
1760206365.430477,48,28.483,37.609000,1591.031000,6,7,2469,54
1760206366.430495,49,28.376,37.530000,1628.561000,6,7,2469,54
1760206367.430671,50,28.554,38.262000,1666.823000,6,7,2469,54
1760206368.430511,51,28.526,38.175000,1704.998000,6,7,2469,54
1760206369.430574,52,28.558,38.224000,1743.222000,6,7,2469,54
1760206370.430609,53,28.576,38.465000,1781.687000,6,7,2469,54
1760206371.430624,54,28.605,38.654000,1820.341000,6,7,2469,54
1760206372.430765,55,28.678,38.987000,1859.328000,6,7,2469,54
1760206373.430500,56,28.643,39.086000,1898.414000,6,7,2469,54
1760206374.430583,57,28.634,39.170000,1937.584000,6,7,2469,54
1760206375.430581,58,28.568,39.342000,1976.926000,6,7,2469,54
1760206376.430648,59,28.579,39.477000,2016.403000,6,7,2469,54
1760206377.430588,60,28.546,39.654000,2056.057000,7,7,2469,54
1760206378.430572,61,28.582,31.159000,2087.216000,7,7,2469,54
1760206379.430476,62,28.613,31.202000,2118.418000,7,7,2469,54
1760206380.430507,63,28.511,31.061000,2149.479000,6,7,2469,54
1760206381.430721,64,28.541,31.180000,2180.659000,7,7,2469,54
1760206382.430476,65,28.535,31.089000,2211.748000,7,7,2469,54
1760206383.430626,66,28.445,31.079000,2242.827000,6,7,2469,54
1760206384.430470,67,28.495,31.200000,2274.027000,7,7,2469,54
1760206385.430588,68,28.465,31.144000,2305.171000,6,7,2469,54
1760206386.430477,69,28.580,31.263000,2336.434000,6,7,2469,54
1760206387.430875,70,28.508,31.150000,2367.584000,5,6,2469,54
1760206388.430489,71,28.478,31.151000,2398.735000,6,7,2469,54
1760206389.430585,72,28.521,31.154000,2429.889000,6,7,2469,54
1760206390.430560,73,28.396,31.200000,2461.089000,6,7,2469,54
1760206391.430940,74,28.537,31.515000,2492.604000,6,6,2469,54
1760206392.431466,75,28.486,31.785000,2524.389000,6,7,2469,54
1760206393.430589,76,28.473,32.137000,2556.526000,6,7,2469,55
1760206394.430781,77,28.598,32.241000,2588.767000,6,7,2469,55
1760206395.430764,78,28.629,32.300000,2621.067000,6,7,2469,55
1760206396.430512,79,28.641,32.301000,2653.368000,6,7,2469,54
