ts,cpu_percent,rss_mb,power_w,energy_j_total
1760206914.2367797,35.00,243.00,0.000,0.000000
1760206915.2366695,19.00,243.25,5.561,5.560533
1760206916.2368207,9.00,234.71,6.204,11.765778
1760206917.2372983,18.00,235.21,6.206,17.974502
1760206918.2372313,7.00,235.21,6.233,24.207030
1760206919.2367687,0.00,235.21,5.570,29.774216
1760206920.2366972,0.00,235.21,5.297,35.070528
1760206921.2367008,0.00,235.21,5.197,40.267536
1760206922.2367682,0.00,235.21,5.234,45.502081
1760206923.236779,0.00,235.21,5.213,50.715324
1760206924.2366912,0.00,235.21,5.404,56.118631
1760206925.2367585,2.00,235.21,5.205,61.323634
1760206926.236765,0.00,235.21,5.174,66.497327
1760206927.2367754,0.00,235.21,5.347,71.844604
1760206928.2367668,0.00,235.21,5.205,77.049790
1760206929.2368793,0.00,235.21,5.360,82.410433
1760206930.2367463,0.00,235.21,5.150,87.560139
1760206931.2368143,0.00,235.21,5.184,92.744513
1760206932.2366538,0.00,235.21,5.134,97.878167
1760206933.236684,0.00,235.21,5.153,103.030925
1760206934.236676,0.00,235.21,5.359,108.390164
1760206935.2366848,0.00,235.21,5.190,113.579848
1760206936.2367582,0.00,235.21,5.179,118.758912
1760206937.2367065,1.00,235.21,5.197,123.955615
1760206938.2367606,0.00,235.21,5.173,129.129064
1760206939.2367704,0.00,235.21,5.395,134.524558
1760206940.2366629,0.00,235.21,5.275,139.799386
1760206941.236638,0.00,235.21,5.121,144.920466
1760206942.2366524,0.00,235.21,5.128,150.048261
1760206943.2367527,0.00,235.21,5.162,155.210479
1760206944.236759,0.00,235.21,5.318,160.528520
1760206945.2366939,0.00,235.21,5.140,165.667850
1760206946.2367473,0.00,235.21,5.106,170.773916
1760206947.2367504,0.00,235.21,5.168,175.942054
1760206948.2366502,0.00,235.21,5.138,181.079187
1760206949.236807,0.00,235.21,5.368,186.447765
1760206950.2368672,0.00,235.21,5.194,191.642332
1760206951.2368488,1.00,235.21,5.158,196.800338
1760206952.236839,1.00,235.21,5.299,202.099702
1760206953.2366517,0.00,235.21,5.190,207.288471
1760206954.2371862,0.00,235.21,5.370,212.660954
1760206955.2366674,0.00,235.21,5.267,217.925467
1760206956.2367532,0.00,235.21,5.134,223.060403
1760206957.2366576,0.00,235.21,5.118,228.178249
1760206958.2370682,0.00,235.21,5.219,233.399183
1760206959.2370327,0.00,235.21,5.407,238.806151
1760206960.2367744,0.00,235.21,5.253,244.057542
