ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760211494.684598,0,23.802,0.000000,0.000000,8,7,1519,53
1760211495.684591,1,28.132,30.897000,30.897000,7,7,1919,54
1760211496.684464,2,28.466,31.195000,62.092000,6,6,2347,54
1760211497.684579,3,27.993,30.734000,92.826000,6,7,2469,54
1760211498.684579,4,27.831,30.593000,123.419000,6,7,2469,53
1760211499.684588,5,28.135,30.905000,154.324000,6,7,2469,53
1760211500.684656,6,27.951,30.708000,185.032000,6,7,2469,53
1760211501.684467,7,27.847,30.545000,215.577000,6,7,2469,53
1760211502.684502,8,27.782,30.590000,246.167000,6,7,2469,53
1760211503.684469,9,27.859,30.555000,276.722000,6,7,2469,53
1760211504.684571,10,27.861,30.510000,307.232000,6,7,2469,53
1760211505.684463,11,27.807,30.419000,337.651000,6,7,2469,53
1760211506.684494,12,27.673,30.270000,367.921000,6,7,2469,53
1760211507.684803,13,27.772,30.531000,398.452000,6,7,2469,53
1760211508.684596,14,27.842,30.731000,429.183000,6,7,2469,53
1760211509.684499,15,27.806,31.059000,460.242000,6,7,2469,53
1760211510.684591,16,27.912,31.186000,491.428000,6,6,2469,53
1760211511.684580,17,27.888,31.491000,522.919000,6,7,2469,53
1760211512.684580,18,27.999,31.693000,554.612000,6,7,2469,53
1760211513.684709,19,27.955,31.598000,586.210000,6,7,2469,53
1760211514.684484,20,28.079,31.887000,618.097000,6,7,2469,53
1760211515.684687,21,28.116,31.964000,650.061000,6,7,2469,54
1760211516.684496,22,28.214,32.492000,682.553000,6,7,2469,54
1760211517.684463,23,28.154,32.341000,714.894000,6,7,2469,54
1760211518.684705,24,28.231,32.657000,747.551000,6,7,2469,54
1760211519.684600,25,28.137,32.911000,780.462000,7,8,2469,54
1760211520.684627,26,28.075,33.054000,813.516000,6,7,2469,54
1760211521.684647,27,27.990,33.049000,846.565000,6,8,2469,54
1760211522.684823,28,27.833,33.066000,879.631000,6,7,2469,54
1760211523.684505,29,27.843,33.404000,913.035000,6,7,2469,54
1760211524.684587,30,27.881,33.535000,946.570000,6,7,2469,54
1760211525.684567,31,27.765,33.486000,980.056000,5,7,2469,54
1760211526.684573,32,27.815,33.768000,1013.824000,5,7,2469,54
1760211527.684597,33,27.731,33.998000,1047.822000,6,7,2469,54
1760211528.684482,34,27.745,34.149000,1081.971000,6,7,2469,54
1760211529.684504,35,27.737,34.266000,1116.237000,6,7,2469,54
1760211530.684582,36,27.849,34.694000,1150.931000,6,7,2469,54
1760211531.684633,37,27.838,34.774000,1185.705000,6,7,2469,54
1760211532.684574,38,27.977,35.197000,1220.902000,6,7,2469,54
1760211533.684742,39,27.882,35.295000,1256.197000,6,7,2469,54
1760211534.684488,40,27.913,35.629000,1291.826000,6,7,2469,54
1760211535.684492,41,27.935,35.650000,1327.476000,6,7,2469,54
1760211536.684496,42,28.127,36.079000,1363.555000,6,7,2469,54
1760211537.684581,43,28.150,36.153000,1399.708000,6,7,2469,54
1760211538.684573,44,28.223,36.559000,1436.267000,6,7,2469,54
1760211539.684463,45,28.091,36.559000,1472.826000,6,7,2469,54
