ts,cpu_percent,rss_mb,power_w,energy_j_total
1760212291.03061,37.00,205.94,0.000,0.000000
1760212292.030507,9.00,205.94,5.544,5.543871
1760212293.030512,16.00,206.19,6.624,12.167816
1760212294.0306573,17.00,206.44,6.603,18.771681
1760212295.030574,19.00,206.44,6.362,25.133420
1760212296.0308914,0.00,206.44,5.519,30.654402
1760212297.030633,0.00,206.44,5.259,35.911713
1760212298.03061,0.00,206.44,5.256,41.167864
1760212299.0306218,0.00,206.44,5.375,46.543338
1760212300.030572,0.00,206.44,5.258,51.800893
1760212301.0306196,1.00,206.44,5.256,57.057105
1760212302.0310366,0.00,206.44,5.191,62.249780
1760212303.0305948,0.00,206.44,5.203,67.450695
1760212304.0308638,0.00,206.44,5.400,72.851804
1760212305.0306668,1.00,206.44,5.195,78.046187
1760212306.0304873,0.00,206.44,5.179,83.224214
1760212307.0305114,0.00,206.44,5.233,88.457416
1760212308.030496,0.00,206.44,5.235,93.692815
1760212309.0308828,0.00,206.44,5.367,99.061759
1760212310.0306184,0.00,206.44,5.178,104.238686
1760212311.03066,1.00,206.44,5.228,109.467127
1760212312.0304844,0.00,206.44,5.369,114.834790
1760212313.0304732,0.00,206.44,5.213,120.047240
1760212314.030504,0.00,206.44,5.368,125.415878
1760212315.0304766,0.00,206.44,5.192,130.607820
1760212316.0304868,0.00,206.44,5.276,135.883564
1760212317.0304754,0.00,206.44,5.208,141.091863
1760212318.0307705,0.00,206.44,5.191,146.284477
1760212319.0306177,0.00,206.44,5.375,151.658426
1760212320.030487,0.00,206.44,5.236,156.893459
1760212321.030572,0.00,206.44,5.238,162.132093
1760212322.0306132,0.00,206.44,5.192,167.323974
1760212323.0304708,2.00,206.44,5.151,172.474229
1760212324.030735,0.00,206.44,5.373,177.848849
1760212325.0308206,0.00,206.44,5.225,183.074056
1760212326.0305173,0.00,206.44,5.170,188.242866
1760212327.0308025,0.00,206.44,5.281,193.525323
1760212328.0304742,0.00,206.44,5.192,198.716106
1760212329.030586,0.00,206.44,5.388,204.104703
1760212330.0304945,0.00,206.44,5.191,209.295485
1760212331.0305142,0.00,206.44,5.208,214.503113
1760212332.0307028,0.00,206.44,5.304,219.807909
1760212333.030491,0.00,206.44,5.225,225.032261
1760212334.0306027,1.00,206.44,5.400,230.432882
1760212335.030587,0.00,206.44,5.195,235.627327
1760212336.0305831,0.00,206.44,5.259,240.885980
1760212337.030492,0.00,206.44,5.348,246.233684
1760212338.030502,0.00,206.44,5.197,251.430448
1760212339.030488,0.00,206.44,5.294,256.724197
