ts,cpu_percent,rss_mb,power_w,energy_j_total
1760215797.0483942,75.00,160.31,0.000,0.000000
1760215798.048329,74.00,160.56,5.665,5.664415
1760215799.0483978,113.00,160.56,6.844,12.509124
1760215800.0484002,171.00,160.56,6.789,19.298352
1760215801.0484107,173.00,160.81,7.219,26.516961
1760215802.0483115,46.00,160.81,6.730,33.246009
1760215803.0484855,1.00,160.81,5.331,38.577844
1760215804.048327,0.00,160.81,5.366,43.942759
1760215805.0483036,0.00,160.81,5.380,49.322689
1760215806.0484126,0.00,160.81,5.269,54.592512
1760215807.048498,0.00,160.81,5.222,59.814545
1760215808.0484116,0.00,160.81,5.240,65.054277
1760215809.0483491,1.00,160.81,5.298,70.352420
1760215810.048312,0.00,160.81,5.419,75.770864
1760215811.0484235,0.00,160.81,5.187,80.958533
1760215812.0483994,0.00,160.81,5.159,86.117090
1760215813.0483418,0.00,160.81,5.189,91.305675
1760215814.0484195,0.00,160.81,5.278,96.584165
1760215815.0484664,0.00,160.81,5.363,101.947310
1760215816.0484207,0.00,160.81,5.274,107.221039
1760215817.0483146,1.00,160.81,5.207,112.427752
1760215818.048304,0.00,160.81,5.205,117.632695
1760215819.048322,0.00,160.81,5.242,122.875235
1760215820.0490613,0.00,160.81,5.353,128.231850
1760215821.0484083,0.00,160.81,5.167,133.395289
1760215822.0484126,0.00,160.81,5.246,138.641430
1760215823.0483458,0.00,160.81,5.233,143.874205
1760215824.0484757,0.00,160.81,5.213,149.087509
1760215825.0484083,0.00,160.81,5.535,154.622346
1760215826.0484724,0.00,160.81,5.182,159.804828
1760215827.0483449,0.00,160.81,5.245,165.049200
1760215828.0483177,1.00,160.81,5.208,170.257133
1760215829.0483959,0.00,160.81,5.177,175.434793
1760215830.048421,0.00,160.81,5.354,180.788905
1760215831.0483487,0.00,160.81,5.181,185.969922
1760215832.0483093,0.00,160.81,5.215,191.185058
1760215833.048423,1.00,160.81,5.196,196.382066
1760215834.0484147,0.00,160.81,5.212,201.594272
1760215835.0484443,0.00,160.81,5.451,207.045186
1760215836.048347,0.00,160.81,5.219,212.263800
1760215837.048331,0.00,160.81,5.265,217.528435
1760215838.0483038,0.00,160.81,5.234,222.762553
1760215839.048349,0.00,160.81,5.280,228.042935
1760215840.0484502,1.00,160.81,5.438,233.481519
1760215841.048354,0.00,160.81,5.252,238.733154
1760215842.0484324,0.00,160.81,5.181,243.914964
1760215843.048304,0.00,160.81,5.231,249.145725
1760215844.0484104,0.00,160.81,5.209,254.355184
1760215845.0484169,0.00,160.81,5.367,259.722053
1760215846.048305,0.00,160.81,5.228,264.949823
