ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760216005.641957,0,24.156,0.000000,0.000000,5,6,813,52
1760216006.641971,1,28.344,32.890000,32.890000,6,7,1641,52
1760216007.642041,2,28.351,32.403000,65.293000,6,7,2055,53
1760216008.642238,3,28.415,32.861000,98.154000,5,6,2469,53
1760216009.642074,4,28.228,33.021000,131.175000,6,7,2469,53
1760216010.641968,5,28.318,32.773000,163.948000,6,7,2469,52
1760216011.642057,6,28.345,33.120000,197.068000,7,7,2469,52
1760216012.641979,7,28.332,33.381000,230.449000,6,7,2469,52
1760216013.641977,8,28.347,33.524000,263.973000,6,7,2469,52
1760216014.641971,9,28.297,33.521000,297.494000,6,7,2469,52
1760216015.641967,10,28.316,33.705000,331.199000,6,7,2469,52
1760216016.641967,11,28.324,33.945000,365.144000,5,7,2469,52
1760216017.642036,12,28.381,34.163000,399.307000,5,6,2469,52
1760216018.642323,13,28.302,34.356000,433.663000,6,7,2469,52
1760216019.642057,14,28.316,34.984000,468.647000,6,7,2469,53
1760216020.641936,15,28.409,34.992000,503.639000,5,6,2469,52
1760216021.641937,16,28.427,35.114000,538.753000,5,7,2469,53
1760216022.642064,17,28.430,35.391000,574.144000,5,7,2469,53
1760216023.641954,18,28.423,35.640000,609.784000,7,7,2469,53
1760216024.642054,19,28.387,35.667000,645.451000,6,7,2469,53
1760216025.642077,20,28.528,36.053000,681.504000,6,7,2469,53
1760216026.641977,21,28.455,36.391000,717.895000,6,7,2469,53
1760216027.642341,22,28.371,36.353000,754.248000,6,7,2469,53
1760216028.642227,23,28.470,36.868000,791.116000,6,7,2469,53
1760216029.642188,24,28.464,36.855000,827.971000,6,7,2469,53
1760216030.642045,25,28.437,37.043000,865.014000,6,7,2469,53
1760216031.642402,26,28.604,37.289000,902.303000,6,7,2469,53
1760216032.642247,27,28.449,37.482000,939.785000,6,7,2469,53
1760216033.642155,28,28.370,37.622000,977.407000,6,7,2469,53
1760216034.641943,29,28.356,37.648000,1015.055000,6,7,2469,53
1760216035.641983,30,28.372,37.767000,1052.822000,6,7,2469,53
1760216036.641942,31,28.386,38.080000,1090.902000,6,7,2469,53
1760216037.641986,32,28.454,38.247000,1129.149000,6,7,2469,54
1760216038.642064,33,28.484,38.603000,1167.752000,7,7,2469,54
1760216039.642050,34,28.514,38.733000,1206.485000,6,7,2469,54
1760216040.641941,35,28.590,39.006000,1245.491000,6,7,2469,54
1760216041.641981,36,28.611,39.032000,1284.523000,7,7,2469,54
1760216042.642074,37,28.565,39.168000,1323.691000,6,7,2469,54
1760216043.641937,38,28.734,39.791000,1363.482000,6,7,2469,54
1760216044.642186,39,28.679,39.905000,1403.387000,6,7,2469,54
1760216045.642012,40,28.665,31.397000,1434.784000,5,6,2469,54
1760216046.642045,41,28.520,31.385000,1466.169000,6,7,2469,54
