ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760218603.658727,0,24.513,0.000000,0.000000,7,7,1525,53
1760218604.658725,1,28.186,30.928000,30.928000,7,7,1934,54
1760218605.658723,2,28.284,39.197000,70.125000,7,7,2325,54
1760218606.658735,3,28.348,31.121000,101.246000,6,7,2469,54
1760218607.658851,4,28.276,30.984000,132.230000,6,7,2469,54
1760218608.658817,5,28.426,31.153000,163.383000,6,7,2469,54
1760218609.658721,6,28.391,31.178000,194.561000,6,7,2469,54
1760218610.658761,7,28.337,31.179000,225.740000,6,7,2469,54
1760218611.658758,8,28.148,30.863000,256.603000,6,7,2469,54
1760218612.658759,9,28.147,31.037000,287.640000,6,7,2469,54
1760218613.659046,10,27.965,30.781000,318.421000,7,7,2469,54
1760218614.658824,11,27.944,30.795000,349.216000,6,7,2469,54
1760218615.658726,12,27.894,30.778000,379.994000,6,7,2469,54
1760218616.659272,13,28.031,30.858000,410.852000,7,7,2469,54
1760218617.658717,14,28.179,31.102000,441.954000,6,7,2469,54
1760218618.658718,15,28.108,30.891000,472.845000,6,7,2469,54
1760218619.658718,16,28.114,30.894000,503.739000,6,7,2469,54
1760218620.658720,17,28.107,30.919000,534.658000,5,7,2469,54
1760218621.658874,18,28.199,31.080000,565.738000,6,7,2469,54
1760218622.659039,19,28.281,31.625000,597.363000,6,7,2469,54
1760218623.658721,20,28.363,31.956000,629.319000,5,7,2469,54
1760218624.658822,21,28.319,31.856000,661.175000,6,6,2469,54
1760218625.658722,22,28.370,31.975000,693.150000,7,7,2469,54
1760218626.658895,23,28.391,32.071000,725.221000,6,7,2469,54
1760218627.658825,24,28.486,32.389000,757.610000,7,8,2469,54
1760218628.659075,25,28.257,32.237000,789.847000,6,7,2469,54
1760218629.658741,26,28.196,32.556000,822.403000,6,7,2469,54
1760218630.658720,27,28.284,32.696000,855.099000,6,7,2469,54
1760218631.658721,28,28.152,32.737000,887.836000,6,7,2469,54
1760218632.658720,29,28.013,32.846000,920.682000,6,7,2469,54
1760218633.658759,30,27.906,32.896000,953.578000,6,7,2469,54
1760218634.658824,31,27.903,33.127000,986.705000,6,7,2469,54
1760218635.658761,32,27.944,33.390000,1020.095000,6,7,2469,54
1760218636.658860,33,28.021,33.559000,1053.654000,6,7,2469,54
1760218637.658720,34,28.044,33.758000,1087.412000,6,7,2469,54
