ts,cpu_percent,rss_mb,power_w,energy_j_total
1760217205.079602,45.00,272.39,0.000,0.000000
1760217206.0795257,17.00,272.64,5.574,5.573289
1760217207.0798466,14.00,262.52,6.389,11.964630
1760217208.079614,8.00,262.52,6.214,18.177322
1760217209.0796027,21.00,262.77,6.318,24.495726
1760217210.0801804,0.00,262.77,5.464,29.962875
1760217211.0794885,0.00,262.77,5.252,35.211519
1760217212.079608,0.00,262.77,5.307,40.519062
1760217213.079512,0.00,262.77,5.204,45.722173
1760217214.0795093,0.00,262.77,5.153,50.875114
1760217215.0796278,0.00,262.77,5.337,56.213235
1760217216.0794914,0.00,262.77,5.177,61.389736
1760217217.0794864,0.00,262.77,5.135,66.524305
1760217218.0795248,0.00,262.77,5.217,71.741333
1760217219.0795941,0.00,262.77,5.176,76.918138
1760217220.0797515,1.00,262.77,5.348,82.266819
1760217221.0795903,0.00,262.77,5.165,87.431173
1760217222.0798228,0.00,262.77,5.176,92.608650
1760217223.0795028,0.00,262.77,5.200,97.807062
1760217224.0797558,0.00,262.77,5.243,103.051067
1760217225.0796034,0.00,262.77,5.370,108.420621
1760217226.0795891,0.00,262.77,5.183,113.603286
1760217227.079618,1.00,262.77,5.174,118.777834
1760217228.079509,0.00,262.77,5.320,124.097339
1760217229.0795941,0.00,262.77,5.168,129.265783
1760217230.0795848,0.00,262.77,5.340,134.605979
1760217231.079594,0.00,262.77,5.179,139.784799
1760217232.079614,0.00,262.77,5.177,144.962398
1760217233.0796065,0.00,262.77,5.148,150.110334
1760217234.0796065,0.00,262.77,5.140,155.250152
1760217235.0795164,0.00,262.77,5.352,160.601579
1760217236.079829,0.00,262.77,5.201,165.804202
1760217237.0796096,0.00,262.77,5.183,170.986440
1760217238.0795052,1.00,262.77,5.128,176.113685
1760217239.0797393,0.00,262.77,5.189,181.303919
1760217240.0795975,0.00,262.77,5.406,186.708690
1760217241.0795932,0.00,262.77,5.184,191.892881
1760217242.0794895,0.00,262.77,5.131,197.023666
1760217243.0798855,0.00,262.77,5.224,202.249361
1760217244.0794854,0.00,262.77,5.171,207.418415
1760217245.079505,1.00,262.77,5.351,212.769536
1760217246.0795085,1.00,262.77,5.179,217.948112
1760217247.0795045,0.00,262.77,5.192,223.140237
1760217248.0795915,0.00,262.77,5.307,228.447658
1760217249.07959,0.00,262.77,5.279,233.726514
1760217250.079673,0.00,262.77,5.377,239.103941
1760217251.0798404,0.00,262.77,5.222,244.326767
1760217252.0796766,0.00,262.77,5.195,249.520419
1760217253.079882,0.00,262.77,5.294,254.815693
1760217254.079595,0.00,262.77,5.345,260.158819
1760217255.0796373,0.00,262.77,5.369,265.528434
1760217256.0796378,0.00,262.77,5.285,270.813516
1760217257.0798426,0.00,262.77,5.229,276.043178
1760217258.0797482,1.00,262.77,5.190,281.232618
1760217259.079637,0.00,262.77,5.209,286.440612
1760217260.0801969,0.00,262.77,5.358,291.802110
1760217261.0795498,0.00,262.77,5.236,297.034885
1760217262.0794845,0.00,262.77,5.200,302.234700
1760217263.079509,0.00,262.77,5.213,307.447578
1760217264.0795176,0.00,262.77,5.186,312.633416
1760217265.0796065,0.00,262.77,5.373,318.006999
1760217266.0794857,0.00,262.77,5.213,323.219693
1760217267.0795262,0.00,262.77,5.184,328.403518
1760217268.0795891,1.00,262.77,5.200,333.603394
1760217269.079597,0.00,262.77,5.214,338.817309
1760217270.0797808,0.00,262.77,5.356,344.174046
1760217271.079511,0.00,262.77,5.193,349.365561
1760217272.0796273,1.00,262.77,5.207,354.573617
1760217273.079686,0.00,262.77,5.240,359.814143
1760217274.0795913,0.00,262.77,5.297,365.110150
1760217275.0796864,0.00,262.77,5.404,370.514799
1760217276.0795994,0.00,262.77,5.182,375.696548
1760217277.0797691,0.00,262.77,5.182,380.879824
1760217278.0794883,0.00,262.77,5.174,386.052479
1760217279.079496,0.00,262.77,5.191,391.243811
1760217280.07949,0.00,262.77,5.499,396.743247
1760217281.0795956,1.00,262.77,5.232,401.975656
1760217282.0795991,0.00,262.77,5.302,407.277583
1760217283.0796053,0.00,262.77,5.145,412.423078
1760217284.0795946,0.00,262.77,5.281,417.704497
