ts,cpu_percent,rss_mb,power_w,energy_j_total
1760278144.0893195,40.00,266.57,0.000,0.000000
1760278145.0891328,32.00,266.57,9.762,9.760656
1760278146.0891256,33.00,261.71,11.358,21.118720
1760278147.0891762,45.00,261.71,11.104,32.223550
1760278148.089318,32.00,261.96,10.697,42.922131
1760278149.0891242,0.00,261.96,10.325,53.245103
1760278150.0891266,0.00,261.96,10.132,63.376852
1760278151.0891275,0.00,261.96,9.941,73.318110
1760278152.0891256,0.00,261.96,9.793,83.111298
1760278153.0891252,0.00,261.96,9.639,92.750678
1760278154.0903006,0.00,261.96,9.564,102.326276
1760278155.0891416,0.00,261.96,9.503,111.818744
1760278156.0894184,0.00,261.96,9.311,121.132441
1760278157.0900068,1.00,261.96,9.274,130.412141
1760278158.089143,0.00,261.96,9.232,139.636544
1760278159.0895066,0.00,261.96,9.227,148.867294
1760278160.0898545,0.00,261.96,9.144,158.014366
1760278161.0915053,0.00,261.96,9.009,167.038696
1760278162.0891302,0.00,261.96,8.990,176.007240
1760278163.089126,0.00,261.96,8.942,184.949355
1760278164.0891263,0.00,261.96,8.944,193.893852
1760278165.0891259,0.00,261.96,8.802,202.695892
1760278166.089127,0.00,261.96,8.872,211.568001
1760278167.090486,0.00,261.96,8.888,220.467636
1760278168.091509,0.00,261.96,8.818,229.294640
1760278169.089127,1.00,261.96,8.764,238.038209
1760278170.08914,0.00,261.96,8.720,246.758706
1760278171.0891235,0.00,261.96,8.706,255.464800
1760278172.089127,0.00,261.96,8.679,264.144282
1760278173.0891256,0.00,261.96,8.648,272.791843
1760278174.0895052,0.00,261.96,8.645,281.440014
1760278175.089129,0.00,261.96,8.592,290.028981
1760278176.0915077,0.00,261.96,8.561,298.610441
1760278177.0891254,0.00,261.96,8.580,307.170417
1760278178.0891285,0.00,261.96,8.465,315.635605
1760278179.0891266,0.00,261.96,8.401,324.036524
1760278180.0891259,0.00,261.96,8.484,332.520023
1760278181.0891256,0.00,261.96,8.447,340.966839
1760278182.091291,1.00,261.96,8.448,349.433492
1760278183.0891237,0.00,261.96,8.406,357.821593
1760278184.0891254,0.00,261.96,8.443,366.265053
1760278185.0891254,0.00,261.96,8.401,374.666155
1760278186.089129,0.00,261.96,8.382,383.047725
1760278187.0891254,0.00,261.96,8.368,391.415990
1760278188.0897448,1.00,261.96,8.339,399.759963
1760278189.0891263,0.00,262.21,8.311,408.065483
1760278190.0891254,0.00,262.21,8.247,416.312838
1760278191.0891252,0.00,262.21,8.227,424.540112
1760278192.0891266,1.00,262.21,8.263,432.803152
1760278193.0896344,0.00,262.21,8.303,441.110077
1760278194.0898263,0.00,262.21,8.290,449.402048
1760278195.0891254,0.00,262.21,8.248,457.644641
1760278196.0898325,0.00,262.21,8.355,466.005276
1760278197.089129,0.00,262.21,8.335,474.334418
1760278198.0891275,0.00,262.21,8.334,482.668503
1760278199.0905163,0.00,262.21,8.272,490.951807
1760278200.0891364,0.00,262.21,8.320,499.260013
1760278201.0891306,0.00,262.21,8.289,507.549360
1760278202.0915084,0.00,262.21,8.337,515.905845
1760278203.0891263,1.00,262.21,8.288,524.174256
1760278204.0891235,0.00,262.21,8.230,532.404032
1760278205.0891354,0.00,262.21,8.342,540.746540
1760278206.089129,0.00,262.21,8.338,549.084165
1760278207.089126,0.00,262.21,8.338,557.422584
1760278208.0891519,0.00,262.21,8.331,565.753373
1760278209.0891287,0.00,262.21,8.320,574.072810
1760278210.0891256,0.00,262.21,8.245,582.317967
1760278211.0891294,0.00,262.21,8.246,590.563673
1760278212.0891268,0.00,262.21,8.265,598.828484
1760278213.0891275,0.00,262.21,8.244,607.072237
1760278214.0891259,0.00,262.21,8.256,615.328258
1760278215.0900006,1.00,262.21,8.214,623.549673
1760278216.0907106,0.00,262.21,8.257,631.813019
1760278217.0898097,0.00,262.21,8.185,639.990305
1760278218.089127,0.00,262.21,8.158,648.142506
1760278219.0891333,0.00,262.21,8.247,656.389799
1760278220.0891275,0.00,262.21,8.226,664.615669
1760278221.0891275,0.00,262.21,8.227,672.842821
1760278222.0891263,0.00,262.21,8.216,681.058925
1760278223.0891275,0.00,262.21,8.175,689.234380
1760278224.0896323,0.00,262.21,8.113,697.351974
1760278225.0891306,0.00,262.21,8.191,705.538660
1760278226.092838,0.00,262.21,8.167,713.736149
1760278227.0891306,0.00,262.21,8.176,721.881575
1760278228.0894065,1.00,262.21,8.110,729.993492
1760278229.0891247,0.00,262.21,8.108,738.099490
1760278230.0891252,0.00,262.21,8.158,746.257428
1760278231.0891242,0.00,262.21,8.153,754.410727
1760278232.0891283,0.00,262.21,8.166,762.576722
1760278233.0891259,0.00,262.21,8.117,770.693583
1760278234.0895672,0.00,262.21,8.185,778.881978
1760278235.0915074,1.00,262.21,8.199,787.096801
1760278236.0899436,0.00,262.21,8.119,795.202676
1760278237.0891252,0.00,262.21,8.108,803.304218
1760278238.0891275,0.00,262.21,8.115,811.419248
1760278239.089126,0.00,262.21,8.101,819.519813
1760278240.0891368,0.00,262.21,8.093,827.613115
1760278241.089125,0.00,262.21,8.057,835.669552
1760278242.0915046,0.00,262.21,8.072,843.760718
1760278243.0891278,1.00,262.21,8.058,851.799333
1760278244.0891266,0.00,262.21,8.150,859.949275
1760278245.0891352,0.00,262.21,8.093,868.042516
1760278246.0891242,0.00,262.21,7.983,876.025223
1760278247.089136,0.00,262.21,7.979,884.004634
1760278248.0891266,0.00,262.21,8.094,892.098729
1760278249.0891256,0.00,262.21,8.029,900.128005
1760278250.0905197,0.00,262.21,8.073,908.212702
1760278251.0895073,0.00,262.21,8.101,916.305515
1760278252.0891247,0.00,262.21,8.127,924.429274
1760278253.0891354,0.00,262.21,8.127,932.556511
1760278254.0891278,0.00,262.21,8.179,940.735629
1760278255.0891268,0.00,262.21,8.176,948.911755
1760278256.0891285,1.00,262.21,8.128,957.040091
1760278257.0895112,0.00,262.21,8.158,965.201630
1760278258.0891263,0.00,262.21,8.165,973.363414
1760278259.0891285,0.00,262.21,8.209,981.572316
1760278260.089186,0.00,262.21,8.143,989.716033
1760278261.0891247,0.00,262.21,8.165,997.880990
1760278262.0891304,1.00,262.21,8.184,1006.064929
1760278263.0891285,0.00,262.21,8.117,1014.182218
1760278264.0910697,0.00,262.21,8.134,1022.331550
1760278265.0912497,0.00,262.21,8.166,1030.498582
1760278266.0891294,0.00,262.21,8.162,1038.643764
1760278267.089126,0.00,262.21,8.109,1046.753118
1760278268.0915103,0.00,262.21,8.187,1054.959457
1760278269.0891275,0.00,262.21,8.177,1063.117212
1760278270.0891263,1.00,262.21,8.189,1071.306095
1760278271.0891232,0.00,262.21,8.155,1079.460920
1760278272.0896137,0.00,262.21,8.170,1087.634728
1760278273.089543,0.00,262.21,8.116,1095.749697
1760278274.0915148,0.00,262.21,8.006,1103.771161
1760278275.0891268,0.00,262.21,8.058,1111.809837
1760278276.0891254,0.00,262.21,8.168,1119.978029
1760278277.0891259,0.00,262.21,8.077,1128.055217
1760278278.0891297,0.00,262.21,8.115,1136.169943
1760278279.089126,0.00,262.21,8.089,1144.258972
1760278280.089125,0.00,262.21,8.075,1152.333964
1760278281.0891304,0.00,262.21,8.071,1160.405354
1760278282.0893283,0.00,262.21,8.059,1168.466369
1760278283.089126,0.00,262.21,8.071,1176.535379
1760278284.089125,0.00,262.21,8.067,1184.602070
1760278285.089131,0.00,262.21,8.060,1192.662169
1760278286.0897334,1.00,262.21,8.136,1200.802712
1760278287.089126,0.00,262.21,8.041,1208.838763
1760278288.089126,0.00,262.21,8.056,1216.894895
1760278289.0891247,0.00,262.21,8.061,1224.955482
1760278290.0891228,0.00,262.21,8.066,1233.021623
1760278291.0924554,0.00,262.21,8.124,1241.172420
1760278292.0915058,0.00,262.21,8.061,1249.225928
1760278293.089128,0.00,262.21,8.041,1257.248124
1760278294.0891252,0.00,262.21,7.997,1265.245052
1760278295.08913,0.00,262.21,8.108,1273.353002
1760278296.0915074,0.00,262.21,8.082,1281.454178
1760278297.0925066,0.00,262.21,8.107,1289.569025
1760278298.0891242,0.00,262.21,8.050,1297.591465
1760278299.0891268,0.00,262.21,8.048,1305.639419
1760278300.089127,0.00,262.21,8.044,1313.683038
1760278301.089126,0.00,262.21,8.052,1321.734775
1760278302.0891266,1.00,262.21,8.075,1329.809645
1760278303.089129,1.00,262.21,8.046,1337.855706
1760278304.0891259,0.00,262.21,7.974,1345.830050
1760278305.0891256,0.00,262.21,8.036,1353.865674
1760278306.0891287,0.00,262.21,8.023,1361.888847
1760278307.0891254,0.00,262.21,8.042,1369.930819
1760278308.0891259,0.00,262.21,8.025,1377.955762
1760278309.0891333,0.00,262.21,8.034,1385.989616
1760278310.0891242,0.00,262.21,8.023,1394.012178
1760278311.0891244,0.00,262.21,7.995,1402.006909
1760278312.0891287,0.00,262.21,7.993,1409.999564
1760278313.0891268,0.00,262.21,7.977,1417.976655
1760278314.0898895,0.00,262.21,8.025,1426.007702
1760278315.089128,1.00,262.21,8.088,1434.089895
1760278316.0915153,0.00,262.21,8.090,1442.199372
1760278317.0891254,0.00,262.21,8.092,1450.271861
1760278318.0891411,0.00,262.21,8.022,1458.293630
1760278319.0891278,0.00,262.21,7.999,1466.292267
1760278320.0891256,0.00,262.21,7.953,1474.245188
1760278321.0891268,0.00,262.21,8.020,1482.265492
1760278322.0915067,0.00,262.21,8.052,1490.336822
1760278323.0891287,0.00,262.21,8.040,1498.358163
1760278324.0900884,0.00,262.21,8.069,1506.435291
1760278325.089127,0.00,262.21,8.082,1514.509855
1760278326.0915134,0.00,262.21,8.044,1522.573006
1760278327.0891335,0.00,262.21,8.092,1530.646106
1760278328.0891302,0.00,262.21,8.058,1538.703641
