ts,cpu_percent,rss_mb,power_w,energy_j_total
1760278432.040219,25.00,256.13,0.000,0.000000
1760278433.0401268,29.00,256.63,8.954,8.953407
1760278434.0401285,50.00,256.88,9.062,18.015029
1760278435.0401328,28.00,257.13,8.926,26.941276
1760278436.0401895,36.00,257.13,8.800,35.741668
1760278437.0405047,1.00,257.13,8.927,44.671150
1760278438.0401337,0.00,257.13,8.738,53.405563
1760278439.0403898,0.00,257.13,8.666,62.073754
1760278440.0401309,0.00,257.13,8.672,70.743410
1760278441.0401323,0.00,257.13,8.600,79.343730
1760278442.040134,0.00,257.13,8.547,87.890583
1760278443.040127,0.00,257.13,8.551,96.441403
1760278444.0401278,0.00,257.13,8.524,104.965246
1760278445.042628,0.00,257.13,8.491,113.477370
1760278446.0410233,0.00,257.13,8.451,121.914360
1760278447.040135,0.00,257.13,8.714,130.620271
1760278448.0401394,0.00,257.13,8.659,139.279489
1760278449.0401375,0.00,257.13,8.596,147.875475
1760278450.0401287,0.00,257.13,8.509,156.384182
1760278451.040128,0.00,257.13,8.556,164.940556
1760278452.0401306,0.00,257.13,8.478,173.418684
1760278453.0401328,1.00,257.13,8.474,181.893089
1760278454.0401304,0.00,257.13,8.447,190.339783
1760278455.0401294,0.00,257.13,8.468,198.807901
1760278456.0401318,0.00,257.13,8.501,207.308551
1760278457.0401304,0.00,257.13,9.513,216.821222
1760278458.0401282,0.00,257.13,9.502,226.323395
1760278459.0401285,0.00,257.13,9.755,236.078253
1760278460.040128,0.00,257.13,9.685,245.763042
1760278461.0401335,0.00,257.13,9.666,255.429155
1760278462.0401278,0.00,257.13,9.554,264.982720
1760278463.0401316,0.00,257.13,9.546,274.528960
1760278464.0401316,1.00,257.13,9.510,284.038640
1760278465.04013,0.00,257.13,9.499,293.537395
1760278466.040128,0.00,257.13,9.456,302.993792
1760278467.0401294,0.00,257.13,9.465,312.458977
1760278468.0401278,0.00,257.13,9.392,321.851287
1760278469.040129,0.00,257.13,8.942,330.793159
1760278470.040131,0.00,257.13,8.400,339.192796
1760278471.040343,0.00,257.13,8.307,347.501979
1760278472.0402625,0.00,257.13,8.388,355.888920
1760278473.0401292,0.00,257.13,8.390,364.277753
1760278474.0410895,0.00,257.13,8.392,372.678184
1760278475.0401294,1.00,257.13,8.380,381.050599
1760278476.0425103,0.00,257.13,8.404,389.474161
1760278477.0401304,0.00,257.13,8.388,397.841938
1760278478.0401306,0.00,257.13,8.389,406.230588
1760278479.04013,0.00,257.13,8.952,415.182408
1760278480.0401285,0.00,257.13,7.854,423.036026
1760278481.040622,0.00,257.13,7.787,430.826472
1760278482.0435066,0.00,257.13,7.874,438.723547
1760278483.0401275,0.00,257.13,7.891,446.587601
1760278484.0408466,0.00,257.13,7.858,454.451717
1760278485.0401318,0.00,257.13,7.933,462.379431
1760278486.0401292,1.00,257.13,7.887,470.266801
1760278487.040127,0.00,257.13,7.972,478.238582
1760278488.0428274,0.00,257.13,7.908,486.167639
1760278489.0401294,0.00,257.13,7.918,494.064653
1760278490.040268,0.00,257.13,7.969,502.034420
1760278491.0401282,0.00,257.13,7.975,510.008460
1760278492.0401254,0.00,257.13,7.987,517.995072
1760278493.0405872,0.00,257.13,7.970,525.968807
1760278494.0401268,0.00,257.13,7.993,533.958105
1760278495.0401309,0.00,257.13,7.996,541.953751
1760278496.040969,0.00,257.13,7.962,549.922420
1760278497.0404055,0.00,257.13,7.960,557.878393
1760278498.040131,0.00,257.13,8.020,565.895951
1760278499.0401278,0.00,257.13,7.988,573.884028
1760278500.0401278,0.00,257.13,8.017,581.900609
1760278501.040128,1.00,257.13,7.949,589.849808
1760278502.0421782,0.00,257.13,7.965,597.830806
1760278503.04013,0.00,257.13,8.021,605.835790
1760278504.04013,0.00,257.13,8.042,613.877517
1760278505.0401554,0.00,257.13,8.051,621.928644
1760278506.0401301,0.00,257.13,7.965,629.893651
1760278507.0401332,0.00,257.13,8.010,637.903945
1760278508.0401826,0.00,257.13,8.007,645.911371
1760278509.0412445,0.00,257.13,8.035,653.954990
1760278510.041197,0.00,257.13,8.051,662.005873
1760278511.0401306,0.00,257.13,8.024,670.021050
1760278512.040131,0.00,257.13,8.082,678.103061
1760278513.040127,0.00,257.13,8.069,686.172193
1760278514.0401313,1.00,257.13,8.039,694.210869
1760278515.0425057,0.00,257.13,8.055,702.284640
1760278516.0401287,0.00,257.13,7.976,710.241284
1760278517.0409207,0.00,257.13,7.934,718.181389
1760278518.0401318,0.00,257.13,7.916,726.091219
1760278519.0401278,0.00,257.13,7.894,733.984998
1760278520.040129,0.00,257.13,7.906,741.890617
1760278521.0415103,0.00,257.13,7.915,749.816439
1760278522.0404487,0.00,257.13,7.958,757.766004
1760278523.0401278,0.00,257.13,7.915,765.678215
1760278524.0401287,0.00,257.13,7.865,773.543185
1760278525.04013,0.00,257.13,7.950,781.492872
1760278526.041594,0.00,257.13,7.982,789.486809
1760278527.0425096,0.00,257.13,7.958,797.451693
1760278528.0401292,0.00,257.13,7.906,805.339063
1760278529.0401304,0.00,257.13,7.915,813.253899
1760278530.0401285,0.00,257.13,7.937,821.190890
1760278531.0401332,0.00,257.13,7.950,829.140760
1760278532.0401275,0.00,257.13,7.974,837.115044
1760278533.041541,1.00,257.13,7.878,845.004306
1760278534.0401285,0.00,257.13,7.857,852.850599
1760278535.0403523,0.00,257.13,7.925,860.776971
1760278536.040128,0.00,257.13,7.885,868.659885
1760278537.0401282,0.00,257.13,7.908,876.567458
1760278538.0401309,0.00,257.13,7.895,884.462274
