ts,cpu_percent,rss_mb,power_w,energy_j_total
1760420213.285597,34.00,198.96,0.000,0.000000
1760420214.285593,38.00,199.21,9.594,9.594336
1760420215.2855947,40.00,199.46,11.384,20.977912
1760420216.287698,52.90,199.46,11.878,32.881019
1760420217.2855904,53.10,199.71,11.057,43.914926
1760420218.2860012,0.00,199.71,10.640,54.559308
1760420219.2886035,0.00,199.71,10.428,65.014054
1760420220.2855868,0.00,199.71,10.206,75.189505
1760420221.2855928,0.00,199.71,10.098,85.287623
1760420222.2855868,0.00,199.71,9.876,95.163269
1760420223.2855844,0.00,199.71,9.756,104.918860
1760420224.2855864,1.00,199.71,9.736,114.654919
1760420225.2868426,0.00,199.71,9.568,124.234484
1760420226.2862911,0.00,199.71,9.512,133.741235
1760420227.2875812,0.00,199.71,9.417,143.170165
1760420228.2855859,0.00,199.71,9.366,152.517187
1760420229.2855883,0.00,199.71,9.330,161.847303
1760420230.2855847,0.00,199.71,9.136,170.983449
1760420231.2855875,0.00,199.71,9.161,180.144497
1760420232.285588,0.00,199.71,9.082,189.226383
1760420233.285592,0.00,199.71,9.060,198.286296
1760420234.2866044,0.00,199.71,9.022,207.316974
1760420235.2855856,0.00,199.71,8.975,216.282771
1760420236.2855868,0.00,199.71,9.030,225.312472
1760420237.2855864,1.00,199.71,8.962,234.274546
1760420238.285588,0.00,199.71,8.898,243.172412
1760420239.2855842,0.00,199.71,8.931,252.103663
1760420240.2855868,1.00,199.71,8.837,260.940738
1760420241.2855852,0.00,199.71,8.835,269.775920
1760420242.2885823,0.00,199.71,8.805,278.607563
1760420243.28759,0.00,199.71,8.636,287.235165
1760420244.285588,0.00,199.71,8.690,295.907873
1760420245.2855916,0.00,199.71,8.582,304.489577
1760420246.2855864,0.00,199.71,8.550,313.039787
1760420247.285585,0.00,199.71,8.598,321.638153
1760420248.2855875,0.00,199.71,8.532,330.170541
1760420249.285584,0.00,199.71,8.478,338.648425
1760420250.285882,1.00,199.71,8.555,347.205593
1760420251.2901459,0.00,199.71,8.522,355.763493
1760420252.2885823,0.00,199.71,8.518,364.267927
1760420253.2855878,0.00,199.71,8.450,372.692893
1760420254.285586,0.00,199.71,8.495,381.187684
1760420255.2855885,0.00,199.71,8.550,389.738077
1760420256.2855847,0.00,199.71,8.442,398.180072
1760420257.28559,0.00,199.71,8.461,406.641354
1760420258.285589,0.00,199.71,8.458,415.099462
1760420259.2875855,0.00,199.71,8.475,423.591567
1760420260.2858472,0.00,199.71,8.494,432.070854
1760420261.2856016,0.00,199.71,8.425,440.493867
1760420262.2855878,0.00,199.71,8.514,449.007761
1760420263.2868836,0.00,199.71,8.510,457.529285
1760420264.2855847,1.00,199.71,8.489,466.006802
1760420265.2855904,0.00,199.71,8.522,474.528997
1760420266.285588,0.00,199.71,8.419,482.948043
1760420267.2855892,0.00,199.71,8.382,491.329675
1760420268.2855878,0.00,199.71,8.419,499.748659
1760420269.2855856,0.00,199.71,8.434,508.182903
1760420270.2858675,0.00,199.71,8.394,516.579122
1760420271.2855883,0.00,199.71,8.396,524.972777
1760420272.2855902,0.00,199.71,8.447,533.419655
1760420273.2855902,0.00,199.71,8.412,541.832048
1760420274.2856138,1.00,199.71,8.442,550.274348
1760420275.2855878,0.00,199.71,8.438,558.712009
1760420276.285588,1.00,199.71,8.478,567.190259
1760420277.285589,0.00,199.71,8.548,575.738150
1760420278.2855866,0.00,199.71,8.431,584.169464
1760420279.2855875,0.00,199.71,8.452,592.621041
1760420280.2855911,0.00,199.71,8.513,601.133654
1760420281.2870145,0.00,199.71,8.428,609.573512
1760420282.285588,0.00,199.71,8.452,618.013554
1760420283.2855923,0.00,199.71,8.413,626.426924
1760420284.2855885,0.00,199.71,8.435,634.861778
1760420285.2855868,0.00,199.71,8.419,643.280824
1760420286.286311,0.00,199.71,8.418,651.704630
1760420287.2855985,0.00,199.71,8.447,660.145466
1760420288.2855847,1.00,199.71,8.336,668.481626
1760420289.2863705,0.00,199.71,8.416,676.903784
1760420290.2856119,0.00,199.71,8.389,685.286087
1760420291.285593,0.00,199.71,8.355,693.640985
1760420292.2855942,0.00,199.71,8.376,702.017307
1760420293.2855885,0.00,199.71,8.419,710.436352
1760420294.2855866,0.00,199.71,8.404,718.839895
1760420295.2855875,0.00,199.71,8.298,727.137604
1760420296.2856126,0.00,199.71,8.284,735.422006
1760420297.2855878,0.00,199.71,8.360,743.782275
1760420298.2870755,0.00,199.71,8.338,752.132291
1760420299.2855947,0.00,199.71,8.317,760.437018
1760420300.28559,0.00,199.71,8.376,768.813400
1760420301.2855854,1.00,199.71,8.320,777.133264
1760420302.287582,0.00,199.71,8.367,785.517032
1760420303.2855854,0.00,199.71,8.426,793.926495
1760420304.2865856,0.00,199.71,8.314,802.249167
1760420305.2855854,0.00,199.71,8.316,810.556885
1760420306.2855866,0.00,199.71,8.317,818.874002
1760420307.2855878,0.00,199.71,8.329,827.202899
1760420308.2855856,0.00,199.71,8.360,835.562985
1760420309.2855887,0.00,199.71,8.337,843.899817
1760420310.28559,0.00,199.71,8.344,852.243423
1760420311.2855957,0.00,199.71,8.375,860.618768
1760420312.2855937,0.00,199.71,8.358,868.977145
1760420313.2875845,0.00,199.71,8.286,877.280103
1760420314.28559,1.00,199.71,8.325,885.588675
1760420315.2855904,0.00,199.71,8.341,893.929291
1760420316.2855873,0.00,199.71,8.330,902.259226
1760420317.285585,0.00,199.71,8.370,910.628772
1760420318.2855897,0.00,199.71,8.359,918.987515
1760420319.2855878,0.00,199.71,8.320,927.307257
1760420320.2855844,0.00,199.71,8.299,935.605759
1760420321.2863684,0.00,199.71,8.334,943.946558
1760420322.2855878,1.00,199.71,8.323,952.263126
1760420323.285588,0.00,199.71,8.357,960.620404
1760420324.2855859,0.00,199.71,8.396,969.016806
1760420325.2855875,0.00,199.71,8.401,977.418030
1760420326.28559,0.00,199.71,8.393,985.811319
1760420327.2855866,0.00,199.71,8.403,994.214435
1760420328.2866452,0.00,199.71,8.389,1002.612423
1760420329.2855875,0.00,199.71,8.389,1010.992346
1760420330.2855957,0.00,199.71,8.351,1019.343765
1760420331.285589,1.00,199.71,8.308,1027.651544
1760420332.2855916,0.00,199.71,8.344,1035.995822
1760420333.286474,0.00,199.71,8.334,1044.337170
1760420334.2855842,0.00,199.71,8.370,1052.699942
1760420335.2855866,0.00,199.71,8.366,1061.065582
1760420336.2855892,0.00,199.71,8.276,1069.341195
1760420337.2856135,0.00,199.71,8.281,1077.622607
1760420338.2855883,0.00,199.71,8.284,1085.906461
1760420339.2855868,0.00,199.71,8.400,1094.306097
1760420340.285593,1.00,199.71,8.296,1102.602646
1760420341.2855859,0.00,199.71,8.326,1110.928857
1760420342.2855868,0.00,199.71,8.275,1119.204288
1760420343.2855844,0.00,199.71,8.244,1127.448163
1760420344.2855885,0.00,199.71,8.282,1135.729819
1760420345.2860482,0.00,199.71,8.156,1143.889161
1760420346.2855926,0.00,199.71,8.109,1151.994731
1760420347.2855878,0.00,199.71,8.172,1160.166341
1760420348.2855895,0.00,199.71,8.159,1168.325439
1760420349.285599,0.00,199.71,8.219,1176.544839
