ts,cpu_percent,rss_mb,power_w,energy_j_total
1760430966.3568246,39.00,351.39,0.000,0.000000
1760430967.3568318,28.00,351.39,9.770,9.769872
1760430968.3568425,27.00,351.39,11.608,21.377691
1760430969.3568459,44.00,351.39,11.679,33.056311
1760430970.3568256,56.00,351.39,10.956,44.012399
1760430971.356827,0.00,351.39,10.722,54.734601
1760430972.3588295,0.00,351.39,10.483,65.239029
1760430973.3589766,0.00,351.39,10.221,75.461293
1760430974.3570518,1.00,351.39,10.068,85.510035
1760430975.3578696,0.00,351.39,9.842,95.359680
1760430976.3579495,0.00,351.39,9.822,105.182469
1760430977.3568316,0.00,351.39,9.720,114.891307
1760430978.3585827,0.00,351.39,9.648,124.555955
1760430979.3568313,0.00,351.39,9.606,134.145469
1760430980.3568256,0.00,351.39,9.484,143.629576
1760430981.3568304,0.00,351.39,9.410,153.039464
1760430982.3568325,0.00,351.39,9.338,162.377697
1760430983.356827,0.00,351.39,9.334,171.712145
1760430984.3568282,0.00,351.39,9.293,181.005334
1760430985.3568323,0.00,351.39,9.245,190.250672
1760430986.3568313,0.00,351.39,9.192,199.442909
1760430987.356827,0.00,351.39,9.052,208.494522
1760430988.3568363,1.00,351.39,9.169,217.663505
1760430989.3580532,0.00,351.39,9.088,226.762297
1760430990.3578103,0.00,351.39,8.980,235.740424
1760430991.3577185,0.00,351.39,8.963,244.702437
1760430992.356829,0.00,351.39,8.891,253.585837
1760430993.3568287,0.00,351.39,8.884,262.469909
1760430994.356829,0.00,351.39,8.868,271.337806
1760430995.3568263,0.00,351.39,8.792,280.129287
1760430996.3569055,0.00,351.39,8.829,288.959160
1760430997.3569007,0.00,351.39,8.690,297.649201
1760430998.3568256,0.00,351.39,8.690,306.338205
1760430999.357875,0.00,351.39,8.675,315.022692
1760431000.35683,1.00,351.39,8.726,323.739222
1760431001.3568282,0.00,351.39,8.630,332.368717
1760431002.3568287,0.00,351.39,8.627,340.995892
