ts,cpu_percent,rss_mb,power_w,energy_j_total
1760286856.5585945,75.00,160.38,0.000,0.000000
1760286857.5585127,116.00,161.13,6.139,6.138595
1760286858.55851,173.00,161.13,9.836,15.974996
1760286859.5584793,196.00,161.13,10.618,26.592827
1760286860.5584772,216.00,161.13,11.002,37.594325
1760286861.5602274,197.70,161.13,10.404,48.016173
1760286862.5584824,132.20,161.13,10.177,58.175449
1760286863.5584762,62.00,161.13,10.025,68.200204
1760286864.5595298,0.00,161.13,9.898,78.108748
1760286865.5589952,0.00,161.13,9.751,87.854328
1760286866.5584822,0.00,161.13,9.635,97.483942
1760286867.561513,0.00,161.13,9.487,107.000031
1760286868.5615053,0.00,161.13,9.394,116.393806
1760286869.558485,0.00,161.13,9.360,125.725935
1760286870.5584805,0.00,161.13,9.288,135.014242
1760286871.5584784,0.00,161.13,9.161,144.175107
1760286872.558482,0.00,161.13,9.165,153.340122
1760286873.558481,0.00,161.13,9.071,162.411388
1760286874.5584786,1.00,161.13,8.971,171.382007
1760286875.5584774,0.00,161.13,8.948,180.330410
1760286876.5584824,0.00,161.13,8.897,189.227909
1760286877.5584805,0.00,161.13,8.961,198.188518
1760286878.5584807,0.00,161.13,8.869,207.057880
1760286879.5587034,0.00,161.13,8.772,215.832272
1760286880.55848,0.00,161.13,8.740,224.570226
1760286881.5585084,0.00,161.13,8.647,233.217848
1760286882.5606096,0.00,161.13,8.647,241.883292
1760286883.5584784,0.00,161.13,8.621,250.485443
1760286884.5584788,0.00,161.13,8.682,259.167793
1760286885.558482,0.00,161.13,8.856,268.023972
1760286886.5604513,0.00,161.13,8.814,276.855187
1760286887.5584793,1.00,161.13,8.774,285.612306
1760286888.5584795,0.00,161.13,8.718,294.330362
1760286889.5586555,1.00,161.13,8.703,303.034930
1760286890.558479,0.00,161.13,8.650,311.683650
1760286891.5584812,0.00,161.13,8.485,320.169163
1760286892.5584795,0.00,161.13,8.406,328.575392
1760286893.5584788,0.00,161.13,8.383,336.958122
1760286894.5584831,0.00,161.13,8.367,345.325166
1760286895.5584788,0.00,161.13,8.356,353.680735
1760286896.5584788,0.00,161.13,8.361,362.041492
1760286897.55873,0.00,161.13,8.390,370.433500
1760286898.5584798,0.00,161.13,8.322,378.753669
1760286899.5585108,0.00,161.13,8.393,387.147385
1760286900.56076,0.00,161.13,8.405,395.571070
1760286901.5584834,0.00,161.13,8.406,403.957889
1760286902.558482,0.00,161.13,8.398,412.355573
1760286903.5584786,0.00,161.13,8.317,420.672324
1760286904.5605066,1.00,161.13,8.316,429.005615
1760286905.5584805,0.00,161.13,8.340,437.329080
1760286906.558482,0.00,161.13,8.293,445.622028
1760286907.5584795,0.00,161.13,8.252,453.874265
1760286908.5584795,0.00,161.13,8.287,462.160926
1760286909.560507,0.00,161.13,8.250,470.428056
1760286910.5584786,0.00,161.13,8.294,478.705500
1760286911.5584779,0.00,161.13,8.276,486.981297
1760286912.56051,0.00,161.13,8.327,495.324721
1760286913.5584795,0.00,161.13,8.306,503.614189
1760286914.5584784,0.00,161.13,8.226,511.839693
1760286915.5593235,0.00,161.13,8.294,520.140331
1760286916.558481,0.00,161.13,8.259,528.392385
1760286917.5584815,0.00,161.13,8.310,536.702849
1760286918.5584824,0.00,161.13,8.245,544.947640
1760286919.5585396,1.00,161.13,8.232,553.180468
1760286920.5584805,0.00,161.13,8.191,561.371426
1760286921.5584812,0.00,161.13,8.221,569.592841
1760286922.5584793,0.00,161.13,8.288,577.880784
1760286923.558478,0.00,161.13,8.219,586.099635
1760286924.558478,0.00,161.13,8.187,594.286564
1760286925.5584795,0.00,161.13,8.214,602.500166
1760286926.5584795,0.00,161.13,8.185,610.685509
1760286927.5587897,0.00,161.13,8.197,618.885378
1760286928.5595064,0.00,161.13,8.185,627.076397
1760286929.5584812,0.00,161.13,8.153,635.220847
1760286930.5584798,0.00,161.13,8.204,643.424805
1760286931.5590153,0.00,161.13,8.178,651.607035
1760286932.558478,0.00,161.13,8.187,659.789754
1760286933.5584788,0.00,161.13,8.217,668.006957
1760286934.5584795,1.00,161.13,8.132,676.139260
1760286935.5589068,0.00,161.13,8.192,684.335101
1760286936.5605156,1.00,161.13,8.228,692.576413
1760286937.5584855,0.00,161.13,8.145,700.704627
1760286938.558485,0.00,161.13,8.212,708.917069
1760286939.5584805,0.00,161.13,8.231,717.148310
1760286940.5584795,0.00,161.13,8.146,725.294530
1760286941.5584786,0.00,161.13,8.123,733.417556
1760286942.5584784,0.00,161.13,8.220,741.637139
1760286943.5584805,0.00,161.13,8.078,749.715427
1760286944.5584772,0.00,161.13,8.110,757.825208
1760286945.561153,0.00,161.13,8.153,765.999931
1760286946.5584784,0.00,161.13,8.153,774.130769
1760286947.558486,0.00,161.13,8.198,782.328808
1760286948.5604088,0.00,161.13,8.205,790.550039
1760286949.558476,0.00,161.13,8.201,798.735016
1760286950.5584817,0.00,161.13,8.203,806.937875
1760286951.5584786,0.00,161.13,8.230,815.167774
1760286952.5584788,0.00,161.13,8.233,823.401212
1760286953.5584824,1.00,161.13,8.246,831.646797
1760286954.5584815,0.00,161.13,8.214,839.861253
1760286955.558482,0.00,161.13,8.130,847.991237
1760286956.5584805,0.00,161.13,8.166,856.156744
1760286957.5584776,0.00,161.13,8.190,864.346969
1760286958.5587423,0.00,161.13,8.173,872.522302
1760286959.558478,0.00,161.13,8.159,880.679142
1760286960.5584817,0.00,161.13,8.094,888.772810
1760286961.5595102,0.00,161.13,8.108,896.888878
1760286962.558484,0.00,161.13,8.108,904.988467
1760286963.5595467,0.00,161.13,8.117,913.114056
1760286964.5584795,0.00,161.13,8.128,921.233481
1760286965.558483,0.00,161.13,8.185,929.418519
1760286966.5585008,0.00,161.13,8.197,937.615580
1760286967.5584815,0.00,161.13,8.279,945.894612
1760286968.5585015,1.00,161.13,8.156,954.050780
1760286969.5586512,0.00,161.13,8.169,962.220559
1760286970.559198,0.00,161.13,8.202,970.427447
1760286971.5612915,0.00,161.13,8.177,978.621701
1760286972.5584986,0.00,161.13,8.165,986.763404
