ts,cpu_percent,rss_mb,power_w,energy_j_total
1760293042.1555054,48.00,249.86,0.000,0.000000
1760293043.1555576,36.00,250.86,9.701,9.701636
1760293044.1555264,43.00,246.29,11.729,21.429816
1760293045.155571,28.00,246.79,11.124,32.554177
1760293046.1577017,28.90,247.54,10.615,43.192089
1760293047.1567256,0.00,247.54,10.219,53.401170
1760293048.1555126,0.00,247.54,10.022,63.410849
1760293049.1555982,0.00,247.54,9.884,73.295528
1760293050.155509,0.00,247.79,9.791,83.085237
1760293051.1555576,0.00,247.79,9.654,92.739387
1760293052.1555097,0.00,247.79,9.504,102.243147
1760293053.1559913,0.00,247.79,9.400,111.647603
1760293054.1555562,0.00,247.79,9.396,121.039790
1760293055.155511,1.00,247.79,9.244,130.283480
1760293056.1555102,0.00,247.79,9.116,139.399057
1760293057.1555185,0.00,247.79,9.088,148.486986
1760293058.1555543,0.00,247.79,9.058,157.545129
1760293059.155519,0.00,247.79,9.015,166.560243
1760293060.1555185,0.00,247.79,8.864,175.423868
1760293061.1562562,0.00,247.79,8.885,184.315629
1760293062.1576157,0.00,247.79,8.844,193.172113
1760293063.1555216,0.00,247.79,8.843,201.996553
1760293064.1555648,0.00,247.79,8.877,210.874155
1760293065.1555655,0.00,247.79,8.828,219.701952
1760293066.1555667,0.00,247.79,8.805,228.506556
1760293067.1555626,0.00,247.79,8.760,237.266239
1760293068.1562755,1.00,247.79,8.725,245.997417
1760293069.1555634,0.00,247.79,8.659,254.650410
1760293070.1555612,0.00,247.79,8.613,263.262998
1760293071.1575115,0.00,247.79,8.507,271.786292
1760293072.1555643,1.00,247.79,8.553,280.323135
1760293073.1563227,0.00,247.79,8.525,288.854302
1760293074.1555545,0.00,247.79,8.499,297.346651
1760293075.1555114,0.00,247.79,8.489,305.834972
1760293076.1582425,0.00,247.79,8.350,314.208180
1760293077.1585698,0.00,247.79,8.434,322.645353
1760293078.1555538,0.00,247.79,8.485,331.105171
1760293079.156024,1.00,247.79,8.420,339.529160
1760293080.1556084,0.00,247.79,8.397,347.922388
1760293081.1555645,0.00,247.79,8.411,356.333378
1760293082.1573737,0.00,247.79,8.395,364.744062
1760293083.1555567,0.00,247.79,8.361,373.089682
1760293084.155665,0.00,247.79,8.362,381.452576
1760293085.1555076,0.00,247.79,8.350,389.801554
1760293086.155508,0.00,247.79,8.295,398.096088
1760293087.15597,0.00,247.79,8.298,406.397458
1760293088.1555548,0.00,247.79,8.294,414.688270
1760293089.155506,0.00,247.79,8.306,422.993607
1760293090.1555572,1.00,247.79,8.294,431.288508
1760293091.1575093,0.00,247.79,8.250,439.554783
1760293092.1555548,0.00,247.79,8.259,447.797194
1760293093.1555116,0.00,247.79,8.292,456.089043
1760293094.1555583,0.00,247.79,8.279,464.368562
1760293095.1555173,0.00,247.79,8.254,472.621959
1760293096.1555557,0.00,247.79,8.247,480.869741
1760293097.155554,0.00,247.79,8.235,489.104827
1760293098.155514,0.00,247.79,8.195,497.299814
