ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760258531.145673,0,24.820,0.000000,0.000000,9,8,1506,50
1760258532.145569,1,29.726,40.801000,40.801000,7,8,1915,51
1760258533.145687,2,29.703,40.677000,81.478000,9,9,2305,51
1760258534.145588,3,29.567,40.367000,121.845000,6,7,2429,51
1760258535.145689,4,29.692,40.662000,162.507000,7,8,2429,52
1760258536.145600,5,29.860,41.057000,203.564000,7,8,2429,52
1760258537.145572,6,29.609,32.329000,235.893000,6,7,2429,52
1760258538.145591,7,29.549,32.238000,268.131000,7,8,2429,52
1760258539.145583,8,29.672,32.463000,300.594000,7,8,2429,52
1760258540.145607,9,29.447,32.019000,332.613000,6,8,2429,52
1760258541.145660,10,29.400,32.149000,364.762000,6,8,2429,52
1760258542.145728,11,29.327,32.049000,396.811000,7,8,2429,52
1760258543.145669,12,29.359,32.081000,428.892000,6,7,2429,52
1760258544.145587,13,29.504,32.192000,461.084000,6,7,2429,52
1760258545.145607,14,29.600,32.504000,493.588000,6,8,2429,52
1760258546.145671,15,29.717,32.456000,526.044000,6,8,2429,53
1760258547.145589,16,29.780,32.512000,558.556000,6,7,2429,53
1760258548.145566,17,29.942,35.665000,594.221000,7,8,2429,53
1760258549.145584,18,30.240,32.944000,627.165000,7,8,2429,53
1760258550.145797,19,30.274,33.031000,660.196000,6,7,2429,53
1760258551.145690,20,29.909,33.156000,693.352000,6,7,2429,53
1760258552.145694,21,30.103,33.504000,726.856000,7,8,2429,53
1760258553.145672,22,30.025,33.616000,760.472000,7,8,2429,53
1760258554.145949,23,29.901,33.544000,794.016000,6,8,2429,53
1760258555.145662,24,29.766,33.583000,827.599000,6,8,2429,53
1760258556.145668,25,29.826,33.673000,861.272000,6,8,2429,54
1760258557.145751,26,29.719,33.597000,894.869000,6,7,2429,54
1760258558.145900,27,29.746,34.028000,928.897000,7,8,2429,54
1760258559.145665,28,29.714,34.138000,963.035000,7,8,2429,54
1760258560.145585,29,29.641,34.177000,997.212000,6,7,2429,54
1760258561.145574,30,29.709,34.344000,1031.556000,7,8,2429,54
1760258562.145793,31,29.785,34.614000,1066.170000,7,8,2429,54
1760258563.145569,32,29.802,35.077000,1101.247000,7,8,2429,54
1760258564.145585,33,29.965,35.157000,1136.404000,6,8,2429,54
1760258565.145691,34,30.024,35.504000,1171.908000,7,8,2429,54
1760258566.145597,35,30.036,35.594000,1207.502000,7,8,2429,54
1760258567.145569,36,30.156,35.948000,1243.450000,7,8,2429,54
1760258568.145567,37,30.256,36.213000,1279.663000,6,8,2429,54
1760258569.145604,38,30.492,36.595000,1316.258000,7,8,2429,55
1760258570.145605,39,30.576,36.983000,1353.241000,6,7,2429,55
1760258571.145680,40,30.387,37.039000,1390.280000,6,8,2429,55
1760258572.145684,41,30.410,37.238000,1427.518000,6,7,2429,55
1760258573.145587,42,30.614,37.745000,1465.263000,6,7,2429,55
1760258574.145835,43,30.764,37.875000,1503.138000,7,8,2429,55
1760258575.145945,44,30.622,38.070000,1541.208000,7,8,2429,55
1760258576.145577,45,30.719,38.558000,1579.766000,6,8,2429,55
1760258577.145567,46,30.729,38.444000,1618.210000,6,7,2429,55
1760258578.145914,47,30.754,38.586000,1656.796000,8,8,2429,55
1760258579.145672,48,30.510,38.828000,1695.624000,6,7,2429,55
1760258580.145665,49,30.471,38.750000,1734.374000,6,7,2429,55
1760258581.145671,50,30.476,39.060000,1773.434000,6,7,2429,55
1760258582.145599,51,30.220,38.859000,1812.293000,6,7,2429,55
1760258583.145701,52,29.900,38.726000,1851.019000,6,7,2429,55
1760258584.145678,53,30.132,39.412000,1890.431000,6,7,2429,55
1760258585.145678,54,30.119,39.965000,1930.396000,7,8,2429,55
1760258586.145674,55,30.317,40.135000,1970.531000,7,8,2429,55
1760258587.145569,56,30.366,40.101000,2010.632000,6,7,2429,55
1760258588.145667,57,30.450,40.231000,2050.863000,7,8,2429,55
1760258589.145758,58,30.459,40.463000,2091.326000,7,8,2429,55
1760258590.145587,59,30.296,40.626000,2131.952000,7,7,2429,55
1760258591.145585,60,30.454,40.774000,2172.726000,7,8,2429,55
1760258592.145676,61,30.323,40.719000,2213.445000,6,7,2429,55
1760258593.145824,62,30.127,40.968000,2254.413000,6,7,2429,55
1760258594.145570,63,30.154,41.369000,2295.782000,7,8,2429,55
1760258595.145687,64,30.214,41.336000,2337.118000,7,7,2429,55
1760258596.145968,65,30.226,32.932000,2370.050000,7,8,2429,55
1760258597.145958,66,30.225,32.966000,2403.016000,6,7,2429,55
1760258598.145674,67,30.421,33.229000,2436.245000,8,8,2429,55
1760258599.145572,68,30.536,33.227000,2469.472000,7,8,2429,55
1760258600.145607,69,30.537,33.200000,2502.672000,6,8,2429,55
1760258601.145883,70,30.657,33.449000,2536.121000,7,8,2429,55
1760258602.145597,71,30.607,33.342000,2569.463000,6,8,2429,55
1760258603.145570,72,30.602,33.456000,2602.919000,7,8,2429,55
1760258604.145680,73,30.835,33.566000,2636.485000,6,7,2429,55
1760258605.145670,74,30.859,33.781000,2670.266000,7,8,2429,55
1760258606.145608,75,30.525,33.195000,2703.461000,6,8,2429,55
1760258607.145687,76,30.461,33.215000,2736.676000,7,8,2429,56
1760258608.145608,77,30.425,33.170000,2769.846000,7,8,2429,55
1760258609.145566,78,30.256,33.019000,2802.865000,7,8,2429,55
1760258610.145569,79,30.288,33.199000,2836.064000,7,8,2429,56
1760258611.145628,80,30.238,33.387000,2869.451000,7,8,2429,56
1760258612.145573,81,30.524,33.942000,2903.393000,7,8,2429,56
1760258613.145689,82,30.535,34.155000,2937.548000,7,8,2429,56
1760258614.145690,83,30.679,34.225000,2971.773000,7,8,2429,56
1760258615.145587,84,30.761,34.589000,3006.362000,6,8,2429,56
1760258616.145567,85,30.707,34.602000,3040.964000,7,7,2429,56
1760258617.145587,86,30.725,34.759000,3075.723000,7,8,2429,56
1760258618.145802,87,30.816,35.038000,3110.761000,8,8,2429,56
1760258619.145574,88,30.902,35.394000,3146.155000,6,7,2429,56
1760258620.145667,89,30.882,35.592000,3181.747000,8,8,2429,55
1760258621.145675,90,30.842,35.673000,3217.420000,7,8,2429,56
1760258622.145711,91,30.740,35.765000,3253.185000,7,8,2429,56
1760258623.145614,92,30.684,35.955000,3289.140000,10,9,2539,56
1760258624.146003,93,30.402,35.687000,3324.827000,8,8,2244,56
1760258625.145634,94,30.720,36.504000,3361.331000,7,8,2023,56
1760258626.145672,95,30.674,36.518000,3397.849000,7,8,2429,56
1760258627.145669,96,30.082,36.291000,3434.140000,7,8,2429,56
1760258628.145805,97,30.491,36.601000,3470.741000,7,8,2429,56
1760258629.145589,98,30.706,37.173000,3507.914000,7,8,2429,56
1760258630.145601,99,30.743,37.206000,3545.120000,7,8,2429,55
1760258631.145587,100,30.667,37.330000,3582.450000,7,8,2429,56
1760258632.145566,101,30.714,37.620000,3620.070000,6,7,2429,56
1760258633.145569,102,30.401,37.423000,3657.493000,6,7,2429,56
1760258634.145570,103,30.207,37.572000,3695.065000,7,8,2429,56
1760258635.145598,104,30.341,37.813000,3732.878000,7,8,2429,56
1760258636.145602,105,30.386,38.034000,3770.912000,7,8,2429,56
1760258637.145679,106,30.346,38.229000,3809.141000,7,8,2429,56
1760258638.145688,107,30.309,38.336000,3847.477000,6,8,2429,56
1760258639.145587,108,30.253,38.547000,3886.024000,6,7,2429,56
1760258640.145572,109,30.212,38.672000,3924.696000,7,8,2429,56
1760258641.145661,110,30.500,39.063000,3963.759000,6,8,2429,56
1760258642.145685,111,30.694,39.484000,4003.243000,7,7,2429,56
1760258643.145626,112,30.474,39.418000,4042.661000,6,8,2429,56
1760258644.145607,113,30.679,39.823000,4082.484000,6,7,2429,56
1760258645.145565,114,30.736,40.149000,4122.633000,6,7,2429,56
1760258646.145586,115,30.740,40.217000,4162.850000,6,8,2429,56
1760258647.145568,116,30.694,40.425000,4203.275000,7,8,2429,56
1760258648.145880,117,30.701,40.550000,4243.825000,7,8,2429,56
1760258649.145679,118,30.832,41.098000,4284.923000,7,8,2429,56
1760258650.145659,119,30.648,41.011000,4325.934000,7,8,2429,56
1760258651.145569,120,30.588,41.090000,4367.024000,7,8,2429,56
1760258652.145666,121,30.406,40.990000,4408.014000,7,8,2429,56
1760258653.145607,122,30.499,41.363000,4449.377000,6,7,2429,56
1760258654.145973,123,30.516,41.586000,4490.963000,7,8,2429,56
1760258655.145667,124,30.408,33.199000,4524.162000,6,8,2429,56
1760258656.145566,125,30.472,33.241000,4557.403000,7,8,2429,56
1760258657.145594,126,30.539,33.272000,4590.675000,7,8,2429,56
1760258658.145607,127,30.129,32.797000,4623.472000,6,7,2429,56
1760258659.145671,128,30.080,32.861000,4656.333000,6,7,2429,56
1760258660.145591,129,29.920,32.690000,4689.023000,6,7,2429,56
1760258661.145588,130,29.840,32.617000,4721.640000,7,8,2429,56
