ts,cpu_percent,rss_mb,power_w,energy_j_total
1760258748.89034,44.00,262.88,0.000,0.000000
1760258749.89022,21.00,262.88,5.608,5.606858
1760258750.8902714,13.00,250.08,6.509,12.116241
1760258751.8906004,7.00,250.08,6.296,18.413832
1760258752.8903618,10.00,250.08,6.156,24.567930
1760258753.890336,0.00,250.08,5.400,29.968063
1760258754.8903317,0.00,250.08,5.322,35.290376
1760258755.890287,0.00,250.08,5.480,40.769732
1760258756.8903637,0.00,250.33,5.420,46.190250
1760258757.8902507,0.00,250.33,5.305,51.494924
1760258758.8903737,0.00,250.33,5.318,56.813087
1760258759.8903573,1.00,250.33,5.456,62.269433
1760258760.8902519,0.00,250.33,5.339,67.607859
1760258761.8902147,0.00,250.33,5.454,73.061214
1760258762.8903563,0.00,250.33,5.226,78.287824
1760258763.8903391,0.00,250.33,5.357,83.644622
1760258764.8903353,0.00,250.33,5.285,88.929582
1760258765.8902106,1.00,250.33,5.357,94.285769
1760258766.890299,0.00,250.33,5.461,99.747303
1760258767.8903275,1.00,250.33,5.344,105.091161
1760258768.8903599,0.00,250.33,5.303,110.394370
1760258769.8903217,0.00,250.33,5.303,115.696786
1760258770.8902524,0.00,250.33,5.269,120.965877
1760258771.8903704,0.00,250.33,5.426,126.392376
1760258772.89041,0.00,250.33,5.283,131.675505
1760258773.8903508,0.00,250.33,5.293,136.967789
1760258774.8903482,0.00,250.33,5.217,142.185122
1760258775.8902128,1.00,250.33,5.285,147.469837
1760258776.8903337,0.00,250.33,5.420,152.890783
1760258777.8905776,0.00,250.33,5.264,158.155845
1760258778.8903317,0.00,250.33,5.284,163.439034
1760258779.890359,0.00,250.33,5.396,168.835200
1760258780.8903108,0.00,250.33,5.351,174.185833
1760258781.8903985,0.00,250.33,5.507,179.693815
1760258782.8903377,0.00,250.33,5.366,185.059401
1760258783.8903496,1.00,250.33,5.362,190.421387
1760258784.8903584,0.00,250.33,5.298,195.719652
1760258785.8902128,0.00,250.33,5.300,201.018772
1760258786.890342,0.00,250.33,5.639,206.658833
1760258787.8904061,0.00,250.33,5.356,212.015021
1760258788.8903284,0.00,250.33,5.296,217.311089
1760258789.8905795,0.00,250.33,5.339,222.651773
1760258790.8902607,0.00,250.33,5.340,227.989711
1760258791.8903892,1.00,250.33,5.620,233.609997
1760258792.8905904,0.00,250.33,5.365,238.975767
1760258793.890355,1.00,250.33,5.322,244.296799
1760258794.8903446,0.00,250.33,5.295,249.592012
1760258795.8902507,0.00,250.33,5.315,254.906818
1760258796.8903406,0.00,250.33,5.445,260.352544
1760258797.8903482,0.00,250.33,5.194,265.546378
1760258798.890377,0.00,250.33,5.212,270.758889
1760258799.8903525,0.00,250.33,5.231,275.989711
1760258800.8902118,0.00,250.33,5.287,281.275952
1760258801.8903759,0.00,250.33,5.420,286.696409
1760258802.8903544,1.00,250.33,5.247,291.943466
1760258803.8906686,0.00,250.33,5.283,297.227693
1760258804.8903577,0.00,250.33,5.320,302.546527
1760258805.8902297,0.00,250.33,5.284,307.829961
1760258806.8903582,0.00,250.33,5.432,313.262259
1760258807.8903458,0.00,250.33,5.305,318.566811
1760258808.8903341,1.00,250.33,5.405,323.971399
1760258809.8904963,0.00,250.33,5.355,329.327160
1760258810.890212,0.00,250.33,5.370,334.695554
1760258811.8905945,1.00,250.33,5.515,340.212630
1760258812.89037,0.00,250.33,5.394,345.605255
1760258813.8903763,0.00,250.33,5.402,351.006914
1760258814.8903422,0.00,250.33,5.397,356.403750
1760258815.890246,0.00,250.33,5.524,361.927052
1760258816.8904002,0.00,250.33,5.582,367.509740
1760258817.890359,0.00,250.33,5.402,372.911032
1760258818.8903594,0.00,250.33,5.333,378.243538
1760258819.8903527,1.00,250.33,5.410,383.653803
1760258820.890326,0.00,250.33,5.424,389.077617
1760258821.8903573,0.00,250.33,5.563,394.640591
1760258822.8903308,0.00,250.33,5.457,400.097608
1760258823.8905895,0.00,250.33,5.409,405.507812
1760258824.890414,0.00,250.33,5.379,410.885667
1760258825.890316,0.00,250.33,5.365,416.249728
1760258826.8903692,0.00,250.33,5.555,421.804767
1760258827.890626,0.00,250.33,5.390,427.195867
1760258828.8903985,0.00,250.33,5.378,432.572989
1760258829.8903608,1.00,250.33,5.403,437.975746
1760258830.8902116,0.00,250.33,5.431,443.405969
1760258831.8903527,1.00,250.33,5.493,448.899302
1760258832.8903658,0.00,250.33,5.393,454.292538
1760258833.8903797,0.00,250.33,5.421,459.713728
1760258834.8902295,0.00,250.33,5.419,465.131682
1760258835.8902075,0.00,250.33,5.428,470.559586
1760258836.890208,0.00,250.33,5.585,476.144899
1760258837.890308,0.00,250.33,5.384,481.529346
1760258838.8902442,0.00,250.33,5.503,487.031651
1760258839.8902612,1.00,250.33,5.376,492.407980
1760258840.890278,0.00,250.33,5.438,497.845771
1760258841.8902264,0.00,250.33,5.587,503.432610
1760258842.8902085,0.00,250.33,5.422,508.854044
1760258843.8902268,0.00,250.33,5.415,514.268703
1760258844.8902078,0.00,250.33,5.413,519.681103
1760258845.8902194,0.00,250.33,5.419,525.099913
1760258846.890569,0.00,250.33,5.637,530.738814
1760258847.8902469,7.00,251.58,6.021,536.758269
1760258848.8902078,15.00,251.58,6.162,542.919935
1760258849.8902245,0.00,251.58,5.857,548.776610
1760258850.8902087,18.00,251.58,6.312,555.088300
1760258851.8902285,1.00,251.58,5.638,560.726897
1760258852.8905435,0.00,251.58,5.501,566.229873
1760258853.8903012,0.00,251.58,5.397,571.625550
1760258854.8903077,0.00,251.58,5.403,577.028674
1760258855.8902276,0.00,251.58,5.382,582.409825
1760258856.8904219,0.00,251.58,5.501,587.912252
1760258857.890208,0.00,251.58,5.391,593.301826
1760258858.8902109,1.00,251.58,5.404,598.705620
1760258859.8902428,0.00,251.58,5.398,604.104044
1760258860.8902893,1.00,251.58,5.409,609.513210
1760258861.8902247,0.00,251.58,5.598,615.110425
1760258862.8902304,0.00,251.58,5.436,620.546080
1760258863.890206,0.00,251.58,5.386,625.932235
1760258864.8902128,0.00,251.58,5.394,631.326692
1760258865.8902097,0.00,251.58,5.427,636.753313
1760258866.8902082,0.00,251.58,5.574,642.327030
1760258867.8902266,1.00,251.58,5.414,647.741506
1760258868.8902452,0.00,251.58,5.469,653.210913
1760258869.8903263,0.00,251.58,5.377,658.588341
1760258870.8902097,0.00,251.58,5.370,663.957590
1760258871.89025,0.00,251.58,5.521,669.478571
1760258872.890208,0.00,251.58,5.450,674.928265
1760258873.8902447,0.00,251.58,5.397,680.325712
1760258874.8904595,0.00,251.58,5.410,685.736770
1760258875.8902085,0.00,251.58,5.408,691.143555
1760258876.8902068,0.00,251.58,5.527,696.670824
1760258877.8903477,1.00,251.58,5.309,701.980136
1760258878.890295,0.00,251.58,5.386,707.365865
1760258879.8903296,0.00,251.58,5.310,712.675971
1760258880.8902078,0.00,251.58,5.406,718.081474
1760258881.890207,0.00,251.58,5.507,723.588357
1760258882.8902378,0.00,251.58,5.357,728.945033
1760258883.8903518,0.00,251.58,5.491,734.436169
1760258884.8902488,1.00,251.58,6.095,740.530330
1760258885.8902075,11.00,251.58,6.206,746.735759
1760258886.890234,8.00,251.58,6.694,753.430261
1760258887.8902054,0.00,251.58,5.809,759.238596
1760258888.8902235,1.00,251.58,5.816,765.055109
1760258889.8902245,0.00,251.58,5.756,770.810771
1760258890.8902044,0.00,251.58,5.414,776.224880
1760258891.8903143,0.00,251.58,5.598,781.823377
1760258892.8902109,0.00,251.58,5.486,787.309263
1760258893.8905797,0.00,251.58,5.407,792.717880
1760258894.8902087,0.00,251.58,5.404,798.120149
1760258895.8902087,0.00,251.58,5.406,803.525897
