ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760262891.453635,0,24.513,0.000000,0.000000,7,7,1573,50
1760262892.453551,1,29.173,40.169000,40.169000,7,8,1971,51
1760262893.453537,2,30.013,40.317000,80.486000,8,8,2321,51
1760262894.453650,3,29.947,40.321000,120.807000,6,7,2429,52
1760262895.453621,4,29.748,40.535000,161.342000,7,8,2429,51
1760262896.453803,5,29.635,40.383000,201.725000,7,7,2429,51
1760262897.453749,6,29.237,40.342000,242.067000,7,8,2429,52
1760262898.453551,7,29.126,40.356000,282.423000,7,8,2429,52
1760262899.453530,8,29.138,31.896000,314.319000,7,8,2429,52
1760262900.453678,9,29.205,31.944000,346.263000,6,8,2429,52
1760262901.453756,10,29.208,31.889000,378.152000,7,8,2429,52
1760262902.453620,11,29.232,31.928000,410.080000,7,8,2429,52
1760262903.453527,12,29.246,32.015000,442.095000,6,7,2429,52
1760262904.453676,13,29.517,32.352000,474.447000,7,8,2429,52
1760262905.453656,14,29.600,32.473000,506.920000,7,8,2429,52
1760262906.453573,15,29.629,32.366000,539.286000,6,8,2429,52
1760262907.453552,16,29.823,32.670000,571.956000,8,8,2429,53
1760262908.453639,17,29.711,32.494000,604.450000,6,8,2429,53
1760262909.453624,18,29.560,32.351000,636.801000,6,7,2429,53
1760262910.453555,19,29.647,32.439000,669.240000,7,8,2429,53
1760262911.453567,20,29.673,32.371000,701.611000,7,8,2429,53
1760262912.453637,21,29.721,32.529000,734.140000,7,8,2429,53
1760262913.453631,22,29.793,32.749000,766.889000,7,8,2429,53
1760262914.453696,23,29.714,32.928000,799.817000,6,7,2429,53
1760262915.453624,24,29.448,32.867000,832.684000,6,7,2429,53
1760262916.453621,25,29.240,32.814000,865.498000,7,8,2429,53
1760262917.453635,26,29.313,33.033000,898.531000,7,8,2429,54
1760262918.453564,27,29.414,33.088000,931.619000,7,8,2429,54
1760262919.453544,28,29.409,33.230000,964.849000,7,8,2429,54
1760262920.453524,29,29.477,33.455000,998.304000,7,8,2429,54
1760262921.453650,30,29.430,33.571000,1031.875000,7,8,2429,54
1760262922.453554,31,29.540,33.938000,1065.813000,7,8,2429,54
1760262923.453631,32,29.570,34.147000,1099.960000,6,8,2429,54
1760262924.453650,33,29.719,34.499000,1134.459000,7,8,2429,54
1760262925.453565,34,29.712,34.800000,1169.259000,7,8,2429,54
1760262926.453880,35,29.771,34.975000,1204.234000,6,7,2429,54
1760262927.453555,36,29.805,35.409000,1239.643000,7,8,2429,54
1760262928.453784,37,29.965,35.430000,1275.073000,7,8,2429,54
1760262929.453880,38,30.200,36.028000,1311.101000,6,7,2429,55
1760262930.453567,39,30.418,36.451000,1347.552000,7,8,2429,55
1760262931.453548,40,30.344,36.448000,1384.000000,7,8,2429,55
1760262932.453553,41,30.227,36.465000,1420.465000,6,7,2429,55
1760262933.453536,42,29.963,36.312000,1456.777000,6,7,2429,55
1760262934.453547,43,29.967,36.605000,1493.382000,6,7,2429,55
1760262935.453709,44,30.179,37.017000,1530.399000,6,7,2429,55
1760262936.453658,45,30.203,37.317000,1567.716000,6,7,2429,55
1760262937.453558,46,30.120,37.365000,1605.081000,5,7,2429,55
1760262938.453556,47,29.979,37.358000,1642.439000,6,7,2429,55
1760262939.453626,48,30.043,37.553000,1679.992000,6,8,2429,55
1760262940.453949,49,30.036,37.771000,1717.763000,6,8,2429,55
1760262941.453636,50,30.002,38.162000,1755.925000,6,8,2429,55
1760262942.453569,51,30.077,38.217000,1794.142000,7,8,2429,55
1760262943.453563,52,30.303,38.657000,1832.799000,7,8,2429,55
1760262944.453527,53,30.320,38.820000,1871.619000,7,7,2429,55
1760262945.453697,54,30.225,38.914000,1910.533000,7,8,2429,55
1760262946.453566,55,30.129,39.343000,1949.876000,6,7,2429,55
1760262947.453538,56,29.973,39.266000,1989.142000,7,8,2429,55
1760262948.453635,57,30.113,39.223000,2028.365000,7,8,2429,55
1760262949.453552,58,30.092,39.462000,2067.827000,7,8,2429,55
1760262950.453556,59,29.847,39.468000,2107.295000,7,8,2429,55
1760262951.453665,60,29.842,39.536000,2146.831000,6,7,2429,55
1760262952.453618,61,29.863,39.882000,2186.713000,6,8,2429,55
1760262953.453546,62,30.140,40.341000,2227.054000,6,8,2429,55
1760262954.453631,63,30.156,40.374000,2267.428000,7,7,2429,55
1760262955.453526,64,30.021,40.588000,2308.016000,7,7,2429,55
1760262956.453624,65,29.979,40.646000,2348.662000,6,8,2429,55
1760262957.453526,66,29.918,40.786000,2389.448000,7,8,2429,55
1760262958.453568,67,29.964,40.995000,2430.443000,7,8,2429,55
1760262959.453895,68,30.063,32.714000,2463.157000,7,8,2429,55
1760262960.453564,69,30.220,32.907000,2496.064000,6,7,2429,55
1760262961.453656,70,30.239,33.015000,2529.079000,6,8,2429,56
1760262962.453669,71,30.496,33.244000,2562.323000,6,7,2429,56
1760262963.453905,72,30.051,32.749000,2595.072000,7,8,2429,56
1760262964.453532,73,30.067,32.802000,2627.874000,7,8,2429,56
1760262965.453567,74,30.117,33.051000,2660.925000,6,8,2429,56
1760262966.453635,75,30.262,33.083000,2694.008000,7,8,2429,56
