ts,cpu_percent,rss_mb,power_w,energy_j_total
1760260474.699181,20.00,197.09,0.000,0.000000
1760260475.6991906,21.00,197.84,5.663,5.662766
1760260476.6991715,13.00,197.84,6.564,12.226348
1760260477.6992002,13.00,197.84,6.218,18.444899
1760260478.6990814,7.00,197.84,6.169,24.612974
1760260479.6993113,0.00,197.84,5.410,30.023788
1760260480.6991184,1.00,197.84,5.374,35.396577
1760260481.699119,0.00,197.84,5.557,40.953264
1760260482.6990788,0.00,197.84,5.295,46.247562
1760260483.6991255,0.00,197.84,5.323,51.571035
1760260484.6990778,0.00,197.84,5.324,56.895118
1760260485.6990776,0.00,197.84,5.292,62.186974
1760260486.6990788,1.00,197.84,5.551,67.737741
1760260487.699085,0.00,197.84,5.332,73.069942
1760260488.6990864,0.00,197.84,5.355,78.424909
1760260489.6990778,0.00,197.84,5.369,83.793486
1760260490.6990812,0.00,197.84,5.372,89.165543
1760260491.699125,0.00,197.84,5.576,94.741884
1760260492.6990778,0.00,197.84,5.378,100.119983
1760260493.6990812,0.00,197.84,5.378,105.497715
1760260494.6991813,0.00,197.84,5.388,110.885824
1760260495.6991186,1.00,197.84,5.366,116.251045
1760260496.6990995,0.00,197.84,5.644,121.894585
1760260497.6992428,0.00,197.84,5.368,127.263285
1760260498.6991107,1.00,197.84,5.341,132.604030
1760260499.6992579,0.00,197.84,5.346,137.950696
1760260500.699173,0.00,197.84,5.354,143.303893
1760260501.6991863,0.00,197.84,5.573,148.877182
1760260502.6991794,0.00,197.84,5.365,154.242586
1760260503.6990857,1.00,197.84,5.384,159.626178
1760260504.699225,0.00,197.84,5.432,165.059269
1760260505.699081,0.00,197.84,5.362,170.420950
1760260506.699179,0.00,197.84,5.507,175.928932
1760260507.6990798,0.00,197.84,5.337,181.265466
1760260508.6991813,0.00,197.84,5.389,186.655345
1760260509.6991198,0.00,197.84,5.351,192.005551
1760260510.6990771,0.00,197.84,5.351,197.356733
1760260511.6991823,1.00,197.84,5.549,202.906463
1760260512.699077,0.00,197.84,5.429,208.335282
1760260513.6991296,0.00,197.84,5.410,213.745241
1760260514.6990957,0.00,197.84,5.401,219.146472
1760260515.6991184,0.00,197.84,5.431,224.577977
1760260516.6992633,0.00,197.84,5.592,230.170919
1760260517.6991193,0.00,197.84,5.469,235.638740
1760260518.6990993,0.00,197.84,5.479,241.117852
1760260519.6991189,1.00,197.84,5.424,246.542032
1760260520.6990988,0.00,197.84,5.407,251.949123
1760260521.69918,0.00,197.84,5.555,257.504101
1760260522.6991732,0.00,197.84,5.453,262.957517
1760260523.6990805,0.00,197.84,5.462,268.419112
1760260524.6992445,0.00,197.84,5.438,273.857880
1760260525.6990778,0.00,197.84,5.424,279.280535
1760260526.6991708,1.00,197.84,5.601,284.881717
1760260527.6990821,0.00,197.84,5.442,290.322926
1760260528.699118,0.00,197.84,5.459,295.782568
1760260529.699179,0.00,197.84,5.405,301.188255
1760260530.6993134,0.00,197.84,5.401,306.589974
1760260531.6993763,0.00,197.84,5.554,312.144708
1760260532.699121,0.00,197.84,5.419,317.561870
1760260533.6990812,1.00,197.84,5.439,323.000516
1760260534.6991818,0.00,197.84,5.418,328.419020
1760260535.6990829,0.00,197.84,5.426,333.844482
1760260536.6990802,0.00,197.84,5.566,339.410752
1760260537.6990783,0.00,197.84,5.401,344.811556
1760260538.6992805,0.00,197.84,5.358,350.170368
1760260539.6991198,0.00,197.84,5.387,355.556646
1760260540.6991801,1.00,197.84,5.387,360.944449
1760260541.6990814,0.00,197.84,5.625,366.569008
1760260542.699262,0.00,197.84,5.363,371.932702
1760260543.6990805,1.00,197.84,5.366,377.297740
1760260544.6991334,0.00,197.84,5.364,382.662289
1760260545.699192,0.00,197.84,5.397,388.059187
1760260546.699185,0.00,197.84,5.621,393.680022
1760260547.6992822,0.00,197.84,5.496,399.176407
1760260548.6991792,1.00,197.84,5.454,404.629762
1760260549.6992755,0.00,197.84,5.474,410.104663
1760260550.6991854,0.00,197.84,5.418,415.522068
1760260551.6992579,0.00,197.84,5.590,421.112020
1760260552.6990795,0.00,197.84,5.428,426.539069
1760260553.6995316,0.00,197.84,5.464,432.005608
1760260554.6990783,0.00,197.84,5.359,437.361795
1760260555.699082,1.00,197.84,5.351,442.712672
1760260556.6993196,0.00,197.84,5.589,448.303417
1760260557.6993086,0.00,197.84,5.455,453.758787
1760260558.6993072,0.00,197.84,5.446,459.204879
1760260559.6991847,0.00,197.84,5.413,464.616974
1760260560.6992762,0.00,197.84,5.496,470.113115
1760260561.6990979,0.00,197.84,5.660,475.772463
1760260562.6990776,1.00,197.84,5.426,481.198658
1760260563.699119,0.00,197.84,5.439,486.638341
1760260564.699087,0.00,197.84,5.516,492.153891
1760260565.6991854,0.00,197.84,5.455,497.609199
1760260566.699121,0.00,197.84,5.683,503.291375
1760260567.6991742,8.00,201.34,5.947,509.238442
1760260568.6990812,1.00,201.34,5.439,514.676722
1760260569.6996174,14.00,201.34,6.186,520.866159
