ts,cpu_percent,rss_mb,power_w,energy_j_total
1760266473.512152,72.00,160.19,0.000,0.000000
1760266474.5121272,124.00,160.44,5.719,5.718796
1760266475.5120475,168.00,160.44,7.072,12.790250
1760266476.5121353,169.00,160.44,7.012,19.803111
1760266477.5120265,168.00,160.44,7.575,27.376944
1760266478.5121698,1.00,160.69,6.475,33.853062
1760266479.5120926,1.00,160.69,5.296,39.148520
1760266480.5123851,0.00,160.69,5.288,44.438485
1760266481.5120752,0.00,160.69,5.370,49.807062
1760266482.5121317,0.00,160.69,5.534,55.341167
1760266483.5121632,0.00,160.69,5.340,60.681302
1760266484.5121849,0.00,160.69,5.254,65.935134
1760266485.5121884,0.00,160.69,5.257,71.192505
1760266486.5124137,1.00,160.69,5.256,76.449999
1760266487.5121648,0.00,160.69,5.494,81.942966
1760266488.512145,0.00,160.69,5.281,87.223470
1760266489.5124068,0.00,160.69,5.341,92.565742
1760266490.51241,0.00,160.69,5.319,97.884881
1760266491.5120146,0.00,160.69,5.289,103.171550
1760266492.5120306,0.00,160.69,5.470,108.641201
1760266493.512029,0.00,160.69,5.365,114.005995
1760266494.512008,0.00,160.69,5.307,119.313232
1760266495.512009,0.00,160.69,5.386,124.699327
1760266496.512029,1.00,160.69,5.344,130.043917
1760266497.5120296,0.00,160.69,5.481,135.524433
1760266498.5120316,0.00,160.69,5.447,140.971807
1760266499.5120075,0.00,160.69,5.344,146.315482
1760266500.5120583,0.00,160.69,5.309,151.624795
1760266501.5120246,0.00,160.69,5.301,156.925623
1760266502.5120513,0.00,160.69,5.449,162.374279
1760266503.51203,0.00,160.69,5.431,167.805112
1760266504.5120084,1.00,160.69,5.331,173.135543
1760266505.512027,0.00,160.69,5.325,178.460175
1760266506.5120246,0.00,160.69,5.319,183.779131
1760266507.5120296,1.00,160.69,5.571,189.349857
1760266508.5120232,0.00,160.69,5.435,194.784596
1760266509.5120473,0.00,160.69,5.370,200.154639
1760266510.5121162,0.00,160.69,5.388,205.543175
1760266511.5120106,0.00,160.69,5.405,210.947641
1760266512.5120747,0.00,160.69,5.547,216.495173
1760266513.512011,0.00,160.69,5.484,221.978680
1760266514.5121386,0.00,160.69,5.376,227.355619
1760266515.51202,1.00,160.69,5.388,232.743239
1760266516.512151,0.00,160.69,5.412,238.156372
1760266517.5120513,0.00,160.69,5.522,243.677599
1760266518.512013,0.00,160.69,5.421,249.097995
1760266519.5122266,0.00,160.69,5.414,254.513386
1760266520.5121117,0.00,160.69,5.390,259.902777
1760266521.5121481,0.00,160.69,5.371,265.273491
1760266522.5122957,0.00,160.69,5.690,270.963967
1760266523.5120113,1.00,160.69,5.390,276.352625
1760266524.5120509,0.00,160.69,5.424,281.777110
1760266525.5120232,0.00,160.69,5.341,287.118405
1760266526.5121288,0.00,160.69,5.343,292.461898
1760266527.512063,0.00,160.69,5.512,297.973907
1760266528.512014,0.00,160.69,5.337,303.310686
1760266529.5120325,0.00,160.69,5.269,308.580020
1760266530.5121214,1.00,160.69,5.256,313.836110
1760266531.5120006,0.00,160.94,5.340,319.175879
1760266532.5120518,0.00,160.94,5.465,324.641258
1760266533.5121148,0.00,160.94,5.326,329.967600
1760266534.5120525,0.00,160.94,5.325,335.292354
1760266535.5120132,0.00,160.94,5.379,340.671247
1760266536.512129,0.00,160.94,5.343,346.015349
1760266537.512035,0.00,160.94,5.489,351.504166
1760266538.512251,1.00,160.94,5.384,356.889345
1760266539.5121298,0.00,160.94,5.339,362.227405
1760266540.5120137,0.00,160.94,5.408,367.635045
1760266541.5121334,0.00,160.94,5.395,373.030478
1760266542.512013,1.00,160.94,5.547,378.576423
1760266543.5120542,0.00,160.94,5.390,383.966851
1760266544.5120122,0.00,160.94,5.449,389.415324
1760266545.512113,0.00,160.94,5.502,394.917690
1760266546.5120142,0.00,160.94,5.324,400.241346
1760266547.5120165,0.00,160.94,5.565,405.806822
1760266548.5120525,0.00,160.94,5.443,411.250046
1760266549.512218,0.00,160.94,5.404,416.654695
1760266550.5120196,0.00,160.94,5.412,422.065570
1760266551.5120277,0.00,160.94,5.415,427.480229
1760266552.5120082,1.00,160.94,5.575,433.055104
1760266553.5120323,0.00,160.94,5.308,438.363685
1760266554.51201,0.00,160.94,5.353,443.716942
1760266555.512009,0.00,160.94,5.332,449.049021
1760266556.5120556,0.00,160.94,5.349,454.398373
1760266557.512046,0.00,160.94,5.494,459.892804
1760266558.5120094,0.00,160.94,5.344,465.236785
1760266559.5121083,0.00,160.94,5.390,470.627335
1760266560.512053,0.00,160.94,5.445,476.072023
1760266561.5121677,0.00,160.94,5.380,481.452808
1760266562.5120115,1.00,160.94,5.561,487.012852
1760266563.5120208,0.00,160.94,5.400,492.412619
1760266564.5120504,0.00,160.94,5.377,497.789436
1760266565.5120096,0.00,160.94,5.373,503.162347
1760266566.5121367,1.00,160.94,5.363,508.526408
1760266567.5120118,0.00,160.94,5.670,514.195827
1760266568.512015,0.00,160.94,5.396,519.591687
1760266569.512307,0.00,160.94,5.472,525.065489
1760266570.5121114,0.00,160.94,5.432,530.496444
1760266571.5120118,1.00,160.94,5.400,535.895845
1760266572.5120523,0.00,160.94,5.600,541.496416
1760266573.512013,0.00,160.94,5.380,546.876285
1760266574.5120142,0.00,160.94,5.593,552.469533
1760266575.5120363,21.00,161.69,5.913,558.382359
1760266576.5120132,0.00,161.69,5.410,563.792013
1760266577.5120127,66.00,161.69,6.375,570.166753
1760266578.512009,0.00,161.69,6.282,576.448719
1760266579.5120227,0.00,161.69,5.578,582.026647
1760266580.5120118,0.00,161.69,5.486,587.513022
1760266581.5120523,0.00,161.69,5.379,592.892525
1760266582.5123541,1.00,161.69,5.533,598.427545
1760266583.5120504,0.00,161.69,5.388,603.814250
1760266584.5120227,0.00,161.69,5.425,609.238613
1760266585.5120306,0.00,161.69,5.368,614.606947
1760266586.5120258,0.00,161.69,5.474,620.080627
1760266587.5120294,0.00,161.69,5.559,625.639756
1760266588.512024,0.00,161.69,5.360,630.999544
1760266589.512009,0.00,161.69,5.355,636.354206
1760266590.5120096,0.00,161.69,5.350,641.704168
1760266591.512028,1.00,161.69,5.395,647.099234
1760266592.5120094,0.00,161.69,5.528,652.627235
1760266593.5120094,0.00,161.69,5.383,658.009851
1760266594.5120292,0.00,161.69,5.444,663.454295
1760266595.5120075,1.00,161.69,5.426,668.880245
1760266596.5120459,0.00,161.69,5.469,674.349470
1760266597.5120268,0.00,161.69,5.607,679.956450
1760266598.5120113,0.00,161.69,5.399,685.355545
1760266599.512027,0.00,161.69,5.379,690.734621
1760266600.5120094,0.00,161.69,5.424,696.158374
1760266601.5120318,0.00,161.69,5.385,701.543309
1760266602.5120115,0.00,161.69,5.986,707.529622
1760266603.5120225,26.00,161.69,5.682,713.211736
1760266604.5120142,90.00,161.69,6.337,719.548329
1760266605.5120096,0.00,161.69,6.010,725.558628
1760266606.5123725,0.00,161.69,5.339,730.899862
1760266607.5121064,1.00,161.69,5.505,736.402961
1760266608.512267,0.00,161.69,5.392,741.796013
1760266609.5120196,1.00,161.69,5.371,747.165751
1760266610.5120423,0.00,161.69,5.230,752.395779
1760266611.5123074,0.00,161.69,5.313,757.710523
1760266612.5122352,0.00,161.69,5.521,763.231383
1760266613.512032,0.00,161.69,5.266,768.496751
1760266614.512009,0.00,161.69,5.343,773.839388
1760266615.5120316,0.00,161.69,5.405,779.244587
1760266616.5120304,0.00,161.69,5.385,784.629217
1760266617.5120335,0.00,161.69,5.518,790.147574
1760266618.5120277,1.00,161.69,5.406,795.553261
1760266619.5120087,0.00,161.69,5.373,800.926538
1760266620.5120306,0.00,161.69,5.389,806.316112
1760266621.5120327,0.00,161.69,5.398,811.714474
1760266622.5120206,0.00,161.69,5.502,817.216414
1760266623.5120084,0.00,161.69,5.366,822.582000
1760266624.5120127,0.00,161.69,5.399,827.981401
1760266625.5120304,0.00,161.69,5.404,833.385867
1760266626.512009,0.00,161.69,5.469,838.854420
1760266627.512011,0.00,161.69,5.513,844.367650
1760266628.512008,0.00,161.69,5.352,849.719565
1760266629.512009,1.00,161.69,5.254,854.973641
1760266630.5120082,0.00,161.69,5.276,860.249140
1760266631.51203,0.00,161.69,5.339,865.587872
1760266632.5120304,1.00,161.69,5.609,871.197171
1760266633.512019,0.00,161.69,5.324,876.520888
1760266634.5120084,0.00,161.69,5.357,881.878235
1760266635.5120165,0.00,161.69,5.334,887.212389
1760266636.512009,0.00,161.69,5.396,892.608799
1760266637.5120287,1.00,161.69,5.514,898.123189
1760266638.5120087,0.00,161.69,5.391,903.514044
1760266639.5120564,0.00,161.69,5.391,908.905205
1760266640.5120296,0.00,161.69,5.267,914.171793
1760266641.51203,0.00,161.69,5.422,919.593349
1760266642.5120084,0.00,161.69,5.509,925.102307
1760266643.5120306,0.00,161.69,5.354,930.456419
1760266644.512008,0.00,161.69,5.331,935.786911
1760266645.5120142,0.00,161.69,5.411,941.197969
1760266646.5122664,1.00,161.69,5.310,946.508868
1760266647.5120523,0.00,161.69,5.520,952.027714
1760266648.5120366,0.00,161.69,5.286,957.313955
1760266649.5120156,0.00,161.69,5.471,962.785072
1760266650.5120125,0.00,161.69,5.332,968.117333
1760266651.5120173,0.00,161.69,5.300,973.416880
1760266652.5121212,0.00,161.69,5.489,978.906612
1760266653.512013,0.00,161.69,5.591,984.496808
1760266654.5120103,0.00,161.69,5.414,989.911101
1760266655.5120478,1.00,161.69,5.337,995.247879
1760266656.5124307,0.00,161.69,5.339,1000.589357
1760266657.5122995,0.00,161.69,5.504,1006.092883
