ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760264660.932011,0,26.694,0.000000,0.000000,6,8,1211,50
1760264661.931860,1,29.909,41.128000,41.128000,6,8,1617,51
1760264662.931864,2,29.548,40.117000,81.245000,7,8,1617,51
1760264663.932075,3,30.288,41.140000,122.385000,7,8,2429,52
1760264664.931952,4,29.285,40.340000,162.725000,7,8,2429,52
1760264665.931961,5,29.361,40.536000,203.261000,7,8,2429,52
1760264666.931973,6,29.469,32.437000,235.698000,7,8,2429,52
1760264667.931983,7,29.414,32.278000,267.976000,7,8,2429,52
1760264668.931913,8,29.579,32.436000,300.412000,7,8,2429,52
1760264669.931884,9,29.511,32.371000,332.783000,7,8,2429,52
1760264670.931895,10,29.482,32.337000,365.120000,7,8,2429,52
1760264671.931882,11,29.344,32.186000,397.306000,6,7,2429,52
1760264672.931953,12,29.400,32.315000,429.621000,7,8,2429,52
1760264673.931954,13,29.458,32.379000,462.000000,6,7,2429,52
1760264674.932021,14,29.523,32.377000,494.377000,7,7,2429,52
1760264675.932234,15,29.481,32.375000,526.752000,7,8,2429,52
1760264676.931963,16,29.374,32.298000,559.050000,6,8,2429,52
1760264677.931981,17,29.449,32.311000,591.361000,6,7,2429,53
1760264678.931886,18,29.677,32.545000,623.906000,7,8,2429,53
1760264679.932000,19,29.729,32.617000,656.523000,6,8,2429,53
1760264680.931959,20,29.741,32.807000,689.330000,7,8,2429,53
1760264681.932118,21,29.832,32.907000,722.237000,6,8,2429,53
1760264682.931979,22,29.717,33.173000,755.410000,6,7,2429,53
1760264683.931993,23,29.573,33.397000,788.807000,7,8,2429,53
1760264684.931854,24,29.624,33.375000,822.182000,6,8,2429,53
1760264685.932079,25,29.601,33.390000,855.572000,7,8,2429,53
1760264686.932429,26,29.656,33.704000,889.276000,6,8,2429,53
1760264687.932010,27,29.767,34.078000,923.354000,6,8,2429,53
1760264688.931967,28,29.755,34.123000,957.477000,7,8,2429,53
1760264689.932137,29,29.703,34.276000,991.753000,7,8,2429,54
1760264690.931877,30,29.689,34.424000,1026.177000,7,8,2429,54
1760264691.931965,31,29.687,34.513000,1060.690000,6,8,2429,54
1760264692.931962,32,29.743,34.836000,1095.526000,7,8,2429,54
1760264693.931881,33,29.798,35.008000,1130.534000,6,7,2429,54
1760264694.932242,34,29.837,35.261000,1165.795000,7,8,2429,54
1760264695.932011,35,29.850,35.617000,1201.412000,7,8,2429,54
1760264696.932291,36,29.817,35.632000,1237.044000,7,8,2429,54
1760264697.931901,37,29.853,36.020000,1273.064000,6,8,2429,54
1760264698.932136,38,29.937,36.165000,1309.229000,7,7,2429,54
1760264699.932282,39,29.968,36.520000,1345.749000,7,8,2429,54
1760264700.931886,40,30.044,36.863000,1382.612000,6,8,2429,54
1760264701.932014,41,29.941,36.640000,1419.252000,7,7,2429,54
1760264702.931963,42,29.925,36.911000,1456.163000,7,8,2429,54
1760264703.931986,43,30.142,37.271000,1493.434000,7,8,2429,54
1760264704.931991,44,30.103,37.352000,1530.786000,6,7,2429,54
1760264705.931966,45,30.181,37.645000,1568.431000,7,8,2429,54
1760264706.932132,46,30.106,37.828000,1606.259000,5,7,2429,55
1760264707.931971,47,30.110,38.474000,1644.733000,7,8,2429,55
1760264708.932082,48,30.135,38.451000,1683.184000,7,8,2429,54
