ts,t_rel_s,power_w,energy_j_this_sec,energy_j_total,gpu_util_percent,mem_util_percent,mem_used_MiB,temp_c
1760271318.291641,0,25.118,0.000000,0.000000,8,8,1595,51
1760271319.291745,1,30.042,41.239000,41.239000,9,8,1899,51
1760271320.291638,2,30.078,40.792000,82.031000,8,8,2318,52
1760271321.291695,3,29.561,32.454000,114.485000,6,7,2429,52
1760271322.291733,4,29.586,40.591000,155.076000,7,8,2429,52
1760271323.291665,5,29.816,32.672000,187.748000,7,8,2429,52
1760271324.291658,6,29.645,32.541000,220.289000,7,8,2429,52
1760271325.291739,7,29.745,32.552000,252.841000,7,8,2429,52
1760271326.291736,8,29.775,32.762000,285.603000,6,8,2429,52
1760271327.291628,9,29.721,32.628000,318.231000,7,8,2429,52
1760271328.291626,10,29.511,32.334000,350.565000,7,8,2429,52
1760271329.291725,11,29.434,32.358000,382.923000,8,8,2429,53
1760271330.291737,12,29.747,32.645000,415.568000,7,8,2429,53
1760271331.291733,13,29.651,32.530000,448.098000,6,8,2429,53
1760271332.291776,14,29.723,32.552000,480.650000,7,8,2429,53
1760271333.291633,15,29.569,32.506000,513.156000,6,7,2429,53
1760271334.291737,16,29.863,32.778000,545.934000,6,8,2429,53
1760271335.291665,17,30.117,33.031000,578.965000,7,8,2429,53
1760271336.291651,18,30.070,32.858000,611.823000,7,8,2429,53
1760271337.291692,19,30.239,33.148000,644.971000,7,8,2429,53
1760271338.291978,20,30.173,33.128000,678.099000,8,9,2429,54
1760271339.291754,21,30.138,33.677000,711.776000,6,8,2429,54
1760271340.291667,22,30.086,33.551000,745.327000,7,8,2429,54
1760271341.291756,23,30.026,33.697000,779.024000,7,8,2429,54
1760271342.291939,24,29.922,33.675000,812.699000,8,8,2429,54
1760271343.291728,25,29.954,33.848000,846.547000,7,8,2429,54
1760271344.291668,26,29.932,33.930000,880.477000,6,8,2429,54
1760271345.291745,27,29.905,34.187000,914.664000,6,7,2429,54
1760271346.291730,28,29.697,34.109000,948.773000,6,8,2429,54
1760271347.292027,29,29.735,34.299000,983.072000,7,8,2429,54
1760271348.291746,30,29.694,34.600000,1017.672000,7,8,2429,54
1760271349.291730,31,29.893,34.849000,1052.521000,7,8,2429,54
1760271350.291627,32,29.915,35.089000,1087.610000,7,8,2429,54
1760271351.291629,33,29.999,35.210000,1122.820000,8,8,2429,54
1760271352.291719,34,30.020,35.406000,1158.226000,8,8,2429,54
1760271353.291650,35,30.051,35.741000,1193.967000,7,8,2429,55
1760271354.291664,36,30.059,35.894000,1229.861000,7,8,2429,55
1760271355.292041,37,30.214,36.285000,1266.146000,7,8,2429,55
1760271356.291731,38,30.517,36.988000,1303.134000,7,8,2429,55
1760271357.291753,39,30.495,36.923000,1340.057000,8,8,2429,55
1760271358.291669,40,30.248,36.890000,1376.947000,6,7,2429,55
1760271359.291993,41,30.291,37.156000,1414.103000,6,8,2429,55
1760271360.291626,42,30.470,37.765000,1451.868000,6,7,2429,55
1760271361.291718,43,30.716,37.917000,1489.785000,7,8,2429,55
1760271362.291654,44,30.763,38.143000,1527.928000,7,8,2429,55
1760271363.291626,45,30.662,38.206000,1566.134000,6,7,2429,55
1760271364.291625,46,30.668,38.368000,1604.502000,7,8,2429,55
1760271365.291631,47,30.535,38.472000,1642.974000,6,7,2429,55
1760271366.291652,48,30.456,38.762000,1681.736000,6,8,2429,55
1760271367.291627,49,30.554,39.266000,1721.002000,6,8,2429,55
