ts,cpu_percent,rss_mb,power_w,energy_j_total
1760269560.1927993,53.00,272.97,0.000,0.000000
1760269561.1928003,21.00,273.72,5.505,5.505418
1760269562.1928165,13.00,265.19,6.526,12.031219
1760269563.1929505,19.00,265.94,6.327,18.359266
1760269564.1929185,17.00,266.69,6.325,24.683652
1760269565.192947,0.00,266.69,5.384,30.067977
1760269566.1928236,0.00,266.69,5.360,35.427704
1760269567.1929877,0.00,266.69,5.598,41.026750
1760269568.1927953,0.00,266.69,5.427,46.452700
1760269569.1931884,0.00,266.69,5.324,51.779286
1760269570.1927996,0.00,266.69,5.423,57.200170
1760269571.1928988,1.00,266.69,5.304,62.504966
1760269572.192899,0.00,266.69,5.432,67.937204
1760269573.1927974,1.00,266.69,5.137,73.073970
1760269574.1928375,0.00,266.69,5.209,78.283246
1760269575.1929069,0.00,266.69,5.246,83.529144
1760269576.1929047,0.00,266.69,5.333,88.861955
1760269577.1928883,0.00,266.69,5.482,94.343447
1760269578.1928983,0.00,266.94,5.362,99.705372
1760269579.192911,0.00,266.94,5.399,105.104711
1760269580.192798,0.00,266.94,5.294,110.398399
1760269581.1930673,0.00,266.94,5.328,115.727975
1760269582.1929424,1.00,266.94,5.516,121.243586
1760269583.1934245,0.00,266.94,5.347,126.592815
1760269584.192924,0.00,266.94,5.336,131.925748
1760269585.1929102,0.00,266.94,5.298,137.223647
1760269586.1929052,0.00,266.94,5.368,142.591248
1760269587.1929061,0.00,266.94,5.422,148.013354
1760269588.1930892,0.00,266.94,5.317,153.331394
1760269589.1931179,0.00,266.94,5.309,158.640279
1760269590.1932297,1.00,266.94,5.385,164.026130
1760269591.1928005,0.00,266.94,5.274,169.297540
1760269592.1928363,1.00,266.94,5.638,174.935404
1760269593.1930215,0.00,266.94,5.383,180.319301
1760269594.1929195,0.00,266.94,5.332,185.650830
1760269595.1929052,0.00,266.94,5.389,191.039794
1760269596.1929026,0.00,266.94,5.392,196.431809
1760269597.1928205,1.00,266.94,5.471,201.902193
1760269598.1929073,0.00,266.94,5.382,207.285052
1760269599.1929111,0.00,266.94,5.346,212.631352
1760269600.1930501,0.00,266.94,5.373,218.005179
1760269601.1928213,0.00,266.94,5.428,223.432350
1760269602.192897,0.00,266.94,5.600,229.032921
1760269603.1929057,0.00,266.94,5.426,234.458933
1760269604.1928318,1.00,266.94,5.357,239.815792
1760269605.1930377,0.00,266.94,5.394,245.211164
1760269606.1928325,0.00,266.94,5.395,250.605437
1760269607.1931007,0.00,266.94,5.578,256.184768
1760269608.192825,0.00,266.94,5.436,261.619508
1760269609.1928284,0.00,266.94,5.354,266.973132
1760269610.1929018,0.00,266.94,5.353,272.326756
1760269611.1929219,0.00,266.94,5.312,277.638693
1760269612.1930394,1.00,266.94,5.491,283.129951
1760269613.1929111,0.00,266.94,5.298,288.427057
1760269614.19292,1.00,266.94,5.290,293.716838
1760269615.1928194,0.00,266.94,5.203,298.919156
1760269616.1928983,0.00,266.94,5.297,304.216567
1760269617.1929102,0.00,266.94,5.462,309.678833
1760269618.1929212,0.00,266.94,5.349,315.027452
1760269619.1928396,0.00,266.94,5.304,320.330600
1760269620.1929133,0.00,266.94,5.344,325.675252
1760269621.192921,0.00,266.94,5.336,331.011664
1760269622.1931934,1.00,266.94,5.565,336.578178
1760269623.1932187,0.00,266.94,5.359,341.936868
1760269624.1929226,0.00,266.94,5.310,347.245021
1760269625.1927986,0.00,266.94,5.259,352.503675
1760269626.1929123,0.00,266.94,5.327,357.830871
1760269627.1930969,0.00,266.94,5.837,363.668746
1760269628.193076,0.00,266.94,5.680,369.348785
1760269629.1927972,0.00,266.94,5.685,375.032120
1760269630.1928203,1.00,266.94,5.734,380.766481
1760269631.192919,0.00,266.94,5.755,386.522142
1760269632.1929176,0.00,266.94,5.850,392.371798
1760269633.1927986,0.00,266.94,5.369,397.740375
1760269634.1929054,0.00,266.94,5.391,403.132329
1760269635.192914,0.00,266.94,5.416,408.548636
1760269636.1930022,0.00,266.94,5.401,413.950600
1760269637.1929128,0.00,266.94,5.556,419.506494
1760269638.192906,1.00,266.94,5.372,424.878856
1760269639.1928258,0.00,266.94,5.538,430.416744
1760269640.192898,0.00,266.94,5.360,435.776777
1760269641.192936,0.00,266.94,5.333,441.110015
1760269642.192911,1.00,266.94,5.444,446.553727
1760269643.192916,0.00,266.94,5.396,451.949648
1760269644.1928697,0.00,266.94,5.417,457.366260
1760269645.1928313,0.00,266.94,5.339,462.705358
1760269646.1928964,0.00,266.94,5.498,468.204184
1760269647.1929083,0.00,266.94,5.494,473.698128
1760269648.1929057,0.00,266.94,5.382,479.080011
1760269649.1929243,0.00,266.94,5.397,484.477458
1760269650.1929176,1.00,266.94,5.385,489.862088
1760269651.192893,0.00,266.94,5.415,495.276625
1760269652.1929405,0.00,266.94,5.555,500.832213
1760269653.192914,0.00,266.94,5.424,506.255661
